Price,Close,High,Low,Open,Volume
Ticker,ACC.VN,ACC.VN,ACC.VN,ACC.VN,ACC.VN
Date,,,,,
2023-07-17,13500.0,13600.0,13400.0,13500.0,25200
2023-07-19,13450.0,13550.0,13450.0,13450.0,45500
2023-07-20,13500.0,13500.0,13450.0,13500.0,170200
2023-07-21,13500.0,13600.0,13300.0,13500.0,91000
2023-07-24,13450.0,13550.0,13400.0,13550.0,27400
2023-07-26,13650.0,13650.0,13500.0,13550.0,54700
2023-07-28,13850.0,14050.0,13600.0,13600.0,149200
2023-08-03,13600.0,13600.0,13400.0,13500.0,134800
2023-08-04,13950.0,14050.0,13450.0,13500.0,135900
2023-08-07,13800.0,14000.0,13750.0,13950.0,90000
2023-08-08,13900.0,14000.0,13800.0,14000.0,122400
2023-08-09,13800.0,13900.0,13600.0,13850.0,45800
2023-08-10,13800.0,13850.0,13550.0,13750.0,75400
2023-08-11,13650.0,13800.0,13550.0,13800.0,37500
2023-08-14,13650.0,13800.0,13600.0,13600.0,51600
2023-08-15,13650.0,13800.0,13500.0,13700.0,45800
2023-08-16,13500.0,13650.0,13450.0,13650.0,70600
2023-08-17,13550.0,13700.0,13300.0,13650.0,36700
2023-08-18,13550.0,13650.0,12900.0,13350.0,215800
2023-08-21,13350.0,13550.0,13000.0,13550.0,24500
2023-08-22,13000.0,13550.0,13000.0,13550.0,43700
2023-08-23,12900.0,13350.0,12900.0,13350.0,33000
2023-08-24,12950.0,13000.0,12900.0,12900.0,30700
2023-08-25,12950.0,13000.0,12850.0,13000.0,13300
2023-08-28,12950.0,13200.0,12850.0,13200.0,33400
2023-08-29,12950.0,13000.0,12900.0,13000.0,19400
2023-08-30,13000.0,13500.0,12950.0,12950.0,26100
2023-08-31,13000.0,13200.0,12900.0,13200.0,53100
2023-09-05,12900.0,13100.0,12900.0,13100.0,44700
2023-09-06,13000.0,13100.0,12800.0,13100.0,39200
2023-09-07,12950.0,13000.0,12900.0,13000.0,23100
2023-09-08,12900.0,13000.0,12900.0,12900.0,43800
2023-09-11,12900.0,13000.0,12850.0,13000.0,34300
2023-09-12,12950.0,13000.0,12800.0,12800.0,11600
2023-09-13,12900.0,12950.0,12800.0,12950.0,34000
2023-09-14,12900.0,12900.0,12750.0,12900.0,24200
2023-09-15,12900.0,12950.0,12800.0,12800.0,21000
2023-09-18,12900.0,13000.0,12750.0,12800.0,15600
2023-09-19,12900.0,13000.0,12800.0,12900.0,5600
2023-09-20,12900.0,12900.0,12750.0,12850.0,25084900
2023-09-21,12900.0,12900.0,12750.0,12900.0,21700
2023-09-22,12800.0,12800.0,12500.0,12800.0,42700
2023-09-25,12800.0,12800.0,12400.0,12800.0,17100
2023-09-26,12700.0,12800.0,12500.0,12800.0,13700
2023-09-27,12300.0,12650.0,12050.0,12650.0,21500
2023-09-28,12050.0,12300.0,12000.0,12300.0,15000
2023-09-29,12050.0,12300.0,11650.0,12000.0,73800
2023-10-02,12200.0,12650.0,12000.0,12050.0,21800
2023-10-03,12050.0,12200.0,11850.0,12200.0,25100
2023-10-04,11850.0,12000.0,11550.0,12000.0,25900
