Price,Close,High,Low,Open,Volume
Ticker,ANT.VN,ANT.VN,ANT.VN,ANT.VN,ANT.VN
Date,,,,,
2026-01-20,34132.26171875,35238.58957106572,33558.61152024353,34337.13980790072,138480
2026-01-21,32370.333984375,34337.139009422266,32370.333984375,34091.28838129136,49141
2026-01-22,32370.333984375,32780.08247031581,32288.381214053985,32780.08247031581,36960
2026-01-23,32780.08203125,33599.58667498706,32124.48100525156,33599.58667498706,31336
2026-01-26,32616.18359375,33107.88483465369,31632.77919123465,33107.88483465369,6910
2026-01-27,31960.580078125,32575.20661808894,31182.053767739984,32247.4070772468,33880
2026-01-28,31468.87890625,32698.13198852539,30731.32705688477,31960.58013916016,73086
2026-01-29,31100.103515625,31468.87944664032,30731.327584609684,31468.87944664032,10080
2026-01-30,33271.78125,33271.78125,31100.10214363078,31182.052987143765,133893
2026-02-02,32698.1328125,35402.48966165414,31632.779474112373,35402.48966165414,113775
2026-02-03,32165.45703125,34337.138166675475,31960.5808725999,32083.50618364836,31620
2026-02-04,32124.48046875,32370.33301019001,31304.9796801152,31960.58069516464,47281
2026-02-05,31550.830078125,31960.58046954991,31550.830078125,31960.58046954991,25560
2026-02-06,31509.853515625,31632.7788244255,31223.028435326487,31550.829899030465,13920
2026-02-09,31264.00390625,32780.082123445165,31223.02944223111,31509.85453177938,41659
2026-02-10,31345.955078125,32083.506962316176,31141.078914502552,31223.02976409313,16872
2026-02-11,31386.9296875,31468.88053746901,30977.179279071053,31468.88053746901,23761
2026-02-12,31468.87890625,31468.87890625,30977.177673339844,31386.928060529,14762
2026-02-13,31304.98046875,32616.184452588688,31223.029619538826,32616.184452588688,27721
2026-02-23,31304.98046875,32698.13338109184,31182.05515528725,31468.880246464327,18240
2026-02-24,31304.98046875,31837.656186852582,31304.98046875,31837.656186852582,82988
2026-02-25,31345.955078125,31837.65633425245,31182.05529965186,31304.98061368372,54265
2026-02-26,31632.779296875,31837.6554548384,31345.95421229263,31345.95421229263,25410
2026-02-27,32452.28125,32780.080790235115,31345.95348011364,32165.45617211729,64922
2026-03-02,32452.28125,32452.28125,31550.82963329153,31550.82963329153,34098
2026-03-03,32452.28125,32780.080790235115,31141.077326935738,32206.430634469696,80574
2026-03-04,31427.904296875,32329.355912761654,31141.07729854585,32206.43060510857,106495
2026-03-05,31632.779296875,31632.779296875,31182.054438346702,31427.905059619585,90382
2026-03-06,30772.302734375,31714.730774898693,30772.302734375,31182.055058450354,71173
2026-03-09,28641.59765625,30321.57755815445,28641.59765625,28641.59765625,110134
2026-03-10,29502.07421875,30567.42753910752,27084.54249669977,28641.59705403645,16970
2026-03-11,30239.626953125,30321.57780190606,28928.42297616813,28969.399360912663,46008
2026-03-12,30034.75,30157.675309578044,30034.75,30157.675309578044,3121
2026-03-13,29502.07421875,30690.352848352304,29502.07421875,30075.726302128347,23918
2026-03-16,30239.626953125,31018.15329406701,27453.31922235716,31018.15329406701,17880
2026-03-17,29502.07421875,30485.476692708333,28682.57151688207,30485.476692708333,51624
2026-03-18,29911.82421875,31182.0536781652,29502.07383352041,31182.0536781652,43448
2026-03-19,29461.099609375,31100.103084251063,27904.045059782573,28682.57137422481,80992
2026-03-20,29379.1484375,29461.09928258256,27863.070288074192,28026.97005753138,42264
2026-03-23,27330.39453125,27904.0466443508,27330.39453125,27904.0466443508,90123
2026-03-24,28928.421875,28928.421875,27371.369252385604,27371.369252385604,35845
2026-03-25,28641.59765625,28764.5229680794,27904.045785273604,28764.5229680794,24650
2026-03-26,29010.373046875,29010.373046875,27125.518941127582,27863.070798251523,19020
2026-03-27,29092.32421875,29256.223993040847,28682.57190196092,28682.57190196092,9025
