Price,Close,High,Low,Open,Volume
Ticker,APH.VN,APH.VN,APH.VN,APH.VN,APH.VN
Date,,,,,
2023-07-17,9210.0,9310.0,9130.0,9220.0,2104400
2023-07-19,8910.0,9150.0,8910.0,9080.0,1448400
2023-07-20,8950.0,8980.0,8850.0,8900.0,529200
2023-07-21,9080.0,9080.0,8940.0,8950.0,961500
2023-07-24,9490.0,9600.0,9100.0,9120.0,3424400
2023-07-26,9710.0,9850.0,9600.0,9850.0,2147500
2023-07-28,9680.0,9790.0,9620.0,9620.0,1499400
2023-08-03,9330.0,9470.0,9280.0,9380.0,1584400
2023-08-04,9550.0,9600.0,9290.0,9330.0,2701800
2023-08-07,9560.0,9690.0,9500.0,9590.0,2250600
2023-08-08,9650.0,9800.0,9580.0,9580.0,2794700
2023-08-09,10300.0,10300.0,9600.0,9660.0,3099000
2023-08-10,10300.0,10850.0,10100.0,10850.0,6962900
2023-08-11,10200.0,10450.0,9910.0,10400.0,4238700
2023-08-14,10300.0,10350.0,10100.0,10250.0,2752800
2023-08-15,10300.0,10600.0,10200.0,10300.0,2944700
2023-08-16,10150.0,10350.0,10000.0,10350.0,3272300
2023-08-17,9810.0,10150.0,9810.0,10150.0,3032500
2023-08-18,9130.0,9800.0,9130.0,9760.0,4369700
2023-08-21,8810.0,9130.0,8650.0,9050.0,1717900
2023-08-22,9000.0,9000.0,8590.0,8900.0,1559600
2023-08-23,8850.0,9150.0,8850.0,9050.0,847600
2023-08-24,8980.0,8990.0,8840.0,8860.0,894400
2023-08-25,8950.0,9180.0,8940.0,8970.0,1062800
2023-08-28,9050.0,9050.0,8940.0,9020.0,850400
2023-08-29,9090.0,9250.0,9070.0,9100.0,1058400
2023-08-30,9100.0,9200.0,9010.0,9140.0,1022400
2023-08-31,9140.0,9190.0,9050.0,9150.0,1121500
2023-09-05,9260.0,9350.0,9200.0,9250.0,1451800
2023-09-06,9340.0,9400.0,9170.0,9310.0,1303500
2023-09-07,9390.0,9530.0,9310.0,9440.0,1538900
2023-09-08,9320.0,9400.0,9310.0,9400.0,1121800
2023-09-11,9000.0,9460.0,9000.0,9400.0,1597400
2023-09-12,9050.0,9090.0,8950.0,9090.0,1177900
2023-09-13,8900.0,9120.0,8810.0,9090.0,2672900
2023-09-14,8730.0,8950.0,8690.0,8900.0,1542000
2023-09-15,8800.0,8830.0,8720.0,8750.0,820600
2023-09-18,8980.0,9090.0,8700.0,8800.0,1067900
2023-09-19,9000.0,9070.0,8870.0,9070.0,801600
2023-09-20,9100.0,9100.0,9000.0,9080.0,934700
2023-09-21,9250.0,9370.0,9100.0,9160.0,1839600
2023-09-22,8950.0,9150.0,8800.0,9020.0,1232500
2023-09-25,8330.0,9030.0,8330.0,8930.0,1330900
2023-09-26,8000.0,8340.0,7990.0,8320.0,1681700
2023-09-27,8100.0,8250.0,7730.0,8000.0,1097800
2023-09-28,7910.0,8110.0,7860.0,8100.0,543700
2023-09-29,8000.0,8050.0,7900.0,7990.0,470500
2023-10-02,8020.0,8140.0,7990.0,8000.0,431500
2023-10-03,7680.0,8020.0,7680.0,8010.0,1023200
2023-10-04,7750.0,8010.0,7400.0,7400.0,454900
2023-10-05,7790.0,7850.0,7600.0,7760.0,521100
2023-10-06,7760.0,7820.0,7600.0,7740.0,708300
