Price,Close,High,Low,Open,Volume
Ticker,ASG.VN,ASG.VN,ASG.VN,ASG.VN,ASG.VN
Date,,,,,
2023-07-17,23400.0,23400.0,22600.0,22600.0,900
2023-07-19,23200.0,23300.0,22600.0,22600.0,800
2023-07-20,23200.0,23300.0,22500.0,23100.0,2100
2023-07-21,23100.0,23200.0,22300.0,22600.0,4100
2023-07-24,23050.0,23200.0,22200.0,23100.0,5500
2023-07-26,23100.0,23100.0,22500.0,22500.0,6400
2023-07-28,22950.0,22950.0,22500.0,22800.0,400
2023-08-03,22800.0,23100.0,22200.0,22800.0,2700
2023-08-04,23300.0,23300.0,22600.0,22600.0,300
2023-08-08,22550.0,22600.0,22550.0,22600.0,4000
2023-08-09,23500.0,23550.0,22550.0,23550.0,2500
2023-08-10,23000.0,23000.0,22600.0,22600.0,2200
2023-08-11,22900.0,22900.0,22500.0,22500.0,800
2023-08-14,22800.0,24100.0,22600.0,24100.0,900
2023-08-15,23000.0,23000.0,22750.0,22800.0,1900
2023-08-16,22800.0,23000.0,22500.0,23000.0,600
2023-08-17,22800.0,22800.0,21600.0,22800.0,1400
2023-08-18,22800.0,22800.0,22800.0,22800.0,100
2023-08-21,22700.0,22700.0,21800.0,21900.0,2100
2023-08-22,22900.0,22900.0,21900.0,21900.0,2200
2023-08-23,22800.0,22800.0,22800.0,22800.0,200
2023-08-24,22900.0,22900.0,21800.0,21800.0,3300
2023-08-25,23000.0,23000.0,22800.0,22950.0,900
2023-08-28,22900.0,23000.0,22200.0,22900.0,1600
2023-08-30,22100.0,22100.0,22100.0,22100.0,100
2023-08-31,23000.0,23000.0,22150.0,22150.0,1200
2023-09-05,22800.0,22800.0,22250.0,22250.0,2100
2023-09-06,22900.0,22900.0,22200.0,22200.0,400
2023-09-07,22900.0,22900.0,22150.0,22900.0,4400
2023-09-08,22950.0,22950.0,22900.0,22900.0,600
2023-09-11,22200.0,22250.0,22200.0,22250.0,10900
2023-09-12,23000.0,23000.0,22100.0,22100.0,1800
2023-09-14,22850.0,22850.0,21600.0,22100.0,1800
2023-09-15,24100.0,24100.0,21500.0,21800.0,5000
2023-09-19,23600.0,23600.0,23600.0,23600.0,800
2023-09-22,23150.0,23400.0,21950.0,21950.0,2800
2023-09-25,23100.0,23100.0,23100.0,23100.0,100
2023-09-26,23500.0,23500.0,23500.0,23500.0,800
2023-09-28,23000.0,23000.0,23000.0,23000.0,100
2023-09-29,22950.0,22950.0,22000.0,22000.0,1600
