Price,Close,High,Low,Open,Volume
Ticker,BMP.VN,BMP.VN,BMP.VN,BMP.VN,BMP.VN
Date,,,,,
2023-07-17,70034.75,70329.63315789474,69371.26289473685,70108.47078947368,163800
2023-07-19,74900.328125,74900.328125,68486.61892531988,70034.75562869095,636700
2023-07-20,75711.2578125,77259.39453505355,74900.32905306718,77259.39453505355,304000
2023-07-21,74310.5703125,75711.26558624752,72688.71262710814,75711.26558624752,527200
2023-07-24,75195.2109375,75932.41888786765,72983.58708639706,73720.79503676471,212500
2023-07-26,75195.2109375,75637.53570772058,74458.00298713235,75637.53570772058,84000
2023-07-28,72246.3671875,72983.57501594388,71730.32170758929,72467.52953603317,247600
2023-08-03,65980.1015625,71140.55643331005,65980.1015625,70108.46545914804,856700
2023-08-04,64800.578125,67380.80592292377,64063.370182736064,67012.20195179181,588100
2023-08-07,65980.1015625,65980.1015625,64653.127452863126,65611.49764315641,279800
2023-08-08,68412.890625,68412.890625,66053.82543103448,66053.82543103448,641000
2023-08-09,67380.8046875,68928.94133786926,67380.8046875,68634.05816637035,242200
2023-08-10,65832.6796875,67823.14144736843,65464.07565789474,67380.8166118421,344000
2023-08-11,64579.4140625,66274.99228560216,64284.53089326484,66274.99228560216,450700
2023-08-14,65537.78125,66053.82677165353,64653.13178430821,64653.13178430821,118200
2023-08-15,66643.6015625,66643.6015625,65464.0687914823,66274.99757155697,225000
2023-08-16,65464.06640625,66864.76152079814,65095.46242873734,66864.76152079814,196100
2023-08-17,62957.5546875,65464.06154859485,62957.55468749999,65464.06154859485,621900
2023-08-18,63178.71875,64063.36825408402,61925.46528588098,62294.06924591598,348500
2023-08-21,63031.2734375,63915.92288925438,62072.90319809941,63399.87737573099,174500
2023-08-22,62662.67578125,63105.00055147059,60967.097495404414,63031.27975643383,242800
2023-08-23,61188.26171875,63399.88563629518,61188.26171875,63399.88563629518,156300
2023-08-24,61851.75,62588.957985697256,60893.379618593564,61261.98361144219,190500
2023-08-25,65095.4609375,65169.18173131371,61556.86283444225,62294.07077257928,429100
2023-08-28,64505.69140625,65980.10720982142,64137.08745535714,65611.50325892857,156300
2023-08-29,66348.71875,67085.92673611111,64948.02357638889,65095.46517361111,267900
2023-08-30,65758.9453125,67085.91954526346,65242.89977753643,67085.91954526346,155500
