Price,Close,High,Low,Open,Volume
Ticker,BSR.VN,BSR.VN,BSR.VN,BSR.VN,BSR.VN
Date,,,,,
2025-01-17,13374.61328125,13931.888671875,13374.61328125,13931.888671875,9768327
2025-01-20,13034.0556640625,13405.5732421875,13003.095703125,13374.61328125,6040907
2025-01-21,12538.69921875,13003.095703125,12538.69921875,13003.095703125,11997350
2025-01-22,12724.4580078125,12786.3779296875,12383.9013671875,12445.8203125,4487439
2025-01-23,12693.498046875,12848.296875,12631.5791015625,12662.5390625,2917982
2025-01-24,12569.6591796875,12662.5390625,12507.740234375,12631.5791015625,4936086
2025-02-03,12817.337890625,12817.337890625,12414.8603515625,12507.740234375,3281195
2025-02-04,12910.216796875,12941.1767578125,12817.337890625,12848.296875,3558975
2025-02-05,12848.296875,12972.1357421875,12817.337890625,12972.1357421875,2176858
2025-02-06,12693.498046875,12879.2568359375,12631.5791015625,12848.296875,3315433
2025-02-07,12600.619140625,12786.3779296875,12569.6591796875,12693.498046875,4087726
2025-02-10,12631.5791015625,12755.41796875,12507.740234375,12600.619140625,3126480
2025-02-11,12507.740234375,12662.5390625,12414.8603515625,12631.5791015625,4626975
2025-02-12,12476.7802734375,12569.6591796875,12445.8203125,12507.740234375,3063816
2025-02-13,12291.021484375,12507.740234375,12229.1025390625,12507.740234375,5710801
2025-02-14,12445.8203125,12631.5791015625,12321.9814453125,12321.9814453125,4939316
2025-02-17,12445.8203125,12507.740234375,12352.94140625,12476.7802734375,3617277
2025-02-18,12414.8603515625,12538.69921875,12383.9013671875,12538.69921875,3289432
2025-02-19,12631.5791015625,12693.498046875,12414.8603515625,12445.8203125,5244389
2025-02-20,12538.69921875,12693.498046875,12538.69921875,12631.5791015625,3192209
2025-02-21,12476.7802734375,12569.6591796875,12414.8603515625,12538.69921875,3938016
2025-02-24,12476.7802734375,12476.7802734375,12383.9013671875,12414.8603515625,3394730
2025-02-25,12662.5390625,12693.498046875,12476.7802734375,12538.69921875,6023788
2025-02-26,12538.69921875,12693.498046875,12538.69921875,12662.5390625,2955288
2025-02-27,12538.69921875,12538.69921875,12445.8203125,12507.740234375,3601611
2025-02-28,12662.5390625,12848.296875,12600.619140625,12631.5791015625,8524616
2025-03-03,12755.41796875,12786.3779296875,12631.5791015625,12631.5791015625,3744862
2025-03-04,12600.619140625,12755.41796875,12569.6591796875,12755.41796875,4063824
2025-03-05,12414.8603515625,12631.5791015625,12414.8603515625,12600.619140625,5328046
2025-03-06,12260.0615234375,12476.7802734375,12136.22265625,12414.8603515625,10640912
2025-03-07,12321.9814453125,12414.8603515625,12074.3037109375,12260.0615234375,8120866
2025-03-10,12229.1025390625,12383.9013671875,12198.142578125,12352.94140625,4249872
2025-03-11,12043.34375,12136.22265625,11950.46484375,12105.2626953125,6393785
2025-03-12,12136.22265625,12229.1025390625,12043.34375,12105.2626953125,4929949
2025-03-13,11950.46484375,12167.1826171875,11950.46484375,12074.3037109375,4630851
2025-03-14,11733.74609375,11950.46484375,11702.7861328125,11950.46484375,8579041
2025-03-17,11950.46484375,11981.423828125,11702.7861328125,11702.7861328125,4105814
2025-03-18,12321.9814453125,12538.69921875,12012.3837890625,12074.3037109375,10481834
2025-03-19,12198.142578125,12476.7802734375,12198.142578125,12476.7802734375,4511341
2025-03-20,12136.22265625,12229.1025390625,12012.3837890625,12198.142578125,4211274
2025-03-21,12074.3037109375,12260.0615234375,12074.3037109375,12198.142578125,2814783
2025-03-24,11981.423828125,12074.3037109375,11919.5048828125,12074.3037109375,2617269
2025-03-25,12043.34375,12167.1826171875,12043.34375,12043.34375,1953504
2025-03-26,12167.1826171875,12291.021484375,12074.3037109375,12074.3037109375,3742762
2025-03-27,12105.2626953125,12229.1025390625,12105.2626953125,12198.142578125,1719167
2025-03-28,11888.544921875,12167.1826171875,11888.544921875,12074.3037109375,3833525
2025-03-31,11733.74609375,11888.544921875,11702.7861328125,11857.5849609375,3132292
