Price,Close,High,Low,Open,Volume
Ticker,BTT.VN,BTT.VN,BTT.VN,BTT.VN,BTT.VN
Date,,,,,
2017-01-03,19838.728515625,19838.728515625,19838.728515625,19838.728515625,12
2017-01-04,21200.513671875,21200.513671875,18476.943155225443,18476.943155225443,984
2017-01-05,22593.24609375,22593.24609375,19745.878414844414,19745.878414844414,3657
2017-01-06,21231.4609375,24171.677651311875,21014.812957227707,21014.812957227707,170
2017-01-09,21231.4609375,21231.4609375,19745.87772486033,19745.87772486033,60
2017-01-10,21324.30859375,22717.04257544612,19745.87635612124,19745.87635612124,4374
2017-01-11,21726.654296875,22809.89270165583,21726.654296875,22809.89270165583,413
2017-01-12,20457.716796875,20457.716796875,20210.11913929976,20210.11913929976,255
2017-01-13,19095.93359375,19095.93359375,19095.93359375,19095.93359375,12
2017-01-16,19095.93359375,19095.93359375,19095.93359375,19095.93359375,0
2017-01-17,17765.099609375,17765.099609375,17765.099609375,17765.099609375,12
2017-01-18,19003.0859375,19003.0859375,19003.0859375,19003.0859375,1458
2017-01-19,20302.97265625,20302.97265625,20302.97265625,20302.97265625,12
2017-01-20,21695.703125,21695.703125,18910.235227305944,18910.235227305944,24
2017-01-23,22036.150390625,23212.23640447073,20179.170773195656,20179.170773195656,1761
2017-01-24,20519.619140625,20519.619140625,20519.619140625,20519.619140625,12
2017-01-25,19095.93359375,19095.93359375,19095.93359375,19095.93359375,12
2017-01-26,19095.93359375,19095.93359375,19095.93359375,19095.93359375,0
2017-02-03,19003.0859375,19003.0859375,19003.0859375,19003.0859375,12
2017-02-06,20302.97265625,20302.97265625,17765.10052338141,17765.10052338141,619
2017-02-07,18941.185546875,18941.185546875,18941.185546875,18941.185546875,12
2017-02-08,17641.298828125,17641.298828125,17641.298828125,17641.298828125,12
2017-02-09,16496.1640625,16496.1640625,16496.1640625,16496.1640625,12
2017-02-10,16496.1640625,16496.1640625,16496.1640625,16496.1640625,0
2017-02-13,15381.9775390625,15381.977539062498,15381.977539062498,15381.977539062498,12
2017-02-14,16434.263671875,16434.263671875,16434.263671875,16434.263671875,12
2017-02-15,17579.400390625,17579.400390625,17579.400390625,17579.400390625,12
2017-02-16,18786.4375,18786.4375,18786.4375,18786.4375,12
2017-02-17,20086.3203125,20086.3203125,20086.3203125,20086.3203125,12
2017-02-20,20086.3203125,20086.3203125,20086.3203125,20086.3203125,0
2017-02-21,21479.056640625,21479.056640625,21479.056640625,21479.056640625,12
2017-02-22,19993.474609375,22964.641132983663,19993.474609375,22964.641132983663,619
2017-02-23,21386.208984375,21386.208984375,21386.208984375,21386.208984375,133
2017-02-24,21386.208984375,21386.208984375,21386.208984375,21386.208984375,0
2017-02-27,22871.791015625,22871.791015625,19900.62481012615,19900.62481012615,4872
2017-02-28,23212.236328125,24450.22175640656,21293.358767398648,21293.358767398648,8602
2017-03-01,23212.236328125,23212.236328125,23212.236328125,23212.236328125,0
2017-03-02,21695.703125,21695.703125,21695.703125,21695.703125,12
2017-03-03,23212.236328125,23212.236328125,23212.236328125,23212.236328125,12
2017-03-06,23212.236328125,23212.236328125,23212.236328125,23212.236328125,0
2017-03-07,23212.236328125,23212.236328125,23212.236328125,23212.236328125,0
2017-03-08,21602.85546875,21602.85546875,21602.85546875,21602.85546875,12
2017-03-09,21602.85546875,21602.85546875,21602.85546875,21602.85546875,0
2017-03-10,21602.85546875,21602.85546875,21602.85546875,21602.85546875,0
2017-03-13,23088.44140625,23088.44140625,23088.44140625,23088.44140625,243
2017-03-14,23088.44140625,23088.44140625,21695.707196065025,21695.707196065025,24
2017-03-15,23088.44140625,23088.44140625,23088.44140625,23088.44140625,0
2017-03-16,23088.44140625,23088.44140625,23088.44140625,23088.44140625,0
2017-03-17,21695.703125,21695.703125,21695.703125,21695.703125,12
2017-03-20,21695.703125,21695.703125,21695.703125,21695.703125,0
2017-03-21,21695.703125,21695.703125,21695.703125,21695.703125,0
2017-03-22,23212.236328125,23212.236328125,20179.170706825767,23212.236328125,4155
2017-03-23,24759.720703125,24759.720703125,22345.646289403023,24140.726510427383,2393
2017-03-24,25997.70703125,25997.70703125,23583.63400466402,24759.721541723586,8055
2017-03-27,25997.70703125,26616.69830711379,24202.62674942723,24202.62674942723,13365
2017-03-28,26616.69921875,26616.69921875,24264.52700186654,26307.205039117176,9634
2017-03-29,26616.69921875,26616.69921875,26616.69921875,26616.69921875,24
2017-03-30,26616.69921875,26616.69921875,24759.722389757346,24759.722389757346,4920
2017-03-31,25378.712890625,26616.69838371422,24821.61809672537,26616.69838371422,34821
2017-04-03,24759.720703125,24759.720703125,24759.720703125,24759.720703125,1336
2017-04-04,25069.21484375,25069.21484375,25069.21484375,25069.21484375,473
2017-04-05,25069.21484375,25069.21484375,25069.21484375,25069.21484375,2818
2017-04-07,25069.21484375,25069.21484375,25069.21484375,25069.21484375,0
2017-04-10,23397.93359375,26802.39411203012,23397.93359375,26802.39411203012,4823
2017-04-11,24140.7265625,24140.7265625,24140.7265625,24140.7265625,121
2017-04-12,24450.22265625,24450.22265625,24450.22265625,24450.22265625,741
2017-04-13,25378.712890625,25378.712890625,25378.712890625,25378.712890625,12
2017-04-14,27142.845703125,27142.845703125,27142.845703125,27142.845703125,60
2017-04-17,27142.845703125,27142.845703125,27142.845703125,27142.845703125,0
2017-04-18,27142.845703125,27142.845703125,27142.845703125,27142.845703125,0
2017-04-19,27142.845703125,27142.845703125,27142.845703125,27142.845703125,0
2017-04-20,27142.845703125,27142.845703125,27142.845703125,27142.845703125,0
2017-04-21,27142.845703125,27142.845703125,27142.845703125,27142.845703125,0
2017-04-24,25254.912109375,25254.912109375,25254.912109375,25254.912109375,121
2017-04-25,23521.736328125,23521.736328125,23521.736328125,23521.736328125,12
2017-04-26,23521.736328125,23521.736328125,23521.736328125,23521.736328125,0
2017-04-27,23521.736328125,23521.736328125,23521.736328125,23521.736328125,0
2017-04-28,23521.736328125,23521.736328125,23521.736328125,23521.736328125,0
2017-05-03,23521.736328125,23521.736328125,23521.736328125,23521.736328125,0
2017-05-04,23521.736328125,23521.736328125,23521.736328125,23521.736328125,12
2017-05-05,25162.064453125,25162.064453125,25162.064453125,25162.064453125,12
2017-05-08,25162.064453125,25162.064453125,25162.064453125,25162.064453125,0
2017-05-09,25162.064453125,25162.064453125,25162.064453125,25162.064453125,0
2017-05-10,25378.712890625,25378.712890625,25378.712890625,25378.712890625,157
2017-05-11,25378.712890625,25378.712890625,25378.712890625,25378.712890625,0
2017-05-12,26616.69921875,26616.69921875,26616.69921875,26616.69921875,48
2017-05-15,26616.69921875,26616.69921875,26616.69921875,26616.69921875,0
2017-05-16,26616.69921875,26616.69921875,26616.69921875,26616.69921875,0
2017-05-17,26616.69921875,26616.69921875,26616.69921875,26616.69921875,0
2017-05-18,26616.69921875,26616.69921875,26616.69921875,26616.69921875,0
2017-05-19,25378.712890625,25378.712890625,25378.712890625,25378.712890625,607
2017-05-22,25378.712890625,25378.712890625,25378.712890625,25378.712890625,0
2017-05-23,25378.712890625,25378.712890625,25378.712890625,25378.712890625,0
2017-05-24,25378.712890625,25378.712890625,25378.712890625,25378.712890625,0
2017-05-25,25966.76171875,25966.76171875,25966.76171875,25966.76171875,72
2017-05-26,25378.712890625,25378.712890625,25378.712890625,25378.712890625,12
2017-05-29,24759.720703125,24759.720703125,24759.720703125,24759.720703125,364
2017-05-30,24759.720703125,24759.720703125,24759.720703125,24759.720703125,0
2017-05-31,23831.23046875,23831.23046875,23831.23046875,23831.23046875,1336
2017-06-01,23831.23046875,23831.23046875,23831.23046875,23831.23046875,0
2017-06-02,23831.23046875,23831.23046875,23831.23046875,23831.23046875,0
2017-06-05,23831.23046875,23831.23046875,23831.23046875,23831.23046875,0
2017-06-06,24697.822265625,24697.822265625,22283.74775594049,22283.74775594049,498
2017-06-07,24697.822265625,24697.822265625,24697.822265625,24697.822265625,0
2017-06-08,24759.720703125,24759.720703125,24759.720703125,24759.720703125,12
2017-06-09,25254.912109375,25254.912109375,23026.53751148897,23026.53751148897,24
2017-06-12,25254.912109375,25254.912109375,25254.912109375,25254.912109375,0
2017-06-13,24140.7265625,24140.7265625,24140.7265625,24140.7265625,230
2017-06-14,24697.822265625,24697.822265625,22469.446021131527,22469.446021131527,1154
2017-06-15,26214.35546875,26214.35546875,25812.009222767352,25812.009222767352,255
2017-06-16,28040.3828125,28040.3828125,28040.3828125,28040.3828125,12
2017-06-19,28380.830078125,29990.212163889693,26616.69943240226,29990.212163889693,1008
2017-06-20,26400.048828125,26400.048828125,26400.048828125,26400.048828125,36
2017-06-21,24574.021484375,24759.72121492217,24574.021484375,24759.72121492217,680
2017-06-22,24543.072265625,24543.072265625,22902.741994916945,24140.72749289645,267
2017-06-23,24388.326171875,24388.326171875,22933.69263847733,22933.69263847733,24
2017-06-26,23521.736328125,23521.736328125,22902.743537445305,22902.743537445305,729
2017-06-27,23521.736328125,23521.736328125,21943.303903997043,21943.303903997043,24
2017-06-28,23521.736328125,23521.736328125,22005.20332995497,22005.20332995497,24
2017-06-29,23521.736328125,23521.736328125,23521.736328125,23521.736328125,0
2017-06-30,24697.822265625,24697.822265625,24697.822265625,24697.822265625,12
2017-07-03,24697.822265625,24697.822265625,24697.822265625,24697.822265625,12
2017-07-04,24574.021484375,24574.021484375,22995.589198167738,22995.589198167738,24
2017-07-05,22933.689453125,22933.689453125,22933.689453125,22933.689453125,12
2017-07-06,22933.689453125,22933.689453125,22933.689453125,22933.689453125,0
2017-07-07,23521.736328125,23521.736328125,21479.058209312632,21479.058209312632,230
2017-07-10,24140.7265625,24140.7265625,22376.59604730521,22376.59604730521,72
2017-07-11,24140.7265625,24140.7265625,22531.34459581341,22531.34459581341,24
2017-07-12,24078.828125,24078.828125,22531.34551461237,22531.34551461237,60
2017-07-13,22995.58984375,24016.9288425866,22933.691890362403,22933.691890362403,48
2017-07-14,21819.505859375,23521.73719839918,21386.211330537728,21664.757288754696,97
2017-07-17,20705.314453125,23336.03534462737,20302.96969994664,20364.869118727827,121
2017-07-18,22129.001953125,22129.001953125,20643.41868329029,20643.41868329029,24
2017-07-19,20705.314453125,23676.482147923893,20705.314453125,23676.482147923893,36
2017-07-20,20643.416015625,21571.904337612268,20643.416015625,21571.904337612268,24
2017-07-21,19312.58203125,19312.58203125,19312.58203125,19312.58203125,12
2017-07-24,20643.416015625,20643.416015625,20643.416015625,20643.416015625,5844
2017-07-25,20643.416015625,20643.416015625,20643.416015625,20643.416015625,461
2017-07-26,22067.1015625,22067.1015625,22067.1015625,22067.1015625,12
2017-07-27,23521.736328125,23583.63575408292,21355.26082629631,23583.63575408292,3572
2017-07-28,25162.064453125,25162.064453125,24759.721158274147,24759.721158274147,1093
2017-07-31,25997.70703125,26802.39657121258,25193.014553488592,25193.014553488592,2490
2017-08-01,25688.212890625,25688.212890625,25688.212890625,25688.212890625,862
2017-08-02,25688.212890625,25688.212890625,25688.212890625,25688.212890625,1190
2017-08-03,25997.70703125,25997.70703125,23893.129642595915,23893.129642595915,24
2017-08-04,25997.70703125,25997.70703125,25997.70703125,25997.70703125,1227
2017-08-07,26616.69921875,27235.693453613505,25688.21080425367,27235.693453613505,972
2017-08-08,25688.212890625,25688.212890625,25688.212890625,25688.212890625,72
2017-08-09,25688.212890625,25688.212890625,25688.212890625,25688.212890625,0
2017-08-10,25812.009765625,25812.009765625,25812.009765625,25812.009765625,352
2017-08-11,25378.712890625,25812.00884143582,25378.712890625,25812.00884143582,255
2017-08-14,27138.06640625,27138.06640625,24070.284986413044,26744.76109601449,420
2017-08-15,29025.931640625,29025.931640625,28789.94845655488,28789.94845655488,110
2017-08-16,30599.15625,30599.15625,30599.15625,30599.15625,10
2017-08-17,28750.62109375,29891.206609097128,28475.30734866621,28475.30734866621,150
2017-08-18,29576.564453125,29576.564453125,26744.765728889623,26744.765728889623,20
2017-08-21,27688.69140625,29497.89567427201,27610.030351118607,27610.030351118607,1320
2017-08-22,29104.595703125,29104.595703125,25997.48345914274,25997.48345914274,490
2017-08-23,27531.373046875,28711.28903459821,27531.373046875,27570.70357979911,56000
2017-08-24,25682.837890625,25682.837890625,25682.837890625,25682.837890625,1000
2017-08-25,24424.26171875,24424.26171875,24424.26171875,24424.26171875,10
2017-08-28,24424.26171875,24424.26171875,24424.26171875,24424.26171875,0
2017-08-29,24424.26171875,24424.26171875,24424.26171875,24424.26171875,0
2017-08-30,22733.046875,23637.64908628893,22733.046875,23637.64908628893,20
2017-08-31,24306.26953125,24306.26953125,22851.039802032767,24306.26953125,1260
2017-09-01,25997.48046875,25997.48046875,24306.2676697239,25997.48046875,30
2017-09-04,25997.48046875,25997.48046875,25997.48046875,25997.48046875,0
2017-09-05,27806.685546875,27806.685546875,27531.37182858911,27531.37182858911,440
2017-09-06,25997.48046875,29104.59235533283,25879.48887812027,28317.98175113464,610
2017-09-07,24502.919921875,26744.760107343496,24502.919921875,26036.810575090287,70
2017-09-08,26194.134765625,26194.134765625,22890.37002041104,25958.151569538288,150
2017-09-11,28003.337890625,28003.337890625004,24463.590123551618,24463.590123551618,150
2017-09-12,29104.595703125,29891.206397804057,26154.80559807855,29891.206397804057,320
2017-09-13,29891.205078125,29891.205078125,27098.737235300167,27098.737235300167,730
2017-09-14,29104.595703125,29104.595703125,29104.595703125,29104.595703125,10
2017-09-15,27098.73828125,27138.068815765604,27098.73828125,27098.73828125,510
2017-09-18,27570.705078125,27570.705078125,27570.705078125,27570.705078125,100
2017-09-19,29497.900390625,29497.900390625,29104.59505208333,29104.59505208333,760
2017-09-20,27452.712890625,27452.712890625,27452.712890625,27452.712890625,10
2017-09-21,29340.580078125,29340.580078125,29340.580078125,29340.580078125,4650
2017-09-22,27924.67578125,29340.574834947183,27924.67578125,29340.574834947183,210
2017-09-25,29851.875,29851.875,27924.678853754944,27924.678853754944,26140
2017-09-26,31857.736328125,31936.3974054784,28003.34353780864,31936.3974054784,80
2017-09-27,30677.81640625,33037.6484375,29655.222526041667,33037.6484375,2310
2017-09-28,31700.41015625,32644.342964872827,29812.544539004342,31228.443751938583,1240
2017-09-29,31307.103515625,32958.98586192682,29497.89904110396,31857.730964392274,6770
2017-10-02,29143.923828125,29143.923828125,29143.923828125,29143.923828125,1210
2017-10-03,29615.892578125,29615.892578125,27256.06050018675,27256.06050018675,120
2017-10-04,27846.01953125,27846.01953125,27570.70577882239,27610.03631488348,190
2017-10-05,27728.025390625,29733.88254654255,25997.48196199025,25997.48196199025,490
2017-10-06,27728.025390625,27728.025390625,27728.025390625,27728.025390625,0
2017-10-09,28003.337890625,29615.889651180656,27964.007359879743,29615.889651180656,50
2017-10-10,29065.265625,29065.265625,26784.094574594048,28003.34117050068,570
2017-10-11,29458.564453125,29458.564453125,27059.402328104137,27059.402328104137,530
2017-10-12,29379.908203125,29379.908203125,27964.00901261295,27964.00901261295,30
2017-10-13,28082.001953125,29104.59586178221,27964.01034827993,27964.01034827993,890
2017-10-16,28082.001953125,28082.001953125,28082.001953125,28082.001953125,0
2017-10-17,29104.595703125,29222.58730732686,27964.01019584037,28317.985008445947,1820
2017-10-18,29104.595703125,29104.595703125,29104.595703125,29104.595703125,0
