Price,Close,High,Low,Open,Volume
Ticker,CLW.VN,CLW.VN,CLW.VN,CLW.VN,CLW.VN
Date,,,,,
2017-01-03,10868.1142578125,10868.1142578125,10868.1142578125,10868.1142578125,0
2017-01-04,10801.0244140625,10801.0244140625,10801.0244140625,10801.0244140625,10020
2017-01-05,10801.0244140625,10801.0244140625,10733.93730590062,10733.93730590062,1000
2017-01-06,10599.763671875,10868.11211926424,10599.763671875,10868.11211926424,10300
2017-01-09,10599.763671875,10599.763671875,10599.763671875,10599.763671875,10
2017-01-10,10599.763671875,10599.763671875,10599.763671875,10599.763671875,0
2017-01-11,10599.763671875,10599.763671875,10599.763671875,10599.763671875,0
2017-01-12,10599.763671875,10633.307227798654,10599.763671875,10633.307227798654,150
2017-01-13,10733.9375,10868.11171875,10733.9375,10868.11171875,510
2017-01-16,10868.1142578125,10868.1142578125,10868.1142578125,10868.1142578125,100
2017-01-17,10868.1142578125,10868.1142578125,10868.1142578125,10868.1142578125,0
2017-01-18,10801.0244140625,10801.0244140625,10801.0244140625,10801.0244140625,30
2017-01-19,10801.0244140625,10801.0244140625,10801.0244140625,10801.0244140625,0
2017-01-20,10801.0244140625,10801.0244140625,10801.0244140625,10801.0244140625,50
2017-01-23,10599.763671875,10801.025007416927,10599.763671875,10801.025007416927,60
2017-01-24,10733.9375,10733.9375,10733.9375,10733.9375,40
2017-01-25,10733.9375,10733.9375,10733.9375,10733.9375,0
2017-01-26,10733.9375,10733.9375,10733.9375,10733.9375,0
2017-02-03,10801.0244140625,10801.0244140625,10801.0244140625,10801.0244140625,110
2017-02-06,10801.0244140625,10801.0244140625,10733.93730590062,10733.93730590062,60
2017-02-07,11538.982421875,11538.982421875,10801.02424373183,10801.02424373183,800
2017-02-08,11069.375,12075.681818181818,10733.939393939394,10801.026515151516,91840
2017-02-09,11069.375,11069.375,11069.375,11069.375,0
2017-02-10,11337.7216796875,11337.7216796875,11337.7216796875,11337.7216796875,260
2017-02-13,11740.2451171875,11740.2451171875,11471.896657366073,11471.896657366073,2850
2017-02-14,12276.9404296875,12276.9404296875,11941.504898821722,11941.504898821722,7260
2017-02-15,13081.986328125,13081.986328125,12075.6796875,12075.6796875,5030
2017-02-16,13081.986328125,13081.986328125,13081.986328125,13081.986328125,0
2017-02-17,12176.310546875,12176.310546875,12176.310546875,12176.310546875,10
2017-02-20,11404.8095703125,11471.896685431986,11404.8095703125,11404.8095703125,38420
2017-02-21,11404.8095703125,11740.245145909928,11404.8095703125,11740.245145909928,13780
2017-02-22,11941.505859375,11941.505859375,11941.505859375,11941.505859375,10
2017-02-23,12075.6796875,12075.6796875,11471.895703125,11941.50546875,8110
2017-02-24,12075.6796875,12075.6796875,12075.6796875,12075.6796875,0
2017-02-27,12276.9404296875,12276.9404296875,12276.9404296875,12276.9404296875,10
2017-02-28,11740.2451171875,12679.4647265625,11740.2451171875,11740.2451171875,1140
2017-03-01,12075.6796875,12075.6796875,11907.9619140625,11907.9619140625,16000
2017-03-02,11471.896484375,11471.896484375,11438.352927403144,11438.352927403144,320
2017-03-03,12075.6796875,12075.6796875,12042.1361328125,12042.1361328125,3660
2017-03-06,12746.55078125,12746.55078125,12075.6796875,12075.6796875,750
2017-03-07,12746.55078125,12746.55078125,12511.7458984375,12511.7458984375,2000
2017-03-08,12947.8125,12947.8125,11975.049384715025,11975.049384715025,60
2017-03-09,12880.7275390625,12947.814661661783,12880.7275390625,12947.814661661783,20
2017-03-10,12075.6796875,12880.725,12075.6796875,12880.725,20
2017-03-13,12377.572265625,12377.572265625,12377.572265625,12377.572265625,30
2017-03-14,12411.1162109375,12411.1162109375,11606.070835092904,11606.070835092904,300
2017-03-15,12075.6796875,12075.6796875,12075.6796875,12075.6796875,3000
2017-03-16,12075.6796875,12142.766796875,12075.6796875,12075.6796875,4960
2017-03-17,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,500
2017-03-20,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,20
2017-03-21,13081.986328125,13081.986328125,11572.5263671875,11572.5263671875,710
2017-03-22,12746.55078125,13417.421875,12746.55078125,13417.421875,8020
2017-03-23,13417.421875,13417.421875,13417.421875,13417.421875,60
2017-03-24,12746.55078125,12746.55078125,12478.20234375,12478.20234375,1970
2017-03-27,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,30
2017-03-28,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,10
2017-03-29,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-03-30,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-03-31,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-04-03,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-04-04,12411.1162109375,12478.203325591216,12411.1162109375,12478.203325591216,2100
2017-04-05,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-04-07,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-04-10,12746.55078125,12746.55078125,12411.115234375,12411.115234375,9030
2017-04-11,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,5500
2017-04-12,12411.1162109375,13081.987357474662,12411.1162109375,13081.987357474662,260
2017-04-13,12545.2900390625,12545.2900390625,12545.2900390625,12545.2900390625,400
2017-04-14,12545.2900390625,12545.2900390625,12545.2900390625,12545.2900390625,5000
2017-04-17,12545.2900390625,12545.2900390625,12545.2900390625,12545.2900390625,0
2017-04-18,12075.6796875,12075.6796875,12075.6796875,12075.6796875,20
2017-04-19,12075.6796875,12075.6796875,12075.6796875,12075.6796875,0
2017-04-20,12075.6796875,12075.6796875,12075.6796875,12075.6796875,0
2017-04-21,12075.6796875,12075.6796875,12075.6796875,12075.6796875,0
2017-04-24,12075.6796875,12075.6796875,12075.6796875,12075.6796875,0
2017-04-25,11740.2451171875,11740.2451171875,11740.2451171875,11740.2451171875,5000
2017-04-26,11471.896484375,11471.896484375,11471.896484375,11471.896484375,70
2017-04-27,11471.896484375,11471.896484375,11471.896484375,11471.896484375,0
2017-04-28,11471.896484375,11471.896484375,11471.896484375,11471.896484375,0
2017-05-03,12243.3994140625,12243.3994140625,12243.3994140625,12243.3994140625,60
2017-05-04,11740.2451171875,11740.2451171875,11740.2451171875,11740.2451171875,3000
2017-05-05,11404.8095703125,12243.398509306067,11404.8095703125,12243.398509306067,2130
2017-05-08,11740.2451171875,11740.2451171875,11404.809542410714,11404.809542410714,3000
2017-05-09,12075.6796875,12075.6796875,12075.6796875,12075.6796875,60
2017-05-10,11740.2451171875,11740.2451171875,11740.2451171875,11740.2451171875,3000
2017-05-11,11740.2451171875,11740.2451171875,11740.2451171875,11740.2451171875,0
2017-05-12,12411.1162109375,12411.1162109375,11438.353048458615,11438.353048458615,400
2017-05-15,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,3980
2017-05-16,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,10
2017-05-17,13249.7041015625,13249.7041015625,12411.115234375,12411.115234375,20
2017-05-18,14121.8359375,14121.8359375,13249.703551811164,13249.703551811164,20
2017-05-19,14725.62109375,14725.621093750002,14088.29352932802,14088.29352932802,20
2017-05-22,14725.62109375,14725.621093750002,13752.857969105924,13752.857969105924,110
2017-05-23,13719.3154296875,13719.3154296875,13719.3154296875,13719.3154296875,250
2017-05-24,13417.421875,13417.421875,13417.421875,13417.421875,10
2017-05-25,13417.421875,13417.421875,13417.421875,13417.421875,0
2017-05-26,12478.201171875,12478.201171875,12478.201171875,12478.201171875,30
2017-05-29,13216.1611328125,13216.161132812498,11606.07043642925,11606.07043642925,230
2017-05-30,13216.1611328125,13216.161132812498,13216.161132812498,13216.161132812498,0
2017-05-31,13752.85546875,13752.85546875,13752.85546875,13752.85546875,10
2017-06-01,13752.85546875,13752.85546875,13752.85546875,13752.85546875,0
2017-06-02,12813.6396484375,12813.6396484375,12813.6396484375,12813.6396484375,10
2017-06-05,12813.6396484375,12813.6396484375,12813.6396484375,12813.6396484375,0
2017-06-06,12411.1162109375,12411.1162109375,11941.506408361489,11941.506408361489,2180
2017-06-07,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,0
2017-06-08,12411.1162109375,12411.1162109375,12411.1162109375,12411.1162109375,5000
2017-06-09,13249.7041015625,13249.7041015625,13249.7041015625,13249.7041015625,20
2017-06-12,13249.7041015625,13249.7041015625,13249.7041015625,13249.7041015625,0
2017-06-13,14088.2939453125,14088.2939453125,14088.2939453125,14088.2939453125,10
2017-06-14,14088.2939453125,14088.2939453125,14088.2939453125,14088.2939453125,0
2017-06-15,14088.2939453125,14088.2939453125,14088.2939453125,14088.2939453125,0
2017-06-16,13417.421875,13417.421875,13417.421875,13417.421875,3350
2017-06-19,14088.2939453125,14088.2939453125,12478.203208705358,12478.203208705358,30
2017-06-20,13115.5283203125,13115.5283203125,13115.5283203125,13115.5283203125,50
2017-06-21,13954.1162109375,13954.116210937498,12243.395233154297,12243.395233154297,60
2017-06-22,13014.8984375,14490.81475515464,12981.35488482603,12981.35488482603,30
2017-06-23,13536.8857421875,13536.8857421875,13536.8857421875,13536.8857421875,20
2017-06-26,13536.8857421875,13536.8857421875,13536.8857421875,13536.8857421875,0
2017-06-27,13223.6943359375,13223.6943359375,13223.6943359375,13223.6943359375,480
2017-06-28,14093.6748046875,14093.674804687502,14093.674804687502,14093.674804687502,10
2017-06-29,14058.8759765625,14058.875976562498,14058.875976562498,14058.875976562498,10
2017-06-30,13223.6943359375,13223.6943359375,13223.6943359375,13223.6943359375,2000
2017-07-03,13989.2763671875,14093.673952017258,13989.2763671875,14093.673952017258,20
2017-07-04,13571.6875,13571.687500000002,13571.687500000002,13571.687500000002,10
2017-07-05,13571.6875,13571.687500000002,13571.687500000002,13571.687500000002,1000
2017-07-06,13432.4892578125,13571.686037686206,13432.4892578125,13571.686037686206,5010
2017-07-07,13919.6787109375,13919.6787109375,13571.686743164062,13571.686743164062,1100
2017-07-10,14685.2578125,14685.2578125,13919.675651658768,13919.675651658768,110
2017-07-11,14859.2578125,14859.2578125,14859.2578125,14859.2578125,20
2017-07-12,13850.0791015625,13850.0791015625,13850.0791015625,13850.0791015625,20
2017-07-13,14615.662109375,14615.662109375,12945.300725446428,12945.300725446428,7500
2017-07-14,15102.8505859375,15207.24817063292,15102.8505859375,15207.24817063292,20
2017-07-17,15659.638671875,15659.638671875002,14058.875607638887,14058.875607638887,110
2017-07-18,14580.865234375,14580.865234375,14580.865234375,14580.865234375,10
2017-07-19,13571.6875,14580.864262820514,13571.687500000002,14580.864262820514,50
