Price,Close,High,Low,Open,Volume
Ticker,CNG.VN,CNG.VN,CNG.VN,CNG.VN,CNG.VN
Date,,,,,
2023-07-17,27435.42578125,28454.985523120777,27064.67678420608,28269.611024598817,351400
2023-07-19,27435.42578125,28269.611024598817,27342.73853198902,28269.611024598817,135800
2023-07-20,26879.302734375,27342.73898841595,26601.240981950432,27342.73898841595,207000
2023-07-21,26693.927734375,27203.7076043023,26647.584109836152,26832.95860799153,102700
2023-07-24,25952.4296875,26693.92767857143,25952.4296875,26693.92767857143,211700
2023-07-26,25488.994140625,25813.39952059659,25349.963263494315,25767.05589488636,109500
2023-07-28,26276.8359375,26879.303075396827,26184.14868551588,26786.6158234127,147700
2023-08-03,25720.7109375,26184.147170608107,25720.7109375,26137.8035472973,101900
2023-08-04,25952.4296875,25952.4296875,25535.337067522323,25535.337067522323,89000
2023-08-07,25859.7421875,26323.17842741936,25813.398563508064,26137.803931451614,80600
2023-08-08,27620.80078125,27667.14440672189,25952.430264261744,25952.430264261744,309600
2023-08-09,27064.67578125,27620.799256207192,26971.9885354238,27620.799256207192,111600
2023-08-10,27203.70703125,27759.83051400128,26925.64528987436,27759.83051400128,123400
2023-08-11,26786.615234375,26971.98973426687,26369.522609618296,26925.646109293903,93100
2023-08-14,26369.521484375,26786.61409133348,25210.930909490333,26786.61409133348,107800
2023-08-15,26462.2109375,26462.2109375,25952.431042031523,26369.523683778458,96900
2023-08-16,26184.1484375,26601.24106747788,26184.1484375,26415.866565265485,74900
2023-08-17,25998.7734375,26230.49156082888,25952.429812834223,26184.147936163103,73000
2023-08-18,24793.837890625,25998.77206848715,24237.71442391939,25998.77206848715,253500
2023-08-21,24932.869140625,24932.869140625,24515.77653418332,24747.49464887314,84100
2023-08-22,24979.212890625,25396.30549918831,24469.433035714286,25118.243760146102,54000
2023-08-23,25303.619140625,25396.30639022436,25025.55739182693,25025.55739182693,29200
2023-08-24,25720.7109375,25720.7109375,25303.6183277027,25396.305574324324,29800
