Price,Close,High,Low,Open,Volume
Ticker,CRV.VN,CRV.VN,CRV.VN,CRV.VN,CRV.VN
Date,,,,,
2025-10-10,31200.0,31200.0,31200.0,31200.0,92800
2025-10-13,33350.0,33350.0,33350.0,33350.0,39620
2025-10-14,35650.0,35650.0,35650.0,35650.0,77900
2025-10-15,38100.0,38100.0,38100.0,38100.0,12520
2025-10-16,40700.0,40750.0,40700.0,40750.0,115600
2025-10-17,40900.0,41000.0,38600.0,39000.0,73552
2025-10-20,38050.0,41000.0,38050.0,41000.0,12070
2025-10-21,35400.0,35650.0,35400.0,35400.0,12312
2025-10-22,33700.0,35350.0,33000.0,33000.0,62823
2025-10-23,35300.0,35300.0,31800.0,32250.0,33157
2025-10-24,35500.0,37000.0,35300.0,35300.0,22111
2025-10-27,33350.0,36950.0,33100.0,36950.0,9510
2025-10-28,34650.0,35000.0,31100.0,31100.0,5305
2025-10-29,35700.0,35700.0,34750.0,34750.0,4614
2025-10-30,35000.0,35400.0,33350.0,35400.0,6500
2025-10-31,32550.0,35500.0,32550.0,35500.0,5139
2025-11-03,33450.0,33550.0,30750.0,33550.0,911
2025-11-04,33200.0,33450.0,31300.0,33450.0,11900
2025-11-05,33300.0,33300.0,31450.0,33300.0,3711
2025-11-06,33500.0,33500.0,32000.0,32000.0,2700
2025-11-07,32950.0,32950.0,31700.0,31800.0,400
2025-11-10,32750.0,32800.0,31000.0,31200.0,1201
2025-11-11,32750.0,32800.0,30500.0,30800.0,46301
2025-11-12,32800.0,32800.0,30900.0,31000.0,1304
2025-11-13,32500.0,32600.0,31000.0,31000.0,721
2025-11-14,32500.0,32500.0,30850.0,30850.0,4091
2025-11-17,32000.0,32000.0,31200.0,31200.0,5600
2025-11-18,31800.0,32400.0,30500.0,32400.0,7755
2025-11-19,31750.0,31750.0,30000.0,30900.0,5903
2025-11-20,31000.0,31700.0,29600.0,31700.0,8230
2025-11-21,30700.0,30900.0,30700.0,30900.0,712
2025-11-24,30700.0,30900.0,29500.0,29600.0,1830
2025-11-25,30650.0,30750.0,30650.0,30700.0,4207
2025-11-26,30750.0,31800.0,29150.0,31800.0,1601
2025-11-27,30600.0,30600.0,30500.0,30500.0,300
2025-11-28,30000.0,30400.0,29000.0,29000.0,2800
2025-12-01,30150.0,30550.0,29000.0,29000.0,11800
2025-12-02,30400.0,30400.0,28250.0,28250.0,200
2025-12-03,30300.0,30400.0,28500.0,30400.0,6222
2025-12-04,30300.0,30300.0,30300.0,30300.0,1902
2025-12-05,30300.0,32150.0,29050.0,32150.0,2477
2025-12-09,30300.0,30300.0,30300.0,30300.0,100
2025-12-12,29000.0,30300.0,28200.0,28300.0,1705
2025-12-15,29950.0,30900.0,27300.0,30900.0,1423
2025-12-16,29950.0,29950.0,28500.0,28500.0,2101
2025-12-17,30000.0,30000.0,28150.0,28150.0,4304
2025-12-18,29000.0,29000.0,29000.0,29000.0,120
2025-12-19,29850.0,29850.0,28100.0,28100.0,200
2025-12-22,29850.0,29850.0,29850.0,29850.0,501
2025-12-23,29850.0,29850.0,28500.0,29850.0,1002
2025-12-25,29700.0,29700.0,29700.0,29700.0,600
2025-12-26,29500.0,29500.0,27850.0,28600.0,3201
2025-12-29,28900.0,28900.0,27550.0,28050.0,5250
2025-12-30,29300.0,29300.0,29300.0,29300.0,173
2025-12-31,29500.0,29500.0,28000.0,28000.0,4200
2026-01-05,30000.0,30000.0,28050.0,28050.0,215
2026-01-06,30000.0,30000.0,28100.0,28400.0,3429
2026-01-07,29950.0,29950.0,29950.0,29950.0,401
2026-01-08,29750.0,29800.0,28300.0,28300.0,1052
2026-01-09,28100.0,28400.0,28100.0,28200.0,2300
2026-01-12,28000.0,28000.0,28000.0,28000.0,1301
2026-01-13,28300.0,28400.0,27000.0,28000.0,4236
2026-01-14,27950.0,27950.0,26350.0,27500.0,6505
2026-01-15,27700.0,27900.0,27700.0,27900.0,221
2026-01-16,27700.0,28000.0,26100.0,27700.0,9429
2026-01-19,27700.0,27700.0,27700.0,27700.0,610
2026-01-20,28300.0,28500.0,26300.0,26300.0,900
2026-01-22,28350.0,28500.0,27000.0,27000.0,2126
2026-01-26,27950.0,27950.0,27950.0,27950.0,102
2026-01-27,26500.0,28100.0,26500.0,28100.0,211
2026-01-28,26900.0,26900.0,26900.0,26900.0,100
2026-01-29,27400.0,27400.0,27400.0,27400.0,100
2026-01-30,27150.0,27200.0,25700.0,26000.0,1300
2026-02-02,27500.0,27500.0,27500.0,27500.0,102
2026-02-03,27300.0,27300.0,27300.0,27300.0,205
2026-02-04,27000.0,27100.0,25550.0,25600.0,600
2026-02-05,28000.0,28000.0,28000.0,28000.0,162
2026-02-06,27200.0,27200.0,26100.0,26100.0,601
2026-02-10,27100.0,27100.0,25500.0,25500.0,225
2026-02-11,28950.0,28950.0,27000.0,27000.0,2920
