Price,Close,High,Low,Open,Volume
Ticker,CSM.VN,CSM.VN,CSM.VN,CSM.VN,CSM.VN
Date,,,,,
2023-07-17,13122.3740234375,13122.3740234375,13075.675183496442,13075.675183496442,14800
2023-07-19,12935.578125,13122.37347698556,12935.578125,13122.37347698556,6400
2023-07-20,12935.578125,12935.578125,12935.578125,12935.578125,5300
2023-07-21,13075.6748046875,13169.07248186384,13075.6748046875,13075.6748046875,11600
2023-07-24,13122.3740234375,13169.072863378558,13075.675183496442,13075.675183496442,5500
2023-07-26,13028.9755859375,13169.072097614247,13028.9755859375,13169.072097614247,7500
2023-07-28,13075.6748046875,13075.6748046875,13028.975966099331,13028.975966099331,18800
2023-08-03,13169.072265625,13262.46994126773,13028.975752160904,13028.975752160904,9100
2023-08-04,13262.470703125,13355.868384132924,13075.675341109156,13122.374181613117,42700
2023-08-07,13355.8681640625,13449.265843531468,13262.470484593532,13355.8681640625,4700
2023-08-08,13449.265625,13542.663302951389,13075.674913194443,13122.37375217014,88100
2023-08-09,13542.6640625,13542.6640625,13075.675646551725,13075.675646551725,448800
2023-08-10,13495.9638671875,13636.06037791955,13355.86735645545,13542.662704098182,258200
2023-08-11,13262.470703125,13542.663746148768,13075.675341109156,13542.663746148768,51300
2023-08-14,13075.6748046875,13075.6748046875,12982.27712751116,13075.6748046875,89300
2023-08-15,13028.9755859375,13028.9755859375,12795.481399809589,13028.9755859375,84700
2023-08-16,13075.6748046875,13075.6748046875,12795.481773158484,12982.27712751116,62900
2023-08-17,12795.4814453125,12982.276794879106,12748.782607920848,12982.276794879106,88100
2023-08-18,12748.783203125,12748.783203125,12421.891326121797,12748.783203125,55200
2023-08-21,12608.6865234375,12888.879557291666,12515.288845486111,12655.385362413195,6700
2023-08-22,12795.4814453125,12795.4814453125,12421.890746179288,12515.288420962592,8600
2023-08-23,12515.2890625,12655.385581856342,12515.2890625,12608.686742070897,17300
2023-08-24,12655.3857421875,12655.3857421875,12468.590380679198,12561.988061433349,4100
2023-08-25,12748.783203125,12748.783203125,12515.289005265568,12608.68668440934,3300
2023-08-28,12468.5888671875,12748.781875438905,12468.5888671875,12655.38420602177,19400
