Price,Close,High,Low,Open,Volume
Ticker,CYC,CYC,CYC,CYC,CYC
Date,,,,,
2017-01-03,3680.0,3680.0,3680.0,3680.0,10
2017-01-04,3680.0,3680.0,3680.0,3680.0,0
2017-01-05,3680.0,3680.0,3680.0,3680.0,0
2017-01-06,3680.0,3680.0,3680.0,3680.0,0
2017-01-09,3660.0,3660.0,3660.0,3660.0,50
2017-01-10,3660.0,3660.0,3660.0,3660.0,0
2017-01-11,3660.0,3660.0,3660.0,3660.0,0
2017-01-12,3660.0,3660.0,3660.0,3660.0,0
2017-01-13,3660.0,3660.0,3660.0,3660.0,0
2017-01-17,3410.0,3410.0,3410.0,3410.0,0
2017-01-18,3410.0,3410.0,3410.0,3410.0,0
2017-01-19,3410.0,3410.0,3410.0,3410.0,0
2017-01-20,3410.0,3410.0,3410.0,3410.0,0
2017-01-23,3410.0,3410.0,3410.0,3410.0,0
2017-01-24,3410.0,3410.0,3410.0,3410.0,0
2017-01-25,3410.0,3410.0,3410.0,3410.0,0
2017-01-26,3410.0,3410.0,3410.0,3410.0,0
2017-01-27,3410.0,3410.0,3410.0,3410.0,0
2017-01-30,3410.0,3410.0,3410.0,3410.0,0
2017-01-31,3410.0,3410.0,3410.0,3410.0,0
2017-02-01,3410.0,3410.0,3410.0,3410.0,0
2017-02-02,3410.0,3410.0,3410.0,3410.0,0
2017-02-03,3180.0,3180.0,3180.0,3180.0,500
2017-02-06,3180.0,3180.0,3180.0,3180.0,3530
2017-02-07,2960.0,2960.0,2960.0,2960.0,120
2017-02-08,2960.0,2960.0,2960.0,2960.0,0
2017-02-09,2770.0,2900.0,2770.0,2900.0,250
2017-02-10,2770.0,2770.0,2770.0,2770.0,10
2017-02-13,2600.0,2800.0,2600.0,2800.0,510
2017-02-14,2600.0,2600.0,2600.0,2600.0,4500
2017-02-15,2770.0,2770.0,2500.0,2500.0,1110
2017-02-16,2950.0,2950.0,2950.0,2950.0,10
2017-02-17,3140.0,3140.0,2770.0,2770.0,100
2017-02-21,3350.0,3350.0,2930.0,2930.0,2180
2017-02-22,3570.0,3570.0,3120.0,3120.0,520
2017-02-23,3550.0,3560.0,3550.0,3560.0,350
2017-02-24,3760.0,3760.0,3310.0,3310.0,210
2017-02-27,3600.0,3600.0,3500.0,3500.0,1310
2017-02-28,3600.0,3600.0,3400.0,3400.0,1340
2017-03-01,3800.0,3800.0,3800.0,3800.0,10
2017-03-02,4060.0,4060.0,3700.0,3700.0,13430
2017-03-03,4070.0,4070.0,3800.0,3800.0,1120
2017-03-06,4200.0,4200.0,3800.0,3800.0,1430
2017-03-07,4490.0,4490.0,4260.0,4260.0,4400
2017-03-08,4550.0,4550.0,4390.0,4390.0,1750
2017-03-09,4860.0,4860.0,4240.0,4300.0,13230
2017-03-10,4520.0,5000.0,4520.0,5000.0,7640
2017-03-13,4210.0,4230.0,4210.0,4230.0,5600
2017-03-14,4500.0,4500.0,4210.0,4210.0,200
2017-03-15,4190.0,4190.0,4190.0,4190.0,710
2017-03-16,4230.0,4230.0,3900.0,3900.0,120
2017-03-17,3940.0,3940.0,3940.0,3940.0,2200
2017-03-20,3940.0,3940.0,3940.0,3940.0,110
2017-03-21,4100.0,4100.0,3670.0,3900.0,460
2017-03-22,4200.0,4200.0,4200.0,4200.0,10
2017-03-23,4200.0,4200.0,3910.0,4200.0,320
2017-03-24,3910.0,4190.0,3910.0,4190.0,110
2017-03-27,3910.0,3910.0,3910.0,3910.0,0
2017-03-28,3640.0,3640.0,3640.0,3640.0,50
2017-03-29,3880.0,3880.0,3880.0,3880.0,1010
2017-03-30,4060.0,4060.0,4060.0,4060.0,10
2017-03-31,4060.0,4060.0,4060.0,4060.0,0
2017-04-03,4060.0,4060.0,4060.0,4060.0,0
2017-04-04,3780.0,3780.0,3780.0,3780.0,20
2017-04-05,3520.0,3520.0,3520.0,3520.0,110
2017-04-06,3520.0,3520.0,3520.0,3520.0,0
2017-04-07,3280.0,3280.0,3280.0,3280.0,1750
2017-04-10,3060.0,3060.0,3060.0,3060.0,1420
2017-04-11,2850.0,2850.0,2850.0,2850.0,1500
