Price,Close,High,Low,Open,Volume
Ticker,DHG.VN,DHG.VN,DHG.VN,DHG.VN,DHG.VN
Date,,,,,
2023-07-17,102937.2421875,105287.7776390256,102937.2421875,105287.7776390256,70800
2023-07-19,112501.5078125,112501.5078125,105206.7414557817,105206.7414557817,219200
2023-07-20,113149.921875,113474.13368553008,111042.54510655443,111853.07463287964,56900
2023-07-21,105287.7890625,106989.90112586606,105287.7890625,105368.8420178984,242900
2023-07-24,101073.0234375,103747.77064955894,99289.85862946072,100586.7057625802,272400
2023-07-26,101316.1796875,101397.23263125,100505.65025,100829.862025,52600
2023-07-28,94831.953125,97182.48871527778,93616.15885416669,97182.48871527778,131800
2023-08-03,97506.703125,98479.33856764338,97020.3854036783,97020.3854036783,42400
2023-08-04,97020.3828125,98074.07118055556,96777.22395833334,98074.07118055556,19300
2023-08-07,96371.9609375,97101.4375131413,95642.4843618587,97101.4375131413,35300
2023-08-08,95561.4296875,96371.95920138888,94669.84722222223,96371.95920138888,72000
2023-08-09,94913.0,97182.4824935952,94913.0,95561.42356959864,28500
2023-08-10,94021.4140625,95642.47292564657,94021.4140625,94912.9964372306,40100
2023-08-11,94021.4140625,94426.67877828664,93210.88463092672,94021.4140625,24700
2023-08-14,94021.4140625,94831.94349407328,93372.99051724136,94831.94349407328,23300
2023-08-15,97182.4921875,97182.4921875,94021.426970392,94021.426970392,54000
2023-08-16,95075.1015625,96858.26629768756,94994.04861999147,96858.26629768756,16200
2023-08-17,93210.8828125,95075.10046875,93210.8828125,95075.10046875,102100
2023-08-18,93210.8828125,95642.4710597826,92400.35339673913,93291.93575407608,80600
2023-08-21,93210.8828125,93859.3063451087,92562.4592798913,93210.8828125,16800
2023-08-22,92400.3671875,93210.89672423244,91589.83765076754,93210.89672423244,55300
2023-08-23,92238.2578125,92400.3637137522,91914.0460099956,91995.0989606217,21000
2023-08-24,92319.3046875,92400.35763279191,91670.88112516464,92238.25174220809,30800
2023-08-25,93778.2578125,94021.41664866032,92157.19890476447,92400.3577409248,26900
2023-08-28,94264.578125,94426.68402031386,93778.26043905847,93859.3133867154,24900
2023-08-29,93373.0,94831.953125,93373.0,94264.58246527778,27200
2023-08-30,94345.6328125,94345.6328125,93210.89152437716,93372.99742268042,27500
2023-08-31,95642.4765625,95966.68834745762,94426.68236890888,94426.68236890888,30900
2023-09-05,95561.4296875,96047.74739583334,94831.953125,94831.953125,18000
2023-09-06,98884.59375,99695.1232069672,95075.1053022541,95804.5818135246,74600
2023-09-07,100100.390625,101154.07894736844,98560.38461538462,98560.38461538462,123900
2023-09-08,98722.4921875,100100.39232476396,97506.69794873768,100100.39232476396,62400
2023-09-11,97020.3828125,99614.07725694444,93210.89409722223,99533.02430555556,22600
2023-09-12,99938.2890625,99938.2890625,97101.43576388888,97182.48871527778,68000
2023-09-13,97668.796875,99938.27929201243,97506.69098807054,99938.27929201243,19900
2023-09-14,96047.75,98722.49746835444,95642.48523206753,98722.49746835444,18300
2023-09-15,95642.4765625,97182.48254104872,95561.4236162606,97182.48254104872,21600
2023-09-18,95966.6875,97182.48168285472,95723.52866342904,97182.48168285472,20200
2023-09-19,96290.8984375,96453.00432712544,95237.21015493476,96453.00432712544,7600
2023-09-20,96128.796875,96453.00866884486,95642.47918423272,96453.00866884486,15700
2023-09-21,96209.84375,97263.53201347936,95642.47314658805,97263.53201347936,21300
2023-09-22,95561.4296875,97101.43576388888,94831.953125,97101.43576388888,36500
2023-09-25,94021.4140625,97182.47884563578,94021.4140625,95642.47292564657,26705
2023-09-26,94183.5234375,95642.47646837348,93210.88808358432,94264.57638365965,19500
2023-09-27,94994.0625,94994.0625,93616.16227602388,93616.16227602388,50500
2023-09-28,94345.6328125,94831.9505074098,94021.42101589347,94831.9505074098,15200
2023-09-29,94831.953125,96371.95920138888,94264.58246527778,96371.95920138888,14500
2023-10-02,96209.84375,96371.94963668913,95642.47314658805,96047.73786331086,15200
2023-10-03,94588.7890625,96777.21862949872,94102.47138094471,95237.21263790704,12400
2023-10-04,94507.734375,94588.7873204331,93210.88724807031,93291.94019350344,8200
2023-10-05,94588.7890625,95561.42442561054,93291.94191168596,94994.0537971294,12300
2023-10-06,95237.21875,95237.21875,93616.1597074468,94345.63627659576,9100
2023-10-09,99046.703125,99289.8619706424,95318.2674918167,95318.2674918167,190100
2023-10-10,98641.4375,100181.44350862777,98155.11981306491,100181.44350862777,10800
2023-10-11,98317.2265625,99451.96784186934,96453.00874639324,99451.96784186934,58900
2023-10-12,97830.90625,98074.0650890638,96858.27089374482,97911.9591963546,43900
2023-10-13,97263.53125,97749.84890625,96453.00182291666,97749.84890625,12200
2023-10-16,97020.3828125,98074.07118055556,96453.01215277778,97993.01822916669,30600
2023-10-17,96128.796875,98398.279431914,96128.796875,98398.279431914,14000
2023-10-18,93535.1015625,97425.6430486352,92400.36029571058,97425.6430486352,59800
2023-10-19,93210.8828125,93940.35928668478,93210.8828125,93535.09457880436,64000
2023-10-20,93940.3671875,93940.3671875,92400.3611680328,93210.8906519629,33200
2023-10-23,89158.2421875,92238.25419034091,89158.2421875,90941.40703125,52700
