Price,Close,High,Low,Open,Volume
Ticker,DLG.VN,DLG.VN,DLG.VN,DLG.VN,DLG.VN
Date,,,,,
2023-07-17,3120.0,3200.0,3110.0,3150.0,3896200
2023-07-19,3020.0,3150.0,3020.0,3150.0,2226000
2023-07-20,3040.0,3070.0,3000.0,3010.0,2000500
2023-07-21,3050.0,3080.0,3040.0,3080.0,2520600
2023-07-24,3170.0,3190.0,3050.0,3050.0,4988600
2023-07-26,3080.0,3130.0,3060.0,3100.0,2059200
2023-07-28,3190.0,3190.0,3090.0,3090.0,6172400
2023-07-31,3400.0,3410.0,3310.0,3360.0,10428200
2023-08-03,3260.0,3350.0,3240.0,3290.0,3151200
2023-08-04,3380.0,3380.0,3240.0,3270.0,5677100
2023-08-07,3500.0,3500.0,3320.0,3450.0,8558800
2023-08-08,3420.0,3540.0,3420.0,3500.0,6050700
2023-08-09,3400.0,3480.0,3360.0,3420.0,4847100
2023-08-10,3380.0,3460.0,3380.0,3410.0,4602100
2023-08-11,3300.0,3420.0,3200.0,3380.0,4590000
2023-08-14,3370.0,3450.0,3300.0,3300.0,3901300
2023-08-15,3420.0,3530.0,3380.0,3390.0,6093800
2023-08-16,3380.0,3490.0,3370.0,3490.0,2251000
2023-08-17,3200.0,3380.0,3200.0,3380.0,5822100
2023-08-18,2980.0,3180.0,2980.0,3170.0,9041200
2023-08-21,3040.0,3070.0,2820.0,2830.0,4123000
2023-08-22,3000.0,3070.0,2900.0,3050.0,2451500
2023-08-23,2970.0,3060.0,2970.0,3050.0,1558400
2023-08-24,3010.0,3050.0,2960.0,3000.0,1808600
2023-08-25,3000.0,3050.0,3000.0,3020.0,1657800
2023-08-28,3050.0,3050.0,2980.0,3000.0,2167500
2023-08-29,3100.0,3190.0,3060.0,3070.0,2543300
2023-08-30,3070.0,3160.0,3050.0,3150.0,1616300
2023-08-31,3080.0,3120.0,3060.0,3090.0,2281100
2023-09-05,3000.0,3130.0,2900.0,3100.0,10845300
2023-09-06,2860.0,2900.0,2790.0,2790.0,12506200
2023-09-07,2950.0,2990.0,2850.0,2860.0,5436600
2023-09-08,2940.0,2990.0,2910.0,2990.0,4579800
2023-09-11,2830.0,2940.0,2820.0,2920.0,5974500
2023-09-12,2830.0,2860.0,2790.0,2830.0,3430800
2023-09-13,2730.0,2840.0,2690.0,2820.0,6287000
2023-09-14,2600.0,2750.0,2590.0,2730.0,4359800
2023-09-15,2620.0,2650.0,2580.0,2650.0,1745600
2023-09-18,2620.0,2640.0,2590.0,2600.0,1285500
2023-09-19,2600.0,2630.0,2580.0,2600.0,2076900
2023-09-20,2700.0,2700.0,2600.0,2610.0,1656400
2023-09-21,2680.0,2730.0,2670.0,2700.0,1685000
2023-09-22,2570.0,2670.0,2550.0,2610.0,2689300
2023-09-25,2740.0,2740.0,2710.0,2740.0,4841000
2023-09-26,2680.0,2830.0,2680.0,2760.0,2071900
2023-09-27,2640.0,2720.0,2550.0,2680.0,1988000
2023-09-28,2600.0,2690.0,2560.0,2660.0,1164300
2023-09-29,2620.0,2650.0,2610.0,2630.0,1014600
2023-10-02,2680.0,2690.0,2620.0,2640.0,1063900
2023-10-03,2510.0,2680.0,2510.0,2680.0,1621400
2023-10-04,2500.0,2550.0,2400.0,2440.0,1302900
2023-10-05,2490.0,2550.0,2460.0,2520.0,771000
2023-10-06,2480.0,2500.0,2450.0,2450.0,1003800
2023-10-09,2500.0,2530.0,2460.0,2480.0,1008900
2023-10-10,2600.0,2610.0,2500.0,2500.0,1558900
2023-10-11,2600.0,2620.0,2550.0,2600.0,1203900
2023-10-12,2600.0,2650.0,2580.0,2600.0,1435300
2023-10-13,2420.0,2420.0,2420.0,2420.0,2771200
2023-10-16,2290.0,2380.0,2260.0,2260.0,12073200
2023-10-17,2240.0,2350.0,2240.0,2290.0,2345800
2023-10-18,2090.0,2240.0,2090.0,2240.0,6206300
2023-10-19,1950.0,2050.0,1950.0,1980.0,4014200
2023-10-20,2080.0,2080.0,1820.0,1820.0,6499600
2023-10-23,2010.0,2150.0,2010.0,2100.0,2179800
2023-10-24,2020.0,2050.0,1970.0,2000.0,1983800
2023-10-25,1980.0,2040.0,1980.0,2020.0,1832800
2023-10-26,1850.0,1970.0,1850.0,1960.0,3774000
2023-10-27,1870.0,1900.0,1820.0,1890.0,1861000
2023-10-30,1900.0,1940.0,1850.0,1850.0,1789500
2023-10-31,2030.0,2030.0,1970.0,1970.0,6590500
2023-11-01,2000.0,2090.0,1970.0,2030.0,2112600
2023-11-02,2130.0,2130.0,1990.0,2010.0,2806300
2023-11-03,2090.0,2150.0,2060.0,2120.0,2247900
2023-11-06,2070.0,2170.0,2070.0,2110.0,3490600
2023-11-07,2040.0,2070.0,2000.0,2060.0,2368700
2023-11-08,2110.0,2130.0,2000.0,2000.0,2383900
2023-11-09,2150.0,2180.0,2080.0,2120.0,5653900
2023-11-10,2140.0,2200.0,2100.0,2140.0,3145100
2023-11-13,2100.0,2220.0,2100.0,2160.0,1954400
2023-11-14,2110.0,2160.0,2090.0,2160.0,1000500
2023-11-15,2120.0,2180.0,2120.0,2140.0,1703800
2023-11-16,2260.0,2260.0,2260.0,2260.0,2753300
2023-11-17,2410.0,2410.0,2380.0,2410.0,11245200
2023-11-20,2320.0,2460.0,2270.0,2400.0,4548200
2023-11-21,2330.0,2380.0,2300.0,2380.0,3681300
2023-11-22,2310.0,2370.0,2290.0,2330.0,3049100
2023-11-23,2290.0,2400.0,2290.0,2320.0,2891100
2023-11-24,2250.0,2290.0,2170.0,2290.0,2844000
2023-11-27,2220.0,2260.0,2180.0,2220.0,2000400
2023-11-28,2180.0,2220.0,2120.0,2220.0,2391500
2023-11-29,2210.0,2240.0,2180.0,2180.0,1267600
2023-11-30,2220.0,2310.0,2220.0,2220.0,2991400
2023-12-01,2210.0,2240.0,2180.0,2200.0,1544700
2023-12-04,2260.0,2300.0,2210.0,2260.0,2595700
2023-12-05,2250.0,2320.0,2250.0,2280.0,2035500
2023-12-06,2270.0,2300.0,2260.0,2300.0,1634600
2023-12-07,2400.0,2410.0,2280.0,2280.0,7085200
2023-12-08,2330.0,2400.0,2320.0,2400.0,1546200
