Price,Close,High,Low,Open,Volume
Ticker,DPG.VN,DPG.VN,DPG.VN,DPG.VN,DPG.VN
Date,,,,,
2018-05-22,15541.13671875,16388.83441092176,12164.471386158077,12164.471386158077,389353
2018-05-23,15823.701171875,15823.701171875,15202.055921014988,15541.135907350472,183049
2018-05-24,15767.1884765625,15823.701344650452,15512.87964299668,15541.136077040655,228945
2018-05-25,15343.3388671875,15823.701017514286,15343.3388671875,15823.701017514286,209491
2018-05-28,14269.587890625,15117.286456554211,14269.587890625,15117.286456554211,380516
2018-05-29,14665.1806640625,14834.720190934608,13873.995896269324,14326.101610318285,241512
2018-05-30,14354.3583984375,14834.720557644552,14184.818867374424,14834.720557644552,193432
2018-05-31,14834.720703125,14834.720703125,14128.305210792849,14552.15450619214,505643
2018-06-01,14580.41015625,14834.719905245638,14128.304450907752,14439.127065382423,123476
2018-06-04,14947.7470703125,14976.003504010308,14269.588025715004,14693.437312692186,243225
2018-06-05,14834.720703125,14919.490933072875,14410.871407725708,14919.490933072875,312611
2018-06-06,14976.0029296875,14976.0029296875,14467.384361122186,14947.746497073314,244771
2018-06-07,14693.4375,15173.799660496315,14552.154402539902,15173.799660496315,94849
2018-06-08,14976.0029296875,15060.773154700048,14410.870568723823,15060.773154700048,206366
2018-06-11,14976.0029296875,15060.773154700048,14467.384361122186,14834.71983944658,252230
2018-06-12,14693.4375,14693.4375,14410.871305079803,14693.4375,92296
2018-06-13,14834.720703125,14834.720703125,14467.385203414307,14693.43760465857,236808
2018-06-14,14834.720703125,14834.720703125,14523.89807193286,14552.15450619214,137656
2018-06-15,14665.1806640625,14693.437097346185,14495.64113719039,14636.924230778815,64372
2018-06-18,14269.587890625,14552.154079268072,14269.587890625,14552.154079268072,117932
2018-06-19,13704.4560546875,14410.871554199755,13647.94318559454,14410.871554199755,195683
2018-06-20,14128.3046875,14410.870873967002,13845.738501033,14410.870873967002,129726
2018-06-21,14552.154296875,14552.154296875,13760.96951314536,14184.818802448031,199681
2018-06-22,14608.66796875,14693.43820214493,14410.871993721945,14608.66796875,60777
2018-06-25,14580.41015625,14608.666588989518,14128.304450907752,14608.666588989518,101334
2018-06-26,14495.6416015625,14580.410904129158,14128.30517559686,14128.30517559686,243561
2018-06-27,14410.87109375,14693.437284526472,14297.844432005406,14665.18085088283,98713
2018-06-28,14354.3583984375,14410.871266401846,13845.738878078238,14410.871266401846,254515
2018-06-29,14297.8447265625,14354.35852218408,13930.509227287435,13930.509227287435,121326
2018-07-02,13619.6865234375,14128.30511828432,13478.403425896156,14128.30511828432,170550
2018-07-03,13704.4560546875,13817.482720043472,13421.889854882596,13591.43031650158,245208
2018-07-04,13506.66015625,13704.456126278685,13280.607751527228,13704.456126278685,235094
2018-07-05,13167.5810546875,13563.172993816745,12574.19221882358,13563.172993816745,260059
2018-07-06,13252.3505859375,13280.607948220157,12941.527945358952,13167.581280599754,36518
2018-07-09,12969.7841796875,13563.173016545818,12715.47534044112,12715.47534044112,93875
2018-07-10,12065.572265625,12998.041065979454,12065.572265625,12998.041065979454,335358
2018-07-11,11232.0029296875,11867.77640052414,11232.0029296875,11359.157809288834,436392
2018-07-12,11302.6435546875,11302.6435546875,10567.971668002612,10567.971668002612,113800
2018-07-13,11246.1318359375,11443.927812346472,11217.875400331945,11443.927812346472,131036
2018-07-16,10878.794921875,11246.13135039813,10878.794921875,11246.13135039813,103316
2018-07-17,11020.078125,11217.875021906551,10737.511924136405,11217.875021906551,77544
2018-07-18,10907.0517578125,11246.13080843952,10709.25487230507,10878.79439761858,240470
2018-07-19,10144.1220703125,10907.051292425274,10144.1220703125,10907.051292425274,455812
2018-07-20,9875.685546875,10144.12259007248,9861.556403071963,10144.12259007248,164569
2018-07-23,10553.8447265625,10553.8447265625,9861.557405334775,9861.557405334775,201561
2018-07-24,10878.794921875,11161.361120071238,10794.025618718157,10991.821586587504,470899
2018-07-25,10878.794921875,11302.64421916936,10624.486085234425,10624.486085234425,180764
2018-07-26,11076.5908203125,11076.5908203125,10680.997992996708,10737.510856683266,233884
2018-07-27,11104.8486328125,11585.210815381162,10935.309093504153,11585.210815381162,148072
2018-07-30,11104.8486328125,11217.87530140809,11062.463979777933,11104.8486328125,159832
2018-07-31,11556.9541015625,11726.49363678583,11076.591930568058,11104.848365243604,581276
2018-08-01,12065.572265625,12093.829626436363,11302.643921458644,11867.776302965582,436089
2018-08-02,12432.9091796875,12545.935845924854,11585.210573662423,12150.342977679142,922921
2018-08-03,11980.802734375,12658.960837409995,11896.032507910622,12658.960837409995,207912
2018-08-06,11980.802734375,12009.059167473124,11726.492982151873,11980.802734375,152809
2018-08-07,11443.9267578125,11980.802693526395,11443.9267578125,11980.802693526395,305521
2018-08-08,11726.4931640625,11726.4931640625,11359.15767374848,11443.92697435786,263990
2018-08-09,11528.697265625,11839.519890577778,11359.157736302575,11500.440831932934,211406
2018-08-10,11443.9267578125,11754.749375172123,11274.387232631798,11754.749375172123,81409
2018-08-13,11528.697265625,11839.519890577778,11302.64394174842,11811.263456885712,244872
2018-08-14,11528.697265625,11585.210133009132,11020.077750487706,11585.210133009132,406958
2018-08-15,11641.7236328125,11669.980995209631,11387.414788598931,11528.69789190428,238185
2018-08-16,11698.2373046875,11726.493739610814,11472.18397096085,11585.210637824175,196456
2018-08-17,12093.830078125,12150.342947518366,11726.493645557948,11783.006514951314,539579
2018-08-20,12206.85546875,12362.2667823192,12093.829733186967,12150.342600968484,192793
2018-08-21,12319.8828125,12404.653046028225,12150.343272613634,12150.343272613634,227433
2018-08-22,12291.625,12432.908088605516,12178.598343681591,12432.908088605516,329848
2018-08-23,12263.369140625,12291.625574232174,12178.59891263346,12178.59891263346,150827
2018-08-24,13082.810546875,13082.810546875,12122.086226833182,12263.369324153453,339323
2018-08-27,13944.6376953125,13958.7659126796,13082.810872899092,13082.810872899092,822792
2018-08-28,13930.509765625,14128.305740019145,13873.996894989554,13944.637983283865,342112
2018-08-29,14213.0751953125,14382.614725110636,13873.996135716225,13902.252569487577,303035
2018-08-30,14523.8974609375,14523.8974609375,14015.27795698708,14213.074842821134,254750
2018-08-31,14693.4375,14976.003694920197,14213.075339503685,14523.89796848189,716248
2018-09-04,14976.0029296875,15060.773154700048,14693.436749205664,14778.20697421821,478896
2018-09-05,14410.87109375,15343.338967010346,14410.87109375,15258.56966607942,686680
2018-09-06,14213.0751953125,14410.871158881988,13407.761269808814,14128.304966828417,472579
2018-09-07,14410.87109375,14467.384888207309,13591.429882234248,13845.738712197057,182344
2018-09-10,14269.587890625,14410.870984946536,14128.304796303464,14410.870984946536,203006
2018-09-11,14467.3857421875,14580.411483433749,13930.509762587506,14128.30573693852,139302
2018-09-12,14410.87109375,14467.384888207309,14071.792035686243,14410.87109375,133825
