Price,Close,High,Low,Open,Volume
Ticker,DPR.VN,DPR.VN,DPR.VN,DPR.VN,DPR.VN
Date,,,,,
2017-01-03,15576.046875,15744.436570945947,15365.559755067568,15744.436570945947,27280
2017-01-04,15533.94921875,15639.192777142616,15491.851795392957,15639.192777142616,10080
2017-01-05,15744.435546875,15744.435546875,15533.948440633356,15576.045861881685,86520
2017-01-06,15449.75390625,15954.922971304495,15449.75390625,15449.75390625,43200
2017-01-09,15449.75390625,15786.533282952996,15323.461639986375,15639.192305645436,12920
2017-01-10,15702.3388671875,15786.533713660354,15407.656904532503,15407.656904532503,18460
2017-01-11,16165.41015625,16165.41015625,15702.338511149088,15702.338511149088,529500
2017-01-12,16417.99609375,16586.38579727564,16207.50896434295,16586.38579727564,118780
2017-01-13,16417.99609375,16754.775500801283,16207.50896434295,16502.19094551282,68900
2017-01-16,16333.798828125,16796.870444386277,16291.701408464884,16417.993667445233,275320
2017-01-17,16333.798828125,16544.285926425582,16207.506569144653,16544.285926425582,131280
2017-01-18,16291.7041015625,16291.7041015625,16039.119541848351,16249.606674943476,13860
2017-01-19,16039.1181640625,16333.800125082022,16039.1181640625,16249.605279076444,81240
2017-01-20,15954.9228515625,16333.799647509895,15954.9228515625,16039.117695106366,59060
2017-01-23,15702.3388671875,16375.89763897034,15702.338867187498,16375.89763897034,38220
2017-01-24,15744.435546875,15997.020074364971,15702.338125626671,15702.338125626671,197820
2017-01-25,15912.826171875,16333.80040922619,15807.582612537202,16333.80040922619,45840
2017-02-03,16712.677734375,17133.651984611148,16502.190609256926,17007.359709540302,75300
2017-02-06,16628.482421875,16796.87211728639,16586.384998022153,16670.57984572785,53860
2017-02-07,16965.26171875,16965.26171875,16417.99521169355,16544.28748255273,250740
2017-02-08,17049.455078125,17259.942177854937,16965.260238233022,17259.942177854937,258660
2017-02-09,17091.5546875,17133.65211283867,16838.970135467982,17133.65211283867,177040
2017-02-10,17723.015625,17723.015625,17049.456836401427,17091.554260688838,215000
2017-02-13,18312.380859375,18522.867995689656,17891.406586745692,18101.893723060344,403660
2017-02-14,18354.4765625,18522.866255733945,17891.40490610665,18312.379139191515,283660
2017-02-15,18480.76953125,18775.45150555239,18354.477256548973,18354.477256548973,326900
2017-02-16,18543.9140625,19154.32667068672,18522.86535187287,18607.060194381385,421020
2017-02-17,19154.328125,19154.328125,18312.37963598901,18564.964182692307,420760
2017-02-20,18880.693359375,19322.716280831937,18564.96270119147,18901.74206992057,322040
2017-02-21,19406.912109375,19575.301802297992,18985.93787706752,18985.93787706752,283320
2017-02-22,19364.814453125,19406.911875849182,19028.035071331524,19364.814453125,216780
2017-02-23,18901.7421875,19575.300929148107,18901.7421875,19364.813822383072,291560
2017-02-24,18691.255859375,18943.840398015203,18270.281628308,18733.3532824817,159540
2017-02-27,18775.44921875,18943.838897841928,18186.08534192825,18733.35179897702,48500
2017-02-28,18522.865234375,18733.35233931108,18438.67039240057,18733.35233931108,175420
2017-03-01,19070.1328125,19154.327659354305,18480.768884519868,18522.86630794702,89720
2017-03-02,18859.64453125,19364.8135811942,18649.157427106584,19154.32647705078,188040
2017-03-03,19154.328125,19322.7178228022,18649.159031593408,18733.353880494506,91960
2017-03-06,19406.912109375,19554.253090682618,18985.93787706752,19364.81468614425,215020
2017-03-07,19406.912109375,19659.49664875949,19154.32756999051,19617.39922552874,331000
2017-03-08,18817.548828125,19196.425650167785,18817.548828125,19196.425650167785,199840
2017-03-09,18522.865234375,19406.91107510653,18480.767813387785,18817.54718128552,234580
2017-03-10,18733.353515625,19238.522599192416,18522.86639747191,18522.86639747191,66560
2017-03-13,18564.96484375,18607.062269699545,18228.185436153628,18607.062269699545,132980
2017-03-14,18438.671875,18859.646118721463,18438.671875,18859.646118721463,46180
2017-03-15,18459.720703125,18859.64623717218,18396.57456617018,18522.866840079816,80280
2017-03-16,18607.060546875,19028.03476739253,18459.71956969386,18459.71956969386,212260
2017-03-17,18859.64453125,18985.936793736048,18607.0600062779,18985.936793736048,28440
2017-03-20,18564.96484375,18922.792964321143,18522.86741780045,18922.792964321143,59000
2017-03-21,18354.4765625,18859.645642201835,18354.4765625,18564.96367904243,102220
2017-03-22,17154.69921875,18354.475728527606,17133.650508052146,18354.475728527606,404000
2017-03-23,17175.748046875,17554.624842026653,17091.553203507967,17154.69933603324,61500
2017-03-24,17175.748046875,17238.894179400275,16754.773830039827,17238.894179400275,89720
2017-03-27,16165.41015625,16712.676645914715,16165.41015625,16712.676645914715,254840
2017-03-28,16502.189453125,16838.968829719386,16249.604920679209,16249.604920679209,69620
2017-03-29,16628.482421875,16775.82340535997,16628.482421875,16628.482421875,101640
2017-03-30,16544.287109375,16817.920356731076,16417.994841364503,16460.09226403467,92940
2017-03-31,16923.162109375,17175.746618470148,16586.3827639148,16670.577600279852,12620
2017-04-03,16838.96875,16923.16359375,16754.77390625,16754.77390625,87320
2017-04-04,16460.091796875,16628.481482776537,16354.84824318654,16628.481482776537,126220
2017-04-05,17070.505859375,17070.505859375,16502.190621146732,16670.580321362515,61360
2017-04-07,16986.310546875,17554.6257696329,16944.21312296701,17302.041226184945,98820
2017-04-10,17554.625,17638.8198441247,17259.94304556355,17259.94304556355,72080
2017-04-11,18438.671875,18438.671875,17259.94399257991,17491.479826626713,411180
2017-04-12,18396.57421875,18522.8664902746,18186.087099542336,18522.8664902746,174700
2017-04-13,18017.697265625,18396.57407728534,17828.25885979483,18396.57407728534,30180
2017-04-14,17849.30859375,18017.698297464623,17302.042056677477,18017.698297464623,95960
2017-04-17,17680.91796875,18101.89220610119,17680.91796875,18101.89220610119,94140
2017-04-18,17680.91796875,18101.89220610119,17680.91796875,17680.91796875,82960
2017-04-19,17470.4296875,17680.916792168675,17259.942582831325,17680.916792168675,52320
2017-04-20,17470.4296875,17596.721950301206,17428.332266566267,17470.4296875,83840
2017-04-21,18017.697265625,18017.697265625,17470.4307598934,17470.4307598934,58760
2017-04-24,18228.185546875,18270.28297308025,17891.406137232967,17891.406137232967,72700
2017-04-25,18186.0859375,18270.28077980324,18101.89109519676,18270.28077980324,57940
2017-04-26,17933.501953125,18101.891642825703,17891.404530699823,18101.891642825703,427600
2017-04-27,17996.6484375,18186.086842105266,17891.404879385966,17933.50230263158,100680
2017-04-28,18059.794921875,18101.89234593532,17765.112953452797,17765.112953452797,85260
2017-05-03,18059.794921875,18101.89234593532,17765.112953452797,18059.794921875,71620
2017-05-04,17891.40234375,18143.98684742647,17849.304926470588,18059.792012867645,361540
2017-05-05,17407.283203125,17933.50095412636,17344.137073004837,17891.40353404625,339660
2017-05-08,17428.333984375,17933.503085371376,17344.139134208937,17365.187846750454,14920
2017-05-09,17596.724609375,18017.69888232656,17259.945191013758,17933.504027736246,133720
2017-05-10,17765.111328125,18101.89068979561,17723.01390791617,17870.354878647067,193640
2017-05-11,17786.162109375,18101.8927977071,17765.113396819528,17765.113396819528,209780
2017-05-12,17891.40234375,18059.792012867645,17870.353635110292,18059.792012867645,82060
2017-05-15,17680.91796875,18312.379324776783,17680.91796875,18059.794782366072,237440
2017-05-16,18059.794921875,18059.794921875,17807.21037751311,17891.40522563374,207420
2017-05-17,18628.109375,18628.109375,18059.794173728813,18059.794173728813,432640
2017-05-18,19154.328125,19785.78949175824,18733.353880494506,18817.548729395607,267420
2017-05-19,19154.328125,19238.5229739011,18964.889714972527,19175.376837225274,161240
2017-05-22,19006.986328125,19449.00926598837,19006.986328125,19280.61957537376,265940
2017-05-23,19070.1328125,19238.52250620861,19006.98667735928,19154.327659354305,131000
2017-05-24,19891.033203125,19891.033203125,19028.03599537037,19028.03599537037,423940
2017-05-25,19827.884765625,20080.46928493233,19575.300246317674,19912.07960539411,242940
2017-05-26,19364.814453125,19785.788680366848,19364.814453125,19785.788680366848,151520
2017-05-29,19238.521484375,19575.30085390454,18985.936957227845,19322.716326757385,145500
2017-05-30,18817.548828125,19575.30247221057,18817.548828125,18943.84110213926,285720
2017-05-31,18901.7421875,19112.229294265035,18649.15765938196,18943.839608853006,182440
2017-06-01,18522.865234375,18880.693312766336,18522.865234375,18859.64460227273,160920
2017-06-02,18691.255859375,19154.327513548706,18480.768743841498,18522.8661669482,111480
2017-06-05,18522.865234375,18943.83944424716,18438.67039240057,18522.865234375,156520
2017-06-06,18522.865234375,18859.64460227273,18354.475550426137,18522.865234375,298880
2017-06-07,18985.9375,19154.327189578715,18522.86585365853,18522.86585365853,251820
2017-06-08,18733.353515625,18985.938057408708,18691.256091994383,18985.938057408708,164860
2017-06-09,18522.865234375,18775.449760298296,18522.865234375,18733.35233931108,178060
2017-06-12,18691.255859375,18880.69426335515,18522.8661669482,18522.8661669482,98620
2017-06-13,18522.865234375,18733.35233931108,18522.865234375,18649.157497336648,91820
2017-06-14,18733.353515625,18901.74321014747,18480.76897384129,18838.597074701545,145500
2017-06-15,19364.814453125,19364.814453125,18943.840225883152,18943.840225883152,214920
2017-06-16,19449.01171875,19785.791142451297,19322.71943486201,19364.816862824675,154060
2017-06-19,19280.62109375,19617.40050150109,19238.523667781115,19533.20564956332,137040
2017-06-20,19049.083984375,19280.6198118094,19049.083984375,19280.6198118094,107020
2017-06-21,19112.23046875,19280.62016450992,18943.840772990086,18943.840772990086,90060
2017-06-22,19112.23046875,19343.76630041988,19070.133044810023,19343.76630041988,66600
2017-06-23,19028.03515625,19112.23000207412,18943.840310425883,19070.13257916205,99020
2017-06-26,19575.30078125,19575.30078125,19028.0343077957,19028.0343077957,246160
2017-06-27,18312.380859375,18733.35513200431,18312.380859375,18543.91670932112,68260
2017-06-28,18480.76953125,18522.86695615034,18101.89270714693,18312.37983164863,29080
2017-06-29,17975.599609375,18480.768685048304,17975.599609375,18249.23285869804,152080
2017-06-30,18312.380859375,18438.6731411638,17975.601441271552,18438.6731411638,47920
2017-07-03,17891.40234375,18354.47393382353,17849.304926470588,18354.47393382353,41360
2017-07-04,17765.111328125,17891.40358875148,17765.111328125,17891.40358875148,43840
2017-07-05,17975.599609375,18101.891878293325,17807.2099174839,18101.891878293325,27340
2017-07-06,17870.357421875,17996.649700474823,17723.016430175205,17975.60098737485,71840
2017-07-07,17765.111328125,18017.69584937796,17765.111328125,17975.598429169135,41320
2017-07-10,17259.9453125,17807.211871189025,17259.9453125,17765.114443597562,127520
2017-07-11,17470.4296875,17680.916792168675,17259.942582831325,17259.942582831325,54300
2017-07-12,17849.30859375,17849.30859375,17680.91889003538,17680.91889003538,10300
2017-07-13,17849.30859375,18059.79572339328,17680.91889003538,17849.30859375,237800
2017-07-14,17554.625,18059.794064748203,17428.33273381295,18059.794064748203,236760
2017-07-17,17554.625,17617.771133093527,17533.576288968827,17554.625,30440
2017-07-18,17091.5546875,17554.62636622537,17049.45726216133,17554.62636622537,198960
2017-07-19,17091.5546875,17133.65211283867,16838.970135467982,17091.5546875,135140
2017-07-20,17070.505859375,17470.431397387485,17070.505859375,17091.554571901972,51520
2017-07-21,17091.5546875,17680.91864224138,16923.164986145322,16923.164986145322,112940
2017-07-24,17596.724609375,17680.91946396531,17091.555481833133,17091.555481833133,290160
2017-07-25,17891.40234375,17891.40234375,17175.74625,17659.866548713235,148640
2017-07-26,17891.40234375,18059.792012867645,17891.40234375,17891.40234375,41960
2017-07-27,17680.91796875,17891.405087425595,17470.430850074405,17891.405087425595,71920
2017-07-28,17870.357421875,17975.60098737485,17470.431872975558,17680.919003975265,25460
2017-07-31,17849.30859375,17870.35730671433,17680.91889003538,17870.35730671433,22660
2017-08-01,17765.111328125,17765.111328125,17596.72164728969,17680.916487707345,60140
2017-08-02,17470.4296875,17638.819371234942,17428.332266566267,17512.527108433736,22360
2017-08-03,17680.91796875,17891.405087425595,17323.08986700149,17323.08986700149,119600
2017-08-04,17596.724609375,17891.40660044109,17554.627182079847,17680.91946396531,23560
2017-08-07,17891.40234375,18017.69459558824,17596.72042279412,17596.72042279412,117960
2017-08-08,18228.185546875,18270.28297308025,17891.406137232967,17912.454850335595,133860
2017-08-09,17701.966796875,18228.18459701992,17680.918084869205,18228.18459701992,73180
2017-08-10,18270.28125,18312.378672235023,17701.966049827188,17701.966049827188,78660
2017-08-11,17744.064453125,18270.28226015717,17744.064453125,18270.28226015717,28920
2017-08-14,17786.162109375,18101.8927977071,17765.113396819528,17765.113396819528,15000
2017-08-15,17933.501953125,17933.501953125,17786.160974636885,17807.209685849473,64560
2017-08-16,18059.794921875,18101.89234593532,17891.40522563374,17891.40522563374,181320
2017-08-17,18312.380859375,18691.25770474138,18186.088577586208,18354.47828663793,139860
2017-08-18,18270.28125,18375.52480558756,18059.794138824884,18375.52480558756,31380
2017-08-21,18101.892578125,18270.282276526163,17891.40545512355,18270.282276526163,33520
2017-08-22,17849.30859375,18101.89314932193,17849.30859375,18101.89314932193,80220
2017-08-23,17807.208984375,18101.89092974291,17765.111563608156,17849.306405141844,23480
2017-08-24,17807.208984375,18101.89092974291,17807.208984375,18080.842219359485,20500
2017-08-25,18017.697265625,18017.697265625,17765.112724518105,17807.210148035923,10080
2017-08-28,17891.40234375,18059.792012867645,17891.40234375,18017.69459558824,12200
2017-08-29,17933.501953125,18017.69679797536,17891.404530699823,17891.404530699823,62380
2017-08-30,18270.28125,18354.476094470047,18017.69671658986,18059.794138824884,80640
2017-08-31,18312.380859375,18417.62442753233,18270.283432112068,18354.47828663793,32540
2017-09-01,18186.0859375,18312.37820095486,18186.0859375,18312.37820095486,3040
2017-09-05,18312.380859375,18522.867995689656,18270.283432112068,18438.6731411638,74520
2017-09-06,18417.62109375,18501.81593303572,18122.93915625,18122.93915625,57860
2017-09-07,18733.353515625,18817.548362886235,18480.76897384129,18480.76897384129,152280
2017-09-08,18649.158203125,18817.54789344667,18522.865935383747,18817.54789344667,31660
2017-09-11,18628.109375,18733.35293079096,18522.86581920904,18564.963241525424,58800
2017-09-12,18649.158203125,18733.35304828584,18628.10949183479,18628.10949183479,118040
2017-09-13,18649.158203125,18796.49918215646,18564.963357964167,18691.25562570542,83780
2017-09-14,18522.865234375,18859.64460227273,18438.67039240057,18859.64460227273,237940
2017-09-15,18649.158203125,18649.158203125,18312.37882248166,18522.865935383747,129960
2017-09-18,18649.158203125,18733.35304828584,18522.865935383747,18733.35304828584,87900
2017-09-19,18522.865234375,18649.157497336648,18522.865234375,18649.157497336648,111560
2017-09-20,18438.671875,18480.769299372147,18312.379601883564,18480.769299372147,107820
2017-09-21,18522.865234375,18564.96265536222,18438.67039240057,18480.767813387785,57620
2017-09-22,18522.865234375,18607.06007634944,18459.71910289417,18607.06007634944,45800
2017-09-25,18438.671875,18522.866723744293,18396.574450627853,18522.866723744293,38060
2017-09-26,17680.91796875,17891.405087425595,17470.430850074405,17891.405087425595,97680
2017-09-27,17512.529296875,17680.919001652645,17512.529296875,17596.724149263824,90840
2017-09-28,17512.529296875,17596.724149263824,17470.43187068059,17512.529296875,59660
2017-09-29,17259.9453125,17470.432450457316,17259.9453125,17470.432450457316,73520
2017-10-02,16881.06640625,17259.943208385288,16881.06640625,17259.943208385288,112360
2017-10-03,17091.5546875,17344.13923953202,16881.067560806652,16881.067560806652,145260
2017-10-04,17238.896484375,17302.042625343405,17049.45806146978,17049.45806146978,20240
2017-10-05,17049.455078125,17217.844757908948,17049.455078125,17217.844757908948,17340
2017-10-06,17028.40625,17070.503669653895,16923.162700865265,17049.454959826948,19100
2017-10-09,17049.455078125,17196.796047935957,17007.35765817901,17007.35765817901,41080
2017-10-10,17070.505859375,17259.944272117755,17049.457146848028,17049.457146848028,109960
2017-10-11,17428.333984375,17428.333984375,17091.55458371075,17217.846858959845,109920
2017-10-12,17302.041015625,17554.62555599909,17302.041015625,17470.430709207725,33060
2017-10-13,17259.9453125,17280.99402629573,17175.750457317074,17280.99402629573,40200
2017-10-16,17217.845703125,17259.94312538203,17112.602147482427,17217.845703125,53340
2017-10-17,17049.455078125,17091.552498070985,16965.260238233022,17070.503788097994,61240
2017-10-18,17112.6015625,17133.65027290898,17007.358010455104,17007.358010455104,19360
2017-10-19,17386.236328125,17512.528601694914,17259.944054555082,17259.944054555082,241940
2017-10-20,17133.65234375,17386.23689918612,17049.457491937963,17386.23689918612,132560
2017-10-23,17217.845703125,17238.894414253515,17049.456014096882,17133.65085861094,64100
2017-10-24,17049.455078125,17217.844757908948,17028.406368152006,17217.844757908948,47180
2017-10-25,17091.5546875,17133.65211283867,17007.35983682266,17091.5546875,35240
2017-10-26,17007.359375,17196.79778387995,16923.16452660891,17196.79778387995,41220
2017-10-27,17133.65234375,17133.65234375,17007.360066031943,17133.65234375,25280
2017-10-30,17028.40625,17154.698508961683,17028.40625,17133.649799134735,5000
2017-10-31,16923.162109375,17007.35694574005,16838.967273009952,16965.259527557526,93620
2017-11-01,16838.96875,16923.16359375,16838.96875,16923.16359375,107420
2017-11-02,16712.677734375,16965.262284516688,16712.677734375,16965.262284516688,84540
2017-11-03,16544.287109375,16902.115202071407,16544.287109375,16670.579377385497,120520
