Price,Close,High,Low,Open,Volume
Ticker,DQC.VN,DQC.VN,DQC.VN,DQC.VN,DQC.VN
Date,,,,,
2023-07-17,21150.0,21750.0,21150.0,21750.0,47000
2023-07-19,21400.0,21700.0,21000.0,21450.0,71700
2023-07-20,21500.0,21500.0,21100.0,21500.0,36200
2023-07-21,22000.0,22000.0,21300.0,21700.0,88500
2023-07-24,23000.0,23250.0,22200.0,23250.0,153200
2023-07-26,22500.0,22800.0,22200.0,22800.0,33600
2023-07-28,22000.0,22500.0,21900.0,22100.0,41900
2023-08-03,21450.0,21450.0,21100.0,21400.0,48800
2023-08-04,21300.0,21500.0,21000.0,21200.0,66200
2023-08-07,21150.0,21300.0,21150.0,21300.0,24300
2023-08-08,21800.0,21850.0,21150.0,21150.0,34200
2023-08-09,21500.0,21800.0,21200.0,21800.0,14800
2023-08-10,21500.0,21700.0,21250.0,21700.0,21100
2023-08-11,21400.0,21600.0,21100.0,21450.0,43300
2023-08-14,21300.0,21400.0,21100.0,21100.0,27700
2023-08-15,21250.0,21400.0,21150.0,21200.0,15400
2023-08-16,21150.0,21250.0,20900.0,21250.0,55600
2023-08-17,20900.0,21200.0,20900.0,21000.0,27700
2023-08-18,19450.0,20800.0,19450.0,20800.0,127300
2023-08-21,18750.0,19450.0,18100.0,19100.0,92200
2023-08-22,19050.0,19050.0,18250.0,18750.0,38600
2023-08-23,19000.0,19300.0,18700.0,19300.0,13300
2023-08-24,19000.0,19100.0,18400.0,18400.0,31000
2023-08-25,19000.0,19050.0,18800.0,19050.0,33400
2023-08-28,19200.0,19450.0,18600.0,18600.0,24500
2023-08-29,19100.0,19250.0,18950.0,19000.0,27900
2023-08-30,18900.0,19000.0,18900.0,18900.0,10600
2023-08-31,19300.0,19300.0,19000.0,19150.0,34700
2023-09-05,19750.0,19750.0,19300.0,19300.0,32300
2023-09-06,19700.0,19700.0,19350.0,19500.0,27700
2023-09-07,19700.0,19800.0,19550.0,19750.0,37600
2023-09-08,20300.0,20300.0,19700.0,19700.0,35300
2023-09-11,20300.0,21000.0,20150.0,21000.0,59100
2023-09-12,20300.0,20300.0,20100.0,20100.0,27600
2023-09-13,20300.0,20850.0,20000.0,20300.0,36700
2023-09-14,19900.0,20550.0,19750.0,20550.0,37000
2023-09-15,19800.0,19900.0,19500.0,19900.0,33600
2023-09-18,19500.0,19800.0,19050.0,19800.0,25100
2023-09-19,19550.0,19800.0,19150.0,19500.0,64800
2023-09-20,19750.0,19950.0,19750.0,19950.0,4800
2023-09-21,19500.0,19700.0,19500.0,19700.0,23500
2023-09-22,19400.0,19450.0,18900.0,19000.0,23500
2023-09-25,18500.0,19200.0,18500.0,18900.0,17600
2023-09-26,18550.0,18950.0,18000.0,18950.0,37600
2023-09-27,18500.0,18600.0,18200.0,18600.0,13300
2023-09-28,18300.0,18500.0,18000.0,18500.0,22700
2023-09-29,18750.0,18750.0,18300.0,18300.0,16600
2023-10-02,18750.0,18800.0,18400.0,18800.0,3100
2023-10-03,17550.0,18100.0,17450.0,18000.0,116300
2023-10-04,17900.0,17900.0,17500.0,17800.0,7800
2023-10-05,17550.0,17900.0,17550.0,17900.0,7200
2023-10-06,17850.0,17850.0,17600.0,17600.0,13700
2023-10-09,17850.0,17900.0,17800.0,17900.0,18700
2023-10-10,18050.0,18100.0,17850.0,18100.0,39600
