Price,Close,High,Low,Open,Volume
Ticker,DRL.VN,DRL.VN,DRL.VN,DRL.VN,DRL.VN
Date,,,,,
2023-07-19,51752.66796875,51752.66796875,51752.66796875,51752.66796875,500
2023-07-20,53024.62109375,53024.62109375,51752.6661649644,51832.16334801349,1000
2023-07-21,52309.14453125,53024.6191524981,52150.15017097264,52150.15017097264,400
2023-07-24,52309.14453125,53104.11633263678,52309.14453125,52388.64171138868,300
2023-07-26,52865.625,52865.625,52865.625,52865.625,500
2023-07-28,52865.625,52865.625,52865.625,52865.625,600
2023-08-03,53660.59375,53660.59375,53263.10787037037,53263.10787037037,3200
2023-08-04,53263.11328125,53263.11328125,53263.11328125,53263.11328125,1100
2023-08-07,53819.58984375,53819.58984375,53263.10959425776,53263.10959425776,2900
2023-08-08,53263.11328125,54058.085121268654,53263.11328125,53819.59356926306,1500
2023-08-09,53263.11328125,53660.59920125933,53263.11328125,53660.59920125933,2700
2023-08-10,53263.11328125,53342.61046525187,53263.11328125,53263.11328125,1300
2023-08-11,51673.171875,53263.115625,51673.171875,53263.115625,700
2023-08-14,52468.13671875,52468.13671875,52468.13671875,52468.13671875,1200
2023-08-15,52786.12890625,52865.626088337725,52468.1401778991,52468.1401778991,600
2023-08-16,52706.6328125,52706.6328125,52706.6328125,52706.6328125,200
2023-08-17,52786.12890625,52865.626088337725,52786.12890625,52865.626088337725,2000
2023-08-18,52865.625,52865.625,52786.12781954888,52865.625,1500
2023-08-21,52865.625,53024.61936090226,52547.63627819549,52547.63627819549,1600
2023-08-22,53275.44140625,54422.91245192308,53275.44140625,54422.91245192308,1600
2023-08-23,53193.47265625,53193.47265625,52947.586033802,52947.586033802,400
2023-08-24,52701.703125,52865.62755151633,52537.77869848367,52865.62755151633,2800
2023-08-25,52537.77734375,52619.739554894695,52046.00407688182,52455.815132605305,2700
2023-08-28,53275.44140625,54095.06358173077,53275.44140625,54095.06358173077,4100
2023-08-29,53275.44140625,53275.44140625,53275.44140625,53275.44140625,500
2023-08-31,51800.11328125,53275.43296331092,51800.11328125,53275.43296331092,1300
2023-09-05,52619.73828125,53357.39816369744,48193.77898656543,52046.00281712422,4900
2023-09-06,51718.16015625,53275.44231626386,51636.1979373019,53275.44231626386,11800
2023-09-07,53275.44140625,53275.44140625,52455.81923076923,53193.47918870192,1500
2023-09-08,53111.5078125,53357.394422743055,53111.5078125,53357.394422743055,3000
2023-09-11,52619.73828125,52947.58711789331,52537.776072089175,52947.58711789331,5000
2023-09-12,52619.73828125,52783.66269957165,52619.73828125,52783.66269957165,2200
2023-09-13,52455.8125,52619.7369140625,52455.8125,52619.7369140625,1600
2023-09-14,52373.84765625,52455.809859154935,52291.88545334507,52455.809859154935,700
2023-09-15,52291.890625,52455.81504702194,52291.890625,52373.85283601097,9900
2023-09-18,52455.8125,52455.8125,52291.8880859375,52291.8880859375,1700
2023-09-19,52455.8125,52865.62353515625,52455.8125,52865.62353515625,1200
2023-09-20,52455.8125,52455.8125,52455.8125,52455.8125,3200
2023-09-21,52373.84765625,52455.809859154935,52373.84765625,52455.809859154935,1100
2023-09-22,52373.84765625,52783.658670774654,52373.84765625,52783.658670774654,800
2023-09-25,52865.625,52865.625,52373.851744186046,52373.851744186046,700
2023-09-26,52865.625,52865.625,52373.851744186046,52373.851744186046,1500
2023-09-27,52373.84765625,52373.84765625,52291.88545334507,52291.88545334507,1100
2023-09-28,53439.36328125,53439.36328125,53439.36328125,53439.36328125,1000
2023-09-29,53275.44140625,53275.44140625,53275.44140625,53275.44140625,800
2023-10-02,53275.44140625,53685.25249399038,53275.44140625,53275.44140625,1700
2023-10-03,52865.625,52865.625,49996.9476744186,49996.9476744186,500
2023-10-04,52865.625,52865.625,52865.625,52865.625,900
2023-10-05,53275.44140625,53275.44140625,53111.51697115385,53111.51697115385,2200
2023-10-06,53275.44140625,53275.44140625,52865.63031850961,52865.63031850961,5100
2023-10-09,52865.625,53111.51162790698,52865.625,52865.625,1500
2023-10-10,52865.625,53275.436046511626,52865.625,53275.436046511626,300
2023-10-11,52865.625,53439.36046511628,52865.625,53357.398255813954,3300
2023-10-12,52701.703125,52701.703125,52701.703125,52701.703125,1000
2023-10-13,53275.44140625,53275.44140625,53275.44140625,53275.44140625,6200
2023-10-16,54504.87109375,54504.87109375,53685.24897203947,53685.24897203947,300
2023-10-17,53275.44140625,53275.44140625,53275.44140625,53275.44140625,200
2023-10-18,53275.44140625,53275.44140625,52947.59253605769,52947.59253605769,300
2023-10-19,53931.1328125,53931.1328125,53931.1328125,53931.1328125,500
2023-10-20,54750.75390625,54750.75390625,53931.13184178518,53931.13184178518,700
2023-10-23,54013.09375,54013.09375,54013.09375,54013.09375,200
2023-10-24,54013.09375,54013.09375,54013.09375,54013.09375,400
2023-10-25,54013.09375,54013.09375,54013.09375,54013.09375,1100
2023-10-26,54013.09375,54095.05595599393,54013.09375,54013.09375,4900
2023-10-27,53357.3984375,53357.3984375,53357.3984375,53357.3984375,200
2023-10-30,53275.44140625,53357.40362379808,53275.44140625,53357.40362379808,1100
2023-11-01,53275.44140625,53275.44140625,52046.00814302885,53275.44140625,1800
2023-11-02,53275.44140625,53275.44140625,53275.44140625,53275.44140625,700
2023-11-03,52783.6640625,52865.626273777176,52619.739639945656,52865.626273777176,5500
2023-11-06,53275.44140625,53275.44140625,53111.51697115385,53275.44140625,5200
2023-11-07,53275.44140625,53275.44140625,53275.44140625,53275.44140625,1000
2023-11-08,53111.5078125,53685.24323640046,53111.5078125,53685.24323640046,7400
2023-11-10,53439.36328125,53439.36328125,53275.438854006905,53275.438854006905,800
2023-11-13,53685.24609375,53685.24609375,53439.35947041985,53521.32167819656,700
2023-11-14,56062.1484375,56062.14843750001,54914.67756304825,54914.67756304825,700
2023-11-15,53275.44140625,53685.25249399038,52455.81923076923,53685.25249399038,2600
2023-11-16,54095.0546875,54095.0546875,54095.0546875,54095.0546875,100
2023-11-17,54504.87109375,54504.87109375,54095.06003289473,54095.06003289473,1300
2023-11-20,53275.44140625,54504.87466947115,53275.44140625,54504.87466947115,300
2023-11-21,53685.24609375,53685.24609375,53685.24609375,53685.24609375,1500
2023-11-22,53931.1328125,53931.1328125,53685.2461887348,53685.2461887348,500
2023-11-23,54504.87109375,54586.83330592105,54095.06003289473,54095.06003289473,2100
2023-11-27,54095.0546875,54504.865707859855,54013.09248342803,54504.865707859855,700
2023-11-28,54095.0546875,54095.0546875,54095.0546875,54095.0546875,1200
2023-11-29,54095.0546875,54095.0546875,54095.0546875,54095.0546875,500
2023-11-30,54177.01953125,54504.86836351173,54177.01953125,54504.86836351173,3100
2023-12-01,54340.94140625,54340.94140625,54095.05479355204,54095.05479355204,300
2023-12-06,54340.94140625,54586.82801894796,54095.05479355204,54340.94140625,5500
2023-12-07,54914.68359375,54914.68359375,54668.79695079291,54750.75916511194,5900
2023-12-08,54914.68359375,55324.49466534515,54914.68359375,54914.68359375,1500
2023-12-11,57127.66015625,57127.66015625,57127.66015625,57127.66015625,100
