Price,Close,High,Low,Open,Volume
Ticker,DSN.VN,DSN.VN,DSN.VN,DSN.VN,DSN.VN
Date,,,,,
2023-07-17,43301.140625,43771.80519701087,43144.25243432971,43693.36110167572,11800
2023-07-19,43144.25,43458.02636363637,43144.25,43458.02636363637,5500
2023-07-20,42830.4765625,43144.25294757326,42752.032466231685,43144.25294757326,3400
2023-07-21,44007.13671875,45026.90994039661,42830.47530915775,42908.91940313057,20300
2023-07-24,44164.0234375,44164.0234375,43144.25024977797,43144.25024977797,9600
2023-07-26,42752.02734375,43850.24455991972,41889.14238818807,41889.14238818807,22400
2023-07-28,42359.80859375,42359.80859375,41575.36769386574,42202.92041377315,78900
2023-08-03,42595.14453125,42908.92091822054,42359.8122410221,42359.8122410221,53300
2023-08-04,42752.02734375,42752.02734375,42359.80690940367,42516.6950831422,18200
2023-08-07,42673.58203125,42752.02611586627,42516.69386201746,42752.02611586627,37400
2023-08-08,42516.69921875,42830.47559674816,42516.69921875,42673.58740774907,24700
2023-08-09,42987.36328125,43144.25146840785,42516.69871977646,42516.69871977646,30400
2023-08-10,42752.02734375,43065.80369122706,42595.13917001146,42830.47143061926,19600
2023-08-11,42673.58203125,42830.47020048254,42516.69386201746,42752.02611586627,15400
2023-08-14,42752.02734375,42752.02734375,42359.80690940367,42673.58325688073,38700
2023-08-15,42752.02734375,42830.47143061926,42673.58325688073,42752.02734375,9700
2023-08-16,42752.02734375,42752.02734375,42359.80690940367,42752.02734375,29100
2023-08-17,42752.02734375,42830.47143061926,40947.81334575688,42359.80690940367,86800
2023-08-18,41889.14453125,42516.69725830993,41575.36816772004,42516.69725830993,22800
2023-08-21,41810.69921875,41889.14330734053,41496.922864387896,41889.14330734053,9500
2023-08-22,41575.37109375,41810.70338295991,41183.15061173349,41575.37109375,20200
2023-08-23,41183.1484375,41575.36889880952,41183.1484375,41575.36889880952,22900
2023-08-24,41732.2578125,42046.03418703008,41183.14915707237,41183.14915707237,8400
2023-08-25,41496.9296875,41889.15019494329,41496.9296875,41732.26199196598,10100
2023-08-28,41575.37109375,41732.25928655661,41496.9269973467,41496.9269973467,15600
2023-08-29,41653.81640625,42281.369195798026,41653.81640625,41810.70460363701,22800
2023-08-30,41575.37109375,42124.47976857312,41575.37109375,41732.25928655661,12300
2023-08-31,41653.81640625,41967.59280102402,41496.928208863,41889.14870233051,8100
2023-09-05,41810.69921875,42595.14010465526,41653.81104156895,42124.4755731121,17900
2023-09-06,42202.921875,42281.36596770446,41653.81322606877,41889.14550418216,22600
2023-09-07,42202.921875,42359.81006040892,42124.47778229554,42359.81006040892,9100
2023-09-08,42202.921875,42281.36596770446,42124.47778229554,42202.921875,27500
2023-09-11,42046.03515625,42359.81153801306,41967.59106080924,42359.81153801306,120200
2023-09-12,42124.4765625,42281.36474336592,41810.70020076815,41810.70020076815,6400
2023-09-13,42281.36328125,42359.80736897032,42046.03101808906,42124.47510580937,17700
2023-09-14,42124.4765625,42202.92065293296,42046.03247206704,42202.92065293296,15500
2023-09-15,42438.2578125,42438.2578125,42124.48141462569,42124.48141462569,16100
2023-09-18,42202.921875,42438.25415311338,42124.47778229554,42438.25415311338,3800
2023-09-19,42516.69921875,42516.69921875,41967.59055725323,42124.4787462523,14700
