Price,Close,High,Low,Open,Volume
Ticker,DTA.VN,DTA.VN,DTA.VN,DTA.VN,DTA.VN
Date,,,,,
2017-01-03,2283.95068359375,2336.860595703125,2266.31396484375,2266.31396484375,574
2017-01-04,2442.6806640625,2442.6806640625,2442.6806640625,2442.6806640625,8
2017-01-05,2275.13232421875,2451.4990234375,2275.13232421875,2451.4990234375,5780
2017-01-06,2266.31396484375,2433.862548828125,2160.493896484375,2433.862548828125,9601
2017-01-09,2213.40380859375,2283.95068359375,2204.58544921875,2283.95068359375,3183
2017-01-10,2081.128662109375,2363.315673828125,2072.310302734375,2116.402099609375,105606
2017-01-11,2222.22216796875,2222.22216796875,2213.40380859375,2222.22216796875,3920
2017-01-12,2363.315673828125,2372.134033203125,2231.04052734375,2372.134033203125,22654
2017-01-13,2248.67724609375,2380.952392578125,2213.40380859375,2380.952392578125,2991
2017-01-16,2257.49560546875,2389.770751953125,2248.67724609375,2292.76904296875,12448
2017-01-17,2336.860595703125,2407.407470703125,2266.31396484375,2336.860595703125,4011
2017-01-18,2328.042236328125,2372.134033203125,2328.042236328125,2372.134033203125,5486
2017-01-19,2292.76904296875,2292.76904296875,2292.76904296875,2292.76904296875,110
2017-01-20,2354.497314453125,2354.497314453125,2354.497314453125,2354.497314453125,54
2017-01-23,2248.67724609375,2336.860595703125,2248.67724609375,2328.042236328125,11415
2017-01-24,2398.589111328125,2398.589111328125,2248.67724609375,2248.67724609375,4907
2017-01-25,2248.67724609375,2248.67724609375,2248.67724609375,2248.67724609375,88
2017-02-03,2257.49560546875,2530.8642578125,2257.49560546875,2372.134033203125,10476
2017-02-06,2398.589111328125,2398.589111328125,2380.952392578125,2380.952392578125,598
2017-02-07,2442.6806640625,2442.6806640625,2336.860595703125,2442.6806640625,29741
2017-02-08,2557.3193359375,2583.774169921875,2469.1357421875,2583.774169921875,3795
2017-02-09,2636.684326171875,2733.68603515625,2539.6826171875,2557.3193359375,5168
2017-02-10,2460.3173828125,2636.684326171875,2460.3173828125,2636.684326171875,1313
2017-02-13,2336.860595703125,2627.865966796875,2336.860595703125,2627.865966796875,7629
2017-02-14,2451.4990234375,2451.4990234375,2336.860595703125,2345.678955078125,2514
2017-02-15,2451.4990234375,2451.4990234375,2328.042236328125,2451.4990234375,10599
2017-02-16,2619.047607421875,2619.047607421875,2336.860595703125,2451.4990234375,14422
2017-02-17,2442.6806640625,2548.5009765625,2442.6806640625,2442.6806640625,4328
2017-02-20,2442.6806640625,2610.229248046875,2442.6806640625,2469.1357421875,24366
2017-02-21,2398.589111328125,2601.410888671875,2398.589111328125,2442.6806640625,654
2017-02-22,2389.770751953125,2566.137451171875,2380.952392578125,2548.5009765625,26509
2017-02-23,2442.6806640625,2548.5009765625,2442.6806640625,2548.5009765625,1686
2017-02-27,2292.76904296875,2442.6806640625,2292.76904296875,2442.6806640625,22710
2017-02-28,2407.407470703125,2407.407470703125,2380.952392578125,2380.952392578125,29604
2017-03-01,2442.6806640625,2442.6806640625,2292.76904296875,2442.6806640625,29719
2017-03-02,2486.7724609375,2486.7724609375,2292.76904296875,2442.6806640625,1267
2017-03-03,2328.042236328125,2328.042236328125,2319.223876953125,2328.042236328125,12063
2017-03-06,2257.49560546875,2328.042236328125,2257.49560546875,2328.042236328125,26624
2017-03-07,2275.13232421875,2372.134033203125,2257.49560546875,2257.49560546875,4430
2017-03-08,2116.402099609375,2275.13232421875,2116.402099609375,2248.67724609375,110414
2017-03-09,1975.30859375,2081.128662109375,1975.30859375,1992.9453125,147802
2017-03-10,2028.21875,2072.310302734375,1940.0352783203125,1984.126953125,92543
2017-03-13,1887.125244140625,2001.763671875,1887.125244140625,1895.943603515625,997793
2017-03-14,1816.5784912109373,1931.2169189453125,1763.66845703125,1931.2169189453125,278009
2017-03-15,1807.7601318359373,1887.125244140625,1701.9400634765625,1887.125244140625,54542
2017-03-16,1746.03173828125,1807.7601318359373,1684.3033447265625,1807.7601318359373,187935
2017-03-17,1631.393310546875,1728.39501953125,1631.393310546875,1728.39501953125,355847
2017-03-20,1737.21337890625,1737.21337890625,1640.211669921875,1640.211669921875,71154
2017-03-21,1851.851806640625,1851.851806640625,1843.0335693359373,1851.851806640625,191553
2017-03-22,1975.30859375,1975.30859375,1975.30859375,1975.30859375,439536
2017-03-23,2107.583740234375,2107.583740234375,2107.583740234375,2107.583740234375,59702
