Price,Close,High,Low,Open,Volume
Ticker,EVE.VN,EVE.VN,EVE.VN,EVE.VN,EVE.VN
Date,,,,,
2023-07-17,17353.697265625,17764.70588507401,17262.36201685855,17764.70588507401,639900
2023-07-19,16988.353515625,17262.35921748992,16851.35066469254,16942.685898647513,357500
2023-07-20,16851.3515625,16988.354420731706,16531.678226626016,16897.019181910568,505900
2023-07-21,17079.689453125,17079.689453125,16851.351358831886,16988.354215407755,296900
2023-07-24,16942.6875,17216.693227762804,16805.684636118596,16897.0198787062,429300
2023-07-26,17353.697265625,17536.367763157894,17171.026768092106,17490.70013877467,364400
2023-07-28,16760.015625,17079.688947547686,16577.345154972754,16897.018477520436,369100
2023-07-31,16531.677734375,16897.018678781078,16349.00726217196,16668.680588527277,588200
2023-08-03,16303.33984375,16349.007462359945,16075.00175070028,16349.007462359945,358400
2023-08-04,16166.337890625,16349.008375264832,16029.335027145127,16349.008375264832,311500
2023-08-07,16075.001953125,16166.337191495028,15937.999095569956,16166.337191495028,319600
2023-08-08,15846.6640625,16075.002161383283,15709.661203170028,16075.002161383283,464300
2023-08-09,15937.9990234375,15983.666642415832,15755.328547524176,15755.328547524176,341900
2023-08-10,15344.3212890625,15938.00038655599,15344.3212890625,15892.332763671877,469200
2023-08-11,15526.990234375,15892.331181066176,15070.31405101103,15344.319761029412,525700
2023-08-14,15572.6591796875,15846.664913054436,15526.991557459676,15618.326801915322,264900
2023-08-15,15618.326171875,15892.331894188595,15481.323310718202,15800.996653417398,313000
2023-08-16,15618.326171875,15755.3290330318,15435.655690332604,15526.9909311038,149000
2023-08-17,14796.3095703125,15572.6591465326,14796.3095703125,15481.323902271411,830900
2023-08-18,14385.2998046875,14613.637896825398,13791.620765128968,14567.970278397815,1250400
2023-08-21,14248.2978515625,14385.300715519832,14156.96260892428,14156.96260892428,289300
2023-08-22,14248.2978515625,14248.2978515625,13700.286395733174,14156.96260892428,265300
2023-08-23,14978.9794921875,15161.649973799544,14156.962324933307,14248.297565739327,380000
2023-08-24,14978.9794921875,14978.9794921875,14659.306149366426,14704.973769769436,101700
2023-08-25,14887.6435546875,15070.31402775115,14613.637845092024,14613.637845092024,181000
2023-08-28,14841.9775390625,14978.980408653846,14567.971799879808,14887.645162259616,162400
2023-08-29,14704.9736328125,14841.976492745534,14613.638392857143,14796.308872767857,231600
2023-08-30,14796.3095703125,15070.315303096066,14613.639081790125,14841.977192443095,309300
2023-08-31,15070.3154296875,15070.3154296875,14704.974449573863,14933.312562144887,383600
2023-09-05,15115.982421875,15207.31766309479,14933.311939435423,15070.314801265104,299200
2023-09-06,14933.3115234375,15070.31438145069,14796.308665424312,15070.31438145069,237800
2023-09-07,14704.9736328125,14978.97935267857,14659.30601283482,14978.97935267857,378300
2023-09-08,15344.3212890625,15709.662272135416,14750.64219156901,14796.309814453123,592700
2023-09-11,14613.638671875,15526.991088867188,14613.638671875,15526.991088867188,462000
2023-09-12,14704.9736328125,14841.976492745534,14385.30029296875,14613.638392857143,351200
2023-09-13,14796.3095703125,15024.64768096547,14704.974326051311,14704.974326051311,228400
2023-09-14,14704.9736328125,14933.311732700891,14339.63267299107,14796.308872767857,342100
2023-09-15,14659.3056640625,14750.64090184482,14476.63518849786,14704.97328295366,111900
2023-09-18,15024.6474609375,15252.98556824658,14430.968381933892,14704.974110704788,285400
2023-09-19,14978.9794921875,15024.647112590512,14613.638528963416,14978.9794921875,163700
2023-09-20,15024.6474609375,15344.320811170212,14613.638867781156,14933.312218013867,574600
2023-09-21,14933.3115234375,15252.984858801608,14659.305807411123,15161.649620126149,265800
2023-09-22,14704.9736328125,14887.644112723214,14430.967912946428,14659.30601283482,294300
2023-09-25,13837.2890625,14613.638613861389,13837.2890625,14567.97099319307,354905
2023-09-26,13928.6240234375,14156.962122182376,13563.283065445696,13700.285924692622,440800
2023-09-27,14430.9677734375,14430.9677734375,13837.28871946697,13974.291578075554,185800
2023-09-28,14613.638671875,14613.638671875,14065.627221679688,14339.632946777345,120100
2023-09-29,14796.3095703125,14887.644814573689,14339.63334900656,14567.97145965953,130500
2023-10-02,14476.6357421875,14841.976707290023,14248.297638998423,14613.638604100946,163700
2023-10-03,14248.2978515625,14476.635958158056,14156.96260892428,14476.635958158056,212200
2023-10-04,14522.3037109375,14522.3037109375,13791.621763217374,13791.621763217374,61900
2023-10-05,14385.2998046875,14567.970278397815,14248.29694940476,14522.30265997024,67700
2023-10-06,14339.6328125,15161.64998009554,14111.294710390126,14202.629951234076,321000
2023-10-09,14293.9658203125,14339.633442741611,14293.9658203125,14339.633442741611,132400
2023-10-10,14522.3037109375,14522.3037109375,14339.633224007468,14339.633224007468,168400
2023-10-11,14476.6357421875,14522.303362825316,14339.632880274054,14522.303362825316,61200
2023-10-12,14248.2978515625,14522.303579477164,14248.2978515625,14522.303579477164,84100
2023-10-13,14156.9619140625,14339.632390372984,14065.62667590726,14065.62667590726,183400
2023-10-16,14202.6298828125,14339.63274341841,14111.294642408562,14156.962262610532,64200
2023-10-17,13974.2919921875,14339.632959303512,13974.2919921875,14339.632959303512,84000
2023-10-18,13837.2890625,14065.627165841584,13608.950959158416,13882.956683168317,214300
2023-10-19,13700.2861328125,13974.29185546875,13654.618512369792,13974.29185546875,149300
2023-10-20,14156.9619140625,14156.9619140625,13608.950485131048,13608.950485131048,260000
2023-10-23,14065.626953125,14156.962193080357,13700.28599330357,14111.294573102678,81600
2023-10-24,14156.9619140625,14156.9619140625,13791.620961441531,14065.62667590726,40900
2023-10-25,14202.6298828125,14430.967983822347,14019.959402004622,14156.962262610532,93100
2023-10-26,13563.283203125,14065.627025462964,13380.612722274833,13700.286063762624,194200
2023-10-27,13700.2861328125,13700.2861328125,13471.948030598958,13700.2861328125,54400
2023-10-30,13654.6181640625,13791.621021895902,13334.944829117892,13791.621021895902,60600
2023-10-31,13243.6103515625,13426.280839170258,13015.2722420528,13289.27797346444,105700
2023-11-01,12330.2578125,13197.942621527778,12330.2578125,13197.942621527778,126700
2023-11-02,12421.5927734375,12649.930875890395,12330.25753245634,12421.5927734375,238900
2023-11-03,12467.259765625,12741.265474759615,12375.924529246797,12741.265474759615,59700
2023-11-06,12421.5927734375,12558.595634909236,12375.92515294692,12512.928014418658,348820
2023-11-07,12238.921875,12421.592350746268,12238.921875,12421.592350746268,104500
2023-11-08,12695.5986328125,12695.5986328125,12238.9224229991,12238.9224229991,82100
2023-11-09,12741.265625,12878.268481182797,12604.262768817203,12878.268481182797,139800
2023-11-10,12558.595703125,12695.59856534091,12330.25759943182,12695.59856534091,194600
2023-11-13,12604.263671875,12604.263671875,12467.26080587636,12467.26080587636,133400
2023-11-14,12878.26953125,12969.604776152482,12512.92855164007,12512.92855164007,436200
2023-11-15,12923.9365234375,13197.942244782464,12878.268903213338,13015.27176388582,158800
2023-11-16,13243.6103515625,13243.6103515625,12786.934132543103,12832.601754445042,309400
2023-11-17,13928.6240234375,13928.6240234375,13015.271628457993,13152.274487704915,514200
2023-11-20,13791.62109375,13837.288713265729,13380.612518108444,13380.612518108444,199100
2023-11-21,13471.9482421875,13882.956832627118,13426.280621027545,13471.9482421875,148900
2023-11-22,13882.95703125,14065.62751850329,13471.948434930098,13471.948434930098,270900
2023-11-23,14567.9716796875,14613.639302507836,13882.957337382444,13882.957337382444,461800
2023-11-24,14019.9599609375,14522.303803186074,13563.283740711522,14019.9599609375,577400
2023-11-27,13882.95703125,13882.95703125,13563.283678556743,13882.95703125,40600
2023-11-28,13471.9482421875,13700.286347987289,13426.280621027545,13471.9482421875,97200
2023-11-29,13471.9482421875,13837.28921146716,13426.280621027545,13471.9482421875,33100
2023-11-30,13608.951171875,13700.286414639262,13334.945443582215,13426.280686346478,91500
2023-12-01,13471.9482421875,13608.951105667373,13426.280621027545,13608.951105667373,33300
2023-12-04,13608.951171875,13608.951171875,13426.280686346478,13426.280686346478,104600
2023-12-05,13608.951171875,13608.951171875,13426.280686346478,13517.615929110738,121100
2023-12-06,13700.2861328125,13700.2861328125,13426.28041015625,13426.28041015625,196500
2023-12-07,13700.2861328125,13837.288994140625,13471.948030598958,13608.950891927085,154700
2023-12-08,13882.95703125,13882.95703125,13563.283678556743,13608.951300370063,100000
2023-12-11,13791.62109375,13791.62109375,13608.950615687085,13700.285854718542,21800
2023-12-12,13791.62109375,13791.62109375,13517.615376655627,13563.282996171358,81100
2023-12-13,13517.615234375,13700.285710515203,13517.615234375,13563.282853410052,36000
2023-12-15,13563.283203125,13654.618443550084,13426.280342487373,13426.280342487373,40100
2023-12-18,13517.615234375,13608.950472445102,13334.944758234798,13517.615234375,61800
2023-12-19,13471.9482421875,13517.615863347455,13243.610136387711,13289.27775754767,52600
2023-12-20,13426.2802734375,13471.947893415178,13289.277413504464,13334.945033482143,45100
2023-12-21,13608.951171875,13700.286414639262,13289.277822200083,13334.945443582215,143300
2023-12-22,13700.2861328125,13700.2861328125,13426.28041015625,13471.948030598958,68000
2023-12-25,13563.283203125,13700.286063762624,13426.280342487373,13563.283203125,58800
2023-12-26,13563.283203125,13608.950823337542,13471.947962699916,13471.947962699916,24300
2023-12-27,13563.283203125,13700.286063762624,13471.947962699916,13563.283203125,178300
2023-12-28,13654.6181640625,13700.2857833403,13563.282925506895,13654.6181640625,41700
2023-12-29,13837.2890625,14111.2947865099,13563.2833384901,13608.950959158416,150700
2024-01-02,13837.2890625,13837.2890625,13654.618579826732,13791.621441831683,107000
2024-01-03,14111.294921875,14111.294921875,13700.286331917476,13745.953953023867,169200
2024-01-04,14156.9619140625,14156.9619140625,13882.956199596774,13882.956199596774,82100
2024-01-05,13882.95703125,13974.292274876643,13745.954165810032,13745.954165810032,93700
2024-01-08,13974.2919921875,14019.959613077002,13700.286266850491,13882.956750408495,86700
2024-01-09,14065.626953125,14065.626953125,13791.621233258928,13882.956473214284,121900
2024-01-10,14019.9599609375,14065.627582960098,13837.28947284711,13837.28947284711,47700
2024-01-11,14065.626953125,14065.626953125,13882.956473214284,14019.95933314732,88600
2024-01-12,13654.6181640625,13882.956260451503,13563.282925506895,13700.2857833403,166900
2024-01-15,13791.62109375,13791.62109375,13563.282996171358,13608.950615687085,158000
2024-01-16,13791.62109375,13791.62109375,13654.618235202814,13700.285854718542,132300
2024-01-17,13791.62109375,13837.288713265729,13608.950615687085,13608.950615687085,144800
2024-01-19,13563.283203125,13791.62130418771,13563.283203125,13563.283203125,120000
2024-01-22,13700.2861328125,13700.2861328125,13426.28041015625,13608.950891927085,34100
2024-01-23,13517.615234375,13654.618091480152,13426.279996304898,13517.615234375,37800
2024-01-24,13517.615234375,13608.950472445102,13471.94761533995,13471.94761533995,54800
2024-01-25,13380.61328125,13517.61614761092,13380.61328125,13517.61614761092,58000
2024-01-26,13426.2802734375,13471.947893415178,13334.945033482143,13380.61265345982,22400
2024-01-29,13426.2802734375,13608.950753348214,13334.945033482143,13426.2802734375,88600
2024-01-30,13517.615234375,13517.615234375,13289.277139199748,13380.612377269848,59700
2024-01-31,13197.9423828125,13517.615727724911,13197.9423828125,13426.280486321366,142000
2024-02-01,13197.9423828125,13243.610003514272,13060.93952070718,13197.9423828125,50300
2024-02-02,13197.9423828125,13243.610003514272,13015.271900005406,13197.9423828125,205900
2024-02-05,12786.93359375,13152.274553571428,12786.93359375,13152.274553571428,177800
2024-02-06,12923.9365234375,13015.27176388582,12786.933662765015,12786.933662765015,31600
2024-02-07,12923.9365234375,13015.27176388582,12878.268903213338,13015.27176388582,23500
2024-02-15,13197.9423828125,13197.9423828125,12923.93665860186,12923.93665860186,27400
2024-02-16,13197.9423828125,13197.9423828125,12969.604279303632,13197.9423828125,99100
2024-02-19,13289.27734375,13289.27734375,13060.939245060135,13197.942104274056,83800
2024-02-20,13152.2744140625,13152.2744140625,12969.60393608941,13152.2744140625,76100
2024-02-21,13060.939453125,13197.942314521417,12923.936591728583,13015.271832659528,83600
2024-02-22,13015.271484375,13152.274342105264,12786.933388157897,13152.274342105264,110100
2024-02-23,12832.6015625,13015.272047375443,12786.93394128114,12878.26918371886,108000
2024-02-26,12878.26953125,12969.604776152482,12786.934286347518,12969.604776152482,64400
2024-02-27,12786.93359375,12969.604073660714,12695.598353794643,12832.601213727678,214000
2024-02-28,12923.9365234375,12969.60414366166,12741.266042540856,12878.268903213338,109000
2024-02-29,12969.6044921875,13060.939735090227,12786.934006382042,12923.936870736135,69200
2024-03-01,13197.9423828125,13197.9423828125,12878.269037900083,12969.604279303632,160400
2024-03-04,13060.939453125,13243.609934986887,13060.939453125,13243.609934986887,205400
2024-03-05,13060.939453125,13152.274694055945,12969.604212194055,12969.604212194055,127000
2024-03-06,12923.9365234375,13060.939384109985,12923.9365234375,13060.939384109985,80200
2024-03-07,12878.26953125,12969.604776152482,12878.26953125,12923.93715370124,133200
2024-03-08,12832.6015625,13015.272047375443,12786.93394128114,13015.272047375443,102600
