Price,Close,High,Low,Open,Volume
Ticker,FCN.VN,FCN.VN,FCN.VN,FCN.VN,FCN.VN
Date,,,,,
2023-07-17,16610.9140625,16949.91230867347,16610.9140625,16949.91230867347,3280800
2023-07-19,16029.7744140625,16562.485950481496,16029.7744140625,16514.05762898886,3965900
2023-07-20,16320.3427734375,16368.771090272625,15981.344555591617,16175.057822932122,2345900
2023-07-21,16610.9140625,16804.627346027697,16320.344137208454,16417.200778972303,2626900
2023-07-24,17046.767578125,17337.33748002486,16659.341042258522,16659.341042258522,5957000
2023-07-26,16465.62890625,16804.6271484375,16368.772265625,16804.6271484375,3357800
2023-07-28,16417.201171875,16756.199426161504,16368.772849834071,16659.342782079646,3344300
2023-08-03,16465.62890625,16707.7705078125,16271.915625,16465.62890625,3820900
2023-08-04,16659.341796875,16949.911711936773,16271.915243459302,16465.628520167153,4413400
2023-08-07,16901.484375,17385.76759491404,16659.34276504298,16853.056053008597,5758200
2023-08-08,16562.484375,17046.76754385965,16562.484375,16949.910910087718,3050400
2023-08-09,16417.201171875,16659.342782079646,16417.201171875,16562.48613799779,3083600
2023-08-10,16175.05859375,16562.485146893712,16175.05859375,16562.485146893712,2794100
2023-08-11,16465.62890625,16465.62890625,15884.4890625,16368.772265625,3679100
2023-08-14,16901.484375,17240.482628939826,16465.629477077364,16756.199409025787,5420500
2023-08-15,17240.48046875,17821.62025983146,16998.338889132723,17046.76720505618,6122100
2023-08-16,17046.767578125,17385.765797008167,16949.910944158382,17385.765797008167,2694100
2023-08-17,16756.197265625,17434.193686777457,16756.197265625,17046.767160404626,4237200
2023-08-18,15593.9189453125,16756.198618255046,15593.9189453125,16707.77029854911,5103500
2023-08-21,14770.6376953125,15593.919140625,14722.209375,15497.0625,3660400
2023-08-22,14867.494140625,15012.77909965391,13947.356066775244,14770.637501272397,3446700
2023-08-23,14867.494140625,15254.920698035425,14867.494140625,15109.635739006517,1416200
2023-08-24,15206.4921875,15254.920506568473,14625.352358678345,14915.922273089172,3094700
2023-08-25,15012.779296875,15497.0625,15012.779296875,15254.9208984375,2327600
2023-08-28,15206.4921875,15206.4921875,14964.350592157643,15206.4921875,1998100
2023-08-29,15400.205078125,15690.774985259435,15303.348442413522,15303.348442413522,2839700
2023-08-30,15351.77734375,15593.91894223186,15206.492384660884,15448.633983142743,2423000
2023-08-31,15739.2041015625,15884.4890625,15497.0625,15642.3474609375,3380800
2023-09-05,16368.771484375,16465.62812037722,15884.488304363906,15981.344940366123,3763500
2023-09-06,16562.484375,16562.484375,16078.201206140351,16320.342790570176,4216900
2023-09-07,17046.767578125,17531.050747958096,16949.910944158382,17046.767578125,7864400
2023-09-08,16998.33984375,17240.481436965812,16853.05488782051,17046.768162393164,3296800
2023-09-11,16610.9140625,17434.19551749271,16610.9140625,17434.19551749271,4764700
2023-09-12,17434.1953125,17434.1953125,16368.772265625,16610.9138671875,4229700
2023-09-13,18644.904296875,18644.904296875,17724.766162743505,17870.051131290584,13629100
2023-09-14,18790.1875,19032.329091494845,18305.904317010307,18644.90254510309,6241500
2023-09-15,18402.76171875,18790.18828125,18209.0484375,18790.18828125,4380500
2023-09-18,18790.1875,18790.1875,18257.47599871134,18402.760953608245,3496700
2023-09-19,17482.623046875,19080.757563625342,17482.623046875,18935.47260755713,14151400
2023-09-20,17627.91015625,17918.480103880494,16610.91533954327,17434.19685782967,8384900
2023-09-21,17095.197265625,18063.763682940866,17095.197265625,17627.908795148724,4246900
2023-09-22,15932.9169921875,16804.626736440918,15932.9169921875,16465.62850256459,7458800
2023-09-25,14819.06640625,15981.346124387255,14819.06640625,15545.491230085783,4364800
2023-09-26,13802.0712890625,15109.6359375,13802.0712890625,14141.06953125,4552600
2023-09-27,14528.49609375,14528.49609375,13124.0748046875,13850.499609375,3895200
2023-09-28,13898.927734375,14528.495889590591,13802.071095111063,14528.495889590591,2582100
2023-09-29,14141.0693359375,14383.210934155608,13947.356057363011,14141.0693359375,2464500
2023-10-02,14770.6376953125,15109.6359375,14044.212890625,14431.639453125,3004100
2023-10-03,14044.212890625,15012.779296875,14044.212890625,14625.352734375,3797600
2023-10-04,14431.638671875,14625.351942638425,13366.215682676177,13947.355494966445,2456300
2023-10-05,14431.638671875,14964.350166474413,14383.210354184144,14722.208578020134,2969500
2023-10-06,14722.2099609375,14819.066605417353,14286.355060778164,14528.496671977797,1906800
2023-10-09,15012.779296875,15158.0642578125,14625.352734375,14625.352734375,2238700
2023-10-10,14819.06640625,15351.777943729576,14819.06640625,15012.77969260621,3298500
2023-10-11,15109.6357421875,15206.492381560498,14625.352545322516,14964.350783128006,2134400
2023-10-12,15012.779296875,15400.205859375,14915.92265625,15303.34921875,2196800
2023-10-13,14964.3505859375,15061.207224034182,14480.067395454083,14770.637309744134,2320800
2023-10-16,14480.0673828125,15012.77889187918,14431.639063806437,15012.77889187918,1950700
2023-10-17,13511.501953125,14673.781691028224,13511.501953125,14528.496723790322,1984000
2023-10-18,12591.36328125,14044.212890625,12591.36328125,13559.9296875,4157600
2023-10-19,12978.7890625,13075.645697294776,12397.649253731342,12591.362523320897,2805400
2023-10-20,13414.64453125,13511.5011704648,12688.219737138988,12688.219737138988,1785500
2023-10-23,13027.2177734375,13511.500962041124,13027.2177734375,13463.072643180762,1064800
2023-10-24,13366.216796875,13414.645118602808,12881.93357959692,13124.07518823596,1254100
2023-10-25,13075.646484375,13511.5013671875,13075.646484375,13463.073046875,1415100
2023-10-26,12203.9375,12930.362351190475,12203.9375,12930.362351190475,3776500
2023-10-27,12107.0791015625,12349.22068359375,11429.082671875,12349.22068359375,2760900
2023-10-30,11429.083984375,12058.65216995498,11429.083984375,11719.653916181143,1009900
2023-10-31,10944.7998046875,11719.6528882052,10847.943169247788,11622.796252765487,2102500
2023-11-01,11525.9404296875,11525.9404296875,10557.374007024684,11041.657218356091,1989400
2023-11-02,12300.7939453125,12300.7939453125,11671.225751261074,11719.654073880414,2347100
2023-11-03,12494.5068359375,12736.648441285126,12203.93690952035,12494.5068359375,2583400
2023-11-06,12542.9345703125,12688.219526725386,12300.792976291024,12591.362889116795,1591100
2023-11-07,12300.7939453125,12785.077171505904,12203.93730007382,12349.22226793184,1884900
2023-11-08,13124.07421875,13124.07421875,12300.792810193729,12300.792810193729,3433100
2023-11-09,13511.501953125,13802.071887600803,13220.932018649191,13366.216985887097,3389500
2023-11-10,13463.0732421875,14044.213094368257,13172.503316097122,13172.503316097122,2941200
2023-11-13,13414.64453125,13656.786129287004,13124.074613605597,13608.357809679605,2298800
2023-11-14,13511.501953125,13656.786920362902,13269.360341061829,13559.930275537634,1804700
2023-11-15,13511.501953125,13995.785177251344,13366.216985887097,13947.356854838708,2274600
2023-11-16,13753.642578125,13753.642578125,13366.21602662852,13366.21602662852,1444700
2023-11-17,13705.21484375,14237.926374779152,13414.644917734098,13753.64316475265,4867700
2023-11-20,13705.21484375,13753.64316475265,13269.35995472615,13269.35995472615,1578000
2023-11-21,13995.7841796875,14189.497455530924,13802.070903844076,13850.499222804932,2856300
2023-11-22,14141.0693359375,14480.067573442851,13947.356057363011,14141.0693359375,3228100
2023-11-23,13269.359375,14286.354071624088,13269.359375,14286.354071624088,2856200
2023-11-24,13172.5029296875,13414.644527659697,12688.219733743106,13366.216208065258,3443800
2023-11-27,13172.5029296875,13414.644527659697,13124.07461009306,13317.78788847082,830100
2023-11-28,13269.359375,13366.216012773722,12978.789461678833,12978.789461678833,1952100
2023-11-29,13463.0732421875,13511.501563202562,13220.931637112184,13269.359958127248,1253800
2023-11-30,13220.9306640625,13656.785521119506,13220.9306640625,13559.92888621795,1912900
2023-12-01,13414.64453125,13463.0728508574,13220.931252820395,13269.359572427798,1329300
2023-12-04,14286.3544921875,14334.7828125,13559.9296875,13608.3580078125,3821900
2023-12-05,14189.4970703125,14383.21034089697,14092.640435020265,14334.782023250851,2218400
2023-12-06,14576.9248046875,14625.353126297758,14189.49823180544,14286.354875025954,3128000
2023-12-07,14237.92578125,14673.780652104591,13947.35586734694,14625.352333120749,3363900
2023-12-08,13947.3564453125,14334.783013237848,13898.928124321832,14334.783013237848,1797900
2023-12-11,14237.92578125,14237.92578125,13753.642591411564,14092.640824298467,1408500
2023-12-12,14141.0693359375,14383.210934155608,14141.0693359375,14383.210934155608,904000
2023-12-13,14044.212890625,14528.49609375,14044.212890625,14286.3544921875,3048988
2023-12-15,13753.642578125,14141.06912962148,13656.78594025088,13995.7841728103,1271300
2023-12-18,13463.0732421875,13802.07148929294,13463.0732421875,13753.643168277877,1539200
2023-12-19,13608.3583984375,13608.3583984375,13317.788468221752,13559.930076734876,1291000
2023-12-20,13705.21484375,14044.213090768551,13656.78652274735,13753.64316475265,1254400
2023-12-21,13753.642578125,13802.07089706206,13656.78594025088,13705.21425918794,682400
2023-12-22,13753.642578125,13850.49921599912,13656.78594025088,13802.07089706206,821800
2023-12-25,13995.7841796875,13995.7841796875,13656.785946961503,13656.785946961503,1451700
2023-12-26,14044.212890625,14189.4978515625,13947.35625,13995.7845703125,1554700
2023-12-27,14044.212890625,14189.4978515625,13947.35625,14189.4978515625,1301200
2023-12-28,13947.3564453125,14092.641408284506,13802.071482340496,14044.213087293838,1313100
2023-12-29,13898.927734375,14092.641012902875,13898.927734375,14044.212693270903,1243300
2024-01-02,13947.3564453125,14092.641408284506,13802.071482340496,14044.213087293838,971800
2024-01-03,14334.7822265625,14480.067181561444,13802.070724899704,13850.499043232683,3385100
2024-01-04,14141.0693359375,14431.639253799229,14141.0693359375,14334.782614511989,1678900
2024-01-05,14189.4970703125,14334.782023250851,14092.640435020265,14141.068752666382,1262400
2024-01-08,14431.638671875,14673.780260329278,14237.925401111575,14334.782036493289,3183100
2024-01-09,14286.3544921875,14528.49609375,14237.926171875,14480.0677734375,1477600
2024-01-10,14237.92578125,14480.067376169218,14092.640824298467,14431.639057185374,2631000
2024-01-11,14383.2109375,14431.639257154882,14141.06933922559,14237.925978535352,1531200
2024-01-12,13656.7861328125,14383.210927111037,13608.357813192595,14334.782607491135,3869300
2024-01-15,13511.501953125,13850.50021001344,13511.501953125,13850.50021001344,1177100
2024-01-16,13753.642578125,13753.642578125,13269.3593887544,13317.78770769146,988900
2024-01-17,13705.21484375,13850.49980675795,13656.78652274735,13802.0714857553,1011000
2024-01-19,13753.642578125,13947.35585387324,13705.21425918794,13898.92753493618,977700
2024-01-22,13802.0712890625,13850.499609375,13656.786328125,13753.64296875,812700
2024-01-23,13947.3564453125,14141.069729275174,13850.499803331164,13898.928124321832,1654100
2024-01-24,13947.3564453125,14044.213087293838,13850.499803331164,13995.78476630317,582600
2024-01-25,13753.642578125,14044.21249174736,13705.21425918794,13947.35585387324,843500
2024-01-26,13705.21484375,13898.9281277606,13705.21484375,13753.64316475265,723200
2024-01-29,13705.21484375,13850.49980675795,13705.21484375,13753.64316475265,635300
2024-01-30,13850.5,13850.5,13656.786713286714,13802.071678321678,971600
2024-01-31,13705.21484375,14044.213090768551,13705.21484375,13995.784769765902,1236600
2024-02-01,13753.642578125,13753.642578125,13608.35762131382,13608.35762131382,1097100
2024-02-02,13753.642578125,13995.7841728103,13705.21425918794,13850.49921599912,1783300
2024-02-05,13559.9296875,13802.0712890625,13559.9296875,13802.0712890625,1573100
2024-02-06,13656.7861328125,13656.7861328125,13511.501173952793,13608.357813192595,1145700
2024-02-07,13656.7861328125,13705.214452432405,13511.501173952793,13656.7861328125,1131200
2024-02-15,14092.640625,14189.497261597937,13705.214078608247,13753.642396907217,2904700
2024-02-16,14141.0693359375,14189.49765558112,13995.784377006636,14092.64101629388,1974600
2024-02-19,14431.638671875,14431.638671875,14092.64044803901,14189.497083420722,3518400
2024-02-20,14189.4970703125,14528.495293835324,14141.068752666382,14528.495293835324,2106000
2024-02-21,14141.0693359375,14237.925975224744,13947.356057363011,14189.49765558112,1859800
2024-02-22,14237.92578125,14480.067376169218,14141.069143282311,14189.497462266158,2936500
2024-02-23,13705.21484375,14286.354695781802,13608.3582017447,14237.926374779152,3376300
2024-02-26,13753.9873046875,13753.9873046875,13412.57627230164,13705.214300060949,2225100
2024-02-27,13851.533203125,13997.852215834067,13753.987194652287,13851.533203125,1419200
2024-02-28,13851.533203125,13997.852215834067,13753.987194652287,13949.079211597713,1240300
2024-02-29,13802.7607421875,13949.07976065592,13656.44172371908,13851.53374834364,1697500
2024-03-01,14192.9443359375,14241.71734052835,13656.441285438144,13900.306308392395,4110600
2024-03-04,14241.7177734375,14436.809797731165,14095.398755217251,14436.809797731165,2886365
2024-03-05,15022.0859375,15022.0859375,14241.717836850648,14339.263849431818,9742500
2024-03-06,14583.12890625,15070.85897000418,14534.35589987458,15070.85897000418,3579800
2024-03-07,14729.447265625,14778.22026981581,14436.809240480132,14583.128253052566,3568662
2024-03-08,14924.5400390625,15265.95108570772,14583.12899241728,14729.448012408087,8558100
2024-03-11,15070.8583984375,15461.042434643,14778.220371283374,14924.539384860436,4696300
2024-03-12,15168.404296875,15461.042321895096,14875.766271854904,14924.53927602492,5444400
2024-03-13,15217.177734375,15753.680795522838,15217.177734375,15265.950739933896,6434300
2024-03-14,15851.2265625,15899.999567307692,15119.631490384614,15265.950504807692,6248100
2024-03-15,15997.5458984375,16095.091910013338,15509.815840558307,15802.453875285824,4139500
2024-03-18,15558.5888671875,16095.091931573275,14924.53979109522,15948.772914013518,5927000
2024-03-19,15119.6318359375,15704.907907006049,15119.6318359375,15558.58888923891,2344900
2024-03-20,15802.4541015625,15802.4541015625,15119.632010754243,15168.405017240548,2312100
2024-03-21,15656.134765625,15997.545804127729,15558.58875462422,15899.999793126948,3323800
2024-03-22,15851.2265625,16046.318581730768,15558.588533653843,15899.999567307692,4407900
2024-03-25,16143.865234375,16387.73026812689,15704.9081736216,15802.454187122356,5277100
2024-03-26,16143.865234375,16192.638241125378,15948.77320737349,16095.092227624624,1347700
2024-03-27,16192.6376953125,16436.502720844317,16046.318679993412,16338.95671063159,2063000
2024-03-28,16095.091796875,16290.183818655303,15997.545785984848,16290.183818655303,1405800
2024-03-29,16192.6376953125,16241.410700418865,15948.772669780688,16095.091685099776,1507100
2024-04-01,16485.275390625,16680.3674070821,16192.637365939348,16241.410370053623,2732200
2024-04-02,16290.18359375,16534.048617608532,16192.637584206586,16534.048617608532,3655300
2024-04-03,15607.361328125,16485.27540283203,15412.269311523438,16192.637377929688,7620600
2024-04-04,15217.177734375,15607.361778846154,15119.631723257213,15607.361778846154,8354200
2024-04-05,15217.177734375,15607.361778846154,14875.766695462742,15119.631723257213,1259200
2024-04-08,15265.951171875,15558.589213508389,15217.178164936102,15412.270192691693,1072100
2024-04-09,15363.4970703125,15363.4970703125,15168.405044022818,15363.4970703125,662500
2024-04-10,15363.4970703125,15509.816090029764,15265.951057167658,15363.4970703125,794800
2024-04-11,15363.4970703125,15412.27007688492,15119.632037450398,15119.632037450398,690700
2024-04-12,15314.7236328125,15363.49663801254,14729.447570412023,14729.447570412023,1406900
2024-04-15,14290.490234375,15265.950318632678,14290.490234375,15119.631305994028,8235000
2024-04-16,13607.6689453125,14241.718035954302,13558.895938340054,14144.172022009408,1721800
2024-04-17,13412.576171875,13900.306214488635,13412.576171875,13753.987201704544,688000
2024-04-19,12729.7548828125,13266.257962164753,12680.98187559866,13266.257962164753,8594700
2024-04-22,13022.392578125,13119.93858994616,12876.07356039326,12876.07356039326,1185700
2024-04-23,12827.30078125,13461.349869296577,12827.30078125,13461.349869296577,574000
2024-04-24,13363.8037109375,13510.122729670393,12876.073648494526,12876.073648494526,898200
2024-04-25,13705.21484375,13802.760856872776,13315.030791258896,13363.803797820285,5674000
2024-04-26,14583.12890625,14583.12890625,13363.803746864549,13656.441785117056,1291200
2024-05-02,14485.5830078125,14680.675034853746,14241.717974010942,14583.129021333123,1269700
2024-05-03,14631.9013671875,14729.447376302083,14485.582353515623,14583.128362630208,810800
2024-05-06,15022.0859375,15022.0859375,14534.355874594155,14631.901887175323,720100
2024-05-07,15070.8583984375,15363.496425591626,14924.539384860436,14924.539384860436,1060200
2024-05-08,15022.0859375,15022.0859375,14631.901887175323,14826.993912337664,521700
2024-05-09,15412.26953125,15656.13455547864,15022.085492484175,15022.085492484175,2943100
2024-05-10,15363.4970703125,15802.454129464286,15217.178050595236,15558.589096602183,1436300
2024-05-13,15217.177734375,15412.269756610578,15022.085712139424,15217.177734375,1068000
2024-05-14,15022.0859375,15412.269987824677,14973.312931209415,15119.631950081168,781300
2024-05-15,15119.6318359375,15363.496865549394,14924.539812247984,15363.496865549394,1087900
2024-05-16,15314.7236328125,15607.361664012738,15119.63161201234,15412.26964321258,2007700
2024-05-17,15265.951171875,15461.04319963059,15022.086137180511,15314.724178813896,1680900
