Price,Close,High,Low,Open,Volume
Ticker,FMC.VN,FMC.VN,FMC.VN,FMC.VN,FMC.VN
Date,,,,,
2023-07-17,40842.171875,42181.96798941799,40453.19880952381,40971.82956349207,75800
2023-07-19,41490.4609375,41490.4609375,40539.63787434896,40798.95325520833,54900
2023-07-20,41490.4609375,42181.96861979167,41144.70709635416,42181.96861979167,100100
2023-07-21,41490.4609375,41922.65323893229,40755.7340250651,41922.65323893229,111900
2023-07-24,41490.4609375,41879.43400878906,41144.70709635416,41144.70709635416,60000
2023-07-26,41490.4609375,41836.21477864583,41187.92632649739,41836.21477864583,73400
2023-07-28,41663.3359375,41663.3359375,41317.582112292526,41533.6782530472,47600
2023-08-03,41058.265625,41490.45789473684,40712.511809210526,40712.511809210526,31400
2023-08-04,40193.8828125,41317.582762096776,40193.8828125,41015.04816028226,50800
2023-08-07,41360.80078125,41447.23923638323,40366.75854721787,41015.04696071709,26900
2023-08-08,41231.14453125,41490.45990566038,41015.04838590802,41360.80221845519,23300
2023-08-09,43219.23046875,44083.615078125,41058.2689453125,41231.1458671875,142800
2023-08-10,42787.0390625,43392.10830176768,42398.06598011364,43392.10830176768,25500
2023-08-11,42441.28515625,42873.4774694501,40712.51590344959,42787.03900681008,60700
2023-08-14,42354.84375,42441.282206632655,41836.21301020408,42441.282206632655,22100
2023-08-15,42398.06640625,43089.57411522044,41922.654856332825,43089.57411522044,17700
2023-08-16,42354.84375,42398.06297831632,42009.089923469386,42398.06297831632,44700
2023-08-17,41922.65234375,42354.84463595361,41490.4600515464,42354.84463595361,41900
2023-08-18,40107.4453125,41576.89912782866,40107.4453125,41231.1452889278,110100
2023-08-21,40107.4453125,40539.63761112608,38897.306876346986,38897.306876346986,106200
2023-08-22,39934.56640625,40107.44331709956,38551.55111945346,38983.74339657738,55100
2023-08-23,39243.05859375,39977.78546169466,39243.05859375,39934.5662341685,47800
2023-08-24,40193.8828125,40193.8828125,39243.059778225805,39329.4982358871,39600
2023-08-25,41058.265625,42959.91161184211,41015.04639802632,41187.92330592105,111100
2023-08-28,41576.89453125,41965.86755701014,41144.70228040541,41144.70228040541,41200
2023-08-29,40453.19921875,41490.460737179485,40453.19921875,41490.460737179485,34700
2023-08-30,40971.828125,41360.80117681962,40626.07430116034,40669.2935291403,29600
2023-08-31,40971.828125,41404.02040479958,40971.828125,41058.26658095992,47700
2023-09-05,42787.0390625,43003.13521938132,41490.46212121213,42009.09289772728,94000
2023-09-06,43089.57421875,43219.23191449348,42311.62804428912,43219.23191449348,80400
2023-09-07,43003.1328125,43564.982788944726,42441.28283605528,43132.79049937186,96700
2023-09-08,42916.6953125,43219.22992195368,42916.6953125,43003.13377234391,63800
2023-09-11,44688.68359375,45120.8758915619,43176.01055140836,43219.22978118956,255400
2023-09-12,44602.2421875,44947.99600290698,44083.611464389534,44775.11909520349,69900
2023-09-13,44342.92578125,45812.37946211013,44256.4873294347,44602.24113669591,76100
2023-09-14,43132.79296875,44775.1237631513,43132.79296875,44515.80837456162,59000
2023-09-15,43132.79296875,43997.177597382266,42959.91604302354,43997.177597382266,59300
2023-09-18,43219.23046875,43478.5458515625,42354.845859375,43305.6689296875,50400
2023-09-19,43392.10546875,43478.54392585906,42787.03626898656,43219.228554531874,41900
2023-09-20,44948.0,45380.19230769231,43219.23076923077,43219.23076923077,107900
2023-09-21,45034.4375,46244.57593570057,43997.17598368522,44947.9990403071,118400
2023-09-22,44515.80859375,45207.31630006068,42354.84701152913,44083.616277305824,110200
2023-09-25,41576.89453125,45207.3094383446,41490.45608108108,44515.80183699325,115501
2023-09-26,41749.77734375,43737.86197916666,41058.26964447464,41922.65426856884,104900
2023-09-27,42527.72265625,42527.72265625,41144.70728531504,41749.77651009909,60000
2023-09-28,42959.9140625,43564.983274647886,42657.37945642606,42657.37945642606,41400
2023-09-29,40021.0078125,43651.42320801836,40021.0078125,43219.23089902808,51300
2023-10-02,42787.0390625,42787.0390625,41490.46212121213,42354.84674873738,63700
2023-10-03,42873.4765625,44515.80731791835,41965.87272397934,44515.80731791835,93900
2023-10-04,42959.9140625,43089.571750817406,41663.33717932596,41749.77563820423,36500
2023-10-05,43219.23046875,43651.42277343749,42700.599703125,42700.599703125,38700
2023-10-06,43392.10546875,43651.4208400772,42787.03626898656,43219.228554531874,39100
2023-10-09,44083.61328125,44861.55939797794,43392.10562193627,43564.98253676471,68900
2023-10-10,44256.4921875,45034.4383392334,43824.299880981445,44083.61526489258,79300
2023-10-11,43997.17578125,44256.49115913556,43651.42194406925,43651.42194406925,49900
2023-10-12,43478.54296875,44256.48906560636,43392.10451354374,43910.73524478131,38000
2023-10-13,43910.734375,43910.734375,42959.91138656496,43392.10365403543,53100
2023-10-16,43219.23046875,43910.73815625,42787.0381640625,43910.73815625,30800
2023-10-17,42268.40625,43219.22929447853,42268.40625,42657.37931365031,42900
2023-10-18,41058.265625,42225.18475328948,40626.07335526316,42225.18475328948,112900
2023-10-19,41058.265625,42009.088618421054,40798.95026315789,42009.088618421054,32400
2023-10-20,41490.4609375,41533.68016764323,39761.69173177083,41404.02247721354,71900
2023-10-23,40280.32421875,41490.46271459227,40280.32421875,41490.46271459227,16600
2023-10-24,40496.41796875,41015.048721818304,39761.691068569904,41015.048721818304,59500
2023-10-25,40582.859375,40669.29784012247,39934.57088658147,40539.640142438766,23200
2023-10-26,38637.98828125,39761.68816414989,37773.60375594239,39761.68816414989,108300
2023-10-27,38551.55078125,39415.9353279148,38076.13928058437,39415.9353279148,62400
2023-10-30,37600.7265625,38508.33030711207,37600.7265625,38076.13804777299,18600
2023-10-31,36304.15234375,37600.729213169645,36304.15234375,37600.729213169645,31200
2023-11-01,35828.7421875,36995.66141435465,35310.111420009045,35310.111420009045,64600
2023-11-02,37211.75390625,37211.75390625,35828.73866234756,35958.39634146341,72200
2023-11-03,37773.609375,38205.80170194508,36866.00548841533,38205.80170194508,30300
2023-11-06,37860.04296875,38032.91987728311,37471.06992455052,37730.385287350175,19100
2023-11-07,37816.82421875,37903.26267410714,35871.958973214285,37860.04344642857,24800
2023-11-08,38897.3046875,38897.3046875,37471.07018229167,37816.82400173611,23300
2023-11-09,39026.9609375,39372.71474425526,38983.7417116556,39026.9609375,22300
2023-11-10,38724.4296875,39070.18352399553,38551.55276925223,39070.18352399553,21100
2023-11-13,38421.89453125,38681.20990491423,38076.140699697695,38681.20990491423,10700
2023-11-14,38724.4296875,39070.18352399553,38465.114310128345,38465.114310128345,18400
2023-11-15,38637.98828125,39632.03048535375,38637.98828125,39632.03048535375,31400
2023-11-16,38810.86328125,39113.39785025752,38681.20560881821,38897.30172953786,9200
2023-11-17,38724.4296875,39070.18352399553,38076.14124407087,38897.30660574777,18100
2023-11-20,39070.1796875,39415.93349004425,37946.4798292312,38551.54898368363,10500
2023-11-21,39848.12890625,39934.56736374729,38854.08664503118,39070.1827887744,59600
2023-11-22,39848.12890625,40150.663507490506,39588.81353375813,40150.663507490506,32800
2023-11-23,39848.12890625,40107.44427874187,39675.25199125542,39675.25199125542,46200
2023-11-24,39977.78515625,39977.78515625,39156.61983952703,39804.90824746622,44600
2023-11-27,39977.78515625,40021.00438344595,39761.68902027027,40021.00438344595,34500
2023-11-28,39848.12890625,40021.00582124457,39588.81353375813,40021.00582124457,8000
2023-11-29,39848.12890625,39848.12890625,38897.30587377983,39761.69044875271,4100
2023-11-30,39113.40234375,39934.5676968232,39113.40234375,39934.5676968232,13200
2023-12-01,39199.83984375,39848.12826453969,38205.79759853914,39848.12826453969,6100
2023-12-04,39329.49609375,39848.12681146978,38983.742281936815,39199.83841432006,68400
2023-12-05,39761.69140625,39761.69140625,38551.55297214674,38551.55297214674,6800
2023-12-06,40626.07421875,40798.95113031915,39286.27815408909,39761.68966090425,144200
2023-12-07,40626.07421875,40798.95113031915,39761.68966090425,40798.95113031915,59500
2023-12-08,40107.4453125,40626.0760708513,40021.00685277479,40626.0760708513,36100
2023-12-11,40107.4453125,40150.66454236261,39718.47224373653,40107.4453125,18300
2023-12-12,39848.12890625,40107.44427874187,39761.69044875271,40107.44427874187,41500
2023-12-13,39329.49609375,39761.68835851648,39286.27686727335,39761.68835851648,67300
2023-12-15,38810.86328125,38897.30172953786,38421.89026395462,38810.86328125,18300
2023-12-18,38637.98828125,38810.86518631152,38551.54982871924,38810.86518631152,6300
2023-12-19,38983.74609375,39588.81532358648,38292.23840250832,38594.77301742655,6600
2023-12-20,38983.74609375,39070.18455515521,38162.5807104005,38983.74609375,33100
2023-12-21,38983.74609375,39070.18455515521,38465.11532531874,38983.74609375,23400
2023-12-22,38767.64453125,38940.52142994008,38335.4522845248,38465.10995854236,24900
2023-12-25,38724.4296875,38897.30660574777,38551.55276925223,38551.55276925223,65000
2023-12-26,38810.86328125,38897.30172953786,38724.42483296214,38724.42483296214,9400
2023-12-27,38767.64453125,38983.74065461259,38637.98685723244,38637.98685723244,21500
2023-12-28,38854.0859375,38897.30516546163,38681.20902565351,38810.86670953838,13000
2023-12-29,38897.3046875,39632.03155381945,38810.86623263889,38854.08546006944,40000
2024-01-02,39329.49609375,39675.24990556319,38594.76924364698,38594.76924364698,18200
2024-01-03,39243.05859375,39415.93550385463,39070.18168364537,39113.400911171535,26200
2024-01-04,39372.71875,39588.814901207465,39199.841829034034,39415.9379802415,19700
2024-01-05,39415.9375,39415.9375,39156.62212171053,39286.27981085527,26200
2024-01-08,39415.9375,39675.25287828947,39415.9375,39632.033648574565,34800
2024-01-09,39934.56640625,39934.56640625,39415.93567370129,39718.47026768804,105000
2024-01-10,39415.9375,40021.00671600877,39415.9375,40021.00671600877,33300
2024-01-11,39415.9375,39502.375959429824,39286.27981085527,39502.375959429824,43300
2024-01-12,38767.64453125,39415.932901337794,38637.98685723244,39243.05600264771,49100
2024-01-15,38249.01953125,38854.0887667726,38162.58106903249,38637.992611228816,33500
2024-01-16,37773.609375,38249.02093463959,37600.73244422197,38205.80170194508,61900
