Price,Close,High,Low,Open,Volume
Ticker,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN
Date,,,,,
2017-01-03,12118.431640625,12145.450998373874,11969.821930275608,11969.821930275608,3557108
2017-01-04,12226.509765625,12348.100106699638,12077.90006936273,12104.92035104473,3590432
2017-01-05,12185.98046875,12267.040388626385,12185.98046875,12213.000750873587,4002164
2017-01-06,12145.451171875,12294.060884347322,12145.451171875,12213.001883448298,3772806
2017-01-09,12213.0009765625,12267.040615313916,12131.941055188176,12172.470552628138,2168390
2017-01-10,12429.1591796875,12429.1591796875,12199.490489872507,12226.509845236074,3938291
2017-01-11,12456.1796875,12591.27924625165,12456.1796875,12510.219325701784,2868460
2017-01-12,12415.6513671875,12483.201152965476,12388.63108227852,12456.180868056495,1897283
2017-01-13,12131.94140625,12537.240098355343,12077.900839440415,12456.180174635392,5758925
2017-01-16,11888.76171875,12131.94149162109,11888.76171875,12131.94149162109,3574103
2017-01-17,11996.841796875,12104.921077096857,11888.761590158723,11888.761590158723,2149387
2017-01-18,11834.720703125,12077.899521249725,11834.720703125,12077.899521249725,2141452
2017-01-19,11834.720703125,11888.760337542237,11740.150648024091,11834.720703125,5376872
2017-01-20,11942.80078125,12023.860701615951,11821.211363948269,11834.721505091657,2990011
2017-01-23,12010.3505859375,12050.881009453604,11942.800806571717,11996.841371259854,2274247
2017-01-24,12077.900390625,12131.940955426437,11969.821114010909,12077.900390625,1325654
2017-01-25,12185.98046875,12240.020106502796,12064.391052182613,12131.940830997202,15715622
2017-02-03,12077.900390625,12131.940955426437,11996.841396411628,12077.900390625,1746406
2017-02-06,11969.8212890625,12023.860928159844,11942.801006266627,12023.860928159844,2017393
2017-02-07,12023.8603515625,12077.899988068402,11956.31057430653,11956.31057430653,10319982
2017-02-08,12050.880859375,12145.449993412723,12010.350436363651,12050.880859375,3112554
2017-02-09,12037.37109375,12077.90059153086,12023.86095232491,12050.88123517509,2797280
2017-02-10,12010.3505859375,12050.881009453604,11956.31094774375,12023.860727109535,2160905
2017-02-13,12104.9208984375,12118.431039889438,11996.841619810812,12050.881259124157,2961674
2017-02-14,12537.2392578125,12537.2392578125,12131.940592879875,12158.959947978768,6890634
2017-02-15,12429.1591796875,12564.258735988453,12375.119542465996,12564.258735988453,4056372
2017-02-16,12240.0205078125,12496.709490425052,12240.0205078125,12429.159709395728,3914763
2017-02-17,12240.0205078125,12294.06014733708,12131.941228763346,12213.001151297418,3092926
2017-02-20,12172.4697265625,12267.039782830429,12158.95958616789,12240.01950204121,2738640
2017-02-21,12267.0400390625,12402.13959284186,12172.469980819207,12240.019757708887,3710093
2017-02-22,12375.119140625,12510.21869253904,12267.039869691504,12348.099786138797,4321643
2017-02-23,12429.1591796875,12523.729239695916,12334.590046173458,12402.139824323933,3660728
2017-02-24,12429.1591796875,12456.17946154544,12294.059623386547,12429.1591796875,3263183
2017-02-27,12577.7685546875,12672.338612273124,12429.158861264812,12429.158861264812,6289864
2017-02-28,12388.6298828125,12645.31885861731,12375.11974166606,12591.279220525936,2766697
2017-03-01,12348.1005859375,12402.14022490445,12253.530522874538,12388.630083539112,2861185
2017-03-02,12280.5498046875,12402.139214076677,12267.039664423295,12348.099579514188,2195000
2017-03-03,12334.5908203125,12402.140602702511,12199.49125553248,12280.551179699378,1405991
2017-03-06,12415.6513671875,12456.180868056495,12334.591438955034,12334.591438955034,1822632
2017-03-07,12375.119140625,12429.158776091746,12307.56936466798,12429.158776091746,1664419
2017-03-08,12375.119140625,12429.158776091746,12307.56936466798,12348.099786138797,1777551
2017-03-09,12294.0595703125,12402.139770783297,12294.0595703125,12375.119489042005,1815681
2017-03-10,12429.1591796875,12537.239380624884,12348.100187102427,12375.119542465996,4230840
2017-03-13,12361.609375,12510.219071910897,12348.100160594402,12456.179434805395,1837276
2017-03-14,12348.1005859375,12483.200146602074,12348.1005859375,12375.119942173777,2108132
2017-03-15,12307.5712890625,12402.141360786907,12280.551930351588,12348.101716870598,2347419
2017-03-16,12348.1005859375,12402.14022490445,12294.06002047615,12321.080303206823,2143596
2017-03-17,12402.1396484375,12510.21892134774,12361.609226225391,12402.1396484375,3467679
2017-03-20,12591.2802734375,12618.300557989876,12402.141061054252,12402.141061054252,5525394
2017-03-21,12591.2802734375,12766.90934354456,12591.2802734375,12645.31991604779,6605557
2017-03-22,12456.1796875,12631.808743279393,12456.1796875,12618.299528599737,4347345
2017-03-23,12969.556640625,12969.556640625,12402.139093494246,12429.158447265623,7113807
2017-03-24,12888.4990234375,13239.75714528001,12820.94924208403,13077.638225928333,6802853
2017-03-27,12861.478515625,12969.55779330478,12766.908452784392,12861.478515625,6080875
