Price,Close,High,Low,Open,Volume
Ticker,GAS.VN,GAS.VN,GAS.VN,GAS.VN,GAS.VN
Date,,,,,
2017-01-03,40815.3828125,41426.59583064783,40679.55695413915,41426.59583064783,150513
2017-01-04,41766.15625,41969.895033238434,40679.55609501348,40747.46902275962,307688
2017-01-05,41766.15625,41969.895033238434,41426.594955745175,41969.895033238434,38902
2017-01-06,41019.1171875,41766.152639172,41019.1171875,41766.152639172,92558
2017-01-09,41087.03125,41562.41841054199,40747.46994803457,41019.1216651877,265340
2017-01-10,40747.46875,41290.76882385646,40611.64289541691,41290.76882385646,379663
2017-01-11,41019.1171875,41087.02676489922,40747.465500000646,40747.465500000646,66751
2017-01-12,41087.03125,41358.68296715312,40883.29580661114,41087.03125,45332
2017-01-13,40475.8203125,41290.768749580784,40475.8203125,41087.02996807265,217105
2017-01-16,39389.22265625,40475.82287068445,39185.483861865,40475.82287068445,368808
2017-01-17,38506.359375,39389.22075237645,38438.4464468209,39117.57238413598,345825
2017-01-18,38981.74609375,39117.5719485959,38506.358946265245,38506.358946265245,315971
2017-01-19,38981.74609375,38981.74609375,38710.09438405821,38710.09438405821,691211
2017-01-20,39457.1328125,39525.04573918501,38710.093963440646,38981.74567018072,111494
2017-01-23,39728.77734375,39728.77734375,38710.09023065761,39457.12900768061,181326
2017-01-24,40747.46875,41019.12045916617,39728.78152957861,40068.34616603633,830508
2017-01-25,40815.3828125,40815.3828125,40407.90858189344,40747.46988331958,239608
2017-02-03,40407.91015625,41087.032785561976,40204.17136077074,41087.032785561976,220156
2017-02-06,40747.46875,41426.59467843955,39932.52031145325,40407.90745801816,942561
2017-02-07,40747.46875,41087.03004198183,40611.64289541691,40747.46875,623372
2017-02-08,40136.2578125,40747.47084507417,40136.2578125,40747.47084507417,250060
2017-02-09,39389.22265625,39728.78396908223,38574.2741676622,38710.09668610944,3348922
2017-02-10,40068.34765625,40407.90896086073,39321.3087727352,39389.22170255254,1387142
2017-02-13,40136.2578125,40339.99660485007,39932.52236462598,40068.3482261927,1409607
2017-02-14,40136.2578125,40407.90953563343,39728.78357227591,40068.3482261927,1555674
2017-02-15,40136.2578125,40204.17074328336,39864.60943384262,40204.17074328336,1189322
2017-02-16,40272.0859375,40747.47313522589,39932.52460897472,40068.35047817533,1443319
2017-02-17,40000.43359375,40475.820744534,39932.52066585573,40339.99488874545,639685
2017-02-20,40068.34765625,40204.17017140869,39592.96049200458,40000.43472643266,688009
2017-02-21,40543.734375,41019.121534021855,40000.434286907024,40068.34721597815,1972771
2017-02-22,42105.71875,42105.71875,40951.20897868253,40951.20897868253,2549916
2017-02-23,42784.84375,43056.49211824047,42173.63074086402,42445.282453580425,1741517
2017-02-24,41901.98046875,42852.75473110584,41901.98046875,42852.75473110584,982815
2017-02-27,42037.8046875,42037.8046875,41222.856242121816,41630.3304648109,1094516
2017-02-28,40951.2109375,42309.45956285924,40951.2109375,42105.720764041085,838527
2017-03-01,40000.43359375,41019.120823212266,39864.60773796146,41019.120823212266,1653279
2017-03-02,39389.22265625,40407.90993922279,39389.22265625,40339.99700776112,1281330
2017-03-03,39796.6953125,40000.43409875502,39049.65978518351,39389.22108446591,614774
2017-03-06,39525.046875,40068.34695961689,39525.046875,39728.78231643386,847529
2017-03-07,39525.046875,39592.9598036366,39049.65971901972,39389.22101772679,1234897
2017-03-08,39253.39453125,39660.86875206216,39117.57202062987,39660.86875206216,547880
2017-03-09,38574.2734375,38981.74767408093,38574.2734375,38981.74767408093,1473324
2017-03-10,37895.14453125,38438.444585904144,37623.496176160814,38438.444585904144,1659987
2017-03-13,37148.11328125,37759.32298599698,36604.81316466012,37351.848734673615,1095865
2017-03-14,37351.84765625,38302.62199671246,37148.11220870864,37148.11220870864,765367
2017-03-15,37351.84765625,37827.23482648123,37216.02513938111,37351.84765625,863464
2017-03-16,37759.31640625,38030.96808944637,37555.58098832829,38030.96808944637,759000
2017-03-17,37351.84765625,37759.32189580876,37351.84765625,37691.41230961234,708685
2017-03-20,37216.0234375,37555.58473085822,37216.0234375,37351.84594815775,762190
2017-03-21,36944.37109375,37555.5840868951,36944.37109375,37351.84530768812,634454
2017-03-22,35993.59765625,36944.37195920359,35993.59765625,36808.5461032171,1582540
2017-03-23,36129.42578125,36808.54841488112,35993.59991673333,35993.59991673333,1224382
2017-03-24,37012.28515625,37012.28515625,36265.24963184572,36265.24963184572,650566
2017-03-27,36672.72265625,36944.37101681779,36468.98387746728,36876.45809055689,699708
2017-03-28,36401.0703125,36672.72201277712,36333.15738743072,36672.72201277712,403238
2017-03-29,36536.8984375,37080.19852740544,36401.07257890465,36740.63722539303,696229
2017-03-30,36944.37109375,37148.10987295698,36672.72273261654,36672.72273261654,456668
2017-03-31,37351.84765625,37555.58644826741,37080.199278036176,37351.84765625,670762
2017-04-03,37148.11328125,37555.58753257337,37012.28741598349,37216.026213883255,539886
2017-04-04,36876.4609375,37351.84811355144,36672.7254874643,37351.84811355144,771003
2017-04-05,37216.0234375,37419.758875724576,37012.28465479952,37283.93302059093,675377
2017-04-07,38845.921875,38845.921875,37419.76037247927,37555.58623304583,1960945
2017-04-10,38642.18359375,39049.65780108042,38506.35774314793,39049.65780108042,612365
2017-04-11,38574.2734375,39049.660604257086,38234.70878661921,38710.09595337629,905837
2017-04-12,37623.49609375,38710.09285620244,37623.49609375,38710.09285620244,924546
2017-04-13,37148.11328125,38302.62310258686,36876.46155071699,38302.62310258686,855724
2017-04-14,36604.8125,37351.848056449024,36333.16077439956,37283.93512504892,716249
2017-04-17,36672.72265625,37419.7581561683,36468.98387746728,36808.54516429598,620611
2017-04-18,37419.76171875,37487.67465147661,36672.72614770952,36672.72614770952,576851
2017-04-19,37351.84765625,37623.49937893987,37148.11220870864,37487.673517594936,311936
2017-04-20,36672.72265625,36944.37101681779,36672.72265625,36944.37101681779,548863
2017-04-21,36401.0703125,36944.37036857847,36401.0703125,36604.80908770784,323686
2017-04-24,36740.640625,37012.28902285032,36265.25342040472,36401.07594709173,455445
2017-04-25,36468.984375,36808.54566646121,36468.984375,36672.72315656225,139256
2017-04-26,37012.28515625,37012.28515625,36401.07214434363,36536.89800131747,422262
2017-04-27,37895.14453125,38030.97038103248,36944.37027172419,37012.28319661543,1271660
2017-04-28,37691.41015625,38030.971445736686,37012.28423280076,37759.31973856665,628554
2017-05-03,37487.671875,37759.32024131103,37283.9330919098,37351.846019606535,820826
2017-05-04,37487.671875,37487.671875,37216.02350868897,37351.846019606535,786497
2017-05-05,37080.1953125,37283.9307382529,36944.36946568094,37012.28238909047,301145
2017-05-08,37351.84765625,37555.58644826741,37080.199278036176,37080.199278036176,536659
2017-05-09,37759.31640625,37827.22932704909,37216.0197288084,37283.92930513192,960098
2017-05-10,37351.84765625,38030.97361849864,37351.84765625,37963.06068782617,373800
2017-05-11,37419.76171875,37691.41344965647,37283.93585329677,37691.41344965647,158658
2017-05-12,37012.28515625,37555.585239669446,36944.37222776307,37555.585239669446,328276
2017-05-15,36740.640625,37012.28902285032,36672.727689418345,37012.28902285032,454865
2017-05-16,37080.1953125,37216.02115931906,37012.28238909047,37216.02115931906,250300
2017-05-17,36944.37109375,37148.10987295698,36672.72273261654,37148.10987295698,222639
2017-05-18,37148.11328125,37419.76166730686,36808.54861808373,36944.37448335024,581793
2017-05-19,37963.05859375,38302.61988390579,37351.84559588888,37351.84559588888,1400039
2017-05-22,39457.1328125,39660.8682480792,38642.18438123149,38710.093963440646,1993888
2017-05-23,38981.74609375,39728.78160645066,38981.74609375,39457.13324123476,592106
2017-05-24,38778.0078125,39049.65952570159,38438.446515473945,38981.74659740119,595535
2017-05-25,39457.1328125,39796.69410144924,38981.74567018072,39389.21988581498,1185477
2017-05-26,38574.2734375,39253.39605030954,38574.2734375,38778.00888355245,750466
2017-05-29,39389.22265625,39592.96145063499,38574.2741676622,38710.09668610944,806706
2017-05-30,38438.44921875,39457.13652594571,38438.44921875,39389.22359286917,515340
2017-05-31,37759.31640625,38710.09060848616,37691.40682992648,38710.09060848616,493744
2017-06-01,37827.234375,37963.06023472381,37555.5860000284,37691.4118597522,519842
2017-06-02,37080.1953125,37895.14370446299,37012.28238909047,37895.14370446299,1191150
2017-06-05,37487.671875,37555.58480269673,36944.37179790205,37080.19765329551,308899
2017-06-06,37623.49609375,37623.49609375,37351.84439478008,37487.67024426504,395863
2017-06-07,37691.41015625,38166.7972993217,37487.67137587247,37487.67137587247,795700
2017-06-08,37691.41015625,37963.05851894418,36740.63587010658,36740.63587010658,509427
2017-06-09,37283.93359375,37691.41116541503,37148.111081004274,37691.41116541503,352141
2017-06-12,37487.671875,37895.14609670449,37216.02350868897,37283.9330919098,456882
2017-06-13,38166.796875,38166.796875,37351.84510702602,37487.670959100986,560739
2017-06-14,39049.65625,39185.47875073132,38234.70452323384,38234.70452323384,1375278
2017-06-15,38642.18359375,38981.74487577938,38370.53189254586,38710.093174575246,576624
2017-06-16,39049.65625,39389.21751854177,38642.18205885475,38642.18205885475,773864
2017-06-19,39525.046875,39728.78231643386,39253.39516045358,39728.78231643386,1362192
2017-06-20,39457.1328125,39660.8682480792,39321.30695912996,39457.1328125,897604
2017-06-21,39185.48046875,39389.21924549303,38710.09333415875,39185.48046875,930559
2017-06-22,38710.09765625,39185.48484391957,38506.36220123514,39049.66232206839,865644
2017-06-23,38506.359375,38778.00774324047,38030.97222222222,38710.09481506138,454096
2017-06-26,38710.09765625,38845.92352257735,38506.36220123514,38710.09765625,264432
2017-06-27,38981.74609375,39592.95909608065,38710.09438405821,38845.9202389041,854563
2017-06-28,38913.8359375,39049.66180201848,38438.44875616147,38642.187552939184,689358
2017-06-29,38913.8359375,39049.66180201848,38778.01007298153,38778.01007298153,692170
2017-06-30,39592.9609375,40000.435176512925,39049.66083732408,39117.57376790558,1616857
2017-07-03,40475.8203125,40543.733239669375,39525.04602108045,39525.04602108045,1095171
2017-07-04,40068.34765625,40272.08310122604,39389.22170255254,40204.17017140869,497589
2017-07-05,40815.3828125,40883.29574168042,40000.43435128688,40204.16979435217,2141216
2017-07-06,41222.85546875,41290.76839533674,40543.73289183434,40815.38125370543,907312
2017-07-07,41222.85546875,41358.68132192348,40747.468327118695,41222.85546875,919024
2017-07-10,40951.2109375,41290.77225772077,40543.73668433985,41087.03345890261,1350631
2017-07-11,40815.3828125,41087.03118474571,40339.99565271302,40883.29574168042,577835
2017-07-12,42445.28125,42784.84253679096,40883.293979600254,41019.11983210697,1870729
2017-07-13,42920.671875,43463.96864019779,42309.45883355736,42581.107216156255,1112317
2017-07-14,43124.40234375,43667.70239065747,42784.841068611226,43124.40234375,945751
2017-07-17,42173.6328125,43260.23302778929,41969.89736243081,43260.23302778929,911812
2017-07-18,41222.85546875,42173.62975201261,41154.94254216326,41562.41675720784,642434
2017-07-19,42581.10546875,42716.9313267136,41426.59570948735,41426.59570948735,1003542
2017-07-20,42105.71875,42716.93177274219,41222.857352970175,42445.28339845455,345296
2017-07-21,40747.46875,42784.84319084277,40747.46875,42784.84319084277,611004
2017-07-24,40475.8203125,41087.02996807265,39389.220166741696,39660.868530943335,1113275
2017-07-25,41087.03125,41426.59589644141,39932.52148552716,39932.52148552716,359150
2017-07-26,41630.33203125,41969.89668333109,41358.68365406117,41766.15789208243,419224
2017-07-27,41154.94140625,41630.32853476019,40815.38012716436,41222.85433096228,441602
2017-07-28,41766.15625,41766.15625,41154.943244760594,41154.943244760594,553376
2017-07-31,42513.19140625,42784.84311493421,41766.155896320175,42037.80426052851,647830
2017-08-01,43599.79296875,43599.79296875,42445.28320275554,42513.19278765735,1057337
2017-08-02,43328.14453125,43871.44462098799,42649.01858295852,43192.31867269651,732450
2017-08-03,43328.14453125,43599.792903881,42920.6703000655,42988.57988486627,586761
2017-08-04,42784.84375,43328.14383095688,42716.9308218209,43328.14383095688,727381
2017-08-07,43531.87890625,44007.26605504435,42513.19168105127,42784.84339149141,800856
2017-08-08,43803.53125,44143.09254848365,43463.96660704041,43803.53125,651209
2017-08-09,43056.4921875,43803.53105419585,42445.28252185677,43531.87934104248,578326
2017-08-10,42784.84375,43260.230902777774,42445.282453580425,42852.756678179096,343405
2017-08-11,41630.33203125,43124.40646697868,41494.5095148936,42581.10636812497,628906
2017-08-14,41969.89453125,42105.71704064186,41426.59446025498,41630.3298965807,188903
2017-08-15,41290.76953125,42037.80505530342,41222.85660279497,42037.80505530342,370913
2017-08-16,42309.45703125,42309.45703125,41087.03100043789,41358.68271594101,262201
2017-08-17,41426.59375,42309.45509605189,41426.59375,41834.06796014119,213499
2017-08-18,41358.68359375,41562.41904022552,40815.38349568856,40815.38349568856,195610
2017-08-21,41494.51171875,41766.16011036663,41358.68585070359,41426.59878472679,159856
2017-08-22,41222.85546875,41630.32968379457,41154.94254216326,41494.507175096944,319060
2017-08-23,41426.59375,41426.59375,41154.942046922,41222.85497269149,157586
2017-08-24,41698.2421875,42037.80347251418,41426.59382838382,41426.59382838382,302545
2017-08-25,41698.2421875,42241.542250208186,41630.329261602,41698.2421875,239079
2017-08-28,42784.84375,42852.756678179096,41698.24358808624,41698.24358808624,734857
2017-08-29,42513.19140625,42784.84311493421,42173.63011487061,42445.281823554826,370094
2017-08-30,42513.19140625,42784.84311493421,42105.71718769956,42581.104333421055,360386
2017-08-31,42513.19140625,42716.93018776316,42105.71718769956,42513.19140625,279977
2017-09-01,43124.40234375,43599.78946673457,42716.92814468833,42716.92814468833,952243
