Price,Close,High,Low,Open,Volume
Ticker,GDT.VN,GDT.VN,GDT.VN,GDT.VN,GDT.VN
Date,,,,,
2017-01-03,30147.13671875,30204.233098569333,28548.42502201172,28548.42502201172,1067
2017-01-04,30832.30078125,30832.30078125,30204.23405250277,30204.23405250277,598
2017-01-05,30261.333984375,30261.333984375,28719.71860425887,30204.234336765683,452
2017-01-09,30832.30078125,31974.238210049927,30261.333699574705,30261.333699574705,891
2017-01-11,31346.171875,31346.171875,31346.171875,31346.171875,56
2017-01-12,30718.111328125,30718.111328125,29690.36655182261,29975.851756148222,6864
2017-01-13,30718.111328125,31403.271246876902,30661.01494034981,30661.01494034981,2384
2017-01-16,30661.013671875,30718.110057288053,30661.013671875,30718.110057288053,217
2017-01-17,29690.365234375,30603.913929140526,29690.365234375,29690.365234375,1520
2017-01-18,29404.87890625,30775.205160886184,29404.87890625,29975.84926749821,246
2017-01-19,31117.787109375,31174.88349311604,29119.397351191245,31174.88349311604,1169
2017-01-20,31060.689453125,31060.689453125,29119.396158214106,30832.300662068115,656
2017-01-23,29690.365234375,30832.30273555668,28891.00931009278,28891.00931009278,1052
2017-01-24,29690.365234375,31117.78792721449,29690.365234375,31117.78792721449,348
2017-01-25,31231.9765625,31289.072940181937,28605.520330987063,31060.687429454185,24697
2017-02-03,31174.880859375,31174.880859375,30832.29932042153,31174.880859375,1505
2017-02-06,31174.880859375,31174.880859375,30832.29932042153,30832.29932042153,5591
2017-02-07,31174.880859375,31174.880859375,30889.39569933892,30889.39569933892,1183
2017-02-08,31117.787109375,31117.787109375,30546.816741065668,30546.816741065668,407
2017-02-09,30946.494140625,31117.78655424177,29690.363924382746,31117.78655424177,2076
2017-02-10,31974.240234375,32316.82181124913,30546.817541641023,31117.78792491443,699
2017-02-13,30946.494140625,31974.23882597743,30832.301375180086,31974.23882597743,7933
2017-02-14,31403.267578125,31460.36722467909,31346.17119702022,31403.267578125,8020
2017-02-15,31403.267578125,31403.267578125,31346.17119702022,31403.267578125,4155
2017-02-16,32773.59375,32773.59375,31574.559951784733,31574.559951784733,9983
2017-02-17,33972.62890625,34829.081187004296,32545.206261359883,32545.206261359883,5385
2017-02-20,34258.11328125,34258.11328125,32830.69066998774,34258.11328125,1784
2017-02-21,33972.62890625,34258.11408831791,33116.176625495704,34258.11408831791,2941
2017-02-22,33116.17578125,33972.62804017037,33116.17578125,33972.62804017037,920
2017-02-23,33116.17578125,33116.17578125,32316.819904197742,32316.819904197742,145
2017-02-27,33687.14453125,33687.14453125,31574.5619704134,32545.20704106955,41958
2017-02-28,33630.046875,34258.113613759255,33630.046875,33687.14325753277,2325
2017-03-01,33687.14453125,33687.14453125,32773.59584528544,32773.59584528544,85
2017-03-02,33630.046875,34258.113613759255,33401.66134486892,33401.66134486892,15810
2017-03-06,34258.11328125,34258.11328125,34258.11328125,34258.11328125,949
2017-03-07,33687.14453125,33687.14453125,32031.33631339568,33572.9517618668,7230
2017-03-08,33401.66015625,33401.66015625,33401.66015625,33401.66015625,159
2017-03-09,33401.66015625,33401.66015625,33401.66015625,33401.66015625,3775
2017-03-10,33687.14453125,33687.14453125,33401.662607792015,33687.14453125,9484
2017-03-13,33687.14453125,34258.11490906498,33401.662607792015,33972.629720157485,510
2017-03-14,33687.14453125,33972.629720157485,33687.14453125,33972.629720157485,18518
2017-03-15,33630.046875,33687.14325753277,33116.17616675567,33687.14325753277,14726
2017-03-16,33630.046875,33630.046875,32545.20581052919,32545.20581052919,85
2017-03-17,33401.66015625,33458.75653675096,33116.17498829593,33116.17498829593,202
2017-03-20,33116.17578125,33687.14286538047,32202.62387501217,33401.66095603991,8167
2017-03-21,33401.66015625,33687.1420587548,32545.204652387776,33116.17498829593,2823
2017-03-22,33401.66015625,33687.1420587548,33401.66015625,33687.1420587548,100
2017-03-23,33630.046875,33687.14325753277,33401.66134486892,33687.14325753277,260
