Price,Close,High,Low,Open,Volume
Ticker,GEG.VN,GEG.VN,GEG.VN,GEG.VN,GEG.VN
Date,,,,,
2019-09-19,19056.87109375,20384.04582473484,18784.630078125,20384.04582473484,672938
2019-09-20,19056.87109375,19124.931788030324,18852.690772405327,19056.87109375,667941
2019-09-23,18920.751953125,19022.841235673823,18716.56986503464,19022.841235673823,650172
2019-09-24,18954.783203125,19056.872490531863,18852.692154221702,18920.75285349057,592861
2019-09-25,18954.783203125,18988.811791263,18784.63145495284,18954.783203125,680729
2019-09-26,18376.26953125,18988.810498477826,18376.26953125,18954.78191265654,667491
2019-09-27,18648.51171875,18988.811690291943,18410.30103407207,18410.30103407207,582139
2019-09-30,18648.51171875,18784.631355067493,18546.42067038956,18716.570656160533,527518
2019-10-01,18648.51171875,18716.570656160533,18512.39032093608,18648.51171875,544612
2019-10-02,18478.359375,18648.51111677489,18376.27009143144,18648.51111677489,553848
2019-10-03,18512.388671875,18614.47971114129,18376.26904768288,18376.26904768288,547964
2019-10-04,18512.388671875,18580.4493647192,18376.26904768288,18512.388671875,353131
2019-10-07,18444.328125,18512.38881838283,18376.26919311345,18512.38881838283,503268
2019-10-08,18512.388671875,18512.388671875,18376.26904768288,18444.327979030804,516268
2019-10-09,18512.388671875,18648.51005756339,18308.20835483868,18512.388671875,586287
2019-10-10,18376.26953125,18512.38915902408,18274.178489297203,18376.26953125,631925
2019-10-11,18410.30078125,18648.511462656672,18206.11868733308,18376.27043226385,613334
2019-10-14,18546.419921875,18546.419921875,18376.269942971107,18376.269942971107,796612
2019-10-15,18648.51171875,18648.51171875,18444.32962202912,18546.42067038956,919094
2019-10-16,19124.931640625,19465.23334790745,18546.41926669372,18546.41926669372,889901
2019-10-17,19192.9921875,19329.111812473504,19124.931494265107,19124.931494265107,800865
2019-10-18,19158.962890625,19261.05217457465,19022.84149669696,19192.99323910701,1559913
2019-10-21,19056.87109375,19158.96213517049,18852.690772405327,19124.931788030324,688866
2019-10-22,19056.87109375,19192.99248231065,18920.75146668565,19056.87109375,652027
2019-10-23,19022.841796875,19124.93284393201,18886.722162295388,19056.872145894005,567842
2019-10-24,18988.810546875,19056.871241683664,18648.510595824315,19022.84089427933,1102809
2019-10-25,18784.630859375,18988.8111892115,18784.630859375,18852.69155648596,1623306
2019-10-28,18784.630859375,18852.69155648596,18580.45052953849,18818.66120793048,795326
2019-10-29,18886.720703125,19022.84032718814,18784.62966395545,18784.62966395545,1992594
2019-10-30,18886.720703125,19022.84032718814,18852.690356735147,18886.720703125,660931
2019-10-31,18920.751953125,18920.751953125,18818.66090907982,18886.721605109946,1317944
2019-11-01,18988.810546875,19056.871241683664,18852.69091875399,18920.751613562654,1127760
2019-11-04,18852.69140625,19022.841386175107,18716.57001311282,18988.811037890813,612976
2019-11-05,18818.66015625,18920.751196211088,18580.449491170417,18852.690502903697,818503
2019-11-06,18852.69140625,18852.69140625,18648.5110780406,18818.661057965703,779703
2019-11-07,18852.69140625,18920.752102818587,18716.57001311282,18852.69140625,746841
2019-11-08,19158.962890625,19192.99323910701,18852.69151578329,18852.69151578329,714295
2019-11-11,19192.9921875,19261.05111923861,19056.87080103021,19158.961840882555,1128199
2019-11-12,19056.87109375,19192.99248231065,18716.56938384467,19192.99248231065,1238994
2019-11-13,18852.69140625,19056.8717344594,18852.69140625,18988.811037890813,1133870
2019-11-14,18784.630859375,18954.7826021524,18716.57016226404,18852.69155648596,704781
2019-11-15,19227.0234375,19329.112720652727,18716.56997575091,18784.63067218364,1049658
2019-11-18,19227.0234375,19329.112720652727,19158.96274106728,19192.993089283635,936798
2019-11-19,19227.0234375,19261.05202422,19158.96274106728,19227.0234375,1184518
2019-11-20,19192.9921875,19261.05111923861,19158.961840882555,19227.022534117445,696538
2019-11-21,19192.9921875,19227.022534117445,19090.901147647663,19158.961840882555,739446
