Price,Close,High,Low,Open,Volume
Ticker,GEL.VN,GEL.VN,GEL.VN,GEL.VN,GEL.VN
Date,,,,,
2026-02-06,34550.0,34550.0,34000.0,34550.0,5618500
2026-02-09,35000.0,36900.0,33000.0,36900.0,6793800
2026-02-10,33700.0,36000.0,32850.0,36000.0,974500
2026-02-11,34250.0,35050.0,31550.0,33750.0,2810800
2026-02-12,34500.0,35500.0,34050.0,35300.0,1053900
2026-02-13,35950.0,36500.0,33900.0,34600.0,2537500
2026-02-16,35950.0,35950.0,35950.0,35950.0,0
2026-02-17,35950.0,35950.0,35950.0,35950.0,0
2026-02-18,35950.0,35950.0,35950.0,35950.0,0
2026-02-19,35950.0,35950.0,35950.0,35950.0,0
2026-02-20,35950.0,35950.0,35950.0,35950.0,0
2026-02-23,37900.0,38450.0,36100.0,36250.0,11319500
2026-02-24,40550.0,40550.0,37950.0,38500.0,12016200
2026-02-25,40600.0,42600.0,40300.0,41350.0,8483300
2026-02-26,39400.0,41200.0,37800.0,41050.0,11606200
2026-02-27,39550.0,40750.0,36900.0,39900.0,14836300
2026-03-02,38550.0,39000.0,37500.0,39000.0,10365700
2026-03-03,38550.0,39000.0,37500.0,39000.0,10365700
2026-03-04,34600.0,37250.0,34250.0,37250.0,16471900
2026-03-05,35600.0,37000.0,34950.0,35600.0,13194400
2026-03-06,34900.0,36500.0,34400.0,36000.0,6094700
2026-03-09,32500.0,32550.0,32500.0,32500.0,2282600
2026-03-10,32500.0,34200.0,30800.0,33050.0,7924600
2026-03-11,34750.0,34750.0,32700.0,32750.0,12435100
2026-03-12,36000.0,36700.0,34750.0,35600.0,7949300
2026-03-13,35800.0,36300.0,34750.0,36300.0,5273200
2026-03-16,34550.0,36500.0,34000.0,36100.0,5214700
2026-03-17,34900.0,35600.0,34650.0,34700.0,5545100
2026-03-18,36550.0,37300.0,35100.0,35200.0,13614500
2026-03-19,36500.0,37200.0,35000.0,36600.0,5026300
2026-03-20,34900.0,36600.0,34600.0,36050.0,5520400
2026-03-23,32500.0,34900.0,32500.0,34900.0,5578400
2026-03-24,33200.0,33800.0,32200.0,33150.0,3513500
2026-03-25,34200.0,35250.0,33600.0,33600.0,4823200
2026-03-26,34550.0,34700.0,33550.0,34600.0,3900200
2026-03-27,34800.0,34950.0,34000.0,34800.0,4082800
2026-03-30,35000.0,35050.0,33500.0,34000.0,3056700
2026-03-31,36200.0,36850.0,35450.0,35500.0,5743000
2026-04-01,35500.0,37300.0,35500.0,36550.0,5637100
2026-04-02,35250.0,35800.0,34850.0,35800.0,2724200
2026-04-03,34950.0,36000.0,34100.0,35500.0,3100100
2026-04-06,34950.0,35200.0,34500.0,35100.0,3590000
2026-04-07,34950.0,35500.0,34250.0,35150.0,2728500
2026-04-08,36400.0,36550.0,35400.0,35500.0,8249200
2026-04-09,35800.0,36450.0,35350.0,36450.0,5708300
2026-04-10,35950.0,36900.0,35850.0,36150.0,4062000
2026-04-13,35400.0,36000.0,35300.0,36000.0,3468600
2026-04-14,35250.0,36000.0,35000.0,35700.0,3803400
2026-04-15,34300.0,35700.0,34300.0,35500.0,5185800
2026-04-16,33600.0,34500.0,33250.0,34500.0,5809900
2026-04-17,33000.0,33900.0,32900.0,33900.0,5651900
2026-04-20,33300.0,33650.0,32950.0,33250.0,3648000
2026-04-21,32900.0,33650.0,32800.0,33500.0,2769300
2026-04-22,33000.0,33350.0,32900.0,33100.0,1985100
2026-04-23,33000.0,34500.0,32250.0,33300.0,8616900
2026-04-24,33000.0,33400.0,32300.0,33350.0,2989300
2026-04-27,33000.0,33000.0,33000.0,33000.0,0
2026-04-28,32350.0,33350.0,32100.0,33300.0,3314600
2026-04-29,32150.0,32500.0,31750.0,32400.0,3008700
2026-04-30,32150.0,32150.0,32150.0,32150.0,0
2026-05-01,32150.0,32150.0,32150.0,32150.0,0
2026-05-04,31350.0,32600.0,31250.0,32500.0,3665400
2026-05-05,31550.0,32400.0,31350.0,31500.0,2833800
2026-05-06,33300.0,33750.0,31550.0,31850.0,6268500
2026-05-07,32450.0,34300.0,32400.0,33600.0,3892000
2026-05-08,32500.0,33250.0,32000.0,32600.0,3243300
2026-05-11,34750.0,34750.0,32750.0,32850.0,7639500
2026-05-12,35200.0,36600.0,34950.0,36000.0,7371800
2026-05-13,34200.0,35400.0,33000.0,35400.0,5705100
2026-05-14,33550.0,34500.0,33300.0,34500.0,3142400
2026-05-15,33000.0,34050.0,32500.0,33800.0,4687000
2026-05-18,32900.0,33000.0,32050.0,33000.0,4219800
2026-05-19,32700.0,33800.0,32300.0,33000.0,4546100
2026-05-20,31850.0,33000.0,31100.0,33000.0,4893700
2026-05-21,32100.0,32500.0,31900.0,32100.0,2953600
2026-05-22,31800.0,32500.0,31100.0,32500.0,2841900
2026-05-25,32100.0,32450.0,31900.0,31900.0,2270300
2026-05-26,32000.0,32450.0,31800.0,32450.0,1596300
2026-05-27,32400.0,33100.0,32250.0,32350.0,3691700
