Price,Close,High,Low,Open,Volume
Ticker,GHC.VN,GHC.VN,GHC.VN,GHC.VN,GHC.VN
Date,,,,,
2026-01-30,29300.0,29850.0,29000.0,29400.0,26100
2026-02-02,28800.0,29300.0,28600.0,29300.0,22319
2026-02-03,28800.0,29000.0,28700.0,28800.0,10457
2026-02-04,28600.0,28750.0,28300.0,28750.0,23132
2026-02-05,28700.0,28700.0,28500.0,28700.0,12375
2026-02-06,28500.0,28850.0,28500.0,28800.0,3301
2026-02-09,28500.0,28850.0,28200.0,28850.0,5730
2026-02-10,28500.0,28500.0,28200.0,28500.0,4299
2026-02-11,28600.0,28600.0,28200.0,28600.0,14801
2026-02-12,28600.0,28800.0,28550.0,28800.0,6300
2026-02-13,28500.0,28700.0,28250.0,28700.0,29400
2026-02-23,28200.0,28550.0,28200.0,28550.0,44600
2026-02-24,28100.0,28250.0,28050.0,28200.0,23401
2026-02-25,28400.0,28650.0,28100.0,28550.0,30409
2026-02-26,28400.0,28450.0,28150.0,28450.0,16600
2026-02-27,28150.0,28800.0,28150.0,28800.0,9650
2026-03-02,28200.0,28700.0,28150.0,28700.0,6700
2026-03-03,28550.0,28700.0,28200.0,28700.0,5705
2026-03-04,28450.0,28900.0,28200.0,28900.0,7616
2026-03-05,28600.0,28600.0,28200.0,28200.0,4670
2026-03-06,28600.0,28700.0,28600.0,28600.0,11330
2026-03-09,27300.0,28200.0,27250.0,28200.0,58100
2026-03-10,28150.0,28650.0,27600.0,28650.0,5450
2026-03-11,28400.0,28500.0,27550.0,27550.0,22200
2026-03-12,28400.0,28600.0,27800.0,28600.0,17440
2026-03-13,28250.0,28600.0,28100.0,28600.0,9300
2026-03-16,28250.0,28400.0,28100.0,28400.0,7600
2026-03-17,27850.0,28250.0,27800.0,28000.0,21105
2026-03-18,28000.0,28000.0,27900.0,28000.0,27001
2026-03-19,27900.0,28000.0,27800.0,28000.0,3000
2026-03-20,27900.0,27900.0,27600.0,27700.0,44593
2026-03-23,27500.0,27800.0,27400.0,27800.0,23755
2026-03-24,27600.0,27750.0,27400.0,27400.0,29600
2026-03-25,27800.0,28150.0,27600.0,28150.0,16700
2026-03-26,27700.0,27700.0,27500.0,27650.0,17600
2026-03-27,27800.0,27800.0,27450.0,27450.0,6650
2026-03-30,27950.0,27950.0,27700.0,27700.0,1790
2026-03-31,27900.0,27900.0,27550.0,27600.0,8300
2026-04-01,27850.0,28000.0,27800.0,27900.0,4705
2026-04-02,27800.0,27800.0,27500.0,27800.0,9206
2026-04-03,27800.0,27800.0,27700.0,27800.0,5100
2026-04-06,27700.0,27850.0,27600.0,27800.0,12400
2026-04-07,27600.0,27750.0,27350.0,27350.0,8500
2026-04-08,27800.0,27800.0,26500.0,27600.0,35400
2026-04-09,27800.0,27800.0,27700.0,27800.0,5600
2026-04-10,27450.0,27850.0,27300.0,27800.0,11921
2026-04-13,27450.0,27500.0,27300.0,27450.0,14900
2026-04-14,27200.0,27400.0,27200.0,27400.0,14000
2026-04-15,27350.0,27350.0,27200.0,27300.0,6801
2026-04-16,27000.0,27250.0,26850.0,27250.0,46302
2026-04-17,27200.0,27200.0,27000.0,27000.0,3600
2026-04-20,27100.0,27200.0,27000.0,27200.0,10997
2026-04-21,27050.0,27100.0,27000.0,27100.0,7908
2026-04-22,27200.0,27300.0,27050.0,27300.0,5100
2026-04-23,27100.0,27100.0,27050.0,27050.0,1600
2026-04-24,27300.0,27300.0,26900.0,27100.0,3000
2026-04-28,27200.0,27200.0,27000.0,27200.0,3090
2026-04-29,27150.0,27150.0,27000.0,27050.0,11600
2026-05-04,26900.0,27150.0,26900.0,27150.0,2424
2026-05-05,26900.0,26900.0,26900.0,26900.0,1000
2026-05-06,26900.0,26900.0,26750.0,26750.0,5000
2026-05-07,27000.0,27000.0,27000.0,27000.0,1000
2026-05-08,26900.0,27200.0,26900.0,26950.0,1700
2026-05-11,27000.0,27000.0,26900.0,27000.0,2500
2026-05-12,27000.0,27000.0,26950.0,26950.0,400
2026-05-13,27000.0,27000.0,26800.0,27000.0,15525
2026-05-14,27050.0,27050.0,26950.0,26950.0,15250
2026-05-15,27050.0,27050.0,27000.0,27050.0,3521
2026-05-18,27100.0,27150.0,27000.0,27050.0,5000
2026-05-19,27200.0,27250.0,27100.0,27100.0,28300
2026-05-20,27100.0,27250.0,27000.0,27000.0,10500
2026-05-21,27150.0,27200.0,27100.0,27100.0,8550
2026-05-22,27150.0,27150.0,26800.0,27000.0,20704
2026-05-25,27150.0,27150.0,27000.0,27000.0,9100
2026-05-26,27100.0,27300.0,27100.0,27200.0,13100
2026-05-27,27250.0,27250.0,27000.0,27250.0,20600
