Price,Close,High,Low,Open,Volume
Ticker,HAH.VN,HAH.VN,HAH.VN,HAH.VN,HAH.VN
Date,,,,,
2017-01-03,8056.42919921875,8160.786896439367,8056.42919921875,8160.786896439367,37060
2017-01-04,8139.91455078125,8139.91455078125,8035.55685651318,8035.55685651318,956259
2017-01-05,8098.17138671875,8139.914656942017,8035.556961312914,8119.043501759449,9464
2017-01-06,8119.04345703125,8119.04345703125,7931.199221990454,7993.813647051345,18977
2017-01-09,8077.30029296875,8077.30029296875,8035.557022428001,8035.557022428001,516
2017-01-10,8035.55712890625,8035.55712890625,7931.199431100614,7931.199431100614,516
2017-01-11,8014.68505859375,8077.299961837962,7764.226405475003,7764.226405475003,7486
2017-01-12,7993.8134765625,8119.043283871554,7993.8134765625,8119.043283871554,282
2017-01-13,8035.55712890625,8056.429244382268,7931.199431100614,8056.429244382268,4283
2017-01-16,8004.24951171875,8014.685089001186,7952.0706654484675,7972.94182001334,1695
2017-01-17,8014.68505859375,8014.68505859375,8004.249481350906,8004.249481350906,2399
2017-01-18,7952.07080078125,8035.556860248706,7952.07080078125,8014.685225399577,213280
2017-01-19,7952.07080078125,8035.556860248706,7952.07080078125,8035.556860248706,7109
2017-01-20,7952.07080078125,8035.556860248706,7952.07080078125,8035.556860248706,54202
2017-01-23,7952.07080078125,8139.914554565289,7931.199165932122,8139.914554565289,34470
2017-01-24,7931.19921875,7952.070853738123,7931.19921875,7952.070853738123,18788
2017-01-25,7931.19921875,7952.070853738123,7931.19921875,7952.070853738123,11536
2017-02-03,8035.55712890625,8160.786942187904,7972.942222265424,8119.043671094019,248128
2017-02-06,8119.04345703125,8139.914612098838,8014.685282047995,8035.556917044646,45020
2017-02-07,8035.55712890625,8181.658097805771,8035.55712890625,8181.658097805771,20720
2017-02-09,8035.55712890625,8139.914826711887,8035.55712890625,8139.914826711887,6780
2017-02-10,7931.19921875,8035.556913761554,7931.19921875,8014.685278773431,28489
2017-02-13,8014.68505859375,8035.556693008487,7931.19900086385,8035.556693008487,23968
2017-02-14,8014.68505859375,8160.786499496909,7931.19900086385,7931.19900086385,548438
