Price,Close,High,Low,Open,Volume
Ticker,HAX.VN,HAX.VN,HAX.VN,HAX.VN,HAX.VN
Date,,,,,
2017-01-03,7225.69189453125,7331.951879238489,7119.431463808873,7172.561679170061,202436
2017-01-04,7181.416015625,7349.661390838433,6906.910661653938,7243.401412080804,757667
2017-01-05,7128.28662109375,7225.691866878107,7084.011590467249,7172.561651720252,378729
2017-01-06,7225.69189453125,7314.241956123139,7084.011617578173,7084.011617578173,692990
2017-01-09,7278.82177734375,7331.951993533163,7137.141498182079,7314.24207014174,491529
2017-01-10,7296.53173828125,7438.211563496359,7296.53173828125,7349.661505481246,650851
2017-01-11,7323.0966796875,7402.792002566197,7278.821648982159,7331.951864234624,326585
2017-01-12,7314.24169921875,7340.8068059662755,7252.256301469483,7331.951621712059,376975
2017-01-13,7181.416015625,7314.241546590928,7181.416015625,7314.241546590928,320395
2017-01-16,7030.88134765625,7261.111684414593,6977.75113270736,7181.416361991258,680405
2017-01-17,6995.4609375,7137.14121095999,6942.33116946385,7030.881228872561,293161
2017-01-18,6977.7509765625,7084.011404082434,6977.7509765625,6995.460899144114,314567
2017-01-19,6871.4912109375,6977.75119578065,6871.4912109375,6906.911057213504,204189
2017-01-20,7119.431640625,7119.431640625,6853.781449251723,6951.186251812835,2166714
2017-01-23,7154.8515625,7172.561485136257,6960.041075455793,6960.041075455793,1223568
2017-01-24,7084.01171875,7172.561781606535,7030.881502630021,7137.141488854833,197846
2017-01-25,7101.72119140625,7154.85140415431,7030.881056413875,7084.011269161935,232402
2017-02-03,7190.271484375,7225.691776039996,7119.431347060141,7119.431347060141,432008
2017-02-06,7579.89208984375,7597.601565782618,7190.271130765577,7190.271130765577,924418
2017-02-07,7686.15234375,7845.5429943573,7615.312649278068,7615.312649278068,946648
2017-02-08,7721.57275390625,7721.57275390625,7579.892478970802,7686.152016149689,1128820
2017-02-09,7925.2373046875,7934.092488868347,7721.572528679206,7721.572528679206,2413614
2017-02-10,7810.12255859375,7969.512305160018,7810.12255859375,7969.512305160018,293060
2017-02-13,7783.55712890625,7880.962372024215,7721.572622944091,7863.252895476562,523970
2017-02-14,7633.0224609375,7783.557023693858,7597.601724260486,7783.557023693858,822655
2017-02-15,7615.3125,7739.282408910929,7571.037468815362,7739.282408910929,606339
2017-02-16,7455.92236328125,7686.1522598316515,7455.92236328125,7668.442782422174,881762
2017-02-17,7544.4716796875,7579.892417155197,7367.371560470045,7385.081929203893,485702
2017-02-20,7677.29736328125,7792.412079494485,7544.471386991038,7544.471386991038,789440
2017-02-21,7756.99267578125,7916.382429129408,7756.99267578125,7827.832367929259,755966
2017-02-22,7898.6728515625,8075.772971708426,7765.847761453056,7774.702053836142,1077037
2017-02-23,7792.412109375,7969.512222400754,7739.281897061228,7898.672534002543,651419
2017-02-24,7544.4716796875,7827.832227247532,7526.762202983909,7827.832227247532,765509
2017-02-27,7385.08203125,7615.312367820036,7349.661739307999,7402.791954213433,947371
2017-02-28,7526.7626953125,7579.892912959057,7367.372042372828,7367.372042372828,492922
2017-03-01,7455.92236328125,7526.762502994891,7438.21199384148,7526.762502994891,300640
2017-03-02,7756.99267578125,7756.99267578125,7438.2118310395235,7455.9222000916625,921117
2017-03-03,7827.83251953125,7845.542888926387,7721.572979251303,7783.5574880736995,542382
2017-03-06,8146.61279296875,8199.7430082665,7845.5427623218675,7880.9626085102755,1341732
2017-03-07,8288.29296875,8359.133552293815,8182.033431479674,8182.033431479674,1041189
2017-03-08,8306.0029296875,8341.4227737046,8217.452873629636,8288.292561663839,539288
2017-03-09,8128.9033203125,8306.003443381174,8111.192951193522,8306.003443381174,726825
2017-03-10,8323.7138671875,8483.103622184397,8111.193004484594,8111.193004484594,589576
