Price,Close,High,Low,Open,Volume
Ticker,HHP.VN,HHP.VN,HHP.VN,HHP.VN,HHP.VN
Date,,,,,
2018-08-08,10798.03125,11517.900390625,9070.3466796875,11517.900390625,1593623
2018-08-09,9790.2158203125,11085.9794921875,9790.2158203125,10870.0185546875,664424
2018-08-10,8998.359375,9790.2158203125,8854.3857421875,9214.3203125,344922
2018-08-13,8278.4912109375,8494.451171875,8134.51708984375,8206.50390625,358674
2018-08-14,7846.56982421875,8350.4775390625,7702.595703125,7702.595703125,155305
2018-08-15,7558.6220703125,7918.556640625,7486.63525390625,7558.6220703125,166001
2018-08-16,7702.595703125,7702.595703125,7342.66162109375,7630.60888671875,105434
2018-08-17,7774.5830078125,7774.5830078125,7558.6220703125,7702.595703125,115992
2018-08-20,7918.556640625,8062.5302734375,7702.595703125,8062.5302734375,148220
2018-08-21,7918.556640625,8062.5302734375,7846.56982421875,7846.56982421875,146831
2018-08-22,8062.5302734375,8062.5302734375,7630.60888671875,8062.5302734375,142663
2018-08-23,7846.56982421875,8062.5302734375,7846.56982421875,7918.556640625,145164
2018-08-24,7702.595703125,7846.56982421875,7702.595703125,7846.56982421875,148220
2018-08-27,7990.54345703125,7990.54345703125,7702.595703125,7846.56982421875,147525
2018-08-28,8062.5302734375,8062.5302734375,7918.556640625,7918.556640625,132523
2018-08-29,7918.556640625,8062.5302734375,7918.556640625,8062.5302734375,126689
2018-08-30,8062.5302734375,8062.5302734375,7846.56982421875,7918.556640625,105296
2018-08-31,7990.54345703125,8206.50390625,7918.556640625,7990.54345703125,75706
2018-09-04,8350.4775390625,8422.46484375,7846.56982421875,7918.556640625,708877
2018-09-05,9142.3330078125,9142.3330078125,8206.50390625,8206.50390625,1048523
2018-09-06,9862.2021484375,10006.17578125,9142.3330078125,9358.2939453125,899190
2018-09-07,9214.3203125,10078.1630859375,9214.3203125,10006.17578125,560379
2018-09-10,8566.4384765625,9214.3203125,8566.4384765625,9214.3203125,248933
2018-09-11,8638.42578125,8710.412109375,8134.51708984375,8422.46484375,194756
2018-09-12,8350.4775390625,8638.42578125,8134.51708984375,8638.42578125,192533
2018-09-13,8206.50390625,8422.46484375,8134.51708984375,8422.46484375,354647
2018-09-14,8134.51708984375,8278.4912109375,7990.54345703125,8134.51708984375,222122
2018-09-17,8566.4384765625,8566.4384765625,8206.50390625,8206.50390625,111130
2018-09-18,8278.4912109375,8710.412109375,8278.4912109375,8566.4384765625,106823
2018-09-19,8350.4775390625,8350.4775390625,8134.51708984375,8350.4775390625,155166
2018-09-20,8350.4775390625,8638.42578125,8062.5302734375,8566.4384765625,184754
2018-09-21,8278.4912109375,8566.4384765625,8134.51708984375,8422.46484375,147109
2018-09-24,8494.451171875,8566.4384765625,8134.51708984375,8206.50390625,272548
2018-09-25,8566.4384765625,8566.4384765625,8422.46484375,8566.4384765625,80569
2018-09-26,8782.3994140625,8854.3857421875,8494.451171875,8494.451171875,105990
2018-09-27,8854.3857421875,8854.3857421875,8638.42578125,8782.3994140625,134884
2018-09-28,8926.373046875,9142.3330078125,8782.3994140625,8998.359375,87375
2018-10-01,8998.359375,8998.359375,8710.412109375,8926.373046875,87097
2018-10-02,8998.359375,9142.3330078125,8782.3994140625,8854.3857421875,368538
2018-10-03,8926.373046875,9070.3466796875,8854.3857421875,8926.373046875,135856
2018-10-04,9214.3203125,9430.28125,8782.3994140625,8926.373046875,477168
2018-10-05,9142.3330078125,9358.2939453125,9070.3466796875,9214.3203125,91682
2018-10-08,9358.2939453125,9358.2939453125,9070.3466796875,9070.3466796875,97516
2018-10-09,9358.2939453125,9430.28125,9070.3466796875,9214.3203125,130440
2018-10-10,9358.2939453125,9358.2939453125,9286.3076171875,9286.3076171875,61954
2018-10-11,9358.2939453125,9358.2939453125,8926.373046875,9142.3330078125,83764
2018-10-12,9430.28125,9430.28125,9214.3203125,9214.3203125,87237
2018-10-15,9430.28125,9430.28125,9214.3203125,9358.2939453125,53480
2018-10-16,10078.1630859375,10078.1630859375,9430.28125,9430.28125,170723
2018-10-17,10582.0712890625,10582.0712890625,9862.2021484375,9934.189453125,293246
2018-10-18,10222.13671875,10654.0576171875,10222.13671875,10510.083984375,89042
2018-10-19,9934.189453125,10294.123046875,9862.2021484375,10222.13671875,61537
2018-10-22,9934.189453125,9934.189453125,9646.2412109375,9718.228515625,90848
2018-10-23,10078.1630859375,10078.1630859375,9862.2021484375,9862.2021484375,95711
2018-10-24,10150.1494140625,10150.1494140625,9934.189453125,10006.17578125,125299
2018-10-25,10150.1494140625,10222.13671875,10006.17578125,10078.1630859375,72651
2018-10-26,10006.17578125,10366.1103515625,9934.189453125,10150.1494140625,104601
2018-10-29,10006.17578125,10078.1630859375,9934.189453125,10006.17578125,49453
2018-10-30,10942.005859375,10942.005859375,9862.2021484375,9934.189453125,999348
2018-10-31,11661.8740234375,11805.84765625,10654.0576171875,10942.005859375,710266
2018-11-01,11157.9658203125,12021.80859375,11157.9658203125,11661.8740234375,442718
2018-11-02,10438.09765625,11085.9794921875,10222.13671875,10942.005859375,124187
2018-11-05,10294.123046875,10582.0712890625,9430.28125,9430.28125,53202
2018-11-06,10582.0712890625,10582.0712890625,10294.123046875,10510.083984375,70706
2018-11-07,11445.9130859375,11445.9130859375,10438.09765625,10582.0712890625,835290
2018-11-08,11445.9130859375,11517.900390625,11301.939453125,11373.9267578125,53341
2018-11-09,11013.9921875,11445.9130859375,11013.9921875,11157.9658203125,87375
2018-11-12,10942.005859375,11085.9794921875,10726.044921875,11013.9921875,65705
2018-11-13,10942.005859375,11085.9794921875,10870.0185546875,10942.005859375,211843
2018-11-14,11157.9658203125,11157.9658203125,10798.03125,10798.03125,132939
2018-11-15,10942.005859375,11157.9658203125,10870.0185546875,11013.9921875,47785
2018-11-16,10942.005859375,11085.9794921875,10870.0185546875,11085.9794921875,66122
2018-11-19,10942.005859375,11157.9658203125,10798.03125,10942.005859375,135578
2018-11-20,10870.0185546875,10870.0185546875,10870.0185546875,10870.0185546875,33477
2018-11-21,10726.044921875,11085.9794921875,10726.044921875,11013.9921875,172669
2018-11-22,10798.03125,10942.005859375,10726.044921875,10798.03125,148359
2018-11-23,10942.005859375,11085.9794921875,10798.03125,11013.9921875,187255
2018-11-26,11013.9921875,11013.9921875,10798.03125,11013.9921875,54453
2018-11-27,10798.03125,11013.9921875,10798.03125,10798.03125,48341
2018-11-28,10870.0185546875,10942.005859375,10798.03125,10870.0185546875,67094
2018-11-29,10870.0185546875,11085.9794921875,10870.0185546875,11013.9921875,78485
2018-11-30,10870.0185546875,10942.005859375,10798.03125,10798.03125,85847
2018-12-03,10942.005859375,11013.9921875,10870.0185546875,10870.0185546875,52508
2018-12-04,10942.005859375,11013.9921875,10798.03125,10798.03125,64176
2018-12-05,11085.9794921875,11085.9794921875,10870.0185546875,10942.005859375,67233
2018-12-06,11013.9921875,11085.9794921875,10870.0185546875,11013.9921875,34867
2018-12-07,11013.9921875,11013.9921875,10870.0185546875,10942.005859375,96266
2018-12-10,11013.9921875,11013.9921875,10726.044921875,10942.005859375,84736
2018-12-11,10942.005859375,11085.9794921875,10870.0185546875,10870.0185546875,49868
2018-12-12,10942.005859375,11085.9794921875,10870.0185546875,10870.0185546875,40701
2018-12-13,10942.005859375,11013.9921875,10942.005859375,11013.9921875,63066
2018-12-14,10942.005859375,11013.9921875,10870.0185546875,10870.0185546875,32365
2018-12-17,10942.005859375,11157.9658203125,10942.005859375,10942.005859375,32643
2018-12-18,10870.0185546875,11013.9921875,10798.03125,11013.9921875,71678
2018-12-19,11517.900390625,11589.8876953125,10798.03125,10942.005859375,528706
2018-12-20,11661.8740234375,11733.861328125,11373.9267578125,11373.9267578125,338532
2018-12-21,11445.9130859375,11733.861328125,11373.9267578125,11517.900390625,302275
2018-12-24,11085.9794921875,11373.9267578125,11085.9794921875,11301.939453125,79457
2018-12-25,10798.03125,10942.005859375,10798.03125,10942.005859375,45980
2018-12-26,10870.0185546875,11157.9658203125,10798.03125,11157.9658203125,59732
2018-12-27,10942.005859375,11013.9921875,10870.0185546875,10870.0185546875,164473
2018-12-28,10870.0185546875,10942.005859375,10870.0185546875,10942.005859375,43756
2019-01-02,10870.0185546875,10942.005859375,10798.03125,10942.005859375,64732
2019-01-03,10798.03125,10942.005859375,10798.03125,10942.005859375,56537
2019-01-04,10870.0185546875,11013.9921875,10870.0185546875,10870.0185546875,82652
2019-01-07,10870.0185546875,10942.005859375,10870.0185546875,10870.0185546875,105157
2019-01-08,10870.0185546875,10942.005859375,10798.03125,10798.03125,64732
2019-01-09,10942.005859375,11013.9921875,10870.0185546875,11013.9921875,33477
2019-01-10,11085.9794921875,11085.9794921875,10870.0185546875,10942.005859375,75846
2019-01-11,11085.9794921875,11157.9658203125,10942.005859375,10942.005859375,70567
2019-01-14,11085.9794921875,11157.9658203125,11013.9921875,11085.9794921875,50840
2019-01-15,11085.9794921875,11085.9794921875,10942.005859375,10942.005859375,33615
2019-01-16,11157.9658203125,11157.9658203125,11013.9921875,11013.9921875,40145
2019-01-17,11085.9794921875,11229.953125,11085.9794921875,11157.9658203125,54175
2019-01-18,10942.005859375,11013.9921875,10798.03125,10798.03125,55981
2019-01-21,11085.9794921875,11085.9794921875,10798.03125,10798.03125,62371
2019-01-22,11085.9794921875,11157.9658203125,11085.9794921875,11157.9658203125,32643
2019-01-23,11229.953125,11229.953125,11085.9794921875,11085.9794921875,94183
2019-01-24,11229.953125,11301.939453125,11229.953125,11229.953125,58759
2019-01-25,11229.953125,11373.9267578125,11085.9794921875,11229.953125,37922
2019-01-28,11157.9658203125,11229.953125,11157.9658203125,11157.9658203125,78485
2019-01-29,11085.9794921875,11157.9658203125,11013.9921875,11013.9921875,160583
2019-01-30,11013.9921875,11157.9658203125,10942.005859375,11085.9794921875,129606
