Price,Close,High,Low,Open,Volume
Ticker,HII.VN,HII.VN,HII.VN,HII.VN,HII.VN
Date,,,,,
2023-07-17,5068.0,5114.666666666667,5040.0,5040.0,196900
2023-07-19,5002.66650390625,5039.999836024954,4862.666508461112,4993.333170876575,110100
2023-07-20,5021.33349609375,5021.33349609375,4909.333492463406,4993.333495186164,47700
2023-07-21,5021.33349609375,5096.000165180646,4974.666827914441,4974.666827914441,159900
2023-07-24,5208.0,5226.666666666667,5021.333333333333,5105.333333333333,453300
2023-07-26,5282.66650390625,5385.333167409728,5282.66650390625,5301.333169997792,450400
2023-07-28,5273.33349609375,5282.666829715155,5142.666825394082,5142.666825394082,200500
2023-08-03,5180.0,5264.0,5170.666666666667,5226.666666666667,273600
2023-08-04,5245.33349609375,5273.333496962578,5170.666827110209,5273.333496962578,165600
2023-08-07,5310.66650390625,5357.333169142685,5254.666505622528,5254.666505622528,331500
2023-08-08,5338.66650390625,5394.666502198973,5310.666504759888,5394.666502198973,206000
2023-08-09,5674.66650390625,5674.66650390625,5301.333181280839,5366.666512740286,669700
2023-08-10,5656.0,5880.0,5600.0,5693.333333333333,306000
2023-08-11,5469.33349609375,5693.333502759706,5432.000161649424,5693.333502759706,373500
2023-08-14,5469.33349609375,5590.66683303781,5441.3334952605055,5469.33349609375,339600
2023-08-15,5553.33349609375,5618.666831341911,5469.333493631828,5469.333493631828,189500
2023-08-16,5525.33349609375,5581.333497743349,5478.666828052418,5562.666830526816,165500
2023-08-17,5376.0,5506.666666666667,5366.666666666667,5506.666666666667,303800
2023-08-18,5002.66650390625,5403.999824182311,5002.66650390625,5394.666491152636,561100
2023-08-21,4993.33349609375,5133.333500657126,4853.333491530374,4993.33349609375,150000
2023-08-22,5030.66650390625,5133.333167251276,4899.999841467126,4993.333171780786,121300
2023-08-23,5096.0,5133.333333333333,5030.666666666667,5124.0,87000
2023-08-24,5133.33349609375,5142.666829723011,5086.666827947443,5105.333495205966,102100
2023-08-25,5152.0,5226.666666666667,5105.333333333333,5161.333333333333,174200
2023-08-28,5170.66650390625,5226.666502143502,5133.333171748082,5226.666502143502,88000
2023-08-29,5198.66650390625,5226.666503029623,5142.666505659504,5142.666505659504,61200
2023-08-30,5198.66650390625,5263.99983519412,5151.999838700628,5161.333171741752,126500
2023-08-31,5292.0,5320.0,5133.333333333333,5198.666666666667,253600
2023-09-05,5366.66650390625,5394.666503057066,5319.999838654891,5366.66650390625,163000
2023-09-06,5422.66650390625,5478.666502225419,5385.33317169347,5385.33317169347,281800
2023-09-07,5432.0,5497.333333333333,5404.0,5432.0,121600
2023-09-08,5385.33349609375,5469.3334986324735,5366.666828862923,5432.000164170819,133400
2023-09-11,5226.66650390625,5459.999829973493,5207.99983782087,5394.6664986746655,158000
2023-09-12,5273.33349609375,5292.000163336559,5217.333494365321,5292.000163336559,138800
2023-09-13,5282.66650390625,5375.999834363957,5263.999837814708,5273.333170860479,177600
2023-09-14,5264.0,5329.333333333333,5180.0,5282.666666666667,152700
2023-09-15,5264.0,5320.0,5198.666666666667,5226.666666666667,229900
2023-09-18,5226.66650390625,5291.999835205078,5198.666504778181,5273.333169119699,99100
2023-09-19,5189.33349609375,5264.000165102293,5133.333494337343,5208.000163345886,91400
2023-09-20,5226.66650390625,5301.333168247767,5123.999840436663,5189.333171735491,285800
2023-09-21,5208.0,5310.666666666667,5133.333333333333,5310.666666666667,74000
2023-09-22,5124.0,5226.666666666667,5049.333333333333,5133.333333333333,102900
2023-09-25,5030.66650390625,5198.666498470838,4853.333176310297,5179.999832408105,116700
2023-09-26,4918.66650390625,5030.666500200131,4759.99984248992,5030.666500200131,92900
2023-09-27,4900.0,4956.0,4722.666666666667,4900.0,44000
2023-09-28,4853.33349609375,4937.333498910757,4797.333494215745,4900.000164325421,87400
2023-09-29,4853.33349609375,4909.333497971755,4825.333495154748,4825.333495154748,19600
2023-10-02,4872.0,4928.0,4862.666666666667,4862.666666666667,19100
2023-10-03,4620.0,4872.0,4573.333333333333,4872.0,135400
2023-10-04,4750.66650390625,4750.66650390625,4610.666508702726,4619.999841716294,53900
2023-10-05,4620.0,4750.666666666667,4620.0,4750.666666666667,19800
2023-10-06,4638.66650390625,4657.333169917945,4573.333172865317,4619.999837894555,48300
2023-10-09,4666.66650390625,4750.666500976562,4629.333171875,4629.333171875,28300
2023-10-10,4713.33349609375,4760.000164371906,4676.0001614712255,4685.333495126857,103500
2023-10-11,4732.0,4853.333333333333,4694.666666666667,4853.333333333333,83000
2023-10-12,4778.66650390625,4825.33316898346,4722.666505813599,4806.666502952576,37900
2023-10-13,4732.0,4778.666666666667,4676.0,4760.0,77400
2023-10-16,4704.0,4816.0,4704.0,4741.333333333333,19700
2023-10-17,4713.33349609375,4788.0001653388,4704.000162438119,4750.666830716275,28400
2023-10-18,4657.33349609375,4741.333499029309,4386.666819968061,4676.000163412763,67800
2023-10-19,4638.66650390625,4666.666502923793,4582.666505871164,4657.333169917945,68700
2023-10-20,4666.66650390625,4694.666502929687,4339.999848632812,4638.666504882813,99500
2023-10-23,4704.0,4760.0,4666.666666666667,4741.333333333333,30900
2023-10-24,4713.33349609375,4713.33349609375,4601.333492226176,4666.666827815594,55700
2023-10-25,4750.66650390625,4806.66650198766,4675.999839797704,4713.333171851977,31200
2023-10-26,4526.66650390625,4750.666495852126,4507.99983791076,4750.666495852126,168900
2023-10-27,4582.66650390625,4666.666500922862,4526.666505895176,4666.666500922862,180800
2023-10-30,4760.0,4834.666666666667,4573.333333333333,4592.0,152400
2023-10-31,4666.66650390625,4797.333166015625,4647.999837890625,4750.666500976562,72700
2023-11-01,4666.66650390625,4731.999834960938,4339.999848632812,4666.66650390625,72000
2023-11-02,4834.66650390625,4834.66650390625,4629.333177485521,4629.333177485521,102400
2023-11-03,4778.66650390625,4871.999834060669,4778.66650390625,4853.333168029785,47700
2023-11-06,4797.33349609375,4853.333497993677,4722.666826893847,4722.666826893847,48400
2023-11-07,4834.66650390625,4834.66650390625,4769.333172772382,4806.666504848878,50600
2023-11-08,4918.66650390625,4974.66650205319,4666.66651224502,4759.99984248992,212500
2023-11-09,4984.0,4993.333333333333,4890.666666666667,4928.0,187500
2023-11-10,4900.0,4974.666666666667,4853.333333333333,4853.333333333333,45200
2023-11-13,4900.0,4974.666666666667,4862.666666666667,4946.666666666667,69500
2023-11-14,4993.33349609375,5012.000163368866,4900.000159718165,4900.000159718165,269800
2023-11-15,5040.0,5077.333333333333,5002.666666666667,5002.666666666667,75100
2023-11-16,5030.66650390625,5058.666503000348,4974.666505718054,5039.999836937616,42500
2023-11-17,5040.0,5096.0,4974.666666666667,5021.333333333333,210000
2023-11-20,4993.33349609375,5012.000163368866,4946.666827905958,4946.666827905958,36800
2023-11-21,5021.33349609375,5049.333497001336,4984.000161550302,5040.000163365474,19100
2023-11-22,5021.33349609375,5030.666829729612,4974.666827914441,5030.666829729612,31800
2023-11-23,5002.66650390625,5030.666502995277,4946.666505728195,5021.333169965602,50900
2023-11-24,4946.66650390625,4983.999836011203,4871.999839696345,4871.999839696345,70300
2023-11-27,4918.66650390625,4946.6665029797205,4899.99983785727,4946.6665029797205,27700
2023-11-28,4909.33349609375,4909.33349609375,4834.66682695164,4834.66682695164,34600
2023-11-29,4900.0,4918.666666666667,4853.333333333333,4853.333333333333,94700
2023-11-30,4900.0,4937.333333333333,4881.333333333333,4900.0,27500
2023-12-01,4853.33349609375,4890.666830679086,4769.333493276743,4890.666830679086,76800
2023-12-04,4890.66650390625,4918.666502974415,4815.999839724475,4853.333171815363,218600
2023-12-05,4909.33349609375,4909.33349609375,4862.666827879932,4909.33349609375,72100
2023-12-06,5049.33349609375,5058.666829727935,4890.666824312616,4890.666824312616,407100
2023-12-07,5040.0,5124.0,4993.333333333333,5077.333333333333,173500
2023-12-08,4984.0,5040.0,4974.666666666667,5040.0,96400
2023-12-11,4984.0,5012.0,4956.0,4984.0,71200
2023-12-12,4984.0,5002.666666666667,4946.666666666667,4993.333333333333,69300
2023-12-13,4984.0,4993.333333333333,4946.666666666667,4984.0,155500
2023-12-15,4956.0,4984.0,4909.333333333333,4956.0,50500
2023-12-18,4946.66650390625,4993.333169037441,4946.66650390625,4993.333169037441,12400
2023-12-19,4956.0,4965.333333333333,4918.666666666667,4946.666666666667,42200
2023-12-20,4956.0,4965.333333333333,4928.0,4965.333333333333,60000
2023-12-21,4937.33349609375,4956.000163375768,4900.000161529714,4956.000163375768,50100
2023-12-22,4937.33349609375,4946.666829734759,4900.000161529714,4946.666829734759,88300
2023-12-25,4937.33349609375,4946.666829734759,4928.000162452741,4937.33349609375,35600
2023-12-26,4946.66650390625,4974.666502984965,4937.333170880012,4974.666502984965,43900
2023-12-27,4984.0,5133.333333333333,4946.666666666667,4946.666666666667,29700
2023-12-28,4993.33349609375,5030.666830643983,4974.666828818633,5030.666830643983,34400
2023-12-29,5002.66650390625,5002.66650390625,4946.666505728195,4946.666505728195,61500
2024-01-02,5002.66650390625,5002.66650390625,4965.333171787547,5002.66650390625,28600
2024-01-03,5114.66650390625,5114.66650390625,4946.666509252395,5002.666507470347,186000
2024-01-04,5086.66650390625,5114.66650301032,5030.666505698107,5114.66650301032,33800
2024-01-05,5040.0,5077.333333333333,4956.0,5077.333333333333,28700
2024-01-08,4993.33349609375,5030.666830643983,4946.666827905958,4946.666827905958,56000
2024-01-09,4984.0,5012.0,4722.666666666667,5012.0,80900
2024-01-10,4974.66650390625,5021.333169046084,4937.333171794383,4983.999836934217,48200
2024-01-11,4965.33349609375,5002.666830650846,4946.666828815202,4974.666829733024,117600
2024-01-12,4918.66650390625,4965.3331690287005,4890.66650483278,4965.3331690287005,122900
2024-01-15,5021.33349609375,5077.333497908922,4937.333493370992,4965.333494278578,87000
2024-01-16,5021.33349609375,5030.666829729612,4909.333492463406,4918.666826099268,12100
2024-01-17,5012.0,5030.666666666667,4974.666666666667,5030.666666666667,5800
2024-01-19,4993.33349609375,5002.666829731308,4909.333493355724,4993.33349609375,46900
2024-01-22,4993.33349609375,5012.000163368866,4993.33349609375,4993.33349609375,28300
2024-01-23,5002.66650390625,5039.999836024954,4974.666504817223,5021.333169965602,90500
2024-01-24,5002.66650390625,5021.333169965602,4993.333170876575,5002.66650390625,29400
2024-01-25,5208.0,5226.666666666667,4993.333333333333,5002.666666666667,250000
2024-01-26,5124.0,5245.333333333333,5086.666666666667,5226.666666666667,116400
2024-01-29,5189.33349609375,5245.333497850157,5124.0001607112745,5124.0001607112745,160500
2024-01-30,5544.0,5544.0,5394.666666666667,5544.0,835900
2024-01-31,5525.33349609375,5712.000168259079,5497.333495268951,5693.333501042546,266400
2024-02-01,5768.0,5908.0,5506.666666666667,5525.333333333333,763100
2024-02-02,5656.0,5777.333333333333,5628.0,5740.0,281800
2024-02-05,5637.33349609375,5730.666832121792,5609.333495285337,5665.333496902163,141900
2024-02-06,5637.33349609375,5674.666830504966,5609.333495285337,5674.666830504966,160700
2024-02-07,5637.33349609375,5656.000163299358,5618.666828888141,5637.33349609375,92000
2024-02-15,5693.33349609375,5730.666830494364,5637.333494492827,5646.666828092982,348700
2024-02-16,5889.33349609375,5889.33349609375,5712.000157859548,5740.000158633369,516100
2024-02-19,5936.0,6020.0,5833.333333333333,5954.666666666667,292800
2024-02-20,5852.0,5945.333333333333,5796.0,5936.0,261800
2024-02-21,5973.33349609375,6020.000164031982,5833.333492279053,5861.333493041992,431500
2024-02-22,5945.33349609375,6001.333497626815,5926.666828916062,5982.666830449127,332500
2024-02-23,5758.66650390625,6001.333163714294,5730.66650469763,6001.333163714294,435600
2024-02-26,5786.66650390625,5814.666503118699,5693.333173198084,5711.999839339717,208000
2024-02-27,5777.33349609375,5824.000164075121,5740.000161708653,5824.000164075121,125400
2024-02-28,5768.0,5805.333333333333,5749.333333333333,5786.666666666667,135700
2024-02-29,5712.0,5786.666666666667,5665.333333333333,5777.333333333333,273500
2024-03-01,5740.0,5749.333333333333,5665.333333333333,5712.0,118500
2024-03-04,5758.66650390625,5833.333168462571,5739.99983776717,5833.333168462571,103400
2024-03-05,5777.33349609375,5796.000163286299,5749.333495304927,5777.33349609375,136600
2024-03-06,5749.33349609375,5805.333497679079,5712.000161703531,5777.333496886415,113000
2024-03-07,5796.0,5824.0,5749.333333333333,5758.666666666667,406100
2024-03-08,5749.33349609375,5833.333498471743,5749.33349609375,5786.6668304839695,321200
2024-03-11,5749.33349609375,5786.6668304839695,5702.6668281059765,5749.33349609375,76000
2024-03-12,5684.0,5768.0,5665.333333333333,5702.666666666667,203500
2024-03-13,5730.66650390625,5730.66650390625,5599.999840950733,5665.333172428492,195200
2024-03-14,5712.0,5730.666666666667,5665.333333333333,5693.333333333333,289800
2024-03-15,5712.0,5758.666666666667,5684.0,5712.0,109900
2024-03-18,5637.33349609375,5730.666832121792,5506.666825654491,5712.000164916183,246200
2024-03-19,5637.33349609375,5674.666830504966,5572.00016087412,5628.0001624909455,94500
2024-03-20,5656.0,5665.333333333333,5600.0,5618.666666666667,66000
2024-03-21,5740.0,5777.333333333333,5665.333333333333,5665.333333333333,136700
2024-03-22,5749.33349609375,5768.00016328886,5730.66682889864,5740.000162496195,112100
2024-03-25,5702.66650390625,5767.999835374898,5683.999837772351,5749.333169240998,151600
2024-03-26,5712.0,5712.0,5674.666666666667,5693.333333333333,82200
2024-03-27,5721.33349609375,5749.333496890294,5702.666828896055,5721.33349609375,122400
2024-03-28,5721.33349609375,5740.0001632914455,5684.000161698358,5721.33349609375,136300
2024-03-29,5749.33349609375,5777.333496886415,5702.6668281059765,5702.6668281059765,85500
2024-04-01,5702.66650390625,5749.333169240998,5683.999837772351,5749.333169240998,240900
2024-04-02,5740.0,5749.333333333333,5693.333333333333,5702.666666666667,74600
2024-04-03,5824.0,5908.0,5721.333333333333,5730.666666666667,307100
2024-04-04,5721.33349609375,5833.333499279925,5721.33349609375,5777.333497686837,588700
2024-04-05,5730.66650390625,5777.333169247506,5693.333171633245,5721.333170837999,164900
2024-04-08,5609.33349609375,5730.666832947692,5516.000160052256,5730.666832947692,146100
2024-04-09,5600.0,5637.333333333333,5581.333333333333,5609.333333333333,117600
2024-04-10,5600.0,5656.0,5553.333333333333,5600.0,51400
2024-04-11,5572.0,5600.0,5516.0,5562.666666666667,135500
2024-04-12,5600.0,5637.333333333333,5572.0,5572.0,51000
2024-04-15,5226.66650390625,5590.666492571149,5226.66650390625,5590.666492571149,462100
2024-04-16,5077.33349609375,5301.333503274357,4974.666826135972,5152.000165153952,156600
2024-04-17,5133.33349609375,5208.000165127841,5058.666827059659,5208.000165127841,46800
2024-04-19,5040.0,5133.333333333333,4965.333333333333,5133.333333333333,84500
2024-04-22,5040.0,5124.0,5002.666666666667,5002.666666666667,38200
2024-04-23,4900.0,5049.333333333333,4853.333333333333,5040.0,107300
2024-04-24,4965.33349609375,5012.00016429012,4909.333494258106,4937.333495175928,130700
2024-04-25,4956.0,4984.0,4928.0,4974.666666666667,25900
2024-04-26,4956.0,4993.333333333333,4853.333333333333,4946.666666666667,65300
2024-05-02,5040.0,5058.666666666667,5002.666666666667,5030.666666666667,46400
2024-05-03,5049.33349609375,5086.666830630487,5021.333495191197,5086.666830630487,78100
2024-05-06,5217.33349609375,5217.33349609375,5049.333490852806,5049.333490852806,131600
2024-05-07,5245.33349609375,5310.6668314543485,5217.333495224922,5217.333495224922,129300
2024-05-08,5152.0,5273.333333333333,5152.0,5245.333333333333,73900
2024-05-09,5189.33349609375,5282.666832354429,5170.666828841614,5208.000163345886,107100
2024-05-10,5460.0,5469.333333333333,5217.333333333333,5273.333333333333,228600
2024-05-13,5544.0,5628.0,5450.666666666667,5497.333333333333,288100
2024-05-14,5460.0,5600.0,5441.333333333333,5600.0,132200
2024-05-15,5488.0,5516.0,5413.333333333333,5478.666666666667,223400
2024-05-16,5460.0,5525.333333333333,5441.333333333333,5488.0,204900
2024-05-17,5516.0,5516.0,5450.666666666667,5506.666666666667,182700
2024-05-20,5544.0,5572.0,5506.666666666667,5534.666666666667,157900
2024-05-21,5562.66650390625,5562.66650390625,5497.333172484532,5543.999837785759,210300
2024-05-22,5600.0,5637.333333333333,5534.666666666667,5562.666666666667,225500
