Price,Close,High,Low,Open,Volume
Ticker,HPX.VN,HPX.VN,HPX.VN,HPX.VN,HPX.VN
Date,,,,,
2018-07-25,14153.2841796875,14202.599609375,13808.0830078125,14103.9697265625,1101905
2018-07-26,13314.9365234375,14202.599609375,13314.9365234375,14153.2841796875,827382
2018-07-27,13536.8525390625,13536.8525390625,13314.9365234375,13314.9365234375,1099147
2018-07-30,13561.509765625,13709.453125,13536.8525390625,13561.509765625,1237179
2018-07-31,13487.5380859375,13610.82421875,13413.5654296875,13413.5654296875,683773
2018-08-01,13388.908203125,13561.509765625,13314.9365234375,13314.9365234375,1083634
2018-08-02,13388.908203125,13512.1953125,13314.9365234375,13462.880859375,1030952
2018-08-03,13265.6220703125,13413.5654296875,13265.6220703125,13364.2509765625,1026227
2018-08-06,13314.9365234375,13364.2509765625,13216.3076171875,13265.6220703125,1262162
2018-08-07,13413.5654296875,13413.5654296875,13265.6220703125,13290.279296875,712547
2018-08-08,13462.880859375,13512.1953125,13314.9365234375,13314.9365234375,502549
2018-08-09,13364.2509765625,13512.1953125,13314.9365234375,13462.880859375,943676
2018-08-10,13339.59375,13388.908203125,13290.279296875,13364.2509765625,565694
2018-08-13,13413.5654296875,13462.880859375,13339.59375,13339.59375,760951
2018-08-14,13561.509765625,13561.509765625,13364.2509765625,13413.5654296875,1411813
2018-08-15,13462.880859375,13610.82421875,13462.880859375,13561.509765625,1161522
2018-08-16,13462.880859375,13512.1953125,13413.5654296875,13462.880859375,689532
2018-08-17,13462.880859375,13512.1953125,13413.5654296875,13413.5654296875,459275
2018-08-20,13364.2509765625,13512.1953125,13364.2509765625,13413.5654296875,673107
2018-08-21,13364.2509765625,13413.5654296875,13314.9365234375,13413.5654296875,815255
2018-08-22,13364.2509765625,13413.5654296875,13314.9365234375,13364.2509765625,680893
2018-08-23,13364.2509765625,13462.880859375,13339.59375,13364.2509765625,414603
2018-08-24,13413.5654296875,13462.880859375,13364.2509765625,13364.2509765625,390168
2018-08-27,13413.5654296875,13438.2236328125,13364.2509765625,13388.908203125,331707
2018-08-28,13364.2509765625,13462.880859375,13314.9365234375,13413.5654296875,474889
2018-08-29,13339.59375,13413.5654296875,13339.59375,13364.2509765625,514148
2018-08-30,13388.908203125,13388.908203125,13339.59375,13339.59375,405904
2018-08-31,13438.2236328125,13462.880859375,13314.9365234375,13388.908203125,494539
2018-09-03,13438.2236328125,13438.2236328125,13438.2236328125,13438.2236328125,0
2018-09-04,13512.1953125,13561.509765625,13413.5654296875,13438.2236328125,624744
2018-09-05,13413.5654296875,13536.8525390625,13413.5654296875,13438.2236328125,620992
2018-09-06,13413.5654296875,13438.2236328125,13314.9365234375,13413.5654296875,430116
2018-09-07,13438.2236328125,13487.5380859375,13413.5654296875,13413.5654296875,417199
2018-09-10,13462.880859375,13487.5380859375,13413.5654296875,13413.5654296875,408621
2018-09-11,13438.2236328125,13487.5380859375,13314.9365234375,13462.880859375,272677
2018-09-12,13438.2236328125,13462.880859375,13314.9365234375,13413.5654296875,378001
2018-09-13,13438.2236328125,13438.2236328125,13314.9365234375,13413.5654296875,615720
2018-09-14,13438.2236328125,13487.5380859375,13413.5654296875,13438.2236328125,691073
2018-09-17,13314.9365234375,13462.880859375,13314.9365234375,13413.5654296875,835107
2018-09-18,13364.2509765625,13413.5654296875,13314.9365234375,13314.9365234375,681380
2018-09-19,13388.908203125,13388.908203125,13314.9365234375,13364.2509765625,416083
2018-09-20,13314.9365234375,13388.908203125,13216.3076171875,13388.908203125,112441
2018-09-21,13314.9365234375,13413.5654296875,13265.6220703125,13314.9365234375,47085
2018-09-24,13364.2509765625,13388.908203125,13290.279296875,13314.9365234375,78191
2018-09-25,13314.9365234375,13364.2509765625,13290.279296875,13364.2509765625,49092
2018-09-26,13314.9365234375,13314.9365234375,13265.6220703125,13314.9365234375,71642
2018-09-27,13314.9365234375,13314.9365234375,13290.279296875,13314.9365234375,42157
2018-09-28,13314.9365234375,13339.59375,13290.279296875,13314.9365234375,23461
2018-10-01,13339.59375,13364.2509765625,13314.9365234375,13314.9365234375,72960
2018-10-02,13265.6220703125,13364.2509765625,13265.6220703125,13339.59375,72311
2018-10-03,13314.9365234375,13314.9365234375,13265.6220703125,13265.6220703125,71013
2018-10-04,13314.9365234375,13339.59375,13290.279296875,13314.9365234375,73933
2018-10-05,13290.279296875,13314.9365234375,13265.6220703125,13314.9365234375,43536
2018-10-08,13265.6220703125,13314.9365234375,13265.6220703125,13290.279296875,32181
2018-10-09,13265.6220703125,13290.279296875,13265.6220703125,13265.6220703125,24779
2018-10-10,13314.9365234375,13314.9365234375,13216.3076171875,13265.6220703125,72939
2018-10-11,13339.59375,13388.908203125,13166.9931640625,13290.279296875,246093
2018-10-12,13339.59375,13339.59375,13240.96484375,13265.6220703125,153625
2018-10-15,13314.9365234375,13364.2509765625,13290.279296875,13339.59375,167110
2018-10-16,13808.0830078125,13808.0830078125,13265.6220703125,13339.59375,533290
2018-10-17,13709.453125,13832.740234375,13635.4814453125,13832.740234375,497357
2018-10-18,14301.228515625,14301.228515625,13610.82421875,13709.453125,1102757
2018-10-19,13808.0830078125,14325.8857421875,13808.0830078125,14301.228515625,646543
2018-10-22,13857.3974609375,14079.3125,13857.3974609375,13956.0263671875,590758
2018-10-23,13709.453125,14054.6552734375,13635.4814453125,13906.7119140625,214439
2018-10-24,13314.9365234375,13882.0546875,13314.9365234375,13684.7958984375,306014
2018-10-25,13561.509765625,13561.509765625,12821.791015625,13191.650390625,1145807
2018-10-26,13758.767578125,13783.4248046875,13536.8525390625,13536.8525390625,1071103
2018-10-29,13882.0546875,13906.7119140625,13561.509765625,13586.1669921875,766365
2018-10-30,14769.716796875,14843.6884765625,13561.509765625,13758.767578125,1765441
2018-10-31,14769.716796875,15139.576171875,14449.171875,14843.6884765625,1098397
2018-11-01,15142.0419921875,15198.75390625,14716.7041015625,14745.0595703125,874827
2018-11-02,15368.888671875,15368.888671875,15113.6865234375,15113.6865234375,647202
2018-11-05,15425.6005859375,15595.736328125,15312.1767578125,15368.888671875,553341
2018-11-06,15737.515625,15765.87109375,15368.888671875,15425.6005859375,729725
2018-11-07,15652.4482421875,15822.5830078125,15595.736328125,15765.87109375,497357
2018-11-08,15680.8037109375,15765.87109375,15425.6005859375,15595.736328125,511869
