Price,Close,High,Low,Open,Volume
Ticker,HSL.VN,HSL.VN,HSL.VN,HSL.VN,HSL.VN
Date,,,,,
2018-05-10,12120.1923828125,12120.1923828125,12120.1923828125,12120.1923828125,160
2018-05-11,12946.568359375,12946.568359375,12946.568359375,12946.568359375,814
2018-05-14,13834.158203125,13834.158203125,13834.158203125,13834.158203125,814
2018-05-15,14782.9609375,14782.9609375,14691.1416015625,14691.1416015625,487
2018-05-16,15792.9775390625,15792.9775390625,15762.37109375,15792.9775390625,292058
2018-05-17,15915.4033203125,16405.107421875,15792.9775390625,15976.6162109375,319112
2018-05-18,15058.419921875,15915.4033203125,14997.20703125,15609.337890625,52682
2018-05-21,14691.1416015625,14966.6005859375,14385.076171875,14691.1416015625,48334
2018-05-22,14844.1748046875,14844.1748046875,14691.1416015625,14721.748046875,42552
2018-05-23,14874.78125,14874.78125,14844.1748046875,14844.1748046875,14013
2018-05-24,14874.78125,14905.3876953125,14782.9609375,14874.78125,13735
2018-05-25,14813.568359375,14874.78125,14752.3544921875,14874.78125,10369
2018-05-28,14813.568359375,14844.1748046875,14752.3544921875,14813.568359375,7202
2018-05-29,14874.78125,14874.78125,14813.568359375,14813.568359375,14634
2018-05-30,14905.3876953125,14905.3876953125,14691.1416015625,14721.748046875,12184
2018-05-31,14905.3876953125,14905.3876953125,14691.1416015625,14905.3876953125,28797
2018-06-01,14935.994140625,14935.994140625,14905.3876953125,14905.3876953125,9098
2018-06-04,14997.20703125,14997.20703125,14874.78125,14874.78125,10029
2018-06-05,14997.20703125,14997.20703125,14935.994140625,14997.20703125,7332
2018-06-06,14997.20703125,14997.20703125,14935.994140625,14997.20703125,8311
2018-06-07,14997.20703125,15027.8134765625,14966.6005859375,14966.6005859375,6645
2018-06-08,15027.8134765625,15027.8134765625,14966.6005859375,14997.20703125,11285
2018-06-11,14966.6005859375,15027.8134765625,14966.6005859375,14997.20703125,7478
2018-06-12,14905.3876953125,14966.6005859375,14905.3876953125,14966.6005859375,9993
2018-06-13,14935.994140625,14935.994140625,14874.78125,14905.3876953125,5617
2018-06-14,15027.8134765625,15027.8134765625,14905.3876953125,14935.994140625,14142
2018-06-15,15027.8134765625,15058.419921875,14997.20703125,15027.8134765625,10206
2018-06-18,15211.453125,15242.0595703125,14997.20703125,15027.8134765625,117521
2018-06-19,15915.4033203125,15915.4033203125,15211.453125,15242.0595703125,652944
2018-06-20,17017.23828125,17017.23828125,15915.4033203125,15946.009765625,1211697
2018-06-21,16221.46875,17384.517578125,16099.04296875,17078.453125,480858
2018-06-22,15089.0263671875,15303.2724609375,15089.0263671875,15089.0263671875,109403
2018-06-25,14048.404296875,14048.404296875,14048.404296875,14048.404296875,30
2018-06-26,13068.9951171875,13068.9951171875,13068.9951171875,13068.9951171875,46
2018-06-27,12793.5361328125,12854.7490234375,12181.4052734375,12181.4052734375,812846
2018-06-28,13130.2080078125,13160.814453125,12671.109375,12793.5361328125,385584
2018-06-29,12609.896484375,13344.4541015625,12212.01171875,13160.814453125,316482
2018-07-02,12242.6181640625,12609.896484375,12181.4052734375,12609.896484375,97590
2018-07-03,12334.4375,12456.8642578125,12212.01171875,12242.6181640625,241889
2018-07-04,12548.68359375,12548.68359375,12242.6181640625,12303.8310546875,306337
2018-07-05,12671.109375,12701.7158203125,12487.470703125,12548.68359375,184793
2018-07-06,12854.7490234375,12915.9619140625,12640.5029296875,12671.109375,473718
2018-07-09,13160.814453125,13160.814453125,12854.7490234375,12885.35546875,1527808
2018-07-10,13344.4541015625,13405.6669921875,13160.814453125,13191.4208984375,1202322
2018-07-11,12732.3232421875,13405.6669921875,12426.2578125,13375.060546875,758887
2018-07-12,12365.0439453125,12854.7490234375,12242.6181640625,12732.3232421875,761535
2018-07-13,12548.68359375,12548.68359375,12242.6181640625,12365.0439453125,873225
2018-07-16,12365.0439453125,12579.2900390625,12303.8310546875,12548.68359375,190887
2018-07-17,12303.8310546875,12548.68359375,12242.6181640625,12365.0439453125,199742
2018-07-18,12303.8310546875,12395.650390625,12242.6181640625,12303.8310546875,123794
2018-07-19,12518.0771484375,12548.68359375,12242.6181640625,12334.4375,191688
2018-07-20,12732.3232421875,12732.3232421875,12456.8642578125,12518.0771484375,164030
2018-07-23,12609.896484375,12824.142578125,12548.68359375,12762.9296875,175287
2018-07-24,12579.2900390625,12701.7158203125,12518.0771484375,12609.896484375,140996
2018-07-25,12732.3232421875,12793.5361328125,12579.2900390625,12579.2900390625,180414
2018-07-26,12609.896484375,12762.9296875,12548.68359375,12732.3232421875,140930
2018-07-27,12609.896484375,12671.109375,12518.0771484375,12609.896484375,117276
2018-07-30,12640.5029296875,12732.3232421875,12548.68359375,12640.5029296875,96952
2018-07-31,12671.109375,12732.3232421875,12579.2900390625,12671.109375,95155
2018-08-01,12762.9296875,12762.9296875,12640.5029296875,12701.7158203125,189074
2018-08-02,13650.51953125,13650.51953125,12762.9296875,12793.5361328125,1153557
2018-08-03,14048.404296875,14079.0107421875,13711.732421875,13803.5517578125,335726
2018-08-06,13466.8798828125,14262.650390625,13160.814453125,14079.0107421875,347243
2018-08-07,12854.7490234375,13466.8798828125,12732.3232421875,12977.1748046875,157300
2018-08-08,13160.814453125,13160.814453125,12732.3232421875,12854.7490234375,441668
2018-08-09,13038.388671875,13222.02734375,12977.1748046875,13160.814453125,141306
2018-08-10,12977.1748046875,13130.2080078125,12915.9619140625,13038.388671875,148755
2018-08-13,13099.6015625,13160.814453125,12977.1748046875,13038.388671875,177067
2018-08-14,12915.9619140625,13222.02734375,12854.7490234375,13099.6015625,194987
2018-08-15,12854.7490234375,13038.388671875,12732.3232421875,12854.7490234375,139216
2018-08-16,12609.896484375,12977.1748046875,12579.2900390625,12854.7490234375,111182
2018-08-17,12609.896484375,12854.7490234375,12518.0771484375,12609.896484375,142009
2018-08-20,12854.7490234375,12854.7490234375,12548.68359375,12609.896484375,185855
2018-08-21,13038.388671875,13068.9951171875,12854.7490234375,12915.9619140625,213269
2018-08-22,12977.1748046875,13222.02734375,12915.9619140625,13038.388671875,147155
2018-08-23,13160.814453125,13222.02734375,12977.1748046875,13038.388671875,331805
2018-08-24,13099.6015625,13344.4541015625,13007.78125,13160.814453125,111037
2018-08-27,13038.388671875,13222.02734375,12977.1748046875,13038.388671875,123613
2018-08-28,13283.240234375,13283.240234375,12977.1748046875,13038.388671875,386612
2018-08-29,13099.6015625,13344.4541015625,13038.388671875,13222.02734375,172313
2018-08-30,13038.388671875,13160.814453125,12977.1748046875,13038.388671875,144999
2018-08-31,13038.388671875,13099.6015625,12977.1748046875,13038.388671875,107017
2018-09-04,13191.4208984375,13222.02734375,13038.388671875,13068.9951171875,195248
2018-09-05,13099.6015625,13222.02734375,13038.388671875,13222.02734375,193990
2018-09-06,12854.7490234375,13099.6015625,12824.142578125,13038.388671875,192683
2018-09-07,13191.4208984375,13222.02734375,12609.896484375,12732.3232421875,392494
2018-09-10,12915.9619140625,13191.4208984375,12732.3232421875,13191.4208984375,171938
2018-09-11,12609.896484375,12915.9619140625,12548.68359375,12854.7490234375,142860
2018-09-12,12426.2578125,12609.896484375,12365.0439453125,12609.896484375,120886
2018-09-13,12365.0439453125,12426.2578125,12303.8310546875,12365.0439453125,116018
2018-09-14,12609.896484375,12671.109375,12365.0439453125,12426.2578125,281422
2018-09-17,12548.68359375,12640.5029296875,12487.470703125,12609.896484375,125999
2018-09-18,12548.68359375,12640.5029296875,12426.2578125,12609.896484375,104582
2018-09-19,12931.265625,13084.2978515625,12625.2001953125,12701.7158203125,273625
2018-09-20,12854.7490234375,13007.78125,12701.7158203125,12931.265625,92737
2018-09-21,12625.2001953125,12854.7490234375,12548.68359375,12854.7490234375,114260
2018-09-24,12548.68359375,12739.974609375,12433.9091796875,12701.7158203125,107805
2018-09-25,12548.68359375,12548.68359375,12357.392578125,12548.68359375,87077
2018-09-26,13390.36328125,13390.36328125,12548.68359375,12625.2001953125,511848
2018-09-27,13390.36328125,13772.9453125,13160.814453125,13619.9130859375,245423
2018-09-28,13084.2978515625,13390.36328125,13084.2978515625,13390.36328125,175450
2018-10-01,13007.78125,13084.2978515625,12854.7490234375,13007.78125,110352
2018-10-02,13160.814453125,13199.072265625,12931.265625,13007.78125,177478
2018-10-03,13466.8798828125,13466.8798828125,13084.2978515625,13160.814453125,517469
2018-10-04,13313.8466796875,13505.1376953125,13237.3310546875,13466.8798828125,170837
2018-10-05,13237.3310546875,13313.8466796875,13160.814453125,13237.3310546875,113777
2018-10-08,13390.36328125,13390.36328125,13122.556640625,13160.814453125,197212
2018-10-09,13237.3310546875,13390.36328125,13199.072265625,13313.8466796875,134491
2018-10-10,13237.3310546875,13313.8466796875,13160.814453125,13237.3310546875,131133
2018-10-11,13313.8466796875,13313.8466796875,13084.2978515625,13237.3310546875,179110
2018-10-12,13466.8798828125,13466.8798828125,13237.3310546875,13313.8466796875,193290
2018-10-15,13466.8798828125,13505.1376953125,13390.36328125,13466.8798828125,171007
2018-10-16,13390.36328125,13505.1376953125,13390.36328125,13428.6220703125,116991
2018-10-17,13352.10546875,13428.6220703125,13313.8466796875,13390.36328125,149065
2018-10-18,13390.36328125,13428.6220703125,13313.8466796875,13313.8466796875,166824
2018-10-19,13390.36328125,13390.36328125,13313.8466796875,13352.10546875,119516
2018-10-22,13466.8798828125,13466.8798828125,13352.10546875,13390.36328125,169754
2018-10-23,13581.654296875,13619.9130859375,13466.8798828125,13505.1376953125,201603
2018-10-24,14499.8505859375,14499.8505859375,13581.654296875,13581.654296875,1113055
