Price,Close,High,Low,Open,Volume
Ticker,HT1.VN,HT1.VN,HT1.VN,HT1.VN,HT1.VN
Date,,,,,
2023-07-17,16294.9716796875,16535.310495022124,16150.768390486726,16535.310495022124,1271600
2023-07-19,16054.6328125,16343.03938997006,16006.565049588324,16294.971627058383,1114700
2023-07-20,16343.0380859375,16487.24136316636,15958.496013327203,16054.63153147978,2410000
2023-07-21,16439.17578125,16583.379077576756,16343.0402503655,16439.17578125,1691200
2023-07-24,16775.6484375,16967.919479763612,16343.038592406876,16535.309634670488,2101100
2023-07-26,16294.9716796875,16439.174968888274,16054.632864352876,16439.174968888274,1577600
2023-07-28,16054.6328125,16198.83610123503,15814.293997941617,16054.6328125,1369900
2023-08-03,16246.9033203125,16391.106604220597,16150.7677977071,16343.038842917898,1062000
2023-08-04,16246.9033203125,16391.106604220597,16102.7000364044,16343.038842917898,1155700
2023-08-07,16631.4453125,16775.64859555636,16246.903224349711,16391.106507406068,2176600
2023-08-08,16343.0380859375,16823.71567670037,16343.0380859375,16823.71567670037,1364300
2023-08-09,16294.9716796875,16439.174968888274,16198.83615355365,16343.039442754423,1093500
2023-08-10,15766.2265625,16294.97196551067,15718.15879858994,16294.97196551067,1678700
2023-08-11,15718.1591796875,15862.36247491399,15285.549294008028,15766.226944762995,1521800
2023-08-14,15910.4296875,16150.76850453172,15718.158633874622,15766.226397280969,984500
2023-08-15,15573.9560546875,16054.633710696373,15381.68499228395,16006.565945095486,2116700
2023-08-16,15525.88671875,16006.564326141644,15381.683436532508,15622.022240228329,1838500
2023-08-17,15141.345703125,15477.820052083332,15045.21017485119,15381.684523809525,3324300
2023-08-18,14083.8544921875,15141.345273170862,14083.8544921875,15141.345273170862,2095300
2023-08-21,13651.244140625,14179.989512268929,13507.040857449383,14083.853990151849,993400
2023-08-22,13458.9736328125,13747.380210658484,12786.024951171876,13651.244684709822,1507200
2023-08-23,13507.041015625,13747.379823732206,13458.973254003558,13651.244300489325,464200
2023-08-24,14083.8544921875,14083.8544921875,13651.24462723976,13651.24462723976,1108900
2023-08-25,13747.3798828125,14276.125262920672,13747.3798828125,14179.989739264642,948800
2023-08-28,13795.447265625,14035.786068162022,13747.379505117597,14035.786068162022,377800
2023-08-29,13699.3125,14035.786842105264,13699.3125,13939.651315789471,898100
2023-08-30,14035.787109375,14035.787109375,13699.312760862584,13747.380524935788,1786500
2023-08-31,14324.193359375,14564.532174129616,14179.990070522232,14179.990070522232,1285200
2023-09-05,14516.4638671875,14660.667150636384,14468.396106037872,14516.4638671875,1786400
2023-09-06,14516.4638671875,14612.599389486755,14276.125061439365,14564.531628337128,4674100
2023-09-07,14516.4638671875,15093.277000983033,14516.4638671875,14660.667150636384,2724900
2023-09-08,14708.7353515625,14708.7353515625,14516.464301215276,14708.7353515625,1038600
2023-09-11,14708.7353515625,14997.141927083334,14612.599826388889,14901.006401909724,3904700
2023-09-12,14756.8037109375,14756.8037109375,14516.464888283794,14612.600417345277,677400
2023-09-13,15045.2099609375,15237.481014751398,14804.871143670129,14804.871143670129,1848900
2023-09-14,15189.4130859375,15189.4130859375,14901.006508356408,15093.277560077137,1315300
2023-09-15,14804.87109375,15237.480963372564,14804.87109375,15189.41320008117,558200
2023-09-18,14324.193359375,14852.938751835152,14179.990070522232,14804.87098888423,887100
2023-09-19,14035.787109375,14516.46475010702,13747.380524935788,14516.46475010702,898400
2023-09-20,14276.1259765625,14324.193740793353,13795.448334254,13843.516098484848,506700
2023-09-21,14228.0576171875,14564.531952729096,14131.922092747043,14420.328666068412,575200
2023-09-22,13747.3798828125,14035.786453780594,13458.973311844406,14035.786453780594,1093500
2023-09-25,12786.0244140625,13939.650676985431,12786.0244140625,13939.650676985431,686100
2023-09-26,12978.2958984375,13218.634711371527,12593.753797743057,12786.024848090276,846900
2023-09-27,12978.2958984375,13122.499186197918,12593.753797743057,12978.2958984375,346400
2023-09-28,12930.2275390625,13074.430820167288,12737.956497589452,13026.363059799023,284700
2023-09-29,13122.5,13218.635531135533,13026.364468864467,13074.432234432235,281800
2023-10-02,13266.703125,13555.109714673914,13170.567595108696,13170.567595108696,432100
2023-10-03,12834.0927734375,13507.041458187032,12834.0927734375,13266.702642205057,575900
2023-10-04,12930.2275390625,12978.295299430762,12497.61769574814,12497.61769574814,307600
2023-10-05,13266.703125,13362.838654891304,12978.296535326088,13074.432065217392,531800
2023-10-06,13362.837890625,13362.837890625,13026.36355524955,13266.702366232015,207300
2023-10-09,13266.703125,13362.838654891304,13170.567595108696,13362.838654891304,250200
2023-10-10,13458.9736328125,13651.244684709822,13266.702580915178,13266.702580915178,473900
2023-10-11,13458.9736328125,13507.041395786831,13218.634817940849,13458.9736328125,266700
2023-10-12,13410.90625,13651.245071684589,13362.838485663082,13507.041778673834,397600
2023-10-13,13266.703125,13314.770889945652,13026.36430027174,13314.770889945652,318300
