Price,Close,High,Low,Open,Volume
Ticker,ICT.VN,ICT.VN,ICT.VN,ICT.VN,ICT.VN
Date,,,,,
2023-07-17,10483.98046875,10525.09411764706,10483.98046875,10525.09411764706,6300
2023-07-19,10525.0947265625,10525.0947265625,10401.753772735596,10401.753772735596,1000
2023-07-20,10483.98046875,10525.09411764706,10483.98046875,10525.09411764706,1400
2023-07-21,10442.8671875,10483.980837844489,9785.04878198819,10442.8671875,8800
2023-07-24,10442.8671875,10442.8671875,10442.8671875,10442.8671875,7700
2023-07-26,10360.640625,10442.86793154762,10360.640625,10442.86793154762,5400
2023-07-28,10566.2080078125,10607.321657648346,10483.980708140807,10525.094357976654,31700
2023-08-03,10895.1171875,10977.344487028302,10730.662588443396,10730.662588443396,7900
2023-08-04,11100.6845703125,11100.6845703125,10895.116337528934,11059.570923755788,33600
2023-08-07,11182.9130859375,11182.9130859375,11100.68578383502,11100.68578383502,16500
2023-08-08,11182.9130859375,11224.02673698874,11018.458481732536,11182.9130859375,18900
2023-08-09,11141.7998046875,11141.7998046875,11018.458847440035,11141.7998046875,6100
2023-08-10,11059.572265625,11141.799568715149,10689.54940171933,11141.799568715149,17900
2023-08-11,11018.4580078125,11018.4580078125,10689.548813549442,10977.344358529615,3300
2023-08-14,11018.4580078125,11018.4580078125,10854.00341068097,11018.4580078125,2900
2023-08-15,10895.1171875,11018.458136792451,10689.548938679243,10689.548938679243,8900
2023-08-16,10812.8896484375,10895.11694614425,10689.548701877377,10895.11694614425,10200
2023-08-17,10936.2314453125,10936.2314453125,10730.663185062263,10812.89048916236,37900
2023-08-18,10525.0947265625,10936.231239318848,10442.86742401123,10936.231239318848,20800
2023-08-21,10525.0947265625,10566.208377838137,10278.412818908691,10566.208377838137,7500
2023-08-22,10483.98046875,10525.09411764706,10360.639522058824,10525.09411764706,13500
2023-08-23,10483.98046875,10566.207766544116,10360.639522058824,10360.639522058824,2500
2023-08-24,10689.548828125,11182.912620192308,10483.980581430287,10483.980581430287,57900
2023-08-25,10689.548828125,10812.889776141828,10483.980581430287,10771.776126802884,16900
2023-08-28,10689.548828125,10689.548828125,10689.548828125,10689.548828125,3200
2023-08-29,10771.7763671875,10854.003667700385,10031.730662571566,10689.54906667462,14700
2023-08-30,10730.6630859375,10854.004040948275,10689.54943426724,10854.004040948275,33000
2023-08-31,10771.7763671875,10771.7763671875,10607.321766161738,10689.54906667462,13100
2023-09-05,10730.6630859375,10936.231344288792,10607.322130926725,10854.004040948275,3700
2023-09-06,10607.322265625,10812.890526586723,10525.094961240313,10689.54957000969,16200
2023-09-07,10607.322265625,10771.77687439438,10607.322265625,10689.54957000969,53400
2023-09-08,10689.548828125,10689.548828125,10566.207880108172,10607.321529447116,15500
2023-09-11,10525.0947265625,10689.54933166504,10525.0947265625,10566.208377838137,33700
2023-09-12,10689.548828125,10689.548828125,10525.094230769231,10689.548828125,9200
2023-09-13,10648.435546875,10936.231102195943,10648.435546875,10689.549197635137,28100
2023-09-14,10689.548828125,10812.889776141828,10648.435178786058,10730.662477463942,13400
2023-09-15,10730.6630859375,10730.6630859375,10525.094827586208,10648.435782596984,13100
2023-09-18,10648.435546875,10730.66284839527,10607.321896114863,10730.66284839527,6700
2023-09-19,10525.0947265625,10689.54933166504,10525.0947265625,10689.54933166504,15900
2023-09-20,10730.6630859375,10730.6630859375,10442.86752424569,10525.094827586208,27300
2023-09-21,10730.6630859375,10730.6630859375,10648.435782596984,10689.54943426724,21900
2023-09-22,10525.0947265625,10771.776634216309,10525.0947265625,10566.208377838137,31800
2023-09-25,10483.98046875,10648.435064338237,10442.86681985294,10566.207766544116,21600
2023-09-26,10525.0947265625,10525.0947265625,10401.753772735596,10401.753772735596,15600
2023-09-27,10607.322265625,10607.322265625,10360.640352470931,10442.86765685562,2900
2023-09-28,10607.322265625,10607.322265625,10401.754004663277,10401.754004663277,4600
2023-09-29,10566.2080078125,10607.321657648346,10566.2080078125,10607.321657648346,1900
2023-10-02,10483.98046875,10607.321415441176,10360.639522058824,10360.639522058824,2200
2023-10-03,10483.98046875,10483.98046875,10401.753170955884,10483.98046875,5700
2023-10-04,10442.8671875,10525.094488188975,10401.753537155511,10483.980837844489,13300
2023-10-05,10360.640625,10401.75427827381,10360.640625,10401.75427827381,10900
2023-10-06,10278.412109375,10401.7530546875,10278.412109375,10319.5257578125,12300
2023-10-09,10360.640625,10360.640625,10113.958705357143,10278.413318452382,75800
2023-10-10,10237.298828125,10442.867077685742,10237.298828125,10442.867077685742,8400
2023-10-11,10196.1845703125,10278.411865234377,10031.72998046875,10278.411865234377,15400
2023-10-12,10401.75390625,10401.75390625,10196.185647233202,10196.185647233202,8900
2023-10-13,10442.8671875,10442.8671875,10237.29893577756,10360.639886811025,10800
2023-10-16,10648.435546875,10771.776499155403,10483.98094383446,10483.98094383446,88400
2023-10-17,11182.9130859375,11224.02673698874,10689.54927332261,10689.54927332261,68200
2023-10-18,10648.435546875,11182.913006756757,10566.20824535473,11182.913006756757,31400
2023-10-19,10895.1171875,10977.344487028302,10689.548938679243,10689.548938679243,45900
2023-10-20,10977.3447265625,11018.458377223782,10689.54917193352,11018.458377223782,28000
2023-10-23,10936.2314453125,11018.458749412595,10730.663185062263,11018.458749412595,14500
2023-10-24,10771.7763671875,10936.230968213264,10648.43541641818,10936.230968213264,60300
2023-10-25,10689.548828125,10977.344373497595,10689.548828125,10977.344373497595,31600
2023-10-26,10648.435546875,10689.549197635137,10278.412690033783,10648.435546875,40700
2023-10-27,10689.548828125,10689.548828125,10525.094230769231,10648.435178786058,31100
2023-10-30,10442.8671875,10648.43543922244,10442.8671875,10648.43543922244,12600
2023-10-31,10278.412109375,10442.866703125,10278.412109375,10442.866703125,28200
2023-11-01,10278.412109375,10278.412109375,9990.6165703125,10196.1848125,51200
2023-11-02,10401.75390625,10895.117727890316,10360.64025444664,10895.117727890316,15400
2023-11-03,10525.0947265625,10648.435680389404,10360.64012145996,10648.435680389404,7000
2023-11-06,10442.8671875,10648.43543922244,10442.8671875,10525.094488188975,36800
2023-11-07,10607.322265625,10607.322265625,10401.754004663277,10442.86765685562,36600
2023-11-08,10566.2080078125,10607.321657648346,10360.63975863327,10360.63975863327,27600
2023-11-09,10254.1259765625,10610.791227921196,10254.1259765625,10298.709132982336,48300
2023-11-10,10254.1259765625,10521.624915081522,10164.959663722826,10254.1259765625,29000
2023-11-13,9942.0439453125,10254.12604225056,9808.29447519619,10164.959728839687,24000
2023-11-14,10120.376953125,10209.543269892622,9942.044319589755,9942.044319589755,10800
2023-11-15,10164.9599609375,10254.12627638432,10164.9599609375,10209.54311866091,13600
2023-11-16,10031.2099609375,10432.458359375,10031.2099609375,10164.959427083331,7900
2023-11-17,10075.79296875,10254.125587665929,9942.043504563051,10031.209814021018,8200
2023-11-20,10031.2099609375,10343.29204861111,10031.2099609375,10343.29204861111,406066
2023-11-21,10120.376953125,10298.709586660245,9808.294844438326,10298.709586660245,23400
2023-11-22,9986.626953125,10209.542733328684,9942.043797084263,10209.542733328684,25800
2023-11-23,10075.79296875,10164.959278207964,9942.043504563051,10164.959278207964,16200
2023-11-24,10031.2099609375,10075.793116319444,9852.877339409722,10075.793116319444,14900
2023-11-27,9942.0439453125,10164.959728839687,9852.877631901623,10164.959728839687,10400
2023-11-28,9986.626953125,9986.626953125,9808.294328962053,9942.043797084263,6300
2023-11-29,10075.79296875,10075.79296875,9942.043504563051,9986.626659292036,11900
