Price,Close,High,Low,Open,Volume
Ticker,IJC.VN,IJC.VN,IJC.VN,IJC.VN,IJC.VN
Date,,,,,
2023-07-17,13558.1376953125,13788.718268362032,13512.021580702592,13512.021580702592,2649700
2023-07-19,13465.90625,13834.835188356165,13465.90625,13650.37071917808,2142200
2023-07-20,13558.1376953125,13558.1376953125,13419.78935148278,13419.78935148278,1356600
2023-07-21,13696.4873046875,13742.6034235585,13558.138948074497,13696.4873046875,2279700
2023-07-24,13880.951171875,13973.183405575166,13742.60282132475,13834.835055024916,3027000
2023-07-26,13742.6025390625,13834.834770868289,13650.370307256711,13696.486423159606,1690300
2023-07-28,14803.2734375,14803.2734375,13834.834988317756,14019.29945482866,8259000
2023-08-03,15633.3642578125,15863.944851585546,15310.551426530235,15679.480376567108,5374000
2023-08-04,15725.595703125,16002.29240171371,15587.247353830646,15725.595703125,4425500
2023-08-07,15679.48046875,16094.525539981616,15679.48046875,15863.94494485294,3839100
2023-08-08,15495.015625,15817.828450520832,15402.783389136905,15725.59621465774,2956700
2023-08-09,15356.6669921875,15495.015343468467,15172.202523812875,15402.783109281156,2657100
2023-08-10,15079.970703125,15633.364123423164,15079.970703125,15495.015768348623,3742700
2023-08-11,15172.2021484375,15310.550496295593,14757.15710486322,15264.434380342896,3214200
2023-08-14,15541.130859375,15771.711435923591,15310.55028282641,15402.782513445847,2663000
2023-08-15,15402.783203125,15633.363789998128,15356.667085750374,15587.247672623504,1925700
2023-08-16,15218.318359375,15402.78282433712,15126.08612689394,15402.78282433712,2319100
2023-08-17,15172.2021484375,15587.247192011777,15172.2021484375,15264.434380342896,2293700
2023-08-18,14111.5322265625,15126.0868310866,14111.5322265625,15033.854594311682,5884200
2023-08-21,13742.6025390625,14157.647582188549,13465.905843645134,13834.834770868289,2944900
2023-08-22,13927.0673828125,14019.29961713576,12912.512805256622,13927.0673828125,2246900
2023-08-23,13880.951171875,14203.76398982558,13834.835055024916,14111.531756125414,1329700
2023-08-24,14480.4609375,14526.57705513535,13788.719172969744,13927.067525875796,1733500
2023-08-25,14295.99609375,14526.57667590726,14203.763860887097,14480.460559475809,1397200
2023-08-28,14849.3896484375,14849.3896484375,14203.764011548912,14388.228479231366,2105100
2023-08-29,14895.505859375,15126.086445433437,14664.925273316563,15033.854211010062,1736900
2023-08-30,14849.3896484375,15033.854116119954,14664.925180755046,14941.621882278729,1459600
2023-08-31,15172.2021484375,15264.434380342896,14941.621568674012,14941.621568674012,2626400
2023-09-05,15126.0859375,15402.78263147866,15033.85370617378,15310.55040015244,2524300
2023-09-06,15310.55078125,15310.55078125,14895.505729951054,15126.086314006025,2605500
2023-09-07,15541.130859375,16002.292012472182,15356.666398136127,15402.782513445847,5874300
2023-09-08,15402.783203125,15817.828259496631,15310.550968375748,15495.015437874252,3774500
2023-09-11,14803.2734375,15587.24742017134,14757.157320872277,15587.24742017134,4871600
2023-09-12,15126.0859375,15172.20205316311,14664.924780868903,14803.273127858232,2797700
2023-09-13,15079.970703125,15495.015768348623,14941.62234805046,15218.319058199542,3086500
2023-09-14,14757.1572265625,15126.086157226562,14664.924993896484,15079.970040893557,2487500
2023-09-15,14757.1572265625,14987.73780822754,14572.692761230468,14757.1572265625,1680600
2023-09-18,14618.8095703125,14757.157925867508,14526.577333275827,14757.157925867508,1669700
2023-09-19,14572.6923828125,14941.62130389636,14249.87957686412,14618.808497947985,1618700
2023-09-20,14941.6220703125,14987.738187813464,14526.577012803818,14618.809247805748,1628100
2023-09-21,15033.8544921875,15218.31896448428,14941.62225603911,14987.738374113304,2290400
2023-09-22,14388.228515625,14849.389685997596,14203.76404747596,14757.157451923076,2665900
2023-09-25,13419.7900390625,14526.57684640786,13419.7900390625,14249.880144571522,3668600
2023-09-26,13281.44140625,13788.71868218316,13004.74471028646,13004.74471028646,2667200
2023-09-27,13558.1376953125,13558.1376953125,12912.51209077381,13373.673236872874,1610000
2023-09-28,13512.0224609375,13650.370813779864,13189.209637638653,13650.370813779864,849300
2023-09-29,13419.7900390625,13742.602857871563,13327.557805117054,13742.602857871563,1034900
2023-10-02,13373.673828125,13512.02217807112,13189.209361530173,13373.673828125,1604000
2023-10-03,12497.4677734375,13189.209532114854,12497.4677734375,13189.209532114854,3396300
2023-10-04,12774.1640625,12866.396293998196,12174.654557761733,12174.654557761733,1264300
2023-10-05,12912.5126953125,13096.977162388392,12635.815994698662,12912.5126953125,1739000
2023-10-06,12958.62890625,13096.977257562276,12681.932203625443,12866.396672041814,778600
2023-10-09,13004.7451171875,13143.093469498006,12912.51288231383,13143.093469498006,1028200
2023-10-10,13235.3251953125,13465.90577362805,13050.86073266006,13050.86073266006,1629400
2023-10-11,13281.44140625,13373.673638237848,13096.976942274308,13281.44140625,679300
2023-10-12,13235.3251953125,13558.13800495427,13235.3251953125,13373.673542301827,1186700
2023-10-13,13235.3251953125,13281.44131097561,12866.396270007624,13143.09296398628,1950100
2023-10-16,12958.62890625,13281.441725978648,12958.62890625,13096.977257562276,798300
2023-10-17,12728.0478515625,13050.860659391985,12728.0478515625,13004.744543987772,861200
2023-10-18,12313.00390625,12820.2812207397,11897.958830758427,12681.93286224251,2290500
2023-10-19,11944.07421875,12359.119268822393,11851.84198540058,12313.003152147685,1351400
2023-10-20,12451.3515625,12451.3515625,11575.145341435184,11944.07427662037,1497500
2023-10-23,12451.3515625,12589.699913194445,12266.887094907406,12405.235445601851,1340200
2023-10-24,12589.7001953125,12589.7001953125,12313.003487723214,12543.584077380952,718200
2023-10-25,12543.583984375,12774.16457232307,12497.467866785386,12635.816219554228,1409600
2023-10-26,11667.376953125,12174.654211956522,11667.376953125,12174.654211956522,3108500
2023-10-27,11805.7265625,11897.958801269531,11160.10089111328,11805.7265625,1233300
2023-10-30,11344.564453125,11759.609494092989,11344.564453125,11759.609494092989,789200
2023-10-31,10606.70703125,11529.029381793478,10606.70703125,11390.681029211955,1446200
2023-11-01,11067.8681640625,11067.8681640625,10376.126403808594,10652.823107910155,1177000
2023-11-02,11805.7265625,11805.7265625,11113.984771728516,11252.333129882812,1715100
2023-11-03,11667.376953125,11897.957525321146,11436.796380928854,11805.725296442688,1131100
2023-11-06,11713.494140625,11897.958615280511,11667.378021961122,11897.958615280511,826300
2023-11-07,11575.1455078125,11897.958330739542,11575.1455078125,11621.261625373509,1108900
2023-11-08,12359.119140625,12359.119140625,11529.029049090484,11621.261281483208,3021600
