Price,Close,High,Low,Open,Volume
Ticker,IMP.VN,IMP.VN,IMP.VN,IMP.VN,IMP.VN
Date,,,,,
2017-01-03,13049.9091796875,13097.363542122985,12907.546092381051,13097.363542122985,44594
2017-01-04,12812.6376953125,13049.908617041065,12219.459950881645,13049.908617041065,130252
2017-01-05,12575.3662109375,12670.274047251236,12456.730315271778,12670.274047251236,61684
2017-01-06,12100.82421875,12480.458226944043,11863.553293710806,12480.458226944043,1591600
2017-01-09,12314.3681640625,12456.730359143918,12100.823551112102,12338.094463060364,126378
2017-01-10,12338.0947265625,12361.821906285946,12100.823809546891,12338.0947265625,78326
2017-01-11,12338.0947265625,12409.27626573284,12338.0947265625,12409.27626573284,41742
2017-01-12,12338.0947265625,12338.0947265625,12290.64124733447,12338.0947265625,64154
2017-01-13,12338.0947265625,12361.821906285946,12338.0947265625,12338.0947265625,63320
2017-01-16,12338.0947265625,12385.549086009394,12338.0947265625,12338.0947265625,104534
2017-01-17,12409.27734375,12409.27734375,12338.095798395983,12361.822980180656,124370
2017-01-18,12670.2744140625,12765.183133342736,12433.003496080775,12433.003496080775,115176
2017-01-19,12575.3662109375,12670.274047251236,12504.184673538068,12575.3662109375,64268
2017-01-20,12694.001953125,12717.729133616544,12575.366930886184,12575.366930886184,90898
2017-01-23,12812.6376953125,13049.908617041065,12599.093953778678,12599.093953778678,89836
2017-01-24,12931.2724609375,13168.544258203652,12931.2724609375,12931.2724609375,67990
2017-01-25,13263.4521484375,13287.179328256329,12765.18313267987,12765.18313267987,100170
2017-02-03,13192.271484375,13192.271484375,13073.63645762752,13168.545183200644,429676
2017-02-06,13287.1796875,13287.1796875,13144.81748495688,13239.725326579328,2179324
2017-02-07,13904.083984375,13951.538343129603,13287.17908100286,13287.17908100286,119730
2017-02-08,14212.537109375,14354.899312164316,13951.53900407884,13998.993365081578,144386
2017-02-09,14212.537109375,14473.53521467116,14070.174026366789,14473.53521467116,104232
2017-02-10,13998.994140625,14188.81071493288,13880.358231545735,14046.447624037764,896204
2017-02-13,14236.263671875,14236.263671875,13643.085945528635,13880.356860023412,103054
2017-02-14,13998.994140625,14236.265078564586,13951.539776993295,13998.994140625,130938
2017-02-15,13998.994140625,14117.629169485324,13880.358231545735,14117.629169485324,148412
2017-02-16,13904.083984375,14046.446180419958,13904.083984375,13998.992701884206,188832
2017-02-17,14117.62890625,14117.62890625,13761.722065867338,13904.085154107974,20242
2017-02-20,13904.083984375,14117.627718551865,13904.083984375,14117.627718551865,66888
2017-02-21,13785.44921875,13904.085125372008,13761.7220374256,13904.085125372008,80262
2017-02-22,13761.7216796875,13880.35758322555,13643.086656368354,13880.35758322555,55796
2017-02-23,13761.7216796875,13761.7216796875,13761.7216796875,13761.7216796875,28216
2017-02-24,13761.7216796875,13856.63040251794,13524.450752830304,13761.7216796875,60244
2017-02-27,13524.451171875,13761.722106083853,13405.816144880038,13761.722106083853,94812
2017-02-28,13737.9951171875,13737.9951171875,13287.17957255978,13287.17957255978,30420
2017-03-01,13524.451171875,13524.451171875,13405.816144880038,13524.451171875,3260
2017-03-02,13666.814453125,13666.814453125,13524.451362462143,13524.451362462143,43754
2017-03-03,13595.6328125,13666.814357332509,13524.451267667491,13666.814357332509,27954
2017-03-06,13595.6328125,13643.087175721672,13476.99690444582,13643.087175721672,43072
2017-03-07,13595.6328125,13595.6328125,13476.99690444582,13500.724086056656,62560
2017-03-08,14354.8994140625,14378.626594732295,13595.632273285735,13643.08663462533,550250
2017-03-09,14236.263671875,14449.807406898412,14236.263671875,14449.807406898412,116084
2017-03-10,14236.263671875,14283.718030817729,14236.263671875,14236.263671875,70572
2017-03-13,14236.263671875,14331.171509541597,13761.720962666595,14117.627774518183,124898
2017-03-14,14473.53515625,14592.171058277978,14117.628330384954,14236.264232412932,178230
2017-03-15,14283.71875,14687.079060884567,14259.99156933398,14687.079060884567,36464
2017-03-16,14283.71875,14426.08095377723,14117.62848533785,14307.44593066602,85086
2017-03-17,14354.8994140625,14473.53531741148,14046.446945574056,14473.53531741148,60622
2017-03-20,14568.4443359375,14592.171517089131,14354.899705572809,14592.171517089131,131658
2017-03-21,14473.53515625,14473.53515625,14283.718593224125,14283.718593224125,47780
2017-03-22,14236.263671875,14473.534586369777,13975.265577908864,14236.263671875,81554
2017-03-23,14283.71875,14331.172231113143,13880.357558896532,13880.357558896532,594694
2017-03-24,14426.080078125,14710.80534861575,14426.080078125,14710.80534861575,74110
2017-03-27,14687.0791015625,14710.806282294236,14426.080993732292,14639.624740099023,403084
2017-03-28,14663.3515625,14829.441823563386,14592.170902263144,14829.441823563386,71182
2017-03-29,14829.44140625,15066.711440654375,14663.351149860538,14663.351149860538,155592
2017-03-30,15422.6201171875,15422.6201171875,14805.715171664971,14829.44235266345,1684834
2017-03-31,15849.70703125,16086.978832500108,15541.255450062616,15541.255450062616,523200
2017-04-03,15470.0751953125,15897.16271261761,15422.620831118831,15897.16271261761,74260
2017-04-04,15564.9833984375,15754.79908836867,15375.165948068485,15754.79908836867,475794
2017-04-05,15493.8017578125,15659.890265410557,15375.165852072576,15659.890265410557,630444
2017-04-07,15303.984375,15422.620281254432,14592.17157813017,15185.348468745568,409238
2017-04-10,15256.529296875,15303.983657150877,14734.533094278111,14734.533094278111,709988
2017-04-11,15422.6201171875,15612.435804737475,14948.078257655823,15066.712402210374,394310
2017-04-12,14900.6240234375,15493.80179304828,14900.6240234375,15470.074611846336,251778
2017-04-13,14710.8056640625,15066.711599643564,14710.8056640625,14900.62310193919,38550
2017-04-14,14615.8974609375,14829.442086085037,14497.262438296655,14592.171160584448,67534
2017-04-17,14236.263671875,14710.805500864548,14236.263671875,14710.805500864548,90182
2017-04-18,14449.806640625,14497.26099705122,14046.445491220931,14497.26099705122,33612
2017-04-19,14473.53515625,14473.53515625,14378.626434627617,14473.53515625,19178
