Price,Close,High,Low,Open,Volume
Ticker,JVC.VN,JVC.VN,JVC.VN,JVC.VN,JVC.VN
Date,,,,,
2023-07-17,4250.0,4320.0,4120.0,4130.0,1752600
2023-07-19,4060.0,4240.0,4060.0,4240.0,1029300
2023-07-20,4110.0,4120.0,4060.0,4060.0,580700
2023-07-21,4110.0,4150.0,4070.0,4150.0,700700
2023-07-24,4220.0,4240.0,4110.0,4150.0,1318600
2023-07-26,4190.0,4270.0,4150.0,4210.0,941200
2023-07-28,4180.0,4180.0,4130.0,4140.0,1370500
2023-08-03,4300.0,4400.0,4190.0,4220.0,2973200
2023-08-04,4300.0,4340.0,4260.0,4310.0,1482300
2023-08-07,4300.0,4400.0,4280.0,4350.0,1665200
2023-08-08,4390.0,4450.0,4300.0,4310.0,3184200
2023-08-09,4690.0,4690.0,4390.0,4450.0,5303100
2023-08-10,4510.0,4810.0,4480.0,4750.0,3267700
2023-08-11,4450.0,4600.0,4350.0,4600.0,2115600
2023-08-14,4520.0,4570.0,4400.0,4570.0,1939700
2023-08-15,4480.0,4650.0,4470.0,4520.0,1503600
2023-08-16,4400.0,4510.0,4400.0,4510.0,1212900
2023-08-17,4330.0,4520.0,4330.0,4400.0,1643400
2023-08-18,4030.0,4340.0,4030.0,4330.0,2821200
2023-08-21,3990.0,4030.0,3800.0,4000.0,1249600
2023-08-22,4000.0,4050.0,3800.0,4000.0,1256500
2023-08-23,3910.0,4050.0,3910.0,4040.0,747600
2023-08-24,4020.0,4020.0,3930.0,4000.0,435400
2023-08-25,4000.0,4040.0,4000.0,4020.0,824100
2023-08-28,4060.0,4060.0,3990.0,4010.0,681300
2023-08-29,4060.0,4130.0,4040.0,4130.0,387000
2023-08-30,4060.0,4100.0,4040.0,4070.0,542000
2023-08-31,4080.0,4120.0,4060.0,4120.0,710700
2023-09-05,4140.0,4180.0,4080.0,4120.0,955800
2023-09-06,4300.0,4350.0,4000.0,4150.0,2113200
2023-09-07,4190.0,4300.0,4180.0,4300.0,1703500
2023-09-08,4180.0,4250.0,4170.0,4210.0,1065600
2023-09-11,4100.0,4230.0,4090.0,4230.0,1444300
2023-09-12,4130.0,4150.0,4080.0,4150.0,887200
2023-09-13,4090.0,4170.0,4040.0,4130.0,962700
2023-09-14,4050.0,4090.0,4000.0,4070.0,976500
2023-09-15,4030.0,4070.0,4020.0,4050.0,668800
2023-09-18,3990.0,4110.0,3990.0,4050.0,506400
2023-09-19,3950.0,4030.0,3810.0,4000.0,570900
2023-09-20,4030.0,4050.0,3960.0,3960.0,316200
2023-09-21,4020.0,4080.0,4000.0,4030.0,446200
2023-09-22,3880.0,4010.0,3820.0,4010.0,595000
2023-09-25,3610.0,3970.0,3610.0,3900.0,809200
2023-09-26,3590.0,3650.0,3570.0,3650.0,552300
2023-09-27,3590.0,3650.0,3500.0,3650.0,439100
2023-09-28,3560.0,3660.0,3560.0,3660.0,452600
2023-09-29,3580.0,3630.0,3570.0,3570.0,419600
2023-10-02,3640.0,3710.0,3580.0,3580.0,283600
2023-10-03,3440.0,3630.0,3430.0,3630.0,810000
2023-10-04,3450.0,3460.0,3240.0,3240.0,388500
2023-10-05,3450.0,3540.0,3400.0,3450.0,270700
2023-10-06,3460.0,3490.0,3400.0,3460.0,224500
2023-10-09,3450.0,3500.0,3430.0,3460.0,328900
2023-10-10,3470.0,3550.0,3400.0,3490.0,526400
2023-10-11,3510.0,3540.0,3460.0,3500.0,221400
2023-10-12,3540.0,3590.0,3530.0,3560.0,257400
2023-10-13,3520.0,3540.0,3480.0,3540.0,307500
2023-10-16,3430.0,3550.0,3410.0,3550.0,473300
2023-10-17,3400.0,3500.0,3400.0,3450.0,238000
2023-10-18,3250.0,3410.0,3200.0,3400.0,391300
2023-10-19,3210.0,3290.0,3210.0,3290.0,284900
2023-10-20,3300.0,3350.0,3200.0,3350.0,190200
2023-10-23,3280.0,3350.0,3280.0,3300.0,172700
2023-10-24,3300.0,3370.0,3270.0,3370.0,111000
2023-10-25,3300.0,3370.0,3300.0,3320.0,214900
2023-10-26,3090.0,3300.0,3090.0,3300.0,681400
2023-10-27,3110.0,3210.0,3050.0,3190.0,358600
2023-10-30,3080.0,3150.0,3080.0,3150.0,135600
2023-10-31,2950.0,3150.0,2950.0,3100.0,369400
2023-11-01,2960.0,2990.0,2850.0,2950.0,452800
2023-11-02,3160.0,3160.0,3000.0,3010.0,627200
2023-11-03,3180.0,3250.0,3110.0,3250.0,330700
2023-11-06,3240.0,3390.0,3200.0,3360.0,321400
2023-11-07,3170.0,3250.0,3160.0,3210.0,419300
2023-11-08,3240.0,3270.0,3160.0,3200.0,297500
2023-11-09,3280.0,3350.0,3250.0,3280.0,708700
2023-11-10,3230.0,3290.0,3200.0,3280.0,354700
2023-11-13,3230.0,3260.0,3200.0,3240.0,387500
2023-11-14,3250.0,3280.0,3230.0,3280.0,149800
2023-11-15,3300.0,3330.0,3280.0,3290.0,649000
2023-11-16,3300.0,3330.0,3280.0,3330.0,211400
2023-11-17,3340.0,3450.0,3300.0,3300.0,984200
2023-11-20,3300.0,3330.0,3280.0,3300.0,5978300
2023-11-21,3330.0,3400.0,3300.0,3310.0,326700
2023-11-22,3350.0,3360.0,3300.0,3340.0,322100
2023-11-23,3350.0,3440.0,3340.0,3360.0,847600
2023-11-24,3330.0,3350.0,3220.0,3350.0,617200
2023-11-27,3250.0,3350.0,3250.0,3330.0,661600
2023-11-28,3240.0,3250.0,3170.0,3250.0,251700
2023-11-29,3250.0,3300.0,3220.0,3240.0,187600
2023-11-30,3190.0,3270.0,3190.0,3270.0,324500
2023-12-01,3200.0,3240.0,3180.0,3200.0,649500
2023-12-04,3260.0,3280.0,3220.0,3250.0,353800
2023-12-05,3270.0,3320.0,3250.0,3300.0,446500
2023-12-06,3370.0,3380.0,3260.0,3270.0,601100
2023-12-07,3390.0,3430.0,3340.0,3400.0,804700
2023-12-08,3390.0,3450.0,3360.0,3410.0,451100
2023-12-11,3400.0,3500.0,3360.0,3500.0,460000
2023-12-12,3420.0,3470.0,3360.0,3400.0,442800
2023-12-13,3430.0,3490.0,3420.0,3480.0,722900
2023-12-15,3360.0,3440.0,3360.0,3430.0,385800
2023-12-18,3460.0,3550.0,3360.0,3450.0,775200
2023-12-19,3360.0,3500.0,3350.0,3500.0,612600
2023-12-20,3390.0,3400.0,3350.0,3350.0,131900
2023-12-21,3330.0,3380.0,3300.0,3360.0,224500
2023-12-22,3360.0,3390.0,3330.0,3330.0,193500
2023-12-25,3360.0,3430.0,3350.0,3380.0,272400
2023-12-26,3380.0,3400.0,3360.0,3370.0,177000
2023-12-27,3400.0,3450.0,3380.0,3380.0,298200
2023-12-28,3390.0,3420.0,3370.0,3400.0,307700
2023-12-29,3380.0,3410.0,3380.0,3410.0,152900
2024-01-02,3420.0,3460.0,3380.0,3380.0,415300
2024-01-03,3450.0,3490.0,3400.0,3420.0,420800
2024-01-04,3460.0,3510.0,3450.0,3480.0,605500
2024-01-05,3430.0,3470.0,3400.0,3470.0,271600
2024-01-08,3410.0,3480.0,3400.0,3460.0,246200
2024-01-09,3400.0,3440.0,3400.0,3410.0,231300
2024-01-10,3360.0,3410.0,3360.0,3400.0,328900
2024-01-11,3360.0,3400.0,3340.0,3360.0,248800
2024-01-12,3310.0,3370.0,3200.0,3370.0,461700
2024-01-15,3310.0,3320.0,3300.0,3310.0,466500
2024-01-16,3330.0,3330.0,3290.0,3300.0,144100
2024-01-17,3330.0,3350.0,3320.0,3330.0,213000
2024-01-19,3360.0,3380.0,3340.0,3350.0,170900
2024-01-22,3320.0,3380.0,3320.0,3380.0,119500
2024-01-23,3330.0,3350.0,3300.0,3330.0,80400
2024-01-24,3330.0,3360.0,3320.0,3320.0,123300
2024-01-25,3330.0,3370.0,3330.0,3330.0,189000
2024-01-26,3380.0,3420.0,3360.0,3390.0,546200
2024-01-29,3360.0,3420.0,3360.0,3380.0,147100
2024-01-30,3360.0,3380.0,3320.0,3360.0,333000
2024-01-31,3590.0,3590.0,3590.0,3590.0,1061200
2024-02-01,3730.0,3830.0,3700.0,3830.0,1967800
2024-02-02,3600.0,3760.0,3600.0,3760.0,961800
2024-02-05,3610.0,3700.0,3600.0,3600.0,585200
2024-02-06,3610.0,3680.0,3580.0,3650.0,227100
2024-02-07,3640.0,3640.0,3580.0,3610.0,388100
2024-02-15,3630.0,3700.0,3590.0,3640.0,819300
2024-02-16,3600.0,3650.0,3590.0,3640.0,578600
2024-02-19,3630.0,3650.0,3600.0,3650.0,416200
2024-02-20,3730.0,3770.0,3620.0,3640.0,1129500
2024-02-21,3670.0,3740.0,3650.0,3740.0,531900
2024-02-22,3700.0,3750.0,3650.0,3670.0,512800
2024-02-23,3600.0,3760.0,3600.0,3740.0,655500
2024-02-26,3650.0,3710.0,3590.0,3600.0,632800
2024-02-27,3690.0,3720.0,3660.0,3660.0,337500
2024-02-28,3690.0,3700.0,3650.0,3660.0,456500
