Price,Close,High,Low,Open,Volume
Ticker,KDH.VN,KDH.VN,KDH.VN,KDH.VN,KDH.VN
Date,,,,,
2017-01-03,8642.861328125,8664.5224609375,8577.876953125,8577.876953125,261681
2017-01-04,8642.861328125,8664.5224609375,8642.861328125,8642.861328125,198897
2017-01-05,8404.5869140625,8642.861328125,8361.263671875,8642.861328125,578816
2017-01-06,8534.5546875,8577.876953125,8361.263671875,8447.9091796875,234929
2017-01-09,8534.5546875,8621.19921875,8469.5703125,8491.2314453125,322043
2017-01-10,8534.5546875,8577.876953125,8534.5546875,8534.5546875,121777
2017-01-11,8577.876953125,8577.876953125,8491.2314453125,8534.5546875,124938
2017-01-12,8577.876953125,8577.876953125,8512.8935546875,8577.876953125,209192
2017-01-13,8577.876953125,8664.5224609375,8534.5546875,8577.876953125,3672628
2017-01-16,8577.876953125,8621.19921875,8534.5546875,8577.876953125,234215
2017-01-17,8577.876953125,8599.5380859375,8534.5546875,8599.5380859375,305653
2017-01-18,8534.5546875,8577.876953125,8534.5546875,8577.876953125,861738
2017-01-19,8534.5546875,8556.2158203125,8534.5546875,8556.2158203125,887960
2017-01-20,8577.876953125,8577.876953125,8534.5546875,8534.5546875,122953
2017-01-23,8534.5546875,8577.876953125,8512.8935546875,8577.876953125,76998
2017-01-24,8447.9091796875,8534.5546875,8447.9091796875,8534.5546875,365137
2017-01-25,8534.5546875,8534.5546875,8361.263671875,8491.2314453125,744178
2017-02-03,8534.5546875,8556.2158203125,8512.8935546875,8534.5546875,2451025
2017-02-06,8491.2314453125,8534.5546875,8469.5703125,8534.5546875,122631
2017-02-07,8447.9091796875,8534.5546875,8404.5869140625,8491.2314453125,281833
2017-02-08,8404.5869140625,8447.9091796875,8361.263671875,8447.9091796875,321417
2017-02-09,8491.2314453125,8577.876953125,8404.5869140625,8447.9091796875,353782
2017-02-10,8534.5546875,8577.876953125,8491.2314453125,8491.2314453125,313919
2017-02-13,8707.8447265625,8707.8447265625,8512.8935546875,8534.5546875,401449
2017-02-14,8751.1669921875,8794.490234375,8664.5224609375,8751.1669921875,348426
2017-02-15,8794.490234375,9054.42578125,8707.8447265625,8751.1669921875,5749235
2017-02-16,9314.361328125,9401.0068359375,8837.8125,8881.1357421875,358767
2017-02-17,9314.361328125,9314.361328125,9184.3935546875,9184.3935546875,141029
2017-02-20,9314.361328125,9357.68359375,9011.103515625,9314.361328125,669642
2017-02-21,9660.9423828125,9920.8779296875,9227.7158203125,9227.7158203125,1205693
2017-02-22,9530.974609375,9790.91015625,9444.3291015625,9790.91015625,180546
2017-02-23,9530.974609375,9617.6201171875,9357.68359375,9487.6513671875,196059
2017-02-24,9487.6513671875,9530.974609375,9357.68359375,9530.974609375,195896
2017-02-27,9487.6513671875,9530.974609375,9444.3291015625,9487.6513671875,95095
2017-02-28,9487.6513671875,9487.6513671875,9444.3291015625,9444.3291015625,1324615
2017-03-01,9704.2646484375,9704.2646484375,9487.6513671875,9487.6513671875,384459
2017-03-02,10050.845703125,10094.16796875,9747.587890625,10094.16796875,751218
2017-03-03,10094.16796875,10137.4912109375,9877.5556640625,10050.845703125,332359
2017-03-06,10137.4912109375,10180.8134765625,9920.8779296875,9920.8779296875,374948
2017-03-07,10159.15234375,10180.8134765625,10007.5234375,10007.5234375,178191
2017-03-08,10180.8134765625,10202.474609375,10050.845703125,10159.15234375,230381
2017-03-09,10072.5068359375,10180.8134765625,10050.845703125,10180.8134765625,285871
2017-03-10,10094.16796875,10137.4912109375,9964.2001953125,9964.2001953125,83806
2017-03-13,10007.5234375,10137.4912109375,9920.8779296875,10094.16796875,652378
2017-03-14,10007.5234375,10029.1845703125,9964.2001953125,10007.5234375,507953
2017-03-15,10094.16796875,10137.4912109375,10007.5234375,10007.5234375,518938
2017-03-16,10484.072265625,10484.072265625,10007.5234375,10050.845703125,637260
2017-03-17,10527.39453125,10917.2978515625,10484.072265625,10484.072265625,390413
2017-03-20,10592.3779296875,10873.9755859375,10527.39453125,10527.39453125,227174
2017-03-21,10484.072265625,10592.3779296875,10397.4267578125,10592.3779296875,263135
2017-03-22,10484.072265625,10570.716796875,10397.4267578125,10397.4267578125,320472
2017-03-23,10484.072265625,10527.39453125,10397.4267578125,10527.39453125,4839798
2017-03-24,10484.072265625,10527.39453125,10397.4267578125,10397.4267578125,98096
2017-03-27,10484.072265625,10570.716796875,10397.4267578125,10397.4267578125,2584465
2017-03-28,11198.89453125,11198.89453125,10527.39453125,10527.39453125,521913
2017-03-29,11003.943359375,11198.89453125,10895.63671875,11198.89453125,94635
2017-03-30,11003.943359375,11090.5888671875,10917.2978515625,10917.2978515625,134933
2017-03-31,10982.2822265625,11047.265625,10938.958984375,10960.6201171875,107996
2017-04-03,11090.5888671875,11133.9111328125,10960.6201171875,10960.6201171875,148159
2017-04-04,10960.6201171875,11177.2333984375,10960.6201171875,11133.9111328125,230566
2017-04-05,10830.65234375,10960.6201171875,10830.65234375,10917.2978515625,303669
2017-04-07,10700.6845703125,10830.65234375,10700.6845703125,10830.65234375,260365
2017-04-10,10722.3466796875,10744.0078125,10657.3623046875,10700.6845703125,179254
2017-04-11,10787.330078125,11177.2333984375,10722.3466796875,10744.0078125,591024
2017-04-12,10830.65234375,10917.2978515625,10787.330078125,10830.65234375,297160
2017-04-13,10830.65234375,10873.9755859375,10700.6845703125,10830.65234375,2664470
2017-04-14,10744.0078125,10830.65234375,10657.3623046875,10787.330078125,211316
2017-04-17,10830.65234375,10917.2978515625,10744.0078125,10787.330078125,336469
2017-04-18,10873.9755859375,10873.9755859375,10787.330078125,10830.65234375,565033
2017-04-19,11090.5888671875,11133.9111328125,10852.314453125,10873.9755859375,393923
2017-04-20,11003.943359375,11133.9111328125,10895.63671875,11090.5888671875,341731
2017-04-21,10960.6201171875,11003.943359375,10917.2978515625,10917.2978515625,177430
2017-04-24,10917.2978515625,10960.6201171875,10873.9755859375,10960.6201171875,343439
2017-04-25,10787.330078125,10917.2978515625,10700.6845703125,10917.2978515625,391153
2017-04-26,10830.65234375,10873.9755859375,10744.0078125,10787.330078125,164067
2017-04-27,10830.65234375,10917.2978515625,10787.330078125,10830.65234375,274329
2017-04-28,10830.65234375,10830.65234375,10744.0078125,10830.65234375,129349
2017-05-03,10830.65234375,10873.9755859375,10744.0078125,10830.65234375,224241
2017-05-04,11047.265625,11068.9267578125,10873.9755859375,10873.9755859375,398310
2017-05-05,11047.265625,11090.5888671875,10938.958984375,11047.265625,385844
2017-05-08,11805.4111328125,11805.4111328125,11003.943359375,11047.265625,965727
2017-05-09,11978.7021484375,12108.669921875,11870.3955078125,12087.0087890625,1246874
2017-05-10,11913.7177734375,12022.0244140625,11870.3955078125,12022.0244140625,337324
2017-05-11,11783.75,11870.3955078125,11697.10546875,11870.3955078125,286011
2017-05-12,11848.734375,12216.9765625,11697.10546875,11697.10546875,730535
2017-05-15,12043.685546875,12087.0087890625,11827.0732421875,11827.0732421875,738868
2017-05-16,12130.3310546875,12715.1865234375,11957.041015625,12043.685546875,1421816
2017-05-17,12195.3154296875,12216.9765625,12000.36328125,12000.36328125,431317
2017-05-18,11870.3955078125,12130.3310546875,11827.0732421875,12130.3310546875,390714
2017-05-19,11545.4755859375,11870.3955078125,11523.814453125,11697.10546875,815366
2017-05-22,11805.4111328125,11870.3955078125,11372.185546875,11372.185546875,4943266
2017-05-23,11783.75,11827.0732421875,11610.4599609375,11610.4599609375,314909
2017-05-24,11783.75,11783.75,11610.4599609375,11697.10546875,940864
2017-05-25,11783.75,12022.0244140625,11697.10546875,11783.75,357220
2017-05-26,11762.0888671875,11827.0732421875,11653.7822265625,11783.75,386236
2017-05-29,12043.685546875,12087.0087890625,11697.10546875,11762.0888671875,988553
2017-05-30,12000.36328125,12260.298828125,12000.36328125,12000.36328125,739146
2017-05-31,12043.685546875,12043.685546875,11827.0732421875,11827.0732421875,201689
2017-06-01,12043.685546875,12043.685546875,11913.7177734375,12043.685546875,152871
2017-06-02,12173.6533203125,12216.9765625,12000.36328125,12043.685546875,555548
2017-06-05,12520.234375,12606.8798828125,12260.298828125,12260.298828125,622763
2017-06-06,12368.60546875,12563.5576171875,12346.9443359375,12563.5576171875,145461
2017-06-07,12346.9443359375,12390.2666015625,12303.62109375,12346.9443359375,707407
2017-06-08,12303.62109375,12346.9443359375,12130.3310546875,12303.62109375,357866
2017-06-09,12303.62109375,12346.9443359375,12173.6533203125,12346.9443359375,153748
2017-06-12,12281.9599609375,12303.62109375,12130.3310546875,12303.62109375,287442
2017-06-13,12130.3310546875,12281.9599609375,12130.3310546875,12173.6533203125,236498
2017-06-14,11913.7177734375,12216.9765625,11913.7177734375,12130.3310546875,355443
2017-06-15,12043.685546875,12043.685546875,11913.7177734375,12000.36328125,1303064
2017-06-16,12087.0087890625,12130.3310546875,12000.36328125,12043.685546875,163304
2017-06-19,12130.3310546875,12303.62109375,12087.0087890625,12130.3310546875,298428
2017-06-20,12130.3310546875,12216.9765625,12130.3310546875,12130.3310546875,208200
2017-06-21,12130.3310546875,12173.6533203125,12108.669921875,12130.3310546875,181977
2017-06-22,12087.0087890625,12173.6533203125,12087.0087890625,12130.3310546875,191327
2017-06-23,12346.9443359375,12476.912109375,12043.685546875,12087.0087890625,497702
2017-06-26,12173.6533203125,12433.58984375,12130.3310546875,12346.9443359375,192182
2017-06-27,12130.3310546875,12216.9765625,12043.685546875,12173.6533203125,211432
2017-06-28,12130.3310546875,12173.6533203125,12043.685546875,12130.3310546875,1427426
2017-06-29,12043.685546875,12130.3310546875,12043.685546875,12087.0087890625,214824
2017-06-30,12065.34765625,12173.6533203125,12000.36328125,12000.36328125,294529
2017-07-03,12065.34765625,12130.3310546875,12065.34765625,12065.34765625,129554
