Price,Close,High,Low,Open,Volume
Ticker,KHG.VN,KHG.VN,KHG.VN,KHG.VN,KHG.VN
Date,,,,,
2023-07-17,6950.0,7110.0,6660.0,6660.0,15092200
2023-07-19,6530.0,6900.0,6530.0,6850.0,10722900
2023-07-20,6700.0,6700.0,6420.0,6460.0,7752000
2023-07-21,6850.0,6850.0,6660.0,6700.0,7173300
2023-07-24,6950.0,7000.0,6780.0,6880.0,9776000
2023-07-26,6880.0,6890.0,6670.0,6750.0,6401400
2023-07-28,7290.0,7360.0,7130.0,7350.0,9416000
2023-08-03,7380.0,7440.0,7240.0,7260.0,7422200
2023-08-04,7740.0,7800.0,7390.0,7500.0,13078100
2023-08-07,7790.0,7800.0,7550.0,7800.0,8237600
2023-08-08,7710.0,7900.0,7660.0,7880.0,9147900
2023-08-09,7720.0,7800.0,7580.0,7700.0,7742700
2023-08-10,7780.0,7880.0,7650.0,7700.0,7404500
2023-08-11,7800.0,7820.0,7600.0,7760.0,6586500
2023-08-14,8160.0,8200.0,8000.0,8150.0,9360300
2023-08-15,8150.0,8170.0,8010.0,8160.0,5488300
2023-08-16,8140.0,8150.0,7990.0,8150.0,6029800
2023-08-17,8000.0,8120.0,8000.0,8100.0,7476500
2023-08-18,7440.0,7890.0,7440.0,7820.0,14967700
2023-08-21,7090.0,7300.0,6920.0,7060.0,11482800
2023-08-22,7150.0,7180.0,6660.0,7180.0,7649900
2023-08-23,7130.0,7220.0,7000.0,7200.0,4739300
2023-08-24,7350.0,7350.0,6990.0,7070.0,7564500
2023-08-25,7340.0,7380.0,7200.0,7310.0,6094200
2023-08-28,7400.0,7400.0,7230.0,7340.0,5652300
2023-08-29,7520.0,7620.0,7360.0,7430.0,6646800
2023-08-30,7680.0,7750.0,7550.0,7670.0,6115500
2023-08-31,7690.0,7830.0,7660.0,7700.0,6205100
2023-09-05,7720.0,7860.0,7640.0,7740.0,9720200
2023-09-06,7700.0,7750.0,7510.0,7700.0,10040200
2023-09-07,7980.0,8100.0,7720.0,7730.0,13505600
2023-09-08,7850.0,8020.0,7820.0,7990.0,7586200
2023-09-11,7470.0,7920.0,7400.0,7850.0,10872800
2023-09-12,7660.0,7680.0,7300.0,7400.0,5694600
2023-09-13,7550.0,7670.0,7400.0,7670.0,7185700
2023-09-14,7150.0,7520.0,7100.0,7520.0,8864400
2023-09-15,7130.0,7230.0,7000.0,7160.0,5945600
2023-09-18,7090.0,7130.0,7000.0,7130.0,5109700
2023-09-19,7070.0,7200.0,6930.0,7070.0,4908300
2023-09-20,7420.0,7420.0,7010.0,7050.0,5189700
2023-09-21,7300.0,7400.0,7250.0,7400.0,3483000
2023-09-22,6800.0,7200.0,6790.0,7060.0,7376600
2023-09-25,6330.0,6830.0,6330.0,6720.0,6541500
2023-09-26,5900.0,6330.0,5900.0,6060.0,6837400
2023-09-27,6280.0,6280.0,5700.0,5900.0,5622000
2023-09-28,6190.0,6270.0,6000.0,6200.0,3011100
2023-09-29,6250.0,6270.0,6130.0,6200.0,3553100
2023-10-02,6300.0,6330.0,6150.0,6300.0,2417000
2023-10-03,5880.0,6200.0,5860.0,6100.0,5123400
2023-10-04,6140.0,6140.0,5720.0,5780.0,4519000
2023-10-05,6090.0,6190.0,5910.0,6100.0,2603000
2023-10-06,6170.0,6170.0,5970.0,6000.0,3615300
2023-10-09,6280.0,6280.0,6120.0,6170.0,3256300
2023-10-10,6320.0,6380.0,6280.0,6330.0,3597500
2023-10-11,6300.0,6320.0,6150.0,6300.0,2966500
2023-10-12,6380.0,6420.0,6280.0,6360.0,4163100
2023-10-13,6360.0,6380.0,6150.0,6250.0,3086800
2023-10-16,6190.0,6350.0,6120.0,6350.0,3480900
2023-10-17,5980.0,6210.0,5980.0,6160.0,2997400
2023-10-18,5800.0,6020.0,5570.0,6000.0,5794400
2023-10-19,5600.0,5760.0,5560.0,5750.0,3091700
2023-10-20,5770.0,5770.0,5400.0,5600.0,4419400
2023-10-23,5760.0,5790.0,5650.0,5790.0,2800500
2023-10-24,5850.0,5850.0,5660.0,5780.0,3005800
2023-10-25,5850.0,5920.0,5770.0,5870.0,2456700
2023-10-26,5450.0,5700.0,5450.0,5680.0,6296700
2023-10-27,5470.0,5490.0,5100.0,5460.0,3439200
2023-10-30,5260.0,5470.0,5260.0,5400.0,1831500
2023-10-31,5150.0,5450.0,5050.0,5450.0,3187300
2023-11-01,5160.0,5180.0,5000.0,5150.0,2996700
2023-11-02,5520.0,5520.0,5150.0,5200.0,6390100
2023-11-03,5540.0,5600.0,5400.0,5550.0,3230100
2023-11-06,5580.0,5650.0,5410.0,5540.0,2446000
2023-11-07,5490.0,5570.0,5430.0,5550.0,1964100
2023-11-08,5870.0,5870.0,5450.0,5460.0,5564600
2023-11-09,6100.0,6250.0,5820.0,5870.0,8977900
2023-11-10,6110.0,6230.0,6000.0,6000.0,7123700
2023-11-13,6030.0,6160.0,5930.0,6120.0,5280600
2023-11-14,6030.0,6110.0,5950.0,6030.0,4445000
2023-11-15,6000.0,6210.0,6000.0,6150.0,5196000
2023-11-16,6150.0,6150.0,5940.0,6000.0,3842800
2023-11-17,6190.0,6410.0,6100.0,6160.0,12543800
2023-11-20,6150.0,6210.0,6000.0,6000.0,4285400
2023-11-21,6200.0,6300.0,6110.0,6280.0,4415000
2023-11-22,6300.0,6340.0,6140.0,6180.0,5828000
