Price,Close,High,Low,Open,Volume
Ticker,KHP.VN,KHP.VN,KHP.VN,KHP.VN,KHP.VN
Date,,,,,
2017-01-03,6785.2734375,6846.402094265237,6601.887906230246,6663.016562995482,63361
2017-01-04,6785.2734375,6938.094859900114,6754.70932863036,6815.837985395596,79644
2017-01-05,7152.04541015625,7152.04541015625,6724.145223640629,6815.838434341107,238866
2017-01-06,6968.65966796875,7243.738414169327,6968.65966796875,7243.738414169327,67067
2017-01-09,6999.2236328125,7090.916399968954,6938.094975032877,7090.916399968954,24883
2017-01-10,7152.04541015625,7243.738620856728,6907.531206015602,6968.65986680726,59655
2017-01-11,7182.60986328125,7274.302633720209,7090.9166538163145,7152.04531378428,58978
2017-01-12,7090.91650390625,7213.17382125752,7090.91650390625,7213.17382125752,39356
2017-01-13,7121.48095703125,7243.738272739157,6968.659531909348,6968.659531909348,47726
2017-01-16,7213.173828125,7274.302486858834,7152.045169391166,7274.302486858834,44931
2017-01-17,7090.91650390625,7274.302479933155,7090.91650390625,7213.17382125752,76864
2017-01-18,7090.91650390625,7182.609711432686,7029.788284256582,7182.609711432686,10895
2017-01-19,7090.91650390625,7121.481052757051,6968.659625580947,7121.481052757051,22750
2017-01-20,7396.5595703125,7396.5595703125,6968.659825367412,7090.916707197732,164484
2017-01-23,7396.5595703125,7457.6886697666305,7335.431348910331,7457.6886697666305,84101
2017-01-24,6907.53125,7335.431439240318,6907.53125,7335.431439240318,560046
2017-01-25,6999.2236328125,7029.788181215292,6876.966317253254,6999.2236328125,159438
2017-02-03,6907.53125,6907.53125,6663.017044302384,6724.145266457298,116092
2017-02-06,6785.2734375,6907.530751030473,6632.452015099887,6907.530751030473,64141
2017-02-07,6724.14501953125,6785.273678467365,6601.888140684988,6785.273678467365,114607
2017-02-08,6846.40234375,6968.659661735563,6693.580915781032,6693.580915781032,109562
2017-02-09,6724.14501953125,6938.095106294671,6724.14501953125,6907.530996339598,36885
2017-02-10,6907.53125,6907.53125,6724.145266457298,6724.145266457298,19955
2017-02-13,6815.83837890625,6876.966600174754,6785.273829246019,6876.966600174754,29090
2017-02-14,6815.83837890625,6815.83837890625,6754.709718611766,6785.273829246019,75334
2017-02-15,6815.83837890625,6876.966600174754,6724.145168951535,6785.273829246019,98147
2017-02-16,6815.83837890625,6815.83837890625,6724.145168951535,6785.273829246019,129492
2017-02-17,6724.14501953125,6846.402337403481,6724.14501953125,6815.838227448408,37297
2017-02-20,6785.2734375,6815.837985395596,6663.016562995482,6724.144780734764,209552
2017-02-21,6724.14501953125,6754.709568512292,6632.452250640061,6724.14501953125,113827
2017-02-22,6724.14501953125,6754.709568512292,6693.580909576177,6724.14501953125,183428
2017-02-23,6632.45263671875,6724.145410947425,6632.45263671875,6663.017187478972,94676
2017-02-24,6632.45263671875,6724.145410947425,6601.888524984523,6601.888524984523,216818
2017-02-27,6632.45263671875,6693.581299213199,6601.888524984523,6693.581299213199,67083
2017-02-28,6724.14501953125,6724.14501953125,6632.452250640061,6663.016799621104,194739
2017-03-01,6663.0166015625,6724.144819655606,6632.45205348999,6724.144819655606,5114
2017-03-02,6663.0166015625,6754.709367728116,6663.0166015625,6663.0166015625,69760
2017-03-03,6663.0166015625,6724.144819655606,6601.887944443438,6632.45205348999,47770
2017-03-06,6663.0166015625,6785.273476774668,6632.45205348999,6693.580710609053,63523
2017-03-07,6693.5810546875,6693.5810546875,6632.4523944261655,6663.016944069822,62684
2017-03-08,6693.5810546875,6724.145165305178,6663.016944069822,6663.016944069822,24103
2017-03-09,6724.14501953125,6724.14501953125,6663.016799621104,6724.14501953125,33591
2017-03-10,6724.14501953125,6724.14501953125,6663.016799621104,6663.016799621104,56771
2017-03-13,6724.14501953125,6724.14501953125,6663.016799621104,6724.14501953125,24545
2017-03-14,6724.14501953125,6754.709568512292,6663.016799621104,6724.14501953125,57169
2017-03-15,6724.14501953125,6754.709568512292,6693.580909576177,6724.14501953125,9439
2017-03-16,6785.2734375,6785.2734375,6724.144780734764,6724.144780734764,37474
2017-03-17,6876.96630859375,7152.045048742692,6815.838089917061,6846.402199255405,137699
2017-03-20,6907.53125,6968.6599111809,6815.838477741641,6876.966699896557,10925
2017-03-21,6876.96630859375,6907.530856958055,6846.402199255405,6907.530856958055,19441
2017-03-22,6907.53125,6907.53125,6724.145266457298,6846.402588819099,73172
2017-03-23,6876.96630859375,6907.530856958055,6663.016665173418,6663.016665173418,20721
2017-03-24,6876.96630859375,6968.659514660704,6876.96630859375,6907.530856958055,188267
2017-03-27,6846.40234375,6907.531002742781,6724.145025764437,6785.273684757219,52874
2017-03-28,6846.40234375,6907.531002742781,6785.273684757219,6846.40234375,62582
2017-03-29,6846.40234375,6907.531002742781,6724.145025764437,6724.145025764437,4350
2017-03-30,6785.2734375,6846.402094265237,6754.70932863036,6754.70932863036,29325
2017-03-31,6785.2734375,6876.966203134878,6785.2734375,6876.966203134878,16352
2017-04-03,6785.2734375,7029.788064560945,6785.2734375,6846.402094265237,50741
2017-04-04,6846.40234375,6846.40234375,6785.273684757219,6785.273684757219,24163
2017-04-05,6846.40234375,6846.40234375,6785.273684757219,6785.273684757219,20029
2017-04-07,6785.2734375,6846.402094265237,6724.144780734764,6724.144780734764,7527
2017-04-10,6907.53125,6907.53125,6724.145266457298,6785.273927638199,51403
2017-04-11,6785.2734375,6846.402094265237,6724.144780734764,6785.2734375,31502
2017-04-12,6785.2734375,6785.2734375,6754.70932863036,6785.2734375,7924
2017-04-13,6815.83837890625,6815.83837890625,6724.145168951535,6815.83837890625,85351
2017-04-14,6846.40234375,6846.40234375,6724.145025764437,6724.145025764437,38254
2017-04-17,6663.0166015625,6846.402133893731,6663.0166015625,6815.838024847178,34385
2017-04-18,6754.70947265625,6754.70947265625,6663.016705066273,6724.1449241089485,31237
2017-04-19,6663.0166015625,6785.273476774668,6663.0166015625,6724.144819655606,31502
2017-04-20,6663.0166015625,6724.144819655606,6601.887944443438,6724.144819655606,185723
2017-04-21,6601.888671875,6724.1455605580895,6357.374016456812,6663.017335729547,140258
2017-04-24,6296.2451171875,6357.373778756464,6204.552344347048,6357.373778756464,271990
2017-04-25,6296.2451171875,6418.502440325428,6296.2451171875,6357.373778756464,26075
2017-04-26,6387.9384765625,6418.502588539766,6296.245262578705,6296.245262578705,52550
2017-04-27,6387.9384765625,6418.502588539766,6357.373925559235,6357.373925559235,55492
2017-04-28,6357.37353515625,6418.502194382902,6296.244875929599,6357.37353515625,62817
2017-05-03,6357.37353515625,6387.938084282562,6265.680765829258,6326.809425055911,71377
2017-05-04,6326.8095703125,6357.373681114558,6326.8095703125,6357.373681114558,20015
2017-05-05,6418.50244140625,6449.066991708873,6357.373779826992,6387.938330129615,89881
2017-05-08,6357.37353515625,6418.502194382902,6357.37353515625,6418.502194382902,54904
2017-05-09,6418.50244140625,6479.631102985508,6357.373779826992,6418.50244140625,31370
2017-05-10,6449.06689453125,6479.63100534733,6357.373684031047,6357.373684031047,47917
2017-05-11,6479.63134765625,6479.63134765625,6418.502683768775,6449.067235225515,33002
2017-05-12,6479.63134765625,6540.760011543724,6418.502683768775,6418.502683768775,45682
2017-05-15,6510.1953125,6601.888525765517,6510.1953125,6510.1953125,10013
2017-05-16,6540.759765625,6540.759765625,6418.5024424466665,6479.631104035833,8366
2017-05-17,6540.759765625,6540.759765625,6479.631104035833,6479.631104035833,36489
2017-05-18,6571.32373046875,6571.32373046875,6418.502299414358,6479.630959641311,70525
2017-05-19,6540.759765625,6571.323876906588,6418.5024424466665,6571.323876906588,17191
2017-05-22,6571.32373046875,6601.888280095216,6418.502299414358,6418.502299414358,94720
2017-05-23,6601.888671875,6601.888671875,6479.631344165906,6479.631344165906,3849
2017-05-24,6571.32373046875,6601.888280095216,6540.759619868263,6601.888280095216,17867
2017-05-25,6540.759765625,6601.888427214166,6540.759765625,6571.323876906588,16763
2017-05-26,6479.63134765625,6571.324123974459,6449.067235225515,6479.63134765625,36047
2017-05-29,6571.32373046875,6571.32373046875,6479.630959641311,6479.630959641311,16337
2017-05-30,6510.1953125,6601.888525765517,6479.631200762157,6571.32397500168,129756
2017-05-31,6510.1953125,6571.32397500168,6510.1953125,6510.1953125,13455
2017-06-01,6571.32373046875,6601.888280095216,6540.759619868263,6571.32373046875,11395
2017-06-02,6601.888671875,6601.888671875,6540.760008020453,6571.324120434724,22162
2017-06-05,6571.32373046875,6601.888280095216,6540.759619868263,6601.888280095216,25678
2017-06-06,6571.32373046875,6571.32373046875,6479.630959641311,6479.630959641311,42062
2017-06-07,6540.759765625,6571.323876906588,6540.759765625,6540.759765625,23369
2017-06-08,6601.888671875,6601.888671875,6540.760008020453,6540.760008020453,12072
2017-06-09,6540.759765625,6571.323876906588,6540.759765625,6571.323876906588,18632
2017-06-12,6601.888671875,6601.888671875,6540.760008020453,6601.888671875,15072
2017-06-13,6571.32373046875,6601.888280095216,6540.759619868263,6540.759619868263,20956
2017-06-14,6510.1953125,6601.888525765517,6265.681101519275,6326.809764020955,13483
2017-06-15,6357.37353515625,6449.066743509214,6357.37353515625,6449.066743509214,7762
2017-06-16,6357.37353515625,6357.37353515625,6326.809425055911,6357.37353515625,8866
2017-06-19,6326.8095703125,6357.373681114558,6296.24502048446,6357.373681114558,13087
2017-06-20,6357.37353515625,6357.37353515625,6296.244875929599,6296.244875929599,47329
2017-06-21,6296.2451171875,6326.809667484977,6296.2451171875,6326.809667484977,5776
2017-06-22,6326.8095703125,6326.8095703125,6296.24502048446,6296.24502048446,22809
2017-06-23,6296.2451171875,6296.2451171875,6296.2451171875,6296.2451171875,775
2017-06-26,6296.2451171875,6296.2451171875,6265.6810059160125,6265.6810059160125,30119
2017-06-27,6296.2451171875,6296.2451171875,6235.116894644525,6296.2451171875,30884
2017-06-28,6296.2451171875,6296.2451171875,6296.2451171875,6296.2451171875,5144
2017-06-29,6357.37353515625,6357.37353515625,6296.244875929599,6326.809425055911,87851
2017-06-30,6357.37353515625,6357.37353515625,6296.244875929599,6357.37353515625,55139
2017-07-03,6326.8095703125,6357.373681114558,6112.859477620145,6326.8095703125,390940
2017-07-04,6326.8095703125,6326.8095703125,6235.116798880343,6235.116798880343,81011
2017-07-05,6265.68115234375,6326.809815341279,6265.68115234375,6326.809815341279,47447
2017-07-06,6326.8095703125,6326.8095703125,6204.552249052303,6296.24502048446,86042
2017-07-10,6235.11669921875,6235.11669921875,6173.988039565727,6235.11669921875,63273
2017-07-11,6235.11669921875,6265.680809532274,6204.5521498792505,6235.11669921875,31856
2017-07-12,6235.11669921875,6265.680809532274,6173.988039565727,6173.988039565727,4335
2017-07-13,6265.68115234375,6265.68115234375,6235.117040357985,6265.68115234375,11880
2017-07-14,6265.68115234375,6265.68115234375,6173.988377360456,6173.988377360456,878
2017-07-17,6235.11669921875,6265.680809532274,6235.11669921875,6265.680809532274,19397
2017-07-18,6235.11669921875,6235.11669921875,6204.5521498792505,6235.11669921875,16617
2017-07-19,6204.55224609375,6235.116795907216,6204.55224609375,6204.55224609375,4674
2017-07-20,6204.55224609375,6235.116795907216,6173.988135306266,6173.988135306266,13969
2017-07-21,6112.859375,6235.1166942077925,6112.859375,6173.988034603896,45166
2017-07-24,6204.55224609375,6204.55224609375,6112.859474705316,6204.55224609375,4438
2017-07-25,6106.74609375,6112.85909113431,6082.294543238715,6112.85909113431,8674
2017-07-26,6173.98828125,6204.552392759974,6112.859619204061,6204.552392759974,363
2017-07-27,6265.68115234375,6265.68115234375,6112.859714362927,6173.988377360456,23413
2017-07-28,6265.68115234375,6265.68115234375,6112.859714362927,6143.423826348692,3481
2017-07-31,6112.859375,6235.1166942077925,6112.859375,6235.1166942077925,27869
2017-08-01,6173.98828125,6204.552392759974,6112.859619204061,6112.859619204061,57507
2017-08-02,6265.68115234375,6265.68115234375,6173.988377360456,6173.988377360456,57610
2017-08-03,6326.8095703125,6326.8095703125,6265.680909682402,6265.680909682402,100398
2017-08-04,6357.37353515625,6357.37353515625,6204.552106602607,6326.809425055911,36268
2017-08-07,6357.37353515625,6357.37353515625,6235.116655728918,6296.244875929599,8674
2017-08-08,6326.8095703125,6326.8095703125,6235.116798880343,6235.116798880343,16146
2017-08-09,6296.2451171875,6296.2451171875,6204.552344347048,6235.116894644525,35915
2017-08-10,6296.2451171875,6296.2451171875,6265.6810059160125,6265.6810059160125,25280
2017-08-11,6296.2451171875,6296.2451171875,6265.6810059160125,6296.2451171875,6791
2017-08-14,6326.8095703125,6326.8095703125,6204.552249052303,6296.24502048446,30693
2017-08-15,6265.68115234375,6296.245264329516,6204.552489346222,6296.245264329516,37253
2017-08-16,6296.2451171875,6296.2451171875,6173.98823307556,6265.6810059160125,96500
2017-08-17,6265.68115234375,6265.68115234375,6204.552489346222,6235.117040357985,3261
2017-08-18,6235.11669921875,6265.680809532274,6173.988039565727,6265.680809532274,4938
2017-08-21,6235.11669921875,6235.11669921875,6173.988039565727,6204.5521498792505,5026
2017-08-22,6235.11669921875,6235.11669921875,6143.423490226228,6204.5521498792505,14455
2017-08-23,6235.11669921875,6235.11669921875,6143.423490226228,6173.988039565727,14720
2017-08-24,6235.11669921875,6235.11669921875,6173.988039565727,6173.988039565727,69
2017-08-25,6235.11669921875,6235.11669921875,6112.859379912703,6235.11669921875,27766
2017-08-28,6235.11669921875,6235.11669921875,6112.859379912703,6235.11669921875,27928
2017-08-29,6235.11669921875,6235.11669921875,6235.11669921875,6235.11669921875,1482
2017-08-30,6235.11669921875,6235.11669921875,6173.988039565727,6235.11669921875,6629
2017-08-31,6235.11669921875,6235.11669921875,6112.859379912703,6235.11669921875,11968
2017-09-01,6143.42333984375,6235.11654659175,6143.42333984375,6173.987888435071,1334
2017-09-05,6112.859375,6235.1166942077925,6112.859375,6235.1166942077925,30561
2017-09-06,6112.859375,6204.5521448928575,6112.859375,6204.5521448928575,49020
2017-09-07,6112.859375,6204.5521448928575,6112.859375,6173.988034603896,5718
2017-09-08,6204.55224609375,6204.55224609375,6204.55224609375,6204.55224609375,41
2017-09-11,6143.42333984375,6204.551998000428,6143.42333984375,6204.551998000428,9042
2017-09-12,6204.55224609375,6204.55224609375,6112.859474705316,6143.4235854928,18029
2017-09-13,6204.55224609375,6204.55224609375,6112.859474705316,6143.4235854928,40769
2017-09-14,6173.98828125,6173.98828125,6173.98828125,6173.98828125,69
2017-09-15,6204.55224609375,6204.55224609375,6112.859474705316,6173.988135306266,10454
2017-09-18,6235.11669921875,6235.11669921875,6173.988039565727,6173.988039565727,11954
2017-09-19,5990.60205078125,6204.552139702937,5807.216511148933,6204.552139702937,352447
2017-09-20,5929.47314453125,5990.601801540741,5880.570482339232,5990.601801540741,14720
2017-09-21,5929.47314453125,5990.601801540741,5929.47314453125,5929.47314453125,97573
2017-09-22,5990.60205078125,5990.60205078125,5935.586388891555,5953.924942854786,47109
2017-09-25,5990.60205078125,5990.60205078125,5929.473391228486,5929.473391228486,4600
2017-09-26,5929.47314453125,5990.601801540741,5807.216269538225,5960.037692548974,66053
2017-09-27,5929.47314453125,5929.47314453125,5898.909035539483,5898.909035539483,5879
2017-09-28,5960.0380859375,5990.602196946632,5813.3292116261055,5990.602196946632,3115
2017-09-29,5960.0380859375,5960.0380859375,5837.780763849002,5843.893761661223,967
2017-10-02,5886.68359375,5960.03780797159,5868.344601168637,5960.03780797159,12513
2017-10-03,5477.1220703125,5856.119142794701,5477.1220703125,5837.780588933496,303379
2017-10-04,5391.5419921875,5477.122204994849,5379.316435654728,5477.122204994849,12484
2017-10-05,5385.4287109375,5391.54170839511,5299.84894166076,5385.4287109375,56904
2017-10-06,5367.0908203125,5379.316816737371,5299.849596079765,5379.316816737371,67936
2017-10-09,5318.18798828125,5367.09065540008,5299.849433233439,5367.09065540008,20691
2017-10-10,5318.18798828125,5318.18798828125,5312.074990256647,5318.18798828125,49785
2017-10-11,5312.07470703125,5684.959225156888,5305.961709332575,5305.961709332575,102251
2017-10-12,5299.84912109375,5666.620639474614,5299.84912109375,5501.573214738939,35208
2017-10-13,5599.37890625,5617.717459968862,5299.849049166599,5299.849049166599,29208
2017-10-16,5501.5732421875,5727.749327619424,5379.316361467894,5562.70190206029,18720
2017-10-17,5623.83056640625,5623.83056640625,5501.5732465634255,5562.701906484838,9262
2017-10-18,5562.7021484375,5562.7021484375,5379.316599722789,5507.686483823087,43769
2017-10-19,5623.83056640625,5684.959226327663,5532.13779603712,5562.701906484838,14749
2017-10-20,5990.60205078125,5990.60205078125,5623.8305324906405,5623.8305324906405,81762
2017-10-23,5966.15087890625,5990.602432088916,5752.200776366432,5990.602432088916,33164
2017-10-24,5898.9091796875,5923.360730893995,5684.959094439094,5752.200311474497,11042
2017-10-25,5868.3447265625,5868.3447265625,5752.2004052212405,5752.2004052212405,16573
2017-10-26,5807.21630859375,5862.231968564504,5666.620440428962,5856.118971114656,8821
2017-10-27,5801.103515625,5801.103515625,5654.395083865047,5684.959194139713,173
2017-10-30,5801.103515625,5807.216513290323,5746.087853715017,5807.216513290323,44284
2017-10-31,5831.66796875,5868.345078846277,5794.990858653724,5807.216854703149,39356
2017-11-01,5782.76513671875,5868.344911494185,5782.76513671875,5868.344911494185,18368
2017-11-02,5807.21630859375,5807.21630859375,5807.21630859375,5807.21630859375,25
2017-11-03,5746.087890625,5746.087890625,5623.830570689071,5746.087890625,27221
2017-11-06,5654.39501953125,5678.846131862396,5562.70181169856,5562.70181169856,19367
2017-11-07,5642.1689453125,5654.394940332798,5507.686073270958,5654.394940332798,33547
2017-11-08,5984.4892578125,5990.602255684658,5501.573401561709,5623.830724848944,108091
2017-11-09,5746.087890625,5807.216550592965,5684.959230657036,5764.426444712792,191298
2017-11-10,5886.68359375,5929.473259361951,5807.216382001288,5807.216382001288,13499
2017-11-13,5807.21630859375,5868.344526988393,5746.0876511731485,5807.21630859375,3643
2017-11-14,5807.21630859375,5868.344526988393,5562.701678911343,5562.701678911343,3203
2017-11-15,5739.97509765625,5807.216757727208,5636.056328101494,5636.056328101494,9042
2017-11-16,5776.65185546875,5807.2164041952,5776.65185546875,5807.2164041952,85
2017-11-17,5892.79638671875,6173.988137791096,5562.701970561551,5776.652063237994,51153
2017-11-20,5868.3447265625,5929.473386062002,5801.103508431231,5929.473386062002,3115
2017-11-21,5917.248046875,5990.602265355362,5801.10372127243,5807.216719154458,6629
2017-11-22,5874.4580078125,5898.9095605979055,5715.523573246356,5898.9095605979055,9395
2017-11-23,5868.3447265625,5953.924937666997,5837.780616325736,5953.924937666997,5158
2017-11-24,5856.119140625,5868.344696852616,5691.072155935312,5868.344696852616,6953
2017-11-27,5868.3447265625,5990.602045561503,5843.893613983479,5850.006172615247,31296
2017-11-28,5923.36083984375,5929.473398488329,5862.232180216142,5862.232180216142,116578
2017-11-29,5984.4892578125,6051.730917328276,5501.573401561709,5501.573401561709,24251
2017-11-30,5984.4892578125,6112.859578971893,5807.216709779796,5972.263701094173,14675
2017-12-01,6082.294921875,6112.859471673306,5868.344829390785,5984.489152767188,133625
2017-12-04,6051.73095703125,6106.746621163645,6045.617959118987,6045.617959118987,76555
2017-12-05,6076.18212890625,6100.633679997119,5868.34460317281,6094.520682467911,3335
