Price,Close,High,Low,Open,Volume
Ticker,KLB.VN,KLB.VN,KLB.VN,KLB.VN,KLB.VN
Date,,,,,
2026-01-15,17150.0,17600.0,16800.0,17500.0,2043800
2026-01-16,18150.0,18200.0,17550.0,17600.0,2324370
2026-01-19,17150.0,18700.0,17150.0,18600.0,1648277
2026-01-20,16500.0,17150.0,16150.0,17000.0,1852780
2026-01-21,16200.0,16500.0,15900.0,15950.0,892178
2026-01-22,16000.0,16500.0,16000.0,16000.0,1120291
2026-01-23,15900.0,16300.0,15900.0,16200.0,676502
2026-01-26,15200.0,16000.0,15200.0,15850.0,769737
2026-01-27,15200.0,15500.0,15150.0,15450.0,540995
2026-01-28,15150.0,15500.0,15050.0,15500.0,346621
2026-01-29,15150.0,15400.0,15150.0,15200.0,253333
2026-01-30,15200.0,15300.0,15100.0,15100.0,346500
2026-02-02,15250.0,15450.0,15200.0,15200.0,289798
2026-02-03,15400.0,15500.0,15250.0,15300.0,245925
2026-02-04,15050.0,15350.0,14800.0,15350.0,830218
2026-02-05,14950.0,15150.0,14800.0,15000.0,442139
2026-02-06,14600.0,15000.0,14600.0,15000.0,434320
2026-02-09,14700.0,14900.0,14600.0,14800.0,220970
2026-02-10,14500.0,15000.0,14500.0,15000.0,163556
2026-02-11,14550.0,14750.0,14450.0,14450.0,352594
2026-02-12,14550.0,14600.0,14500.0,14600.0,316719
2026-02-13,14600.0,14800.0,14450.0,14550.0,147242
2026-02-23,14650.0,14800.0,14600.0,14800.0,234977
2026-02-24,14450.0,14750.0,14400.0,14750.0,628340
2026-02-25,14600.0,14900.0,14500.0,14550.0,636862
2026-02-26,15100.0,15150.0,14700.0,14700.0,761485
2026-02-27,15250.0,15600.0,14900.0,15200.0,504289
2026-03-02,14700.0,14950.0,14700.0,14750.0,439104
2026-03-03,14500.0,14900.0,14500.0,14800.0,321994
2026-03-04,14100.0,14600.0,13900.0,14500.0,558524
2026-03-05,14200.0,14500.0,14100.0,14300.0,118206
2026-03-06,13900.0,14200.0,13900.0,14200.0,217560
2026-03-09,12950.0,13200.0,12950.0,13150.0,282738
2026-03-10,13100.0,13450.0,12900.0,13450.0,302533
2026-03-11,13400.0,13500.0,13000.0,13100.0,373412
2026-03-12,13800.0,13900.0,13100.0,13450.0,299243
2026-03-13,13750.0,14200.0,13500.0,13800.0,252697
2026-03-16,14150.0,14150.0,13550.0,13750.0,605135
2026-03-17,13850.0,14300.0,13850.0,14250.0,115827
2026-03-18,13650.0,14000.0,13650.0,13800.0,133711
2026-03-19,12800.0,13850.0,12800.0,13850.0,168877
2026-03-20,12900.0,13300.0,12900.0,13200.0,317345
2026-03-23,12500.0,13050.0,12450.0,12900.0,168143
2026-03-24,12750.0,12900.0,12500.0,12700.0,257192
2026-03-25,12950.0,12950.0,12800.0,12900.0,88778
2026-03-26,12950.0,13000.0,12750.0,13000.0,1781096
2026-03-27,13150.0,13150.0,12800.0,12800.0,151291
2026-03-30,12950.0,12950.0,12850.0,12900.0,85891
2026-03-31,13050.0,13200.0,12950.0,12950.0,139676
2026-04-01,13100.0,13300.0,13100.0,13200.0,111231
2026-04-02,14000.0,14000.0,13100.0,13200.0,499517
2026-04-03,14500.0,14950.0,14500.0,14950.0,830805
2026-04-06,14000.0,14700.0,14000.0,14700.0,246888
2026-04-07,13900.0,14300.0,13700.0,14000.0,249648
2026-04-08,14200.0,14300.0,13700.0,14150.0,662778
2026-04-09,14000.0,14200.0,14000.0,14150.0,427201
2026-04-10,14150.0,14200.0,13950.0,14050.0,505420
2026-04-13,14000.0,14150.0,13950.0,14150.0,185421
2026-04-14,14150.0,14650.0,14100.0,14400.0,259963
2026-04-15,14050.0,14350.0,14050.0,14200.0,175178
2026-04-16,14100.0,14200.0,14050.0,14050.0,198556
2026-04-17,14100.0,14300.0,14050.0,14100.0,264461
2026-04-20,14100.0,14200.0,14000.0,14150.0,292614
2026-04-21,14000.0,14150.0,14000.0,14100.0,371956
2026-04-22,14100.0,14100.0,14000.0,14100.0,255419
2026-04-23,14500.0,14750.0,14050.0,14100.0,1008948
2026-04-24,14450.0,14450.0,14150.0,14450.0,420297
2026-04-28,14400.0,14900.0,14300.0,14900.0,284082
2026-04-29,14650.0,14650.0,14350.0,14400.0,176256
2026-05-04,14800.0,14800.0,14450.0,14650.0,542854
2026-05-05,14850.0,15000.0,14450.0,14600.0,594284
2026-05-06,14800.0,14850.0,14650.0,14850.0,207738
2026-05-07,14600.0,15000.0,14550.0,14800.0,825556
2026-05-08,14500.0,14650.0,14350.0,14600.0,322406
2026-05-11,14000.0,14400.0,13950.0,14400.0,743584
2026-05-12,14200.0,14300.0,14000.0,14100.0,247149
2026-05-13,14100.0,14350.0,14050.0,14350.0,146378
2026-05-14,14250.0,14300.0,14100.0,14100.0,60650
2026-05-15,14150.0,14300.0,14150.0,14200.0,188724
2026-05-18,14200.0,14400.0,14000.0,14150.0,428496
2026-05-19,14150.0,14200.0,14050.0,14150.0,213268
2026-05-20,14000.0,14200.0,13800.0,14100.0,189651
2026-05-21,14050.0,14200.0,13900.0,14050.0,202271
2026-05-22,14050.0,14150.0,13950.0,14150.0,104855
2026-05-25,13950.0,14100.0,13950.0,14100.0,177826
2026-05-26,14250.0,14450.0,13900.0,13950.0,292000
2026-05-27,14300.0,14400.0,14200.0,14300.0,481200
