Price,Close,High,Low,Open,Volume
Ticker,L10.VN,L10.VN,L10.VN,L10.VN,L10.VN
Date,,,,,
2017-01-03,8601.6806640625,8601.6806640625,8488.500655324835,8488.500655324835,3010
2017-01-04,8601.6806640625,8601.6806640625,8601.6806640625,8601.6806640625,1000
2017-01-05,8545.08984375,8771.449839610928,8488.499844784768,8488.499844784768,22830
2017-01-06,8658.2705078125,8658.2705078125,8658.2705078125,8658.2705078125,10
2017-01-09,8658.2705078125,8658.2705078125,8488.500497855393,8488.500497855393,40
2017-01-10,8658.2705078125,8658.2705078125,8658.2705078125,8658.2705078125,0
2017-01-11,8658.2705078125,8658.2705078125,8658.2705078125,8658.2705078125,0
2017-01-12,9054.3994140625,9054.3994140625,8828.039428710938,8828.039428710938,6120
2017-01-13,9054.3994140625,9054.3994140625,9054.3994140625,9054.3994140625,0
2017-01-16,9054.3994140625,9054.3994140625,9054.3994140625,9054.3994140625,0
2017-01-17,8431.91015625,8488.500157298658,8431.91015625,8488.500157298658,420
2017-01-18,8205.55078125,8431.910802801724,8205.55078125,8431.910802801724,1200
2017-01-19,8488.5,8488.5,8205.55,8205.55,660
2017-01-20,8771.4501953125,8771.4501953125,8545.090190272178,8771.4501953125,3250
2017-01-23,8771.4501953125,8771.4501953125,8743.15519468246,8743.15519468246,3000
2017-01-24,8941.2197265625,8941.2197265625,8771.449731754352,8771.449731754352,2000
2017-01-25,8941.2197265625,8941.2197265625,8941.2197265625,8941.2197265625,0
2017-01-26,8941.2197265625,8941.2197265625,8941.2197265625,8941.2197265625,0
2017-02-03,9054.3994140625,9054.3994140625,8941.219421386719,8941.219421386719,550
2017-02-06,8658.2705078125,8714.860511131537,8658.2705078125,8714.860511131537,3000
2017-02-07,8658.2705078125,8658.2705078125,8658.2705078125,8658.2705078125,0
2017-02-08,8828.041015625,8828.041015625,8262.140950520834,8488.5009765625,1200
2017-02-09,8884.630859375,8884.630859375,8884.630859375,8884.630859375,200
2017-02-10,8799.7451171875,8799.7451171875,8375.32011153537,8375.32011153537,30
2017-02-13,8488.5,8799.744999999999,8488.5,8799.744999999999,30
2017-02-14,8771.4501953125,8771.4501953125,8431.910187752017,8431.910187752017,120
2017-02-15,8771.4501953125,8771.4501953125,8431.910187752017,8431.910187752017,3110
2017-02-16,8545.08984375,8545.08984375,8488.499844784768,8488.499844784768,4800
2017-02-17,8375.3203125,8375.3203125,8375.3203125,8375.3203125,100
2017-02-20,8771.4501953125,8771.4501953125,8488.500189012097,8488.500189012097,3010
2017-02-21,8488.5,8488.5,8488.5,8488.5,11000
2017-02-22,8488.5,8488.5,8488.5,8488.5,10000
2017-02-23,8488.5,8488.5,8488.5,8488.5,10320
2017-02-24,8488.5,8601.679999999998,8488.5,8545.09,14000
2017-02-27,8488.5,8488.5,8488.5,8488.5,7000
2017-02-28,8488.5,8771.449999999999,8488.5,8771.449999999999,9970
2017-03-01,8488.5,8488.5,8488.5,8488.5,5000
2017-03-02,8488.5,8488.5,8488.5,8488.5,7400
2017-03-03,8488.5,8488.5,8347.025,8488.5,3800
2017-03-06,8488.5,8488.5,8488.5,8488.5,0
2017-03-07,8318.7314453125,8488.501474808672,8318.7314453125,8488.501474808672,5010
2017-03-08,8488.5,8545.09,8488.5,8488.5,3320
2017-03-09,8771.4501953125,8997.810200352822,8771.4501953125,8771.4501953125,5330
2017-03-10,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,0
2017-03-13,8997.810546875,8997.810546875,8828.040536556604,8828.040536556604,300
2017-03-14,8997.810546875,8997.810546875,8997.810546875,8997.810546875,0
2017-03-15,8545.08984375,8545.08984375,8545.08984375,8545.08984375,200
2017-03-16,8545.08984375,8545.08984375,8545.08984375,8545.08984375,2000
2017-03-17,8488.5,8488.5,8488.5,8488.5,1590
2017-03-20,8488.5,8488.5,8488.5,8488.5,0
2017-03-21,8488.5,8545.09,8488.5,8545.09,1540
2017-03-22,8488.5,8545.09,8488.5,8545.09,3400
2017-03-23,8516.7958984375,8545.090901422342,8516.7958984375,8545.090901422342,1090
2017-03-24,8488.5,8884.63,8488.5,8884.63,1220
2017-03-27,8828.041015625,8828.041015625,8828.041015625,8828.041015625,20
2017-03-28,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,5000
2017-03-29,8488.5,8828.039999999999,8488.5,8743.154999999999,12630
2017-03-30,8488.5,8488.5,8488.5,8488.5,0
2017-03-31,8488.5,8488.5,8488.5,8488.5,0
2017-04-03,8488.5,8545.09,8488.5,8545.09,1600
2017-04-04,8601.6806640625,8601.6806640625,8262.140637849507,8318.73064221834,1770
2017-04-05,8488.5,8488.5,8488.5,8488.5,360
2017-04-07,8601.6806640625,8601.6806640625,8601.6806640625,8601.6806640625,2000
2017-04-10,8488.5,8601.679999999998,8488.5,8601.679999999998,9580
2017-04-11,8488.5,8884.63,8488.5,8884.63,5070
2017-04-12,8771.4501953125,8771.4501953125,8488.500189012097,8488.500189012097,15590
2017-04-13,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,0
2017-04-14,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,0
2017-04-17,8771.4501953125,8884.630197832661,8601.680191532258,8601.680191532258,170
2017-04-18,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,3690
2017-04-19,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,100
2017-04-20,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,3850
2017-04-21,8828.041015625,8828.041015625,8771.451009114584,8771.451009114584,380
2017-04-24,8488.5,8488.5,8488.5,8488.5,70
2017-04-25,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,3000
2017-04-26,8771.4501953125,8771.4501953125,8771.4501953125,8771.4501953125,2090
2017-04-27,8884.630859375,8884.630859375,8884.630859375,8884.630859375,1000
2017-04-28,8884.630859375,8884.630859375,8884.630859375,8884.630859375,0
2017-05-03,8997.810546875,8997.810546875,8941.220543435535,8941.220543435535,2210
2017-05-04,9337.349609375,9337.349609375,8997.809623579546,8997.809623579546,780
2017-05-05,9224.169921875,9337.349920916413,8686.564926428298,9337.349920916413,570
2017-05-08,9337.349609375,9337.349609375,9224.16961410985,9224.16961410985,640
2017-05-09,8771.4501953125,9337.350207913309,8771.4501953125,9337.350207913309,30
2017-05-10,8771.4501953125,8771.4501953125,8714.86019405242,8771.4501953125,2880
2017-05-11,9365.6455078125,9365.6455078125,8771.45047559479,8828.040478663142,13220
2017-05-12,9563.7109375,9620.300943047336,9450.530926405325,9450.530926405325,2900
2017-05-15,8969.513671875,9224.168634167982,8941.21867606467,9224.168634167982,4400
2017-05-16,9026.10546875,9026.10546875,9026.10546875,9026.10546875,10
2017-05-17,9280.7607421875,9280.7607421875,8771.450701457698,9026.105721822598,1630
2017-05-18,9054.3994140625,9054.3994140625,8771.449432373047,9054.3994140625,1380
2017-05-19,9054.3994140625,9054.3994140625,8431.909454345703,8771.449432373047,4060
2017-05-22,9423.9677734375,9423.9677734375,9239.184091605392,9362.373212826797,12220
2017-05-23,9485.5625,9485.5625,9239.184253246753,9239.184253246753,30
2017-05-24,9485.5625,9485.5625,8931.211444805194,8931.211444805194,2640
2017-05-25,9423.9677734375,9485.562334048202,9239.184091605392,9300.778652216091,9930
