Price,Close,High,Low,Open,Volume
Ticker,LBM.VN,LBM.VN,LBM.VN,LBM.VN,LBM.VN
Date,,,,,
2017-01-03,6982.66650390625,7142.270309709821,6882.914125279018,7142.270309709821,7280
2017-01-04,6912.84033203125,7182.171773538961,6833.038423436373,6833.038423436373,25520
2017-01-05,7102.3701171875,7182.172028616573,6882.914860757549,6982.667250043891,2360
2017-01-06,7222.07275390625,7281.924185568456,7082.419413361101,7082.419413361101,29840
2017-01-09,7261.97412109375,7341.776034512362,7182.1722076751375,7222.073164384444,19320
2017-01-10,7341.775390625,7361.725867229959,7222.072530995244,7341.775390625,21200
2017-01-11,7341.775390625,7471.453488557235,7182.171577785326,7341.775390625,31080
2017-01-12,7461.478515625,7461.478515625,7321.825174423462,7341.775651737968,22160
2017-01-13,7641.033203125,7680.934159799282,7381.676984742167,7461.4788980907315,21600
2017-01-16,7581.18212890625,7880.439318205181,7381.677336040296,7820.587880345394,46320
2017-01-17,7052.4931640625,7281.923634746287,7052.4931640625,7202.121731899752,127240
2017-01-18,6862.9638671875,7182.171488917151,6783.161961755087,6783.161961755087,122440
2017-01-19,6962.71630859375,7281.923933056501,6902.864879006985,6902.864879006985,52240
2017-01-20,7142.27001953125,7142.27001953125,7022.5671700419,7142.27001953125,21480
2017-01-23,7242.0234375,7281.924393078512,6982.66722623967,7182.172004132231,60680
2017-01-24,6992.64208984375,7182.171618669758,6962.71637476596,7182.171618669758,59840
2017-01-25,7341.775390625,7341.775390625,7182.171577785326,7182.171577785326,10120
2017-02-03,7172.1962890625,7311.849624315456,6982.666762647775,7281.923909618394,45560
2017-02-06,7102.3701171875,7182.172028616573,7002.617727901159,7182.172028616573,20800
2017-02-07,7242.0234375,7242.0234375,6982.66722623967,7102.370092975207,92840
2017-02-08,7062.46875,7102.369703389831,7022.567796610169,7102.369703389831,4520
2017-02-09,7222.07275390625,7222.07275390625,6992.642265867791,7102.369890581836,31960
2017-02-10,7082.419921875,7182.172315140846,7042.518964568662,7182.172315140846,14320
2017-02-13,7182.171875,7182.171875,7042.518532986111,7182.171875,25840
2017-02-14,7112.3447265625,7182.171392882188,7022.567584151473,7182.171392882188,52000
2017-02-15,7122.3203125,7122.3203125,7022.567927170869,7022.567927170869,8120
2017-02-16,7162.22021484375,7281.92305966008,7162.22021484375,7162.22021484375,44280
2017-02-17,6942.76611328125,7281.924228010506,6882.914681270205,7281.924228010506,20760
2017-02-20,6942.76611328125,7162.221363988416,6922.815635944235,7162.221363988416,35160
2017-02-21,7182.171875,7261.973784722222,6982.667100694444,6982.667100694444,26000
2017-02-22,7182.171875,7182.171875,7162.221397569444,7182.171875,23240
2017-02-23,7042.51806640625,7182.171399167847,7042.51806640625,7182.171399167847,10160
2017-02-24,7122.3203125,7381.676514355742,7042.518404236695,7042.518404236695,101000
2017-02-27,7421.578125,7481.429561491935,7242.023815524193,7242.023815524193,38520
2017-02-28,7491.4033203125,7531.304270087799,7291.8985714360015,7421.576658205726,8840
2017-03-01,7341.775390625,7491.403965162194,7281.923960810122,7461.478250254755,42320
2017-03-02,7361.72509765625,7451.502232993522,7311.848911357766,7451.502232993522,20400
2017-03-03,7341.775390625,7381.676343834918,7182.171577785326,7182.171577785326,3920
2017-03-06,7301.875,7341.775956284153,7281.9245218579235,7281.9245218579235,20720
2017-03-07,7321.82470703125,7321.82470703125,7182.171374744551,7242.022802867422,21000
2017-03-08,7281.92431640625,7381.676704302226,7182.171928510274,7381.676704302226,26280
2017-03-09,7261.97412109375,7261.97412109375,7182.1722076751375,7202.12268602979,19960
2017-03-10,7261.97412109375,7261.97412109375,7182.1722076751375,7261.97412109375,19360
2017-03-13,7461.478515625,7461.478515625,7182.171833221924,7261.973742479946,70320
2017-03-14,7461.478515625,7521.329947568515,7461.478515625,7481.428992939505,25000
2017-03-15,7281.92431640625,7461.478614619007,7281.92431640625,7281.92431640625,11720
2017-03-16,7381.67626953125,7481.428651551943,7222.072458298142,7481.428651551943,8520
2017-03-17,7321.82470703125,7381.676135154122,7182.171374744551,7381.676135154122,14840
2017-03-20,7381.67626953125,7481.428651551943,7182.171505489865,7481.428651551943,36080
2017-03-21,7182.171875,7361.726171875,7182.171875,7281.924262152777,23840
2017-03-22,7281.92431640625,7281.92431640625,7182.171928510274,7281.92431640625,50200
2017-03-23,7281.92431640625,7281.92431640625,7182.171928510274,7251.998600037457,21000
2017-03-24,7242.0234375,7421.577737603306,7192.14724302686,7421.577737603306,36480
2017-03-27,7461.478515625,7461.478515625,7461.478515625,7461.478515625,40
2017-03-28,7481.42919921875,7780.6863671875,7381.676809895833,7381.676809895833,11920
2017-03-29,7421.578125,7461.47908266129,7182.172379032258,7461.47908266129,8680
2017-03-30,7381.67626953125,7381.67626953125,7381.67626953125,7381.67626953125,120
2017-03-31,7361.72509765625,7361.72509765625,7222.071776020495,7222.071776020495,13880
2017-04-03,7371.701171875,7371.701171875,7142.270688853179,7331.800218305987,29320
