Price,Close,High,Low,Open,Volume
Ticker,LMH,LMH,LMH,LMH,LMH
Date,,,,,
2018-10-12,12181.7998046875,12181.7998046875,10454.5,10545.5,2713755
2018-10-15,12454.5,13000.0,12136.400390625,12181.7998046875,1447325
2018-10-16,11727.2998046875,12681.7998046875,11727.2998046875,12500.0,721589
2018-10-17,10909.099609375,11272.7001953125,10909.099609375,11227.2998046875,261943
2018-10-18,10181.7998046875,10454.5,10181.7998046875,10181.7998046875,771243
2018-10-19,9727.26953125,9727.26953125,9500.0,9500.0,285626
2018-10-22,10363.599609375,10363.599609375,9090.91015625,9090.91015625,907005
2018-10-23,10363.599609375,10681.7998046875,10090.900390625,10272.7001953125,1092916
2018-10-24,9954.5498046875,10454.5,9909.08984375,10363.599609375,632588
2018-10-25,9500.0,9727.26953125,9363.6396484375,9727.26953125,101112
2018-10-26,9363.6396484375,9590.91015625,9363.6396484375,9500.0,90277
2018-10-29,9272.73046875,9454.5498046875,9272.73046875,9272.73046875,103752
2018-10-30,9363.6396484375,9409.08984375,9272.73046875,9318.1796875,127479
2018-10-31,9363.6396484375,9545.4501953125,9363.6396484375,9363.6396484375,197780
2018-11-01,9272.73046875,9363.6396484375,9081.8203125,9363.6396484375,1279916
2018-11-02,9090.91015625,9454.5498046875,9081.8203125,9272.73046875,252780
2018-11-05,9136.3603515625,9136.3603515625,9081.8203125,9136.3603515625,354134
2018-11-06,9454.5498046875,9454.5498046875,9090.91015625,9136.3603515625,872718
2018-11-07,9227.26953125,9454.5498046875,9227.26953125,9363.6396484375,228767
2018-11-08,9090.91015625,9272.73046875,9063.6396484375,9227.26953125,181797
2018-11-09,9090.91015625,9090.91015625,9018.1796875,9090.91015625,99132
2018-11-12,9090.91015625,9090.91015625,9063.6396484375,9090.91015625,37235
2018-11-13,9136.3603515625,9136.3603515625,9081.8203125,9081.8203125,42911
2018-11-14,9090.91015625,9181.8203125,9090.91015625,9181.8203125,35651
2018-11-15,9136.3603515625,9227.26953125,9090.91015625,9090.91015625,171259
2018-11-16,9181.8203125,9227.26953125,9181.8203125,9181.8203125,52734
2018-11-19,9090.91015625,9181.8203125,9090.91015625,9181.8203125,43571
2018-11-20,9272.73046875,9454.5498046875,9090.91015625,9090.91015625,331947
2018-11-21,9227.26953125,9363.6396484375,9227.26953125,9272.73046875,93335
2018-11-23,9090.91015625,9136.3603515625,9072.73046875,9136.3603515625,83281
2018-11-26,9090.91015625,9090.91015625,9072.73046875,9090.91015625,50149
2018-11-27,9090.91015625,9136.3603515625,9090.91015625,9090.91015625,10725
2018-11-28,9090.91015625,9090.91015625,9081.8203125,9090.91015625,9185
2018-11-29,9090.91015625,9090.91015625,9081.8203125,9090.91015625,12155
2018-11-30,9090.91015625,9136.3603515625,9090.91015625,9090.91015625,28017
2018-12-03,9090.91015625,9090.91015625,9090.91015625,9090.91015625,19481
2018-12-04,9090.91015625,9090.91015625,9081.8203125,9090.91015625,7557
2018-12-06,9090.91015625,9136.3603515625,9090.91015625,9136.3603515625,25542
2018-12-07,9090.91015625,9090.91015625,9090.91015625,9090.91015625,12958
2018-12-10,9090.91015625,9136.3603515625,9081.8203125,9081.8203125,17105
2018-12-11,9090.91015625,9090.91015625,9072.73046875,9090.91015625,15334
2018-12-12,9090.91015625,9090.91015625,9090.91015625,9090.91015625,2365
2018-12-13,9090.91015625,9090.91015625,9081.8203125,9090.91015625,735207
2018-12-14,9090.91015625,9090.91015625,9072.73046875,9081.8203125,6963
2018-12-17,9090.91015625,9090.91015625,9063.6396484375,9090.91015625,61127
2018-12-18,9090.91015625,9090.91015625,9063.6396484375,9072.73046875,752928
2018-12-19,9227.26953125,9272.73046875,9054.5498046875,9081.8203125,248270
2018-12-20,9863.6396484375,9863.6396484375,9227.26953125,9227.26953125,1410673
2018-12-21,10363.599609375,10545.5,9863.6396484375,9909.08984375,1530353
2018-12-24,10181.7998046875,10454.5,10090.900390625,10318.2001953125,514470
2018-12-26,9136.3603515625,9409.08984375,8836.3603515625,8836.3603515625,859716
2018-12-27,9181.8203125,9181.8203125,9036.3603515625,9081.8203125,99275
2018-12-28,9181.8203125,9181.8203125,9181.8203125,9181.8203125,0
2018-12-31,9181.8203125,9181.8203125,9181.8203125,9181.8203125,0
2019-01-02,9090.91015625,9136.3603515625,9072.73046875,9090.91015625,117150
2019-01-03,9090.91015625,9181.8203125,9081.8203125,9090.91015625,99737
2019-01-04,9090.91015625,9090.91015625,9072.73046875,9090.91015625,56441
2019-01-07,9181.8203125,9181.8203125,9090.91015625,9090.91015625,83666
2019-01-08,9090.91015625,9227.26953125,9081.8203125,9181.8203125,102058
2019-01-09,9181.8203125,9181.8203125,9081.8203125,9090.91015625,125895
2019-01-10,9090.91015625,9136.3603515625,9081.8203125,9136.3603515625,96393
2019-01-11,9136.3603515625,9136.3603515625,9090.91015625,9090.91015625,94193
2019-01-14,9090.91015625,9136.3603515625,9090.91015625,9136.3603515625,111353
2019-01-15,9181.8203125,9227.26953125,9081.8203125,9090.91015625,115082
2019-01-16,9090.91015625,9181.8203125,9081.8203125,9181.8203125,100353
2019-01-17,9136.3603515625,9227.26953125,9090.91015625,9090.91015625,110000
2019-01-18,9090.91015625,9181.8203125,9090.91015625,9136.3603515625,112387
2019-01-22,9090.91015625,9181.8203125,9090.91015625,9181.8203125,95865
2019-01-23,9090.91015625,9181.8203125,9090.91015625,9136.3603515625,86295
2019-01-24,9136.3603515625,9136.3603515625,9090.91015625,9090.91015625,110165
2019-01-25,9090.91015625,9136.3603515625,9090.91015625,9136.3603515625,113894
2019-01-28,9090.91015625,9136.3603515625,9090.91015625,9090.91015625,112618
2019-01-29,9090.91015625,9090.91015625,9081.8203125,9090.91015625,121847
2019-01-30,9136.3603515625,9136.3603515625,9081.8203125,9081.8203125,106458
2019-01-31,9272.73046875,9272.73046875,9090.91015625,9136.3603515625,153351
2019-02-01,9318.1796875,9318.1796875,9272.73046875,9272.73046875,89837
2019-02-04,9318.1796875,9318.1796875,9318.1796875,9318.1796875,0
2019-02-05,9318.1796875,9318.1796875,9318.1796875,9318.1796875,0
2019-02-06,9318.1796875,9318.1796875,9318.1796875,9318.1796875,0
2019-02-07,9318.1796875,9318.1796875,9318.1796875,9318.1796875,0
2019-02-08,9318.1796875,9318.1796875,9318.1796875,9318.1796875,0
2019-02-11,9363.6396484375,9409.08984375,9318.1796875,9318.1796875,83941
2019-02-12,9318.1796875,9409.08984375,9227.26953125,9363.6396484375,141328
2019-02-13,9363.6396484375,9409.08984375,9318.1796875,9318.1796875,109296
2019-02-14,9681.8203125,9727.26953125,9318.1796875,9318.1796875,286979
2019-02-15,9818.1796875,10000.0,9636.3603515625,9636.3603515625,329615
