Price,Close,High,Low,Open,Volume
Ticker,MSH.VN,MSH.VN,MSH.VN,MSH.VN,MSH.VN
Date,,,,,
2018-11-28,17126.15234375,17126.15234375,16491.850559951465,16491.850559951465,822396
2018-11-29,17760.455078125,18299.61252913498,17760.455078125,18299.61252913498,216089
2018-11-30,17411.587890625,17823.883833326432,17379.87217484959,17823.883833326432,317384
2018-12-03,16650.42578125,17348.157580040486,16238.128451301262,17348.157580040486,525689
2018-12-04,16682.140625,16840.716418888063,16618.710586190744,16809.000702618516,305774
2018-12-05,15952.6923828125,16713.855602331394,15524.53859448179,16682.139887464033,598544
2018-12-06,15857.5478515625,15952.692207660391,15540.396281290154,15952.692207660391,241581
2018-12-07,15952.6923828125,16174.698205694696,15857.548025669974,16174.698205694696,99989
2018-12-10,15920.9775390625,16016.12328681161,15508.681621699248,15952.691859159046,213299
2018-12-11,14303.5087890625,15381.820804664563,13954.64149727384,15381.820804664563,106514
2018-12-12,13574.060546875,14588.943864978306,13320.339020484314,14018.072172761413,303344
2018-12-13,13320.33984375,13637.491422907531,13161.765447901038,13574.061385821986,409971
2018-12-14,12622.607421875,13320.339189263172,12432.317319968151,13050.761196462705,220476
2018-12-17,12749.46875,13098.334668176803,12368.88850856887,12622.608669522955,65767
2018-12-18,13463.0576171875,13478.915474704718,12432.3177845152,12432.3177845152,75847
2018-12-19,13320.33984375,13478.915633328765,13304.483379775966,13478.915633328765,41534
2018-12-20,13145.908203125,13288.62614165415,12781.18442758052,12971.474547709431,119406
2018-12-21,13272.767578125,13320.339757197597,12448.17570764111,13209.337541451609,69164
2018-12-24,13161.7666015625,13478.916814789229,12876.330712793482,12876.330712793482,43874
2018-12-25,12686.0390625,13003.19066624096,12559.17897849558,13003.19066624096,82417
2018-12-26,13003.189453125,13003.189453125,12686.03787897229,12686.03787897229,41084
2018-12-27,13003.189453125,13161.765240201354,12781.18362996406,13161.765240201354,69277
2018-12-28,13003.189453125,13145.907382747762,12717.753593879475,13003.189453125,60254
2019-01-02,13003.189453125,13114.19166784058,12971.473738217815,13003.189453125,43536
2019-01-03,13003.189453125,13098.333810386988,12686.03787897229,13034.903774302402,104376
2019-01-04,13003.189453125,13114.19166784058,12781.18362996406,12781.18362996406,68557
2019-01-07,12939.759765625,13003.18980341833,12844.614012070097,13003.18980341833,22949
2019-01-08,13003.189453125,13114.19166784058,13003.189453125,13114.19166784058,50759
2019-01-09,12955.6171875,13003.190764659166,12908.045004070758,13003.190764659166,96412
2019-01-10,12939.759765625,13003.18980341833,12939.759765625,13003.18980341833,33321
2019-01-11,12908.0439453125,12939.759660817188,12844.613908032934,12939.759660817188,41376
2019-01-14,13637.490234375,13764.350297490002,12939.75849351281,12955.614956104924,222074
2019-01-15,14525.513671875,14588.9451041578,13352.055868050384,13352.055868050384,264419
2019-01-16,14588.9443359375,15064.670296899025,14430.368551040405,14588.9443359375,82147
2019-01-17,14208.36328125,14588.944900997796,14208.36328125,14588.944900997796,76364
2019-01-18,14049.787109375,14144.932860165369,13669.205499943317,14144.932860165369,42186
2019-01-21,14366.9384765625,14366.938476562502,14018.072586980205,14113.21694267462,36246
2019-01-22,14430.369140625,14541.371358350349,13954.64176649682,13954.64176649682,266602
2019-01-23,14414.51171875,14525.513939832932,14271.793780940594,14525.513939832932,108494
2019-01-24,14271.79296875,14430.368755898284,14081.502860409926,14414.510898437498,71932
