Price,Close,High,Low,Open,Volume
Ticker,NAF.VN,NAF.VN,NAF.VN,NAF.VN,NAF.VN
Date,,,,,
2017-01-03,19723.95703125,19723.95703125,19475.07421875,19537.294921875,191639
2017-01-04,19723.95703125,19910.619140625,19661.736328125,19661.736328125,210603
2017-01-05,19661.736328125,19786.177734375,19599.515625,19723.95703125,192346
2017-01-06,19599.515625,19661.736328125,19537.294921875,19661.736328125,189099
2017-01-09,19661.736328125,19723.95703125,19537.294921875,19599.515625,185900
2017-01-10,19599.515625,19661.736328125,19475.07421875,19661.736328125,183282
2017-01-11,19723.95703125,19786.177734375,19537.294921875,19661.736328125,178829
2017-01-12,19599.515625,19723.95703125,19537.294921875,19723.95703125,175904
2017-01-13,19537.294921875,19630.626953125,19475.07421875,19599.515625,169008
2017-01-16,19412.853515625,19537.294921875,19319.5234375,19537.294921875,186303
2017-01-17,19475.07421875,19661.736328125,19412.853515625,19412.853515625,178202
2017-01-18,19350.634765625,19475.07421875,19288.4140625,19475.07421875,171517
2017-01-19,19163.97265625,19350.634765625,19101.751953125,19350.634765625,165988
2017-01-20,19226.193359375,19288.4140625,19101.751953125,19101.751953125,161920
2017-01-23,19101.751953125,19288.4140625,19039.53125,19226.193359375,155364
2017-01-24,19039.53125,19163.97265625,18946.19921875,19101.751953125,169988
2017-01-25,19039.53125,19101.751953125,18852.869140625,19101.751953125,165328
2017-02-03,19101.751953125,19288.4140625,19039.53125,19101.751953125,165795
2017-02-06,19350.634765625,19412.853515625,19101.751953125,19101.751953125,215296
2017-02-07,19381.744140625,19537.294921875,19350.634765625,19350.634765625,155862
2017-02-08,19350.634765625,19412.853515625,19288.4140625,19350.634765625,166727
2017-02-09,19350.634765625,19475.07421875,19226.193359375,19350.634765625,167467
2017-02-10,19412.853515625,19537.294921875,19288.4140625,19350.634765625,191911
2017-02-13,19475.07421875,19537.294921875,19350.634765625,19350.634765625,176081
2017-02-14,19412.853515625,19475.07421875,19288.4140625,19350.634765625,170182
2017-02-15,19350.634765625,19412.853515625,19288.4140625,19412.853515625,161407
2017-02-16,19226.193359375,19412.853515625,19226.193359375,19350.634765625,162420
2017-02-17,19101.751953125,19226.193359375,19070.640625,19163.97265625,173123
2017-02-20,19132.861328125,19132.861328125,18977.310546875,19101.751953125,184727
2017-02-21,19163.97265625,19288.4140625,19101.751953125,19132.861328125,160635
2017-02-22,19039.53125,19226.193359375,19039.53125,19163.97265625,197970
2017-02-23,19039.53125,19132.861328125,18883.978515625,19039.53125,169988
2017-02-24,18915.08984375,19101.751953125,18852.869140625,19039.53125,177833
2017-02-27,18977.310546875,18977.310546875,18728.427734375,18946.19921875,182703
2017-02-28,18883.978515625,19101.751953125,18852.869140625,18977.310546875,183056
2017-03-01,18790.6484375,18977.310546875,18728.427734375,18883.978515625,156955
2017-03-02,18790.6484375,18915.08984375,18728.427734375,18790.6484375,163464
2017-03-03,18821.7578125,18852.869140625,18666.20703125,18790.6484375,178796
2017-03-06,18915.08984375,19039.53125,18821.7578125,18821.7578125,195110
2017-03-07,18915.08984375,18946.19921875,18728.427734375,18915.08984375,166695
2017-03-08,18946.19921875,18977.310546875,18790.6484375,18946.19921875,200010
2017-03-09,18915.08984375,18977.310546875,18790.6484375,18946.19921875,153661
2017-03-10,18790.6484375,18977.310546875,18728.427734375,18915.08984375,185353
2017-03-13,18728.427734375,18852.869140625,18666.20703125,18790.6484375,170214
2017-03-14,18790.6484375,18915.08984375,18728.427734375,18728.427734375,180853
2017-03-15,18790.6484375,18852.869140625,18666.20703125,18790.6484375,172046
2017-03-16,18852.869140625,18915.08984375,18697.31640625,18790.6484375,173253
2017-03-17,18852.869140625,18977.310546875,18728.427734375,18852.869140625,176611
2017-03-20,18883.978515625,18977.310546875,18790.6484375,18852.869140625,179504
2017-03-21,18883.978515625,18977.310546875,18790.6484375,18883.978515625,178588
2017-03-22,18883.978515625,18977.310546875,18852.869140625,18883.978515625,218703
2017-03-23,18915.08984375,19039.53125,18915.08984375,18915.08984375,192393
2017-03-24,18852.869140625,19039.53125,18790.6484375,18977.310546875,189195
2017-03-27,18852.869140625,18977.310546875,18790.6484375,18852.869140625,198903
2017-03-28,18728.427734375,18977.310546875,18666.20703125,18852.869140625,189004
2017-03-29,18728.427734375,18852.869140625,18666.20703125,18759.537109375,177478
2017-03-30,18790.6484375,18915.08984375,18759.537109375,18790.6484375,179631
2017-03-31,18666.20703125,18852.869140625,18635.095703125,18821.7578125,183650
2017-04-03,18666.20703125,18790.6484375,18603.986328125,18728.427734375,192539
2017-04-04,18728.427734375,18790.6484375,18603.986328125,18728.427734375,176210
2017-04-05,18603.986328125,18790.6484375,18541.765625,18728.427734375,184229
2017-04-07,18635.095703125,18666.20703125,18510.654296875,18666.20703125,146138
2017-04-10,18728.427734375,18790.6484375,18635.095703125,18635.095703125,197070
2017-04-11,18915.08984375,18977.310546875,18759.537109375,18759.537109375,174893
2017-04-12,19163.97265625,19163.97265625,19163.97265625,19163.97265625,48373
2017-04-13,19226.193359375,19226.193359375,19163.97265625,19163.97265625,93407
2017-04-14,18915.08984375,19226.193359375,18666.20703125,19226.193359375,171870
2017-04-17,18728.427734375,18977.310546875,18666.20703125,18915.08984375,163400
2017-04-18,18355.103515625,18728.427734375,18355.103515625,18728.427734375,18674
2017-04-19,17981.779296875,18355.103515625,17981.779296875,18355.103515625,72803
2017-04-20,17732.896484375,18044.0,17732.896484375,17981.779296875,35357
2017-04-21,17328.4609375,17732.896484375,17297.3515625,17732.896484375,22770
2017-04-24,17048.46875,17328.4609375,16519.591796875,16519.591796875,32896
2017-04-25,16799.5859375,17048.46875,16612.923828125,17048.46875,45707
2017-04-26,17172.91015625,17235.130859375,16799.5859375,16861.806640625,206071
2017-04-27,17235.130859375,17297.3515625,16861.806640625,17172.91015625,158931
2017-04-28,17172.91015625,17297.3515625,16986.248046875,17110.689453125,152598
2017-05-03,17359.572265625,17421.79296875,17172.91015625,17172.91015625,163367
2017-05-04,17421.79296875,17608.455078125,17297.3515625,17421.79296875,147538
