Price,Close,High,Low,Open,Volume
Ticker,NCT.VN,NCT.VN,NCT.VN,NCT.VN,NCT.VN
Date,,,,,
2023-07-17,77078.921875,78854.56196007854,77078.921875,77482.47643979058,14200
2023-07-19,77886.03125,79015.98403497408,77240.34394430052,78935.27312176165,21000
2023-07-20,77482.4765625,77886.03112792969,76675.36743164062,77886.03112792969,14600
2023-07-21,77805.3203125,77886.03122568724,76756.07844106587,77886.03122568724,19700
2023-07-24,78289.5859375,78693.14050418814,77886.03137081185,78693.14050418814,56400
2023-07-26,78773.859375,79177.41398245389,78773.859375,79096.70306096312,66900
2023-07-28,77923.1640625,79114.12945210154,74860.68163209608,79114.12945210154,19700
2023-08-03,76562.0625,76562.0625,75711.37291666666,76562.0625,3600
2023-08-04,76562.0625,76562.0625,75711.37291666666,76562.0625,2700
2023-08-07,77327.6796875,77497.8175966034,75711.3695510176,77412.74864205171,2000
2023-08-08,77753.0234375,78263.43715809628,76562.05808944201,77838.09239093271,3900
2023-08-09,76136.71875,78263.44273743017,76136.71875,76562.06354748603,7100
2023-08-10,77412.7421875,77753.01797733517,76136.70797561813,76136.70797561813,4200
2023-08-11,76987.3984375,76987.3984375,74860.6747237569,76221.77790055248,3800
2023-08-14,74860.671875,76732.188671875,74860.671875,76562.05078125,14400
2023-08-15,75371.09375,75371.09375,75030.81793171557,75030.81793171557,1500
2023-08-16,75541.234375,76136.71707840654,75541.234375,76136.71707840654,1900
2023-08-17,75541.234375,76562.06186655405,75286.02750211148,75626.30333262951,4000
2023-08-18,74860.671875,75371.085546875,74435.3271484375,75371.085546875,3700
2023-08-21,74265.1953125,75711.36750071593,73159.29893327606,73159.29893327606,7500
2023-08-22,75711.3671875,75711.3671875,74095.05710147471,74265.19500526685,4000
2023-08-23,75286.0234375,75286.0234375,73669.71332980225,73669.71332980225,8400
2023-08-24,75115.8828125,75541.22756228766,75115.8828125,75286.02071241506,3700
2023-08-25,75286.0234375,75541.23029661017,75286.0234375,75456.16134357345,2700
