Price,Close,High,Low,Open,Volume
Ticker,NHH.VN,NHH.VN,NHH.VN,NHH.VN,NHH.VN
Date,,,,,
2023-07-17,15766.8447265625,15766.8447265625,15280.21371648341,15377.539918499227,394700
2023-07-19,15280.2138671875,15620.855577602508,15280.2138671875,15572.19247611465,176000
2023-07-20,15426.203125,15474.866226340691,14939.57211159306,15280.213820977917,228700
2023-07-21,15426.203125,15718.181733044165,15426.203125,15523.529327681386,276200
2023-07-24,15912.833984375,15961.497085244648,15474.866076548164,15523.529177417811,360900
2023-07-26,16350.8017578125,16448.12795875186,15864.1707531157,16302.13865734282,341700
2023-07-28,15572.1923828125,16156.149597167969,15572.1923828125,16156.149597167969,436600
2023-08-03,15085.5615234375,15426.203235257057,15085.5615234375,15377.54013356855,202700
2023-08-04,15280.2138671875,15280.2138671875,14988.23525826035,15182.887664211785,295600
2023-08-07,15280.2138671875,15377.540070163215,15182.887664211785,15377.540070163215,282900
2023-08-08,15572.1923828125,15669.518585205078,15231.550674438477,15280.213775634766,463200
2023-08-09,16107.486328125,16253.475630192595,15572.192220543806,15669.518421922205,647000
2023-08-10,15572.1923828125,16350.802001953123,15572.1923828125,16204.812698364258,353100
2023-08-11,15377.5400390625,15766.844850178006,15182.887633504746,15766.844850178006,254700
2023-08-14,15474.8662109375,15669.518616106525,15377.540008352988,15474.8662109375,320200
2023-08-15,15523.529296875,15718.18170185149,15328.876891898512,15718.18170185149,245800
2023-08-16,15280.2138671875,15474.866273138932,15036.898359748207,15328.87696867536,471600
2023-08-17,14842.24609375,15280.214011270493,14842.24609375,15280.214011270493,339000
2023-08-18,13820.3203125,14793.582306338029,13820.3203125,14793.582306338029,1140900
2023-08-21,13722.994140625,14258.288238308953,13577.004841256648,13820.3203402039,259100
2023-08-22,13771.6572265625,14014.972725265015,13431.015528378975,14014.972725265015,158500
2023-08-23,14501.603515625,14696.255911807886,13771.657029939175,13820.320128984898,733500
2023-08-24,14647.59375,14696.25685215947,14355.61513704319,14696.25685215947,213800
2023-08-25,14501.603515625,14696.255911807886,14355.614218487835,14647.592812762165,229200
2023-08-28,14452.9404296875,14598.92972695707,14306.95113241793,14306.95113241793,124700
2023-08-29,14209.625,14598.929794520547,14209.625,14452.940496575342,267900
2023-08-30,14258.2880859375,14306.951185206912,14112.298788129268,14209.624986668088,97300
2023-08-31,14306.951171875,14598.929767219388,14209.624973426871,14306.951171875,106500
2023-09-05,14550.2666015625,14793.582096571909,14258.288007551211,14598.929700564382,120500
2023-09-06,14598.9306640625,14647.59376627604,14404.278255208334,14550.267561848956,88100
2023-09-07,14550.2666015625,14744.918997570025,14501.60350256062,14744.918997570025,109000
2023-09-08,14452.9404296875,14696.255925136786,14404.277330597644,14696.255925136786,121900
2023-09-11,14306.951171875,14598.929767219388,14306.951171875,14598.929767219388,158900
2023-09-12,14209.625,14306.951198630137,14112.298801369863,14209.625,177600
2023-09-13,14014.97265625,14404.277452256943,14014.97265625,14404.277452256943,447000
2023-09-14,13868.9833984375,14209.625095942982,13868.9833984375,14014.97269736842,159300
2023-09-15,14112.298828125,14258.288126346984,13820.320231681037,14258.288126346984,72300
2023-09-18,14063.6357421875,14112.298841641436,13966.309543279627,14112.298841641436,57800
2023-09-19,14112.298828125,14209.625026939657,13917.64643049569,14160.961927532328,75300
2023-09-20,14112.298828125,14112.298828125,13917.64643049569,14112.298828125,77100
2023-09-21,14258.2880859375,14306.951185206912,14014.972589590445,14112.298788129268,114000
2023-09-22,14355.6142578125,14550.266654528605,14014.972563559322,14209.624960275423,231600
2023-09-25,14404.27734375,14988.234533361489,14112.298748944257,14306.951145481418,662100
2023-09-26,15134.224609375,15134.224609375,14306.951881531351,14306.951881531351,953600
2023-09-27,15182.8876953125,15572.19250801282,14890.90908578726,15134.22459372496,465900
2023-09-28,15182.8876953125,15572.19250801282,14988.23528896234,15231.55079690004,331500
2023-09-29,16204.8125,16204.8125,15328.87668918919,15474.865990990991,1341000
2023-10-02,16253.4755859375,16691.443490947793,16107.486284267405,16253.4755859375,855600
2023-10-03,16253.4755859375,16545.454189277694,15815.507680927209,16253.4755859375,797400
