Price,Close,High,Low,Open,Volume
Ticker,NO1.VN,NO1.VN,NO1.VN,NO1.VN,NO1.VN
Date,,,,,
2023-07-17,6030.91357421875,6580.692988443111,6030.91357421875,6330.793254704765,33100
2023-07-19,6247.49365234375,6247.49365234375,6239.163660807291,6247.49365234375,568800
2023-07-20,6497.39306640625,6497.39306640625,6489.063075295473,6489.063075295473,3023200
2023-07-21,6614.0126953125,6622.342686112642,6330.793008107683,6497.392824110517,11400
2023-07-24,6663.9931640625,6938.882882080078,6663.9931640625,6938.882882080078,3000
2023-07-26,6663.9931640625,6663.9931640625,6497.393334960938,6497.393334960938,700
2023-07-28,6980.53271484375,7005.522688763238,6980.53271484375,7005.522688763238,900
2023-08-03,6997.19287109375,6997.19287109375,6988.862879580543,6988.862879580543,200
2023-08-07,7080.4921875,7238.762012867647,6589.022729779412,7238.762012867647,2900
2023-08-09,6747.29296875,6863.912847222222,6747.29296875,6747.29296875,1700
2023-08-10,6905.56298828125,6905.56298828125,6905.56298828125,6905.56298828125,10000
2023-08-11,6663.9931640625,6663.9931640625,6663.9931640625,6663.9931640625,200
2023-08-14,6830.59326171875,6830.59326171875,6663.9934260670725,6663.9934260670725,4100
2023-08-15,6863.91259765625,6863.91259765625,6522.3829659767525,6522.3829659767525,10100
2023-08-16,6863.91259765625,6863.91259765625,6863.91259765625,6863.91259765625,300
2023-08-17,6955.54296875,6980.532943488024,6855.583069797904,6855.583069797904,9700
2023-08-18,6555.703125,6564.033116264295,6555.703125,6564.033116264295,1300
2023-08-21,6189.18310546875,6505.72275285477,6189.18310546875,6489.062771413401,500
2023-08-22,5847.65380859375,6580.693032463052,5847.65380859375,6580.693032463052,10700
2023-08-23,6164.193359375,6164.193359375,5939.283601668075,5955.943583720439,3200
2023-08-24,6330.79345703125,6497.393284847862,6305.803482858758,6497.393284847862,600
2023-08-25,6422.4228515625,6447.412823747568,6422.4228515625,6447.412823747568,200
2023-08-28,6047.57373046875,6422.423341861441,6047.57373046875,6047.57373046875,1200
2023-08-29,6322.46337890625,6380.773317842145,6055.903658056448,6380.773317842145,4600
2023-08-30,6547.37353515625,6547.37353515625,5939.2841355806695,5997.594078005725,4400
2023-08-31,6580.69287109375,6830.592600375791,6580.69287109375,6822.262609399723,10200
2023-09-06,6663.9931640625,7038.842779541015,6239.163599853516,7038.842779541015,4400
