Price,Close,High,Low,Open,Volume
Ticker,NVL.VN,NVL.VN,NVL.VN,NVL.VN,NVL.VN
Date,,,,,
2023-07-17,15350.0,15500.0,15100.0,15300.0,36932900
2023-07-19,14700.0,15200.0,14650.0,15100.0,34688200
2023-07-20,14800.0,14900.0,14600.0,14700.0,16989300
2023-07-21,15150.0,15200.0,14700.0,14800.0,34690400
2023-07-24,16200.0,16200.0,15400.0,15400.0,95885900
2023-07-26,17200.0,17200.0,16050.0,16250.0,73230100
2023-07-28,18350.0,18900.0,17650.0,17850.0,70873800
2023-07-31,18850.0,18850.0,17700.0,18150.0,56594800
2023-08-03,18550.0,18600.0,18050.0,18350.0,42858100
2023-08-04,19800.0,19800.0,19050.0,19550.0,79621000
2023-08-07,20200.0,20700.0,19800.0,20300.0,44450400
2023-08-08,20350.0,20700.0,20050.0,20500.0,44248900
2023-08-09,19900.0,20300.0,19750.0,20050.0,44761900
2023-08-10,20600.0,21100.0,19900.0,19900.0,61799700
2023-08-11,20900.0,20950.0,20050.0,20850.0,39744200
2023-08-14,21250.0,21700.0,21050.0,21200.0,44641000
2023-08-15,20750.0,21400.0,20600.0,21300.0,49316100
2023-08-16,20650.0,20900.0,20300.0,20650.0,40987700
2023-08-17,20650.0,21150.0,20500.0,20500.0,40739600
2023-08-18,19250.0,20500.0,19250.0,20450.0,75767700
2023-08-21,18500.0,19100.0,18050.0,18800.0,46787500
2023-08-22,18500.0,18900.0,17300.0,18550.0,54528500
2023-08-23,18700.0,19250.0,18550.0,18800.0,29604600
2023-08-24,19800.0,19950.0,18550.0,18800.0,51397400
2023-08-25,19400.0,20000.0,19300.0,19800.0,52480100
2023-08-28,20000.0,20100.0,19350.0,19600.0,37690600
2023-08-29,20350.0,21050.0,20100.0,20200.0,40370200
2023-08-30,20050.0,20600.0,19500.0,20500.0,67187200
2023-08-31,20450.0,20500.0,20000.0,20100.0,38632500
2023-09-05,21400.0,21700.0,20800.0,20900.0,53905200
2023-09-06,21800.0,21800.0,21000.0,21300.0,46478830
2023-09-07,21600.0,22150.0,21500.0,22000.0,44511100
2023-09-08,22000.0,22250.0,21400.0,21600.0,52612200
2023-09-11,20500.0,22200.0,20500.0,22050.0,71691900
2023-09-12,20950.0,20950.0,19650.0,20150.0,57206800
2023-09-13,19950.0,21100.0,19500.0,21000.0,77131800
2023-09-14,18700.0,19800.0,18600.0,19600.0,77090000
2023-09-15,18900.0,19250.0,18650.0,19000.0,26801300
2023-09-18,18150.0,18900.0,18050.0,18900.0,28580800
2023-09-19,17300.0,18450.0,17050.0,18250.0,54722800
2023-09-20,18500.0,18500.0,16600.0,17200.0,40156600
2023-09-21,18200.0,19150.0,18000.0,18750.0,30129700
2023-09-22,17400.0,17800.0,16950.0,17700.0,36475900
2023-09-25,16200.0,17600.0,16200.0,17200.0,28116400
2023-09-26,15150.0,16500.0,15150.0,15800.0,33769800
2023-09-27,15500.0,15500.0,14500.0,15250.0,30498500
2023-09-28,15750.0,16050.0,15300.0,15500.0,20771800
2023-09-29,15600.0,16150.0,15550.0,16000.0,13595900
2023-10-02,15400.0,15850.0,15300.0,15600.0,14010700
2023-10-03,14350.0,15400.0,14350.0,15150.0,30018900
2023-10-04,14600.0,14900.0,13900.0,13900.0,17270700
2023-10-05,13800.0,14800.0,13800.0,14600.0,17102600
2023-10-06,13900.0,14000.0,13500.0,13800.0,16435000
2023-10-09,14350.0,14450.0,13900.0,14000.0,14220500
2023-10-10,14200.0,14750.0,14200.0,14500.0,15789700
