Price,Close,High,Low,Open,Volume
Ticker,NVT.VN,NVT.VN,NVT.VN,NVT.VN,NVT.VN
Date,,,,,
2023-07-17,8890.0,8950.0,8600.0,8730.0,12000
2023-07-19,8990.0,8990.0,8600.0,8880.0,5900
2023-07-20,8900.0,8900.0,8880.0,8880.0,1300
2023-07-21,8900.0,8950.0,8530.0,8950.0,12700
2023-07-24,8890.0,8890.0,8680.0,8710.0,11100
2023-07-26,8930.0,8950.0,8670.0,8930.0,10400
2023-07-28,9550.0,9550.0,8950.0,8950.0,77700
2023-08-03,9780.0,10400.0,9700.0,9800.0,31000
2023-08-04,9800.0,9980.0,9700.0,9710.0,49000
2023-08-07,9800.0,9810.0,9660.0,9800.0,56400
2023-08-08,9840.0,9840.0,9560.0,9800.0,25000
2023-08-09,9950.0,10000.0,9620.0,9620.0,29100
2023-08-10,10000.0,10500.0,9810.0,9810.0,360900
2023-08-11,10000.0,10350.0,9700.0,10350.0,14500
2023-08-14,10000.0,10300.0,9800.0,10000.0,38300
2023-08-15,10200.0,10300.0,10000.0,10300.0,59200
2023-08-16,10200.0,10250.0,10000.0,10250.0,29600
2023-08-17,9800.0,10200.0,9800.0,10050.0,34000
2023-08-18,9150.0,10100.0,9150.0,10000.0,25500
2023-08-21,8680.0,9350.0,8520.0,8550.0,26300
2023-08-22,8710.0,8890.0,8300.0,8680.0,47400
2023-08-23,8550.0,8950.0,8500.0,8500.0,18200
2023-08-24,8760.0,8770.0,8500.0,8550.0,6100
2023-08-25,8640.0,8800.0,8560.0,8760.0,21700
2023-08-28,8650.0,8800.0,8620.0,8640.0,4800
2023-08-29,8660.0,8870.0,8660.0,8800.0,15500
2023-08-30,8850.0,8870.0,8660.0,8800.0,10600
2023-08-31,8900.0,9000.0,8710.0,8800.0,17600
2023-09-05,8900.0,9000.0,8670.0,8900.0,21900
2023-09-06,9000.0,9200.0,8800.0,8800.0,6600
2023-09-07,8850.0,9100.0,8850.0,8950.0,8900
2023-09-08,8780.0,9000.0,8770.0,8810.0,17200
2023-09-11,8630.0,8900.0,8630.0,8800.0,33300
2023-09-12,8790.0,8800.0,8600.0,8700.0,19400
2023-09-13,8850.0,8850.0,8680.0,8790.0,7300
2023-09-14,8630.0,8710.0,8600.0,8710.0,7100
2023-09-15,8700.0,8800.0,8550.0,8800.0,7400
2023-09-18,8500.0,8700.0,8250.0,8700.0,14600
2023-09-19,8690.0,8700.0,8420.0,8700.0,4800
2023-09-20,8870.0,8870.0,8610.0,8610.0,4300
2023-09-21,8990.0,9300.0,8720.0,9300.0,2500
2023-09-22,8600.0,8810.0,8500.0,8810.0,8600
2023-09-25,8490.0,8520.0,8490.0,8520.0,2000
2023-09-26,8410.0,8490.0,8410.0,8490.0,3700
2023-09-27,8400.0,8400.0,8000.0,8000.0,3200
2023-09-28,8400.0,8400.0,8340.0,8350.0,2300
2023-09-29,8400.0,8500.0,7820.0,8210.0,7200
2023-10-02,8800.0,8850.0,8400.0,8400.0,898200
2023-10-03,8190.0,8220.0,8190.0,8220.0,13800
2023-10-04,8540.0,8600.0,8000.0,8600.0,8600
2023-10-05,8390.0,8540.0,8150.0,8480.0,1000
