Price,Close,High,Low,Open,Volume
Ticker,PGD.VN,PGD.VN,PGD.VN,PGD.VN,PGD.VN
Date,,,,,
2017-01-03,29681.380859375,29681.380859375004,28816.14533914329,28891.38096150662,11593
2017-01-04,28891.3828125,29493.2872272591,28590.430605120448,28590.430605120448,505
2017-01-05,28891.3828125,29117.09615981419,28590.430605120448,28891.3828125,403853
2017-01-06,30095.19140625,30095.19140625,28891.38258616253,28891.38258616253,177121
2017-01-09,29982.333984375,30095.19065432827,29982.333984375,30057.572841971105,115774
2017-01-11,29568.5234375,29681.38010104329,28590.42804294937,29305.189067311265,177902
2017-01-12,29794.23828125,30019.951619826425,29568.52494267358,30019.951619826425,124640
2017-01-13,29643.76171875,29643.76171875,28966.61851767635,29493.28401500851,146244
2017-01-16,29606.140625,29606.140625,29267.57064149144,29267.57064149144,203565
2017-01-17,29342.8125,29568.525845467964,29267.573640550057,29568.525845467964,131779
2017-01-18,29718.998046875,30772.32906667323,28816.144734408863,30019.95022865758,239029
2017-01-19,30095.19140625,30095.19140625,29719.0003417522,29719.0003417522,21
2017-01-20,29718.998046875,29718.998046875,29342.81024430798,29342.81024430798,153
2017-01-23,29342.8125,30095.191395853835,28966.621435632154,30019.952536403893,31184
2017-01-24,29267.57421875,29267.57421875,29267.57421875,29267.57421875,1319
2017-01-25,30019.951171875,30019.951171875,30019.951171875,30019.951171875,10
2017-02-03,29944.712890625,30471.381660062743,29418.04735406903,29568.52506901746,515723
2017-02-06,29869.478515625,30245.66635297039,28590.430816581327,30170.430725230457,144671
2017-02-07,29869.478515625,29907.096329494965,29267.57409641408,29907.096329494965,72159
2017-02-08,29643.76171875,29681.379528244608,29342.80954414855,29568.52286687925,120779
2017-02-09,29606.140625,29606.140625,29041.857319152405,29041.857319152405,5158
2017-02-10,29606.140625,30019.949460248747,28703.28410276232,29606.140625,107051
2017-02-13,29718.998046875,29718.998046875,29568.52357242452,29568.52357242452,55219
2017-02-14,29568.5234375,29718.99791126385,29342.810110413426,29718.99791126385,462615
2017-02-15,29530.90625,29681.38397629205,29493.28843486799,29530.90625,364110
2017-02-16,29530.90625,29606.145113146027,29342.813941457945,29568.52729801402,215709
2017-02-17,29606.140625,29606.140625,29530.90177325981,29606.140625,114399
2017-02-20,29568.5234375,29643.762290822724,27988.52691501236,27988.52691501236,110978
2017-02-21,29342.8125,29643.764704917903,29342.8125,29568.525845467964,214202
2017-02-22,29342.8125,29342.8125,29041.860295082093,29267.573640550057,6940
2017-02-23,29342.8125,30019.952536403893,28891.38257618221,29305.1914538341,2694
2017-02-24,29342.8125,29342.8125,28966.621435632154,28966.621435632154,3629
2017-02-27,30019.951171875,30019.951171875,28439.95459253466,28439.95459253466,2210
2017-02-28,28628.048828125,29192.33214075749,28590.42778536179,28778.523300533143,16499
2017-03-01,29568.5234375,29718.99791126385,28515.19242250824,28515.19242250824,6423
2017-03-02,28966.62109375,29568.52549648176,28515.19440814209,28515.19440814209,106149
2017-03-03,29041.861328125,29342.813543748023,28289.479172626456,28289.479172626456,63260
2017-03-06,28966.62109375,29041.859952311926,28214.242206776213,28929.003280909947,43724
2017-03-07,28966.62109375,28966.62109375,28590.4300338222,28853.764422348024,20382
2017-03-08,28966.62109375,29342.812153677805,28590.4300338222,28590.4300338222,4278
2017-03-09,29305.19140625,29305.19140625,28289.47812041156,28289.47812041156,14310
2017-03-10,28590.427734375,29718.997590508912,28364.71440972453,28364.71440972453,73952
2017-03-13,29907.095703125,29907.095703125,29907.095703125,29907.095703125,21
2017-03-14,29117.095703125,29719.00010844349,28590.43015669178,28891.382359351024,1748
2017-03-15,29718.998046875,29718.998046875,28590.428173410724,29117.09368330984,117776
2017-03-16,29342.8125,29342.8125,28590.430371264305,28590.430371264305,560
2017-03-20,29643.76171875,29681.379528244608,28402.335210849586,29681.379528244608,32
2017-03-21,29606.140625,29606.140625,28364.714119253764,28590.4274415928,2771
2017-03-22,28740.908203125,29606.143775113465,27537.09937872203,29568.52596168157,133418
2017-03-23,29718.998046875,29718.998046875,28816.144734408863,28816.144734408863,188033
2017-03-24,29643.76171875,29681.379528244608,28966.61851767635,28966.61851767635,145210
2017-03-27,29606.140625,29606.140625,29530.90177325981,29530.90177325981,110032
2017-03-28,29418.048828125,29719.00104021996,28665.66991432855,28665.66991432855,85601
2017-03-29,29530.90625,29530.90625,28590.43177576168,28590.43177576168,41249
2017-03-30,28966.62109375,29342.812153677805,28590.4300338222,28628.051079544068,4509
2017-03-31,29342.8125,29606.143658752004,28740.908090164183,29606.143658752004,68397
2017-04-03,29267.57421875,29606.144243640618,28590.430936086843,29455.66975464988,75943
2017-04-04,29267.57421875,29267.57421875,29192.335357813667,29192.335357813667,439
2017-04-05,29117.095703125,29418.04790578425,28966.62121823629,29117.095703125,11032
2017-04-07,29117.095703125,29342.81227978081,28665.66901557705,28703.286828578766,94764
2017-04-10,29117.095703125,29831.85678033048,27160.911235162657,27160.911235162657,10086
2017-04-11,29681.380859375,30772.329712460058,28966.619816751627,28966.619816751627,39203
2017-04-12,30320.904296875,30396.14315522208,29418.047695355446,29418.047695355446,46496
2017-04-13,30697.095703125,30772.33132944171,30358.52245317243,30358.52245317243,54471
2017-04-14,30621.857421875,30847.570770848863,28628.05186209663,28628.05186209663,13639
2017-04-17,30847.5703125,31223.76137712141,30095.19141613904,30998.04803150131,56770
2017-04-18,31449.474609375,31599.94909495203,30847.57020130318,31223.76126456853,13716
2017-04-19,32728.515625,32728.515625,31788.041298191616,31788.041298191616,76020
2017-04-20,32728.515625,34458.98980879529,32201.850131302566,34458.98980879529,13562
2017-04-21,33029.46875,33857.08644008803,31976.137732230072,33857.08644008803,21064
2017-04-24,33255.18359375,33480.90016460368,32352.33024186229,33480.90016460368,58882
