Price,Close,High,Low,Open,Volume
Ticker,PTC.VN,PTC.VN,PTC.VN,PTC.VN,PTC.VN
Date,,,,,
2023-07-17,7650.0,8000.0,7600.0,7650.0,161800
2023-07-19,7880.0,8000.0,7600.0,7670.0,193800
2023-07-20,8240.0,8400.0,8020.0,8020.0,206500
2023-07-21,8190.0,8650.0,7800.0,8650.0,137300
2023-07-24,7980.0,8380.0,7890.0,7950.0,178400
2023-07-26,7970.0,8050.0,7800.0,7800.0,60400
2023-07-28,7970.0,8000.0,7910.0,8000.0,93100
2023-08-03,7560.0,7800.0,7530.0,7530.0,66700
2023-08-04,7570.0,7690.0,7440.0,7560.0,112300
2023-08-07,7520.0,7750.0,7500.0,7730.0,114800
2023-08-08,7520.0,7650.0,7490.0,7530.0,198600
2023-08-09,7720.0,8000.0,7530.0,7530.0,396000
2023-08-10,7920.0,8200.0,7720.0,7720.0,820700
2023-08-11,7830.0,8200.0,7650.0,8000.0,355400
2023-08-14,7620.0,8100.0,7580.0,7830.0,519200
2023-08-15,7680.0,7750.0,7550.0,7630.0,277700
2023-08-16,7550.0,7760.0,7540.0,7680.0,219400
2023-08-17,7440.0,7550.0,7400.0,7540.0,392100
2023-08-18,6920.0,7500.0,6920.0,7350.0,561800
2023-08-21,6620.0,6900.0,6500.0,6900.0,209000
2023-08-22,6600.0,6950.0,6500.0,6520.0,108600
2023-08-23,6640.0,6990.0,6550.0,6710.0,68100
2023-08-24,6900.0,6900.0,6520.0,6520.0,49400
2023-08-25,6720.0,6950.0,6610.0,6950.0,84700
2023-08-28,6600.0,7000.0,6500.0,7000.0,111700
2023-08-29,6650.0,6750.0,6600.0,6620.0,65200
2023-08-30,6730.0,6800.0,6570.0,6580.0,147500
2023-08-31,6830.0,6870.0,6660.0,6870.0,75200
2023-09-05,7080.0,7250.0,6700.0,6840.0,122100
2023-09-06,7050.0,7080.0,6800.0,7000.0,28600
2023-09-07,6970.0,7200.0,6900.0,7100.0,77200
2023-09-08,7070.0,7150.0,6820.0,6970.0,73900
2023-09-11,6700.0,7070.0,6700.0,7070.0,121300
2023-09-12,6700.0,6830.0,6400.0,6700.0,139300
2023-09-13,6610.0,6900.0,6540.0,6710.0,146900
2023-09-14,6790.0,6800.0,6520.0,6530.0,85100
2023-09-15,6770.0,6890.0,6570.0,6790.0,27800
2023-09-18,6680.0,6770.0,6470.0,6580.0,69200
2023-09-19,6660.0,6700.0,6560.0,6680.0,82700
2023-09-20,6700.0,6990.0,6470.0,6470.0,81100
2023-09-21,6590.0,6970.0,6590.0,6900.0,64800
2023-09-22,6400.0,6590.0,6260.0,6430.0,64400
2023-09-25,5960.0,6680.0,5960.0,6350.0,139300
2023-09-26,5800.0,6140.0,5700.0,5700.0,40700
2023-09-27,5790.0,6000.0,5500.0,5800.0,65200
2023-09-28,5730.0,5790.0,5430.0,5430.0,91700
2023-09-29,5670.0,5800.0,5600.0,5700.0,41000
2023-10-02,5600.0,5780.0,5470.0,5780.0,37700
2023-10-03,5210.0,5610.0,5210.0,5610.0,61700
2023-10-04,5320.0,5450.0,4850.0,5210.0,42900
2023-10-05,5500.0,5590.0,5250.0,5590.0,28400
2023-10-06,5580.0,5600.0,5350.0,5510.0,34200
2023-10-09,5970.0,5970.0,5630.0,5630.0,125300
2023-10-10,6200.0,6210.0,6150.0,6210.0,59500
2023-10-11,6100.0,6290.0,6010.0,6250.0,60300
2023-10-12,6100.0,6240.0,6000.0,6240.0,57200
2023-10-13,6100.0,6200.0,6090.0,6090.0,34800
2023-10-16,6040.0,6170.0,5910.0,6150.0,42500
2023-10-17,5950.0,6050.0,5950.0,6000.0,51200
2023-10-18,5900.0,6140.0,5870.0,5900.0,84900
2023-10-19,6020.0,6020.0,5800.0,5860.0,66300
2023-10-20,6300.0,6300.0,5800.0,6020.0,50500
2023-10-23,6250.0,6250.0,6000.0,6200.0,41900
2023-10-24,6040.0,6250.0,5990.0,6250.0,13000
2023-10-25,6020.0,6300.0,6000.0,6050.0,23000
2023-10-26,5750.0,6000.0,5600.0,6000.0,101500
2023-10-27,5680.0,5750.0,5450.0,5750.0,36100
2023-10-30,5300.0,5450.0,5300.0,5450.0,61700
2023-10-31,4950.0,5350.0,4930.0,5000.0,18300
2023-11-01,5290.0,5290.0,5290.0,5290.0,53100
2023-11-02,5630.0,5650.0,5330.0,5330.0,11600
2023-11-03,5400.0,5690.0,5390.0,5690.0,37600
2023-11-06,5470.0,5590.0,5360.0,5400.0,46700
2023-11-07,5450.0,5470.0,5450.0,5470.0,6800
2023-11-08,5600.0,5600.0,5320.0,5450.0,24200
2023-11-09,5760.0,5820.0,5600.0,5610.0,55100
2023-11-10,5450.0,5700.0,5450.0,5540.0,17600
2023-11-13,5500.0,5820.0,5500.0,5820.0,35500
2023-11-14,5550.0,5780.0,5500.0,5550.0,16300
2023-11-15,5510.0,5880.0,5510.0,5550.0,46400
2023-11-16,5720.0,5720.0,5520.0,5520.0,33900
2023-11-17,5660.0,5720.0,5520.0,5700.0,58500
2023-11-20,5600.0,5630.0,5550.0,5630.0,13000
2023-11-21,5590.0,5750.0,5460.0,5460.0,24500
2023-11-22,5500.0,5650.0,5460.0,5500.0,29500
2023-11-23,5500.0,5700.0,5500.0,5590.0,15600
2023-11-24,5550.0,5550.0,5440.0,5480.0,38400
2023-11-27,5490.0,5870.0,5480.0,5550.0,11900
2023-11-28,5650.0,5700.0,5490.0,5490.0,69900
2023-11-29,5700.0,5780.0,5510.0,5780.0,55200
2023-11-30,5660.0,5850.0,5600.0,5750.0,59400
2023-12-01,5580.0,5800.0,5580.0,5600.0,13400
2023-12-04,5710.0,5750.0,5610.0,5620.0,30000
2023-12-05,5710.0,5750.0,5610.0,5710.0,31700
2023-12-06,5720.0,5900.0,5700.0,5900.0,112700
2023-12-07,6120.0,6120.0,6120.0,6120.0,170800
2023-12-08,6490.0,6540.0,6120.0,6540.0,234800
2023-12-11,6210.0,6490.0,6060.0,6490.0,57900
2023-12-12,6450.0,6450.0,6100.0,6100.0,109500
2023-12-13,6300.0,6460.0,6300.0,6450.0,96600
2023-12-15,6200.0,6290.0,6100.0,6200.0,25000
2023-12-18,6250.0,6300.0,6150.0,6300.0,21800
2023-12-19,6220.0,6250.0,6100.0,6250.0,61900
2023-12-20,6170.0,6280.0,6150.0,6280.0,9700
2023-12-21,6200.0,6200.0,6120.0,6180.0,19900
2023-12-22,6150.0,6450.0,6100.0,6450.0,20600
2023-12-25,6150.0,6200.0,6100.0,6110.0,39800
2023-12-26,6100.0,6200.0,6100.0,6120.0,23500
2023-12-27,6050.0,6150.0,6050.0,6120.0,31900
2023-12-28,6010.0,6190.0,6000.0,6190.0,29600
2023-12-29,6020.0,6140.0,6010.0,6010.0,11900
2024-01-02,6020.0,6040.0,5910.0,6030.0,7700
2024-01-03,6020.0,6230.0,5910.0,5930.0,21100
2024-01-04,6080.0,6090.0,5910.0,6000.0,40800
2024-01-05,6080.0,6120.0,5820.0,6120.0,20100
2024-01-08,5970.0,6120.0,5910.0,5910.0,23600
2024-01-09,6090.0,6100.0,5980.0,6000.0,47300
2024-01-10,6090.0,6090.0,5950.0,5960.0,6800
2024-01-11,5940.0,6090.0,5840.0,6090.0,17900
2024-01-12,5900.0,5990.0,5530.0,5940.0,84400
2024-01-15,5600.0,5900.0,5600.0,5900.0,25500
2024-01-16,5800.0,5890.0,5800.0,5890.0,400
2024-01-17,5620.0,5910.0,5600.0,5910.0,17600
2024-01-19,5820.0,5850.0,5670.0,5810.0,3500
2024-01-22,5780.0,5830.0,5780.0,5830.0,200
2024-01-23,5650.0,5750.0,5650.0,5670.0,10100
2024-01-24,5650.0,5830.0,5650.0,5650.0,18300
2024-01-25,5740.0,5750.0,5650.0,5750.0,8800
2024-01-26,5780.0,5850.0,5670.0,5850.0,2600
2024-01-29,5710.0,5850.0,5650.0,5650.0,15800
2024-01-30,5560.0,5710.0,5560.0,5710.0,61400
2024-01-31,5700.0,5700.0,5470.0,5570.0,29500
2024-02-01,5620.0,5790.0,5620.0,5790.0,11300
2024-02-02,5640.0,5800.0,5520.0,5800.0,15000
2024-02-05,5650.0,5700.0,5600.0,5600.0,4700
2024-02-06,5760.0,5800.0,5650.0,5650.0,30500
2024-02-07,5760.0,5800.0,5750.0,5790.0,12800
2024-02-15,5790.0,5790.0,5740.0,5760.0,17400
2024-02-16,5790.0,5800.0,5700.0,5700.0,5300
2024-02-19,5790.0,5820.0,5710.0,5720.0,39100
2024-02-20,5820.0,5880.0,5750.0,5750.0,37100
2024-02-21,5840.0,5860.0,5820.0,5820.0,21200
2024-02-22,5850.0,5980.0,5840.0,5840.0,37300
2024-02-23,6000.0,6190.0,5860.0,5860.0,86300
2024-02-26,5990.0,6050.0,5870.0,6000.0,18300
2024-02-27,6100.0,6170.0,5890.0,6170.0,15800
2024-02-28,5930.0,6090.0,5900.0,5900.0,11000
2024-02-29,5930.0,5950.0,5800.0,5910.0,58000
2024-03-01,5920.0,5980.0,5810.0,5930.0,20800
2024-03-04,5820.0,6100.0,5800.0,5910.0,28100
2024-03-05,5930.0,5950.0,5760.0,5820.0,20700
2024-03-06,5820.0,5950.0,5820.0,5930.0,17000
2024-03-07,5900.0,5900.0,5760.0,5820.0,44400
2024-03-08,5900.0,5900.0,5900.0,5900.0,22100
2024-03-11,5900.0,5900.0,5800.0,5810.0,19600
2024-03-12,5920.0,5930.0,5800.0,5900.0,25000
2024-03-13,6030.0,6080.0,5900.0,5920.0,62900
2024-03-14,6050.0,6180.0,6000.0,6030.0,70800
2024-03-15,6110.0,6190.0,5900.0,6190.0,91600
2024-03-18,5900.0,6100.0,5830.0,6100.0,115700
2024-03-19,5980.0,6050.0,5900.0,6050.0,42800
2024-03-20,5920.0,6190.0,5900.0,6170.0,15400
2024-03-21,6160.0,6330.0,5940.0,6160.0,47400
2024-03-22,6030.0,6100.0,6000.0,6020.0,33700
2024-03-25,5960.0,6030.0,5910.0,6030.0,71900
2024-03-26,6050.0,6100.0,5950.0,5950.0,67800
2024-03-27,6100.0,6100.0,5930.0,5930.0,10200
2024-03-28,6080.0,6080.0,5900.0,5970.0,4300
2024-03-29,5960.0,6270.0,5930.0,6270.0,6700
2024-04-01,6050.0,6140.0,5950.0,6140.0,5600
2024-04-02,6030.0,6100.0,5910.0,6100.0,42900
2024-04-03,5980.0,6050.0,5980.0,6050.0,28800
2024-04-04,5920.0,6160.0,5920.0,6160.0,13200
2024-04-05,5800.0,5930.0,5800.0,5930.0,40500
2024-04-08,5530.0,5820.0,5530.0,5820.0,8300
2024-04-09,5690.0,5910.0,5530.0,5530.0,17100
2024-04-10,5800.0,5830.0,5650.0,5690.0,366300
2024-04-11,5700.0,5790.0,5700.0,5790.0,9400
2024-04-12,5810.0,5830.0,5700.0,5830.0,16500
2024-04-15,5700.0,5720.0,5700.0,5710.0,26100
2024-04-16,5690.0,5690.0,5320.0,5600.0,30900
2024-04-17,5500.0,5670.0,5330.0,5500.0,22900
2024-04-19,5200.0,5500.0,5150.0,5500.0,13300
2024-04-22,5500.0,5560.0,5350.0,5490.0,419700
2024-04-23,5450.0,5510.0,5360.0,5500.0,5400
2024-04-24,5500.0,5700.0,5310.0,5310.0,6400
2024-04-25,5380.0,5400.0,5150.0,5300.0,392600
2024-04-26,5300.0,5370.0,5180.0,5350.0,20000
2024-05-02,5400.0,5450.0,5180.0,5180.0,6800
2024-05-03,5770.0,5770.0,5300.0,5300.0,409200
2024-05-06,5820.0,6150.0,5770.0,6150.0,19700
2024-05-07,5890.0,5990.0,5700.0,5710.0,43000
2024-05-08,5830.0,5830.0,5510.0,5810.0,189500
2024-05-09,5850.0,6000.0,5570.0,5600.0,195600
2024-05-10,5790.0,5940.0,5700.0,5700.0,17200
2024-05-13,5800.0,5910.0,5700.0,5800.0,44300
2024-05-14,5890.0,5960.0,5700.0,5720.0,42200
2024-05-15,5810.0,5980.0,5800.0,5890.0,51600
2024-05-16,5800.0,5980.0,5800.0,5980.0,65000
2024-05-17,5700.0,5800.0,5700.0,5750.0,8100
2024-05-20,5800.0,5900.0,5700.0,5700.0,2800
2024-05-21,5650.0,5720.0,5650.0,5710.0,13200
2024-05-22,5750.0,5790.0,5320.0,5790.0,50300
2024-05-23,5700.0,5750.0,5500.0,5620.0,32800
2024-05-24,5580.0,5700.0,5540.0,5540.0,16900
2024-05-27,5660.0,5800.0,5550.0,5550.0,10300
2024-05-28,5660.0,5700.0,5610.0,5670.0,29200
2024-05-29,5720.0,5840.0,5670.0,5700.0,91400
2024-05-30,5820.0,5830.0,5650.0,5730.0,12700
2024-05-31,5810.0,5820.0,5720.0,5800.0,6800
2024-06-03,5700.0,5810.0,5700.0,5790.0,20500
2024-06-04,5650.0,5700.0,5650.0,5700.0,23100
2024-06-05,5610.0,5700.0,5600.0,5650.0,29200
2024-06-06,5700.0,5780.0,5600.0,5780.0,19200
2024-06-07,5730.0,5740.0,5700.0,5700.0,3600
2024-06-10,5610.0,5990.0,5610.0,5750.0,14200
2024-06-11,5700.0,5800.0,5610.0,5640.0,15800
2024-06-12,5750.0,5860.0,5660.0,5850.0,31600
2024-06-13,5780.0,6000.0,5670.0,6000.0,4600
2024-06-14,5610.0,5770.0,5610.0,5750.0,37600
2024-06-17,5700.0,5700.0,5600.0,5630.0,9000
2024-06-18,5690.0,5700.0,5600.0,5620.0,3200
2024-06-19,5630.0,5660.0,5580.0,5600.0,36700
2024-06-20,5650.0,5700.0,5600.0,5630.0,48200
2024-06-21,5770.0,5980.0,5650.0,5980.0,12200
2024-06-24,5520.0,5640.0,5520.0,5600.0,48500
2024-06-25,5600.0,5660.0,5520.0,5520.0,37100
2024-06-26,5590.0,5600.0,5540.0,5600.0,29200
2024-06-27,5550.0,5650.0,5550.0,5650.0,6900
2024-06-28,5540.0,5560.0,5540.0,5550.0,23400
2024-07-01,5650.0,5650.0,5500.0,5540.0,21100
2024-07-02,5550.0,5650.0,5550.0,5600.0,13400
2024-07-03,5550.0,5570.0,5550.0,5570.0,13100
2024-07-04,5610.0,5610.0,5500.0,5510.0,11700
2024-07-05,5500.0,5610.0,5500.0,5600.0,7700
2024-07-08,5410.0,5570.0,5410.0,5570.0,700
2024-07-09,5430.0,5700.0,5410.0,5410.0,13300
2024-07-10,5410.0,5540.0,5410.0,5520.0,11000
2024-07-11,5500.0,5510.0,5420.0,5420.0,18100
2024-07-12,5490.0,5570.0,5480.0,5570.0,4700
2024-07-15,5700.0,5870.0,5550.0,5600.0,15700
2024-07-16,5860.0,5900.0,5700.0,5700.0,4300
2024-07-17,5600.0,5940.0,5600.0,5940.0,4400
2024-07-18,5600.0,5600.0,5500.0,5530.0,17400
2024-07-19,5590.0,5870.0,5300.0,5870.0,6900
2024-07-22,5500.0,5590.0,5350.0,5590.0,11500
2024-07-23,5400.0,5490.0,5120.0,5350.0,8900
2024-07-24,5400.0,5400.0,5400.0,5400.0,1100
2024-07-25,5600.0,5600.0,5400.0,5400.0,5700
2024-07-26,5500.0,5500.0,5250.0,5400.0,5500
2024-07-29,5500.0,5650.0,5400.0,5410.0,20800
2024-07-30,5350.0,5480.0,5320.0,5430.0,35800
2024-07-31,5310.0,5440.0,5300.0,5350.0,9400
2024-08-01,5300.0,5430.0,5300.0,5310.0,13500
2024-08-02,5100.0,5420.0,5070.0,5070.0,3500
2024-08-05,4800.0,5100.0,4750.0,5100.0,24800
2024-08-06,4870.0,5130.0,4500.0,5130.0,49100
2024-08-07,4870.0,4890.0,4870.0,4870.0,6300
2024-08-08,4870.0,4920.0,4700.0,4700.0,14700
2024-08-09,4860.0,4900.0,4800.0,4860.0,18200
2024-08-12,4800.0,4860.0,4700.0,4850.0,34100
2024-08-13,4780.0,4800.0,4700.0,4800.0,10200
2024-08-14,4740.0,4810.0,4720.0,4810.0,7600
2024-08-15,4730.0,4850.0,4730.0,4850.0,6300
2024-08-16,4900.0,4900.0,4790.0,4800.0,16700
2024-08-19,5090.0,5140.0,4950.0,5100.0,21500
2024-08-20,5250.0,5350.0,5200.0,5240.0,23800
2024-08-21,5320.0,5360.0,5150.0,5360.0,11100
2024-08-22,5320.0,5500.0,5210.0,5360.0,18400
2024-08-23,5320.0,5330.0,5250.0,5320.0,10800
2024-08-26,5280.0,5470.0,5210.0,5450.0,16600
2024-08-28,5090.0,5290.0,5090.0,5290.0,2600
2024-08-29,5310.0,5390.0,5090.0,5090.0,14900
2024-08-30,5300.0,5370.0,5280.0,5370.0,1000
2024-09-04,5180.0,5200.0,5100.0,5200.0,3200
2024-09-05,5120.0,5290.0,5060.0,5290.0,4100
2024-09-06,5180.0,5180.0,5050.0,5060.0,30000
2024-09-09,5130.0,5220.0,5000.0,5170.0,15200
2024-09-10,5000.0,5120.0,5000.0,5120.0,3100
2024-09-11,4960.0,5000.0,4960.0,5000.0,8300
2024-09-12,5030.0,5080.0,4700.0,5000.0,6100
2024-09-13,4780.0,5050.0,4780.0,4990.0,5900
2024-09-16,5000.0,5100.0,4700.0,4820.0,4900
2024-09-17,5090.0,5090.0,4990.0,4990.0,32700
2024-09-18,5120.0,5170.0,5090.0,5160.0,11800
2024-09-19,5140.0,5140.0,4850.0,5000.0,6200
2024-09-20,4980.0,5140.0,4940.0,4990.0,5600
2024-09-23,5000.0,5080.0,4980.0,4980.0,4400
2024-09-24,5080.0,5080.0,5000.0,5000.0,11300
2024-09-25,5020.0,5170.0,5020.0,5120.0,19900
2024-09-26,5010.0,5110.0,5000.0,5020.0,6700
2024-09-27,5000.0,5060.0,4750.0,5000.0,11600
2024-09-30,5000.0,5000.0,4840.0,4840.0,12800
2024-10-01,4950.0,5000.0,4930.0,5000.0,4800
2024-10-02,5000.0,5000.0,4950.0,4950.0,8200
2024-10-03,5000.0,5100.0,5000.0,5000.0,9600
2024-10-04,4910.0,5000.0,4910.0,4910.0,32400
2024-10-07,5100.0,5240.0,5100.0,5240.0,2100
2024-10-08,5070.0,5220.0,4900.0,4900.0,8000
2024-10-09,4970.0,4970.0,4940.0,4970.0,11300
2024-10-10,5000.0,5100.0,4960.0,4970.0,8900
2024-10-11,5020.0,5020.0,4900.0,4900.0,700
2024-10-14,4880.0,5000.0,4710.0,4970.0,39700
2024-10-15,4840.0,4940.0,4700.0,4910.0,18900
2024-10-16,4710.0,4880.0,4650.0,4880.0,33400
2024-10-17,4700.0,4810.0,4590.0,4810.0,8200
2024-10-18,4620.0,4770.0,4620.0,4650.0,15100
2024-10-21,4560.0,4660.0,4560.0,4630.0,15800
2024-10-22,4780.0,4870.0,4560.0,4560.0,40500
2024-10-23,4620.0,4810.0,4620.0,4780.0,15000
2024-10-24,4620.0,4750.0,4550.0,4750.0,4600
2024-10-25,4660.0,4690.0,4620.0,4690.0,7400
2024-10-28,4670.0,4710.0,4670.0,4710.0,2000
2024-10-29,4860.0,4880.0,4670.0,4870.0,7700
2024-10-31,4710.0,4830.0,4620.0,4630.0,13000
2024-11-01,4710.0,4730.0,4620.0,4730.0,1300
2024-11-04,4410.0,4700.0,4410.0,4610.0,7000
2024-11-06,4750.0,4770.0,4610.0,4620.0,5400
2024-11-07,4740.0,4740.0,4610.0,4720.0,5300
2024-11-08,4660.0,4730.0,4410.0,4690.0,25200
2024-11-11,4520.0,4600.0,4520.0,4600.0,4100
2024-11-12,4700.0,4830.0,4590.0,4800.0,11500
2024-11-13,4690.0,4700.0,4510.0,4600.0,1700
2024-11-14,4680.0,4700.0,4680.0,4700.0,1800
2024-11-15,4500.0,4600.0,4500.0,4600.0,3500
2024-11-18,4640.0,4640.0,4340.0,4510.0,5100
2024-11-19,4620.0,4760.0,4400.0,4680.0,8100
2024-11-20,4570.0,4660.0,4500.0,4660.0,1000
2024-11-21,4690.0,4690.0,4500.0,4570.0,3600
2024-11-22,4670.0,4710.0,4500.0,4660.0,12400
2024-11-25,4600.0,4680.0,4350.0,4660.0,6200
2024-11-26,4670.0,4670.0,4540.0,4540.0,31400
2024-11-27,4660.0,4670.0,4550.0,4640.0,11900
2024-11-28,4670.0,4750.0,4580.0,4750.0,12200
2024-11-29,4680.0,4730.0,4660.0,4660.0,31900
2024-12-02,4520.0,4720.0,4400.0,4660.0,13100
2024-12-03,4580.0,4700.0,4500.0,4700.0,25400
2024-12-04,4640.0,4640.0,4500.0,4580.0,20800
2024-12-05,4850.0,4850.0,4590.0,4610.0,83600
2024-12-06,4700.0,4900.0,4700.0,4700.0,28600
2024-12-09,4790.0,4860.0,4700.0,4790.0,8900
2024-12-10,4690.0,4750.0,4500.0,4750.0,69000
2024-12-11,4570.0,4680.0,4550.0,4620.0,45300
2024-12-12,4510.0,4630.0,4510.0,4580.0,61100
2024-12-13,4570.0,4750.0,4530.0,4750.0,168800
2024-12-16,4650.0,4680.0,4500.0,4530.0,111900
2024-12-17,4620.0,4640.0,4550.0,4640.0,129400
2024-12-18,4580.0,4640.0,4580.0,4600.0,33000
2024-12-19,4580.0,4580.0,4570.0,4570.0,5300
2024-12-20,4650.0,4660.0,4630.0,4660.0,1200
2024-12-23,4590.0,4650.0,4550.0,4650.0,6700
2024-12-24,4500.0,4600.0,4500.0,4600.0,13500
2024-12-25,4500.0,4660.0,4500.0,4660.0,32600
2024-12-26,4600.0,4670.0,4600.0,4670.0,7400
2024-12-27,4590.0,4600.0,4510.0,4600.0,49900
2024-12-30,4520.0,4650.0,4520.0,4520.0,28700
2024-12-31,4550.0,4570.0,4520.0,4560.0,6100
2025-01-02,4570.0,4570.0,4500.0,4520.0,24300
2025-01-03,4530.0,4530.0,4470.0,4470.0,4200
2025-01-06,4500.0,4640.0,4410.0,4640.0,11000
2025-01-07,4200.0,4560.0,4200.0,4500.0,59900
2025-01-08,4210.0,4490.0,4200.0,4450.0,36600
2025-01-09,4220.0,4350.0,4210.0,4210.0,13800
2025-01-10,4310.0,4450.0,4220.0,4450.0,4000
2025-01-13,4310.0,4410.0,4290.0,4410.0,593100
2025-01-14,4360.0,4360.0,4250.0,4310.0,20300
2025-01-15,4390.0,4480.0,4360.0,4360.0,20900
2025-01-16,4440.0,4490.0,4390.0,4490.0,34100
2025-01-17,4470.0,4490.0,4210.0,4440.0,24200
2025-01-20,4300.0,4470.0,4300.0,4470.0,15100
2025-01-21,4400.0,4600.0,4390.0,4500.0,33700
2025-01-22,4120.0,4400.0,4120.0,4320.0,35200
2025-01-23,4100.0,4400.0,4010.0,4400.0,16100
2025-01-24,4340.0,4380.0,4140.0,4380.0,45400
2025-02-03,4390.0,4390.0,4210.0,4340.0,2900
2025-02-04,4480.0,4500.0,4350.0,4450.0,5500
2025-02-05,4590.0,4600.0,4480.0,4480.0,34500
2025-02-06,4590.0,4610.0,4330.0,4580.0,7100
2025-02-07,4600.0,4600.0,4320.0,4590.0,17100
2025-02-10,4680.0,4680.0,4600.0,4600.0,41100
2025-02-11,4680.0,4690.0,4650.0,4650.0,4600
2025-02-12,4600.0,4690.0,4500.0,4690.0,33900
2025-02-13,4640.0,4680.0,4550.0,4640.0,17000
2025-02-14,4610.0,4640.0,4610.0,4610.0,18400
2025-02-17,4550.0,4630.0,4500.0,4500.0,42400
2025-02-18,4670.0,4700.0,4550.0,4550.0,30600
2025-02-19,4990.0,4990.0,4700.0,4710.0,29700
2025-02-20,5330.0,5330.0,5330.0,5330.0,36100
2025-02-21,5700.0,5700.0,5700.0,5700.0,56100
2025-02-24,6090.0,6090.0,6090.0,6090.0,403500
2025-02-25,5990.0,6320.0,5800.0,6320.0,114600
2025-02-26,5910.0,6280.0,5820.0,6280.0,67900
2025-02-27,5950.0,6270.0,5800.0,5910.0,84300
2025-02-28,5780.0,5950.0,5600.0,5820.0,76700
2025-03-03,5650.0,5750.0,5500.0,5520.0,88500
2025-03-04,5600.0,5800.0,5400.0,5780.0,54600
2025-03-05,5600.0,5930.0,5500.0,5800.0,13700
2025-03-06,5530.0,5600.0,5300.0,5600.0,18800
2025-03-07,5750.0,5750.0,5260.0,5260.0,94900
2025-03-10,5570.0,5750.0,5550.0,5550.0,64100
2025-03-11,5950.0,5950.0,5530.0,5530.0,221600
2025-03-12,6080.0,6290.0,6000.0,6290.0,135200
2025-03-13,5870.0,6160.0,5820.0,6080.0,860500
2025-03-14,5950.0,6100.0,5650.0,5870.0,41200
2025-03-17,5600.0,6100.0,5540.0,6100.0,117000
2025-03-18,5630.0,5900.0,5610.0,5900.0,41100
2025-03-19,5600.0,5690.0,5600.0,5630.0,24600
2025-03-20,5700.0,5700.0,5550.0,5690.0,23000
2025-03-21,5700.0,5700.0,5550.0,5600.0,15500
2025-03-24,5600.0,5700.0,5600.0,5700.0,26000
2025-03-25,5680.0,5700.0,5600.0,5600.0,49900
2025-03-26,5670.0,5800.0,5600.0,5780.0,3700
2025-03-27,5680.0,5680.0,5550.0,5550.0,700
