Price,Close,High,Low,Open,Volume
Ticker,PXT,PXT,PXT,PXT,PXT
Date,,,,,
2017-01-03,4700.0,4700.0,4700.0,4700.0,40
2017-01-04,4800.0,4850.0,4800.0,4850.0,50
2017-01-05,4660.0,4800.0,4470.0,4800.0,4990
2017-01-06,4650.0,4670.0,4400.0,4670.0,850
2017-01-09,4350.0,4600.0,4350.0,4600.0,1040
2017-01-10,4470.0,4600.0,4300.0,4600.0,41360
2017-01-11,4500.0,4590.0,4470.0,4470.0,2280
2017-01-12,4560.0,4600.0,4500.0,4500.0,2650
2017-01-13,4500.0,4590.0,4450.0,4560.0,25580
2017-01-17,4440.0,4450.0,4210.0,4400.0,4650
2017-01-18,4400.0,4490.0,4130.0,4490.0,670
2017-01-19,4300.0,4400.0,4200.0,4400.0,270
2017-01-20,4420.0,4430.0,4100.0,4400.0,59440
2017-01-23,4300.0,4440.0,4130.0,4440.0,13960
2017-01-24,4400.0,4420.0,4100.0,4300.0,2250
2017-01-25,4490.0,4490.0,4200.0,4400.0,4860
2017-01-26,4490.0,4490.0,4490.0,4490.0,0
2017-01-27,4490.0,4490.0,4490.0,4490.0,0
2017-01-30,4490.0,4490.0,4490.0,4490.0,0
2017-01-31,4490.0,4490.0,4490.0,4490.0,0
2017-02-01,4490.0,4490.0,4490.0,4490.0,0
2017-02-02,4490.0,4490.0,4490.0,4490.0,0
2017-02-03,4150.0,4300.0,4000.0,4300.0,16570
2017-02-06,4100.0,4100.0,3860.0,4000.0,101530
2017-02-07,4000.0,4300.0,4000.0,4300.0,32780
2017-02-08,4190.0,4240.0,4000.0,4240.0,50960
2017-02-09,4100.0,4200.0,4000.0,4000.0,13200
2017-02-10,4180.0,4190.0,4050.0,4100.0,18170
2017-02-13,4350.0,4400.0,4100.0,4100.0,32760
2017-02-14,4590.0,4650.0,4200.0,4350.0,40220
2017-02-15,4300.0,4500.0,4270.0,4500.0,64160
2017-02-16,4300.0,4450.0,4000.0,4450.0,44990
2017-02-17,4300.0,4400.0,4000.0,4010.0,65820
2017-02-21,4280.0,4350.0,4040.0,4040.0,27370
2017-02-22,4280.0,4350.0,4090.0,4280.0,28390
2017-02-23,4200.0,4280.0,4110.0,4280.0,23680
2017-02-24,4180.0,4280.0,4030.0,4100.0,47600
2017-02-27,4180.0,4180.0,4000.0,4060.0,15880
2017-02-28,4000.0,4100.0,4000.0,4010.0,30090
2017-03-01,4140.0,4200.0,3900.0,4050.0,32000
2017-03-02,4190.0,4190.0,4050.0,4190.0,54100
2017-03-03,4180.0,4190.0,4010.0,4190.0,8500
2017-03-06,4100.0,4170.0,3950.0,4100.0,33490
2017-03-07,3980.0,4100.0,3950.0,3950.0,20510
2017-03-08,4000.0,4080.0,3980.0,3980.0,5880
2017-03-09,3880.0,4000.0,3870.0,4000.0,23970
2017-03-10,3990.0,4000.0,3640.0,3810.0,156060
2017-03-13,3910.0,4000.0,3750.0,4000.0,2660
2017-03-14,3800.0,4000.0,3660.0,4000.0,27310
2017-03-15,3620.0,3800.0,3600.0,3800.0,33970
2017-03-16,3370.0,3680.0,3370.0,3620.0,68040
2017-03-17,3600.0,3600.0,3380.0,3600.0,40770
2017-03-20,3850.0,3850.0,3800.0,3840.0,59680
2017-03-21,4110.0,4110.0,4100.0,4100.0,84850
2017-03-22,4200.0,4390.0,4200.0,4390.0,281270
2017-03-23,4200.0,4200.0,3920.0,4120.0,34540
2017-03-24,4170.0,4350.0,3930.0,4350.0,24770
2017-03-27,3880.0,4160.0,3880.0,3880.0,101720
2017-03-28,3880.0,4000.0,3750.0,3860.0,44880
2017-03-29,4000.0,4000.0,3830.0,3880.0,1570
2017-03-30,3990.0,4090.0,3800.0,3860.0,17550
2017-03-31,3870.0,4000.0,3870.0,4000.0,21690
2017-04-03,3940.0,3950.0,3760.0,3880.0,10400
2017-04-04,3910.0,3940.0,3800.0,3940.0,15760
2017-04-05,3900.0,3950.0,3900.0,3950.0,2980
2017-04-06,3900.0,3900.0,3900.0,3900.0,0
2017-04-07,3670.0,3950.0,3670.0,3950.0,21330
2017-04-10,3790.0,3900.0,3670.0,3900.0,25810
2017-04-11,3660.0,3890.0,3660.0,3890.0,51160
2017-04-12,3640.0,3700.0,3630.0,3660.0,29910
2017-04-13,3790.0,3790.0,3600.0,3610.0,72650
2017-04-17,3610.0,3680.0,3600.0,3680.0,35810
2017-04-18,3750.0,3850.0,3500.0,3850.0,4130
2017-04-19,3640.0,3700.0,3630.0,3700.0,27840
2017-04-20,3580.0,3890.0,3550.0,3550.0,68930
2017-04-21,3620.0,3650.0,3500.0,3570.0,34090
2017-04-24,3590.0,3630.0,3450.0,3630.0,14220
2017-04-25,3360.0,3590.0,3360.0,3360.0,10830
2017-04-26,3520.0,3570.0,3300.0,3300.0,21090
2017-04-27,3500.0,3600.0,3410.0,3590.0,83530
2017-04-28,3500.0,3500.0,3500.0,3500.0,0
2017-05-01,3500.0,3500.0,3500.0,3500.0,0
2017-05-02,3500.0,3500.0,3500.0,3500.0,0
2017-05-03,3490.0,3500.0,3400.0,3500.0,24430
2017-05-04,3300.0,3450.0,3300.0,3410.0,42490
2017-05-05,3400.0,3440.0,3270.0,3300.0,56690
2017-05-08,3400.0,3500.0,3320.0,3500.0,20610
2017-05-09,3630.0,3630.0,3300.0,3400.0,55150
2017-05-10,3880.0,3880.0,3870.0,3880.0,134930
2017-05-11,3770.0,4000.0,3630.0,3880.0,16470
2017-05-12,3750.0,3820.0,3700.0,3770.0,13450
2017-05-15,3660.0,3750.0,3510.0,3530.0,23760
2017-05-16,3490.0,3650.0,3430.0,3430.0,44380
2017-05-17,3650.0,3730.0,3400.0,3400.0,8860
2017-05-18,3510.0,3850.0,3460.0,3850.0,31380
2017-05-19,3680.0,3740.0,3560.0,3740.0,34980
2017-05-22,3700.0,3900.0,3500.0,3500.0,38940
2017-05-23,3700.0,3720.0,3500.0,3700.0,13820
2017-05-24,3510.0,3790.0,3450.0,3500.0,63010
2017-05-25,3580.0,3670.0,3400.0,3670.0,46480
2017-05-26,3600.0,3640.0,3500.0,3600.0,40700
2017-05-30,3440.0,3590.0,3420.0,3500.0,83130
2017-05-31,3430.0,3600.0,3430.0,3440.0,46670
2017-06-01,3530.0,3580.0,3440.0,3580.0,33380
2017-06-02,3530.0,3550.0,3440.0,3550.0,11640
2017-06-05,3500.0,3530.0,3470.0,3500.0,5340
2017-06-06,3490.0,3500.0,3360.0,3500.0,13340
2017-06-07,3410.0,3490.0,3410.0,3430.0,10530
2017-06-08,3460.0,3520.0,3400.0,3400.0,24320
2017-06-09,3460.0,3500.0,3410.0,3500.0,34660
2017-06-12,3470.0,3700.0,3400.0,3460.0,42190
2017-06-13,3500.0,3580.0,3450.0,3580.0,5750
2017-06-14,3480.0,3490.0,3330.0,3400.0,21920
2017-06-15,3440.0,3450.0,3350.0,3350.0,7580
2017-06-16,3400.0,3420.0,3350.0,3350.0,43590
2017-06-19,3320.0,3400.0,3300.0,3400.0,69180
2017-06-20,3340.0,3480.0,3310.0,3320.0,48260
2017-06-21,3300.0,3400.0,3180.0,3200.0,20810
2017-06-22,3170.0,3300.0,3170.0,3260.0,35770
2017-06-23,3180.0,3200.0,3120.0,3150.0,64150
2017-06-26,3190.0,3320.0,3170.0,3180.0,110070
2017-06-27,3240.0,3250.0,3150.0,3240.0,54280
2017-06-28,3220.0,3350.0,3120.0,3120.0,24090
2017-06-29,3160.0,3300.0,3160.0,3300.0,19540
2017-06-30,3170.0,3300.0,3150.0,3300.0,43730
2017-07-03,3270.0,3300.0,3170.0,3260.0,32170
2017-07-05,3590.0,3590.0,3300.0,3400.0,138070
