Price,Close,High,Low,Open,Volume
Ticker,QBS,QBS,QBS,QBS,QBS
Date,,,,,
2017-01-03,4540.0,4650.0,4400.0,4650.0,50900
2017-01-04,4490.0,4500.0,4340.0,4400.0,25050
2017-01-05,4470.0,4690.0,4350.0,4490.0,46950
2017-01-06,4480.0,4500.0,4400.0,4410.0,12550
2017-01-09,4480.0,4530.0,4400.0,4530.0,18460
2017-01-10,4430.0,4670.0,4390.0,4670.0,28370
2017-01-11,4480.0,4500.0,4410.0,4410.0,68290
2017-01-12,4350.0,4480.0,4350.0,4480.0,73070
2017-01-13,4500.0,4640.0,4350.0,4350.0,52430
2017-01-17,4470.0,4600.0,4400.0,4500.0,41720
2017-01-18,4600.0,4600.0,4400.0,4410.0,13190
2017-01-19,4400.0,4590.0,4380.0,4590.0,15610
2017-01-20,4570.0,4590.0,4400.0,4570.0,30960
2017-01-23,4560.0,4580.0,4400.0,4580.0,19210
2017-01-24,4560.0,4590.0,4510.0,4550.0,19040
2017-01-25,4700.0,4730.0,4560.0,4560.0,21570
2017-01-26,4700.0,4700.0,4700.0,4700.0,0
2017-01-27,4700.0,4700.0,4700.0,4700.0,0
2017-01-30,4700.0,4700.0,4700.0,4700.0,0
2017-01-31,4700.0,4700.0,4700.0,4700.0,0
2017-02-01,4700.0,4700.0,4700.0,4700.0,0
2017-02-02,4700.0,4700.0,4700.0,4700.0,0
2017-02-03,4270.0,4500.0,4270.0,4500.0,71350
2017-02-06,4330.0,4400.0,4240.0,4400.0,49190
2017-02-07,4350.0,4500.0,4210.0,4490.0,111830
2017-02-08,4350.0,4350.0,4200.0,4250.0,40850
2017-02-09,4400.0,4400.0,4270.0,4300.0,112940
2017-02-10,4380.0,4410.0,4330.0,4400.0,60230
2017-02-13,4300.0,4380.0,4260.0,4300.0,92350
2017-02-14,4400.0,4400.0,4270.0,4280.0,205190
2017-02-15,4700.0,4700.0,4380.0,4490.0,203720
2017-02-16,5000.0,5020.0,5000.0,5020.0,377180
2017-02-17,4700.0,5000.0,4700.0,5000.0,111600
2017-02-21,4730.0,4950.0,4540.0,4540.0,118010
2017-02-22,5010.0,5060.0,4700.0,4700.0,293290
2017-02-23,5050.0,5140.0,4960.0,5110.0,191180
2017-02-24,5050.0,5140.0,5050.0,5050.0,170150
2017-02-27,5400.0,5400.0,5070.0,5070.0,293650
2017-02-28,5730.0,5770.0,5400.0,5400.0,555190
2017-03-01,5680.0,5860.0,5600.0,5860.0,302270
2017-03-02,5710.0,5800.0,5440.0,5700.0,226230
2017-03-03,5510.0,5810.0,5510.0,5650.0,151910
2017-03-06,5370.0,5600.0,5350.0,5350.0,322470
2017-03-07,5340.0,5590.0,5340.0,5460.0,223600
2017-03-08,5450.0,5580.0,5370.0,5570.0,93520
2017-03-09,5460.0,5480.0,5390.0,5480.0,53800
2017-03-10,5480.0,5700.0,5400.0,5540.0,330580
2017-03-13,5750.0,5850.0,5490.0,5500.0,317640
2017-03-14,5740.0,5950.0,5670.0,5880.0,197460
2017-03-15,5750.0,5760.0,5680.0,5740.0,160360
2017-03-16,5670.0,5770.0,5650.0,5710.0,202050
2017-03-17,5580.0,5690.0,5580.0,5620.0,298550
2017-03-20,5700.0,5800.0,5530.0,5530.0,99910
2017-03-21,5740.0,5790.0,5620.0,5620.0,66490
