Price,Close,High,Low,Open,Volume
Ticker,QNP.VN,QNP.VN,QNP.VN,QNP.VN,QNP.VN
Date,,,,,
2024-01-18,21209.95703125,21209.95703125,21209.95703125,21209.95703125,200
2024-01-19,22691.873046875,22691.873046875,22691.873046875,22691.873046875,100
2024-01-22,24266.412109375,24266.412109375,24266.412109375,24266.412109375,100
2024-01-23,25933.5703125,25933.5703125,25933.5703125,25933.5703125,100200
2024-01-24,27739.66015625,27739.66015625,27739.66015625,27739.66015625,1200
2024-01-25,27739.66015625,27739.66015625,27739.66015625,27739.66015625,0
2024-01-26,31676.00390625,31676.00390625,31676.00390625,31676.00390625,7900
2024-01-29,33852.5703125,33852.5703125,33852.5703125,33852.5703125,22400
2024-01-30,36214.37890625,36214.37890625,36214.37890625,36214.37890625,24800
2024-01-31,38715.11328125,38715.11328125,38715.11328125,38715.11328125,14300
2024-02-01,41401.09375,41401.09375,41401.09375,41401.09375,21900
2024-02-02,41401.09375,41401.09375,41401.09375,41401.09375,0
2024-02-05,36075.44921875,37047.958119383824,36075.44921875,36075.44921875,27200
2024-02-06,33574.71484375,33898.88450431034,33574.71484375,33806.2646012931,44200
2024-02-07,35149.25,35890.20915678525,31259.214426877472,32416.963109354416,48700
2024-02-08,35149.25,35149.25,35149.25,35149.25,0
2024-02-09,35149.25,35149.25,35149.25,35149.25,0
2024-02-15,34732.4609375,37047.958333333336,34454.60125,36955.3384375,26900
2024-02-16,35102.94140625,35102.94140625,34037.81257730046,34732.4618135719,20300
2024-02-19,33621.01953125,34547.2184164084,33343.15986570248,34269.35875086088,19100
2024-02-20,33250.54296875,34732.46131833217,32787.44348450557,34732.46131833217,24100
2024-02-21,32092.79296875,33250.541632846325,32046.48302218615,32046.48302218615,13800
2024-02-22,32324.34375,32787.443230659024,32046.484061604584,32046.484061604584,6300
2024-02-23,31490.765625,32324.34471507353,31490.765625,32324.34471507353,27100
2024-02-26,31953.865234375,32370.65478091033,31490.76573822464,31490.76573822464,20700
2024-02-27,32231.724609375,32880.06389749461,31953.8649144666,32880.06389749461,6200
2024-02-28,32416.96484375,32880.06434151786,32139.105145089285,32139.105145089285,22400
2024-02-29,32139.103515625,32416.963200198126,32139.103515625,32416.963200198126,1900
2024-03-01,32880.0625,32880.0625,31490.76408450704,32139.103345070424,16400
2024-03-04,32139.103515625,32416.963200198126,31490.76425162104,32416.963200198126,26600
2024-03-05,32231.724609375,32416.964405980605,31537.075372103987,32416.964405980605,10600
2024-03-06,31490.765625,32231.72481617648,31490.765625,31537.07557444853,20300
2024-03-07,31212.904296875,31953.86344932307,31120.28440281899,31490.763979043026,8500
2024-03-08,31212.904296875,31861.24355526706,31212.904296875,31861.24355526706,1800
2024-03-11,32092.79296875,32139.10291531385,31212.9039840368,31212.9039840368,7400
2024-03-12,31212.904296875,31305.52419093101,31212.904296875,31305.52419093101,4200
2024-03-13,29638.3671875,31490.76513671875,29638.3671875,31490.76513671875,30700
2024-03-14,30564.564453125,31583.383268229165,30194.084883996213,31583.383268229165,6200
2024-03-15,30842.42578125,30842.42578125,29638.367117117115,29638.367117117115,6100
2024-03-18,31120.28515625,31120.28515625,30101.466296968003,30749.805571056542,3800
2024-03-19,30657.185546875,31212.904922347054,29777.29653571092,29777.29653571092,3300
2024-03-20,30379.326171875,30564.565965605947,30240.396326576792,30240.396326576792,4900
2024-03-21,30194.0859375,30379.32572852761,29730.986459930984,30194.0859375,4800
2024-03-22,30286.70703125,30657.18662796254,30286.70703125,30518.256779195337,6600
2024-03-25,30471.9453125,30564.56520706687,30471.9453125,30564.56520706687,2400
2024-03-26,31583.384765625,31953.864352318546,30564.56590221774,31120.285282258064,19500
2024-03-27,31490.765625,32139.10491727941,30564.566636029413,32139.10491727941,13200
2024-03-28,30657.185546875,31490.764610083083,30657.185546875,31490.764610083083,2500
2024-03-29,30657.185546875,30657.185546875,30657.185546875,30657.185546875,100
2024-04-01,30657.185546875,30657.185546875,30657.185546875,30657.185546875,0
2024-04-02,30749.806640625,30749.806640625,30286.707143025225,30564.56684158509,4500
2024-04-03,31027.6640625,31027.6640625,31027.6640625,31027.6640625,500
2024-04-04,30194.0859375,30194.0859375,30194.0859375,30194.0859375,1800
2024-04-05,30564.564453125,30564.564453125,30194.084883996213,30194.084883996213,1600
2024-04-08,30564.564453125,31027.663914535984,30564.564453125,31027.663914535984,4700
2024-04-09,30564.564453125,30564.564453125,29823.605314867425,29823.605314867425,300
2024-04-10,30101.46484375,30471.94441105769,29916.225060096152,30101.46484375,3300
2024-04-11,30101.46484375,30101.46484375,30101.46484375,30101.46484375,4000
2024-04-12,30379.326171875,30379.326171875,30101.46648127858,30101.46648127858,600
2024-04-15,29175.267578125,30101.466548859127,29175.267578125,30101.466548859127,7800
2024-04-16,30008.845703125,30008.845703125,28712.167185088736,29175.266655815973,2200
2024-04-17,30008.845703125,30008.845703125,30008.845703125,30008.845703125,3000
2024-04-19,30008.845703125,30008.845703125,30008.845703125,30008.845703125,1500
2024-04-22,30008.845703125,30008.845703125,30008.845703125,30008.845703125,4400
2024-04-23,29267.88671875,29267.88671875,29175.26682407041,29267.88671875,2200
2024-04-24,30333.015625,30333.015625,29267.88683206107,29267.88683206107,600
2024-04-25,30333.015625,30333.015625,30333.015625,30333.015625,200
2024-04-26,31212.904296875,31953.86344932307,30471.94514442693,31953.86344932307,1700
2024-04-29,31212.904296875,31212.904296875,31212.904296875,31212.904296875,0
2024-04-30,31212.904296875,31212.904296875,31212.904296875,31212.904296875,0
2024-05-02,29175.267578125,29267.88747519841,29175.267578125,29175.267578125,1500
2024-05-03,29684.67578125,30333.01503388261,29175.26636846724,29175.26636846724,5900
2024-05-06,30379.326171875,30379.326171875,30101.46648127858,30101.46648127858,600
2024-05-07,30379.326171875,30379.326171875,30379.326171875,30379.326171875,0
2024-05-08,30379.326171875,30379.326171875,29175.267512623857,29221.5774610566,8400
2024-05-09,30101.46484375,30101.46484375,29175.26592548077,29175.26592548077,1900
2024-05-10,29730.986328125,29823.606223228195,29730.986328125,29730.986328125,8900
2024-05-13,29638.3671875,29730.987084960936,29175.267700195312,29730.987084960936,1600
2024-05-14,29638.3671875,29638.3671875,29267.88759765625,29267.88759765625,200
2024-05-15,29638.3671875,29638.3671875,28804.78811035156,28804.78811035156,9000
2024-05-16,29638.3671875,29638.3671875,29638.3671875,29638.3671875,4900
2024-05-17,29638.3671875,29638.3671875,29638.3671875,29638.3671875,2900
2024-05-20,29638.3671875,29916.22687988281,29638.3671875,29638.3671875,10100
2024-05-21,29638.3671875,29638.3671875,29453.127392578124,29453.127392578124,1800
2024-05-22,29823.607421875,29823.607421875,29175.268130095108,29175.268130095108,7400
2024-05-23,30286.70703125,30286.70703125,29638.36773700306,29777.29758577026,5900
2024-05-24,29730.986328125,30240.39575119256,29730.986328125,30240.39575119256,2500
2024-05-27,29823.607421875,30286.70691600349,29823.607421875,29823.607421875,1500
2024-05-28,30101.46484375,30101.46484375,29638.365384615383,29823.60516826923,13300
2024-05-29,30101.46484375,30286.704627403844,30101.46484375,30286.704627403844,600
2024-05-30,30101.46484375,30101.46484375,29175.26592548077,29823.60516826923,1700
2024-05-31,29823.607421875,30101.46711835209,29823.607421875,30101.46711835209,2500
2024-06-03,29823.607421875,29823.607421875,29823.607421875,29823.607421875,0
2024-06-04,30008.845703125,31027.664538724923,29869.91586190683,29962.53575605228,14100
2024-06-05,30379.326171875,30379.326171875,30101.46648127858,30379.326171875,8700
2024-06-06,30471.9453125,30657.18510163374,30379.32541793313,30471.9453125,4900
2024-06-07,31676.00390625,31953.86358963816,30471.94527823465,30471.94527823465,23900
2024-06-10,33852.5703125,33852.5703125,31953.86253847469,31953.86253847469,71000
2024-06-11,36198.7890625,36198.7890625,33517.39728009259,35576.323113012564,118700
2024-06-12,36246.671875,38305.59775429326,36198.78987780713,36198.78987780713,70100
2024-06-13,38209.83203125,38209.83203125,36581.84420034461,37347.95612077067,33800
2024-06-14,36869.13671875,40220.876420454544,36869.13671875,39742.05646306818,178900
2024-06-17,36869.13671875,36869.13671875,36869.13671875,36869.13671875,100
2024-06-18,36198.7890625,37347.95696924604,35432.67712466931,36390.31704695767,8200
2024-06-19,36869.13671875,36869.13671875,35336.91285511364,35576.322833806815,11900
2024-06-20,37252.1953125,37252.1953125,35911.49933724293,36964.903317802055,1900
2024-06-21,37252.1953125,37252.1953125,37252.1953125,37252.1953125,1400
2024-06-24,37252.1953125,37300.077311616325,34666.56736021851,35528.44334431234,6400
2024-06-25,37252.1953125,37252.1953125,37252.1953125,37252.1953125,0
2024-06-26,35911.49609375,37156.42795833333,35911.49609375,37156.42795833333,2700
2024-06-27,35432.67578125,35432.67578125,34953.85583826013,35432.67578125,1100
2024-06-28,37156.4296875,37156.4296875,33996.2178841817,33996.2178841817,1500
2024-07-01,36390.31640625,36390.31640625,34953.85654810855,35432.67650082237,2700
2024-07-02,36390.31640625,36390.31640625,36390.31640625,36390.31640625,200
2024-07-03,35959.37890625,35959.37890625,34666.5650174767,34666.5650174767,1400
2024-07-04,36294.5546875,36294.5546875,34570.80274983509,35911.49870135224,4100
2024-07-05,36198.7890625,36198.7890625,34618.68319072421,34953.857163525136,4600
2024-07-08,36103.02734375,36294.55534026857,36103.02734375,36198.79134200929,3300
2024-07-09,36294.5546875,36294.5546875,36103.02669442612,36103.02669442612,400
2024-07-10,35863.6171875,35863.6171875,33996.219229806404,34953.859208110815,12600
2024-07-11,34570.80078125,34570.80078125,34570.80078125,34570.80078125,200
2024-07-12,34953.859375,34953.859375,33996.21939212329,34475.03938356165,5800
2024-07-15,34044.09765625,34858.091552391,34044.09765625,34858.091552391,2200
2024-07-16,36390.31640625,36390.31640625,35911.49645353619,36390.31640625,18800
2024-07-17,37252.1953125,38305.59929305912,37252.1953125,37347.95931073265,30600
2024-07-18,36342.43359375,38209.831367341896,34762.32778532609,38209.831367341896,6900
2024-07-19,36342.43359375,36342.43359375,34379.271831768776,34379.271831768776,8500
2024-07-22,35432.67578125,35432.67578125,35193.26580975507,35193.26580975507,2000
2024-07-23,34953.859375,35432.67936643836,34953.859375,35432.67936643836,1900
2024-07-24,37252.1953125,37252.1953125,34953.85935491645,34953.85935491645,5300
2024-07-25,37252.1953125,37252.1953125,35576.32534342867,35911.49933724293,4300
2024-07-26,37252.1953125,37252.1953125,37252.1953125,37252.1953125,0
2024-07-29,36390.31640625,36869.13635896381,36390.31640625,36869.13635896381,200
2024-07-30,35432.67578125,35624.20375844595,35336.91179265203,35624.20375844595,10300
2024-07-31,35528.44140625,35528.44140625,35528.44140625,35528.44140625,2300
2024-08-01,34953.859375,35432.67936643836,34953.859375,35432.67936643836,2200
2024-08-02,35432.67578125,35432.67578125,34953.85583826013,34953.85583826013,4600
2024-08-05,35241.1484375,35432.67641813859,35241.1484375,35432.67641813859,1000
2024-08-06,36246.671875,36246.671875,35049.62194517833,35241.1499339498,3600
