Price,Close,High,Low,Open,Volume
Ticker,RIC,RIC,RIC,RIC,RIC
Date,,,,,
2017-01-03,10450.0,10450.0,10450.0,10450.0,10
2017-01-04,9730.0,11150.0,9730.0,11000.0,8100
2017-01-05,10400.0,10400.0,9120.0,9120.0,260
2017-01-06,9690.0,9690.0,9690.0,9690.0,10
2017-01-09,9020.0,9020.0,9020.0,9020.0,10
2017-01-10,9650.0,9650.0,9650.0,9650.0,1320
2017-01-11,9000.0,9000.0,9000.0,9000.0,10
2017-01-12,8400.0,8400.0,8400.0,8400.0,10
2017-01-13,8400.0,8400.0,8400.0,8400.0,0
2017-01-17,7840.0,7840.0,7840.0,7840.0,10
2017-01-18,8010.0,8380.0,7300.0,7840.0,1150
2017-01-19,8570.0,8570.0,8400.0,8400.0,1040
2017-01-20,8010.0,8900.0,8010.0,8900.0,1010
2017-01-23,8570.0,8570.0,8570.0,8570.0,10
2017-01-24,9160.0,9160.0,8800.0,8800.0,120
2017-01-25,9800.0,9800.0,9200.0,9500.0,1050
2017-01-26,9800.0,9800.0,9800.0,9800.0,0
2017-01-27,9800.0,9800.0,9800.0,9800.0,0
2017-01-30,9800.0,9800.0,9800.0,9800.0,0
2017-01-31,9800.0,9800.0,9800.0,9800.0,0
2017-02-01,9800.0,9800.0,9800.0,9800.0,0
2017-02-02,9800.0,9800.0,9800.0,9800.0,0
2017-02-03,10200.0,10200.0,9500.0,9510.0,1010
2017-02-06,10200.0,10200.0,10200.0,10200.0,0
2017-02-07,9490.0,10550.0,9490.0,10200.0,2100
2017-02-08,8930.0,9490.0,8930.0,9490.0,9280
2017-02-09,8540.0,8540.0,8540.0,8540.0,20
2017-02-10,9130.0,9130.0,8900.0,8900.0,270
2017-02-13,9000.0,9600.0,9000.0,9600.0,1990
2017-02-14,9010.0,9600.0,9000.0,9000.0,1530
2017-02-15,9010.0,9010.0,9010.0,9010.0,80
2017-02-16,9640.0,9640.0,9640.0,9640.0,120
2017-02-17,9170.0,10050.0,9170.0,10050.0,210
2017-02-21,9300.0,9300.0,9000.0,9000.0,440
2017-02-22,8850.0,8850.0,8850.0,8850.0,20
2017-02-23,8400.0,8400.0,8400.0,8400.0,230
