Price,Close,High,Low,Open,Volume
Ticker,SAM.VN,SAM.VN,SAM.VN,SAM.VN,SAM.VN
Date,,,,,
2023-07-17,7400.0,7600.0,7350.0,7430.0,5443800
2023-07-19,7150.0,7390.0,7150.0,7310.0,6358800
2023-07-20,7300.0,7330.0,7150.0,7200.0,695000
2023-07-21,7580.0,7650.0,7330.0,7350.0,3357100
2023-07-24,7750.0,7750.0,7610.0,7650.0,6844100
2023-07-26,7730.0,8000.0,7670.0,7810.0,2765500
2023-07-28,7820.0,7990.0,7780.0,7800.0,1344700
2023-08-03,7650.0,7660.0,7500.0,7530.0,8451300
2023-08-04,7850.0,7850.0,7650.0,7650.0,6976700
2023-08-07,8110.0,8300.0,7990.0,8150.0,2640500
2023-08-08,8110.0,8200.0,8000.0,8120.0,1722400
2023-08-09,8110.0,8250.0,8000.0,8100.0,4656653
2023-08-10,8200.0,8500.0,8110.0,8110.0,4118606
2023-08-11,8180.0,8280.0,8010.0,8160.0,5349066
2023-08-14,8500.0,8600.0,8100.0,8190.0,14726830
2023-08-15,8360.0,8650.0,8360.0,8630.0,5983300
2023-08-16,8250.0,8380.0,8200.0,8360.0,3099000
2023-08-17,8020.0,8290.0,8000.0,8280.0,2806500
2023-08-18,7460.0,7970.0,7460.0,7970.0,3640100
2023-08-21,7270.0,7450.0,7100.0,7200.0,1061500
2023-08-22,7220.0,7330.0,7000.0,7270.0,971600
2023-08-23,7220.0,7360.0,7200.0,7360.0,12351000
2023-08-24,7330.0,7350.0,7220.0,7240.0,3718604
2023-08-25,7380.0,7520.0,7330.0,7400.0,517803
2023-08-28,7360.0,7400.0,7290.0,7360.0,3306103
2023-08-29,7450.0,7500.0,7360.0,7440.0,393700
2023-08-30,7590.0,7650.0,7450.0,7450.0,706501
2023-08-31,7640.0,7670.0,7560.0,7560.0,683602
2023-09-05,7750.0,7800.0,7680.0,7680.0,888804
2023-09-06,7710.0,7790.0,7580.0,7790.0,2166103
2023-09-07,7700.0,7850.0,7650.0,7800.0,1122205
2023-09-08,7720.0,7790.0,7690.0,7790.0,821007
2023-09-11,7520.0,7830.0,7510.0,7830.0,1121700
2023-09-12,7520.0,7560.0,7410.0,7420.0,638700
2023-09-13,7480.0,7630.0,7100.0,7550.0,873509
2023-09-14,7200.0,7480.0,7160.0,7480.0,1318200
2023-09-15,7090.0,7290.0,7080.0,7120.0,982600
2023-09-18,7040.0,7090.0,7000.0,7040.0,8612101
2023-09-19,7040.0,7090.0,6970.0,7040.0,7549603
2023-09-20,7200.0,7300.0,7010.0,7010.0,2299105
2023-09-21,7140.0,7280.0,7140.0,7280.0,287410
2023-09-22,6920.0,7100.0,6830.0,7080.0,3922709
2023-09-25,6610.0,6970.0,6600.0,6920.0,794718
2023-09-26,6580.0,6650.0,6380.0,6380.0,2379420
2023-09-27,6650.0,6670.0,6450.0,6480.0,885803
2023-09-28,6600.0,6660.0,6510.0,6660.0,400901
2023-09-29,6580.0,6700.0,6500.0,6660.0,313205
2023-10-02,6570.0,6590.0,6540.0,6550.0,207410
2023-10-03,6310.0,6550.0,6190.0,6550.0,7271900
2023-10-04,6300.0,6380.0,5880.0,6280.0,2818800
2023-10-05,6250.0,6380.0,6200.0,6310.0,2481300
2023-10-06,6270.0,6320.0,6160.0,6250.0,191000
2023-10-09,6280.0,6360.0,6260.0,6360.0,772600
