Price,Close,High,Low,Open,Volume
Ticker,SBG.VN,SBG.VN,SBG.VN,SBG.VN,SBG.VN
Date,,,,,
2023-12-01,18000.0,18000.0,18000.0,18000.0,1000
2023-12-04,19250.0,19250.0,19250.0,19250.0,1597400
2023-12-05,18800.0,19250.0,18800.0,19200.0,359400
2023-12-06,18350.0,19500.0,18000.0,18550.0,371400
2023-12-07,17250.0,18400.0,17150.0,18400.0,410100
2023-12-08,17250.0,17250.0,16050.0,17100.0,307300
2023-12-11,17000.0,17500.0,16500.0,17500.0,207800
2023-12-12,16500.0,17000.0,16500.0,16500.0,66700
2023-12-13,16500.0,16800.0,16200.0,16500.0,44400
2023-12-14,16900.0,16900.0,16300.0,16500.0,398200
2023-12-15,16800.0,16800.0,16400.0,16800.0,160800
2023-12-18,16500.0,16500.0,16250.0,16250.0,97800
2023-12-19,16400.0,16600.0,15900.0,16400.0,482500
2023-12-20,16200.0,16400.0,15950.0,16300.0,194300
2023-12-21,16350.0,16350.0,15800.0,16000.0,178800
2023-12-22,16200.0,16350.0,16000.0,16250.0,166400
2023-12-25,16200.0,16200.0,15900.0,16000.0,119600
2023-12-26,16150.0,16150.0,15850.0,15950.0,187400
2023-12-27,16100.0,16150.0,15700.0,16150.0,195600
2023-12-28,16000.0,16000.0,15700.0,16000.0,133500
2023-12-29,15700.0,15900.0,15600.0,15850.0,172500
2024-01-01,15700.0,15700.0,15700.0,15700.0,0
2024-01-02,15500.0,15800.0,15450.0,15700.0,146300
2024-01-03,15850.0,15950.0,15300.0,15300.0,239700
2024-01-04,15800.0,15900.0,15500.0,15850.0,137500
2024-01-05,15400.0,15800.0,15200.0,15700.0,148500
2024-01-08,15200.0,15500.0,15200.0,15200.0,128800
2024-01-09,15550.0,15550.0,15050.0,15050.0,262900
2024-01-10,15450.0,15600.0,15450.0,15450.0,217800
2024-01-11,15700.0,15700.0,15300.0,15300.0,254500
2024-01-12,16000.0,16000.0,15350.0,15700.0,329300
2024-01-15,16000.0,16200.0,15800.0,16000.0,103000
2024-01-16,15800.0,16150.0,15300.0,16150.0,151400
2024-01-17,15700.0,15800.0,15500.0,15700.0,124600
2024-01-18,15700.0,15700.0,15400.0,15500.0,68800
2024-01-19,15550.0,15800.0,15550.0,15700.0,108100
2024-01-22,15550.0,15650.0,15450.0,15550.0,115400
2024-01-23,16000.0,16000.0,15500.0,15500.0,305900
2024-01-24,16200.0,16200.0,15800.0,15900.0,288400
