Price,Close,High,Low,Open,Volume
Ticker,SBT.VN,SBT.VN,SBT.VN,SBT.VN,SBT.VN
Date,,,,,
2017-01-03,17872.794921875,17872.794921875,16704.189453125,16841.671875,1082791
2017-01-04,17460.345703125,17666.5703125,17219.75,17666.5703125,4474380
2017-01-05,17322.86328125,17460.345703125,17082.267578125,17460.345703125,3012106
2017-01-06,17254.12109375,17254.12109375,17013.525390625,17254.12109375,2546085
2017-01-09,17185.37890625,17254.12109375,16979.154296875,17185.37890625,1651502
2017-01-10,17116.638671875,17185.37890625,16807.30078125,17185.37890625,2502239
2017-01-11,17116.638671875,17116.638671875,16841.671875,17047.896484375,2328690
2017-01-12,16841.671875,17185.37890625,16841.671875,17116.638671875,1662688
2017-01-13,17185.37890625,17185.37890625,16635.447265625,17047.896484375,2839183
2017-01-16,16841.671875,17185.37890625,16738.560546875,17185.37890625,2217769
2017-01-17,16841.671875,16841.671875,16669.818359375,16841.671875,3819013
2017-01-18,16841.671875,16979.154296875,16601.076171875,16979.154296875,1928858
2017-01-19,16635.447265625,16841.671875,16635.447265625,16772.9296875,1687739
2017-01-20,16841.671875,16841.671875,16497.96484375,16635.447265625,1974308
2017-01-23,16772.9296875,16841.671875,16566.705078125,16841.671875,1935623
2017-01-24,16772.9296875,16841.671875,16429.22265625,16704.189453125,2190637
2017-01-25,16704.189453125,16772.9296875,16291.740234375,16704.189453125,1635484
2017-02-03,16497.96484375,16497.96484375,16360.4814453125,16497.96484375,2244434
2017-02-06,16429.22265625,16635.447265625,16291.740234375,16635.447265625,2302301
2017-02-07,16429.22265625,16497.96484375,16257.369140625,16429.22265625,2756147
2017-02-08,16360.4814453125,16429.22265625,16154.2568359375,16291.740234375,890621
2017-02-09,16360.4814453125,16394.8515625,16016.7734375,16291.740234375,3517273
2017-02-10,16360.4814453125,16360.4814453125,15948.0322265625,16291.740234375,1941312
2017-02-13,16429.22265625,16429.22265625,16222.998046875,16360.4814453125,1774763
2017-02-14,16497.96484375,16497.96484375,16257.369140625,16360.4814453125,2505601
2017-02-15,16635.447265625,16635.447265625,16360.4814453125,16429.22265625,1643255
2017-02-16,16601.076171875,16704.189453125,16497.96484375,16635.447265625,1529682
2017-02-17,16601.076171875,16601.076171875,16360.4814453125,16566.705078125,1759573
2017-02-20,16601.076171875,16601.076171875,16429.22265625,16497.96484375,1886643
2017-02-21,16635.447265625,16704.189453125,16463.59375,16601.076171875,3563709
2017-02-22,16635.447265625,16635.447265625,16463.59375,16635.447265625,2671942
2017-02-23,16635.447265625,16635.447265625,16532.3359375,16635.447265625,1921339
2017-02-24,16601.076171875,16635.447265625,16497.96484375,16635.447265625,1837574
2017-02-27,16532.3359375,16601.076171875,16429.22265625,16497.96484375,1686400
2017-02-28,16497.96484375,16566.705078125,16394.8515625,16532.3359375,1991122
2017-03-01,16497.96484375,16497.96484375,16222.998046875,16497.96484375,1762583
2017-03-02,16532.3359375,16566.705078125,16394.8515625,16429.22265625,2115240
2017-03-03,16532.3359375,16532.3359375,16429.22265625,16497.96484375,2025584
2017-03-06,16566.705078125,16566.705078125,16429.22265625,16532.3359375,1551461
2017-03-07,16566.705078125,16566.705078125,16429.22265625,16566.705078125,8777893
2017-03-08,16532.3359375,16566.705078125,16429.22265625,16566.705078125,1851628
2017-03-09,16532.3359375,16566.705078125,16429.22265625,16532.3359375,1778076
2017-03-10,16532.3359375,16532.3359375,16429.22265625,16497.96484375,1930822
2017-03-13,16497.96484375,16532.3359375,16154.2568359375,16532.3359375,1642235
2017-03-14,16463.59375,16463.59375,16291.740234375,16360.4814453125,1823362
2017-03-15,16463.59375,17047.896484375,16291.740234375,16429.22265625,1811142
2017-03-16,16463.59375,16497.96484375,16291.740234375,16497.96484375,1721301
2017-03-17,16463.59375,16463.59375,15810.548828125,16429.22265625,6761674
2017-03-20,16463.59375,16463.59375,16326.1103515625,16429.22265625,1719350
2017-03-21,16497.96484375,16532.3359375,16360.4814453125,16360.4814453125,1473238
2017-03-22,16429.22265625,16497.96484375,16257.369140625,16497.96484375,1555737
2017-03-23,16910.4140625,16979.154296875,16222.998046875,16360.4814453125,5423413
2017-03-24,16841.671875,17047.896484375,16772.9296875,16772.9296875,2604682
2017-03-27,16979.154296875,16979.154296875,16704.189453125,16772.9296875,3716715
2017-03-28,16979.154296875,16979.154296875,16772.9296875,16910.4140625,5351048
2017-03-29,16807.30078125,17047.896484375,16807.30078125,16841.671875,1467813
2017-03-30,16979.154296875,17047.896484375,16704.189453125,16704.189453125,13846519
2017-03-31,16979.154296875,17322.86328125,16772.9296875,16979.154296875,6250876
2017-04-03,17116.638671875,17116.638671875,16841.671875,16979.154296875,4360184
2017-04-04,17254.12109375,17254.12109375,17047.896484375,17047.896484375,3679286
2017-04-05,17357.234375,17494.716796875,17151.009765625,17219.75,1849766
2017-04-07,17391.603515625,17460.345703125,17254.12109375,17357.234375,1493156
2017-04-10,17322.86328125,17391.603515625,17288.4921875,17322.86328125,1371656
2017-04-11,17047.896484375,17391.603515625,16910.4140625,17254.12109375,1813674
2017-04-12,16738.560546875,17047.896484375,16566.705078125,17047.896484375,2011342
2017-04-13,16772.9296875,16772.9296875,16669.818359375,16738.560546875,1491438
2017-04-14,16841.671875,16841.671875,16360.4814453125,16704.189453125,1274465
2017-04-17,16841.671875,16841.671875,16704.189453125,16704.189453125,4763275
2017-04-18,16841.671875,16841.671875,16635.447265625,16772.9296875,5539037
2017-04-19,16841.671875,16841.671875,16635.447265625,16772.9296875,1120658
2017-04-20,16807.30078125,16807.30078125,16704.189453125,16772.9296875,1807390
2017-04-21,16772.9296875,16807.30078125,16704.189453125,16807.30078125,2120169
2017-04-24,16704.189453125,16772.9296875,16601.076171875,16772.9296875,1494523
2017-04-25,16669.818359375,16704.189453125,16326.1103515625,16704.189453125,1707101
2017-04-26,16635.447265625,16807.30078125,16635.447265625,16669.818359375,2011445
2017-04-27,17563.45703125,17666.5703125,16635.447265625,16635.447265625,12303449
2017-04-28,18766.43359375,18766.43359375,17529.087890625,17563.45703125,3242620
2017-05-03,19385.107421875,19419.478515625,18560.2109375,18560.2109375,8460152
2017-05-04,18903.91796875,19041.400390625,18044.6484375,18697.693359375,5815186
2017-05-05,17804.052734375,18560.2109375,17597.828125,18560.2109375,5393171
2017-05-08,17529.087890625,18216.501953125,16772.9296875,17872.794921875,2530053
2017-05-09,17391.603515625,17529.087890625,17116.638671875,17529.087890625,6609654
2017-05-10,16841.671875,17322.86328125,16841.671875,17254.12109375,2301516
2017-05-11,17666.5703125,18010.27734375,16497.96484375,16497.96484375,7228101
2017-05-12,17804.052734375,17941.537109375,17254.12109375,17666.5703125,7284342
2017-05-15,17391.603515625,18079.01953125,17391.603515625,17735.3125,13203559
2017-05-16,17254.12109375,17529.087890625,17116.638671875,17322.86328125,7109644
2017-05-17,17425.974609375,17494.716796875,17185.37890625,17254.12109375,4793635
2017-05-18,17322.86328125,17425.974609375,17254.12109375,17391.603515625,5373517
2017-05-19,18010.27734375,18010.27734375,17116.638671875,17116.638671875,7032049
2017-05-22,18491.46875,18697.693359375,17804.052734375,17872.794921875,7240046
2017-05-23,18835.17578125,18903.91796875,18388.35546875,18422.7265625,4662971
2017-05-24,20003.78125,20141.265625,18628.951171875,18835.17578125,7863117
2017-05-25,19556.962890625,20003.78125,19385.107421875,19660.07421875,4658541
2017-05-26,20175.634765625,20210.005859375,19522.591796875,19556.962890625,3725256
2017-05-29,21447.353515625,21447.353515625,20175.634765625,20210.005859375,6409528
2017-05-30,20828.6796875,21481.724609375,20347.490234375,21378.611328125,6405455
2017-05-31,20656.826171875,20966.1640625,20553.71484375,20759.939453125,5130665
2017-06-01,21378.611328125,21584.8359375,20553.71484375,20622.455078125,6346859
2017-06-02,21584.8359375,21619.20703125,21309.87109375,21378.611328125,3502144
2017-06-05,21791.060546875,21928.544921875,21584.8359375,21584.8359375,3210806
2017-06-06,23303.375,23303.375,21412.982421875,21791.060546875,6987518
2017-06-07,23543.970703125,23715.82421875,23165.892578125,23372.1171875,4136972
2017-06-08,23097.150390625,23578.341796875,22615.958984375,23372.1171875,5296592
2017-06-09,23372.1171875,23612.7109375,22822.18359375,23097.150390625,3298847
2017-06-12,23303.375,23372.1171875,22547.21875,23372.1171875,2702555
2017-06-13,23234.6328125,23372.1171875,23028.408203125,23303.375,2879231
2017-06-14,23097.150390625,23234.6328125,22890.92578125,23234.6328125,3727989
2017-06-15,22822.18359375,23097.150390625,22753.443359375,23097.150390625,4173980
2017-06-16,23234.6328125,23234.6328125,22684.701171875,22684.701171875,2860217
2017-06-19,24540.72265625,24540.72265625,23303.375,23303.375,4420846
2017-06-20,24746.947265625,24746.947265625,24265.755859375,24609.462890625,3626116
2017-06-21,25056.283203125,25228.13671875,24575.09375,24609.462890625,2928735
2017-06-22,24884.4296875,24953.171875,24712.576171875,24953.171875,2200819
2017-06-23,24678.205078125,24815.6875,24506.3515625,24746.947265625,3208669
2017-06-26,24231.384765625,24678.205078125,24231.384765625,24678.205078125,4924822
2017-06-27,24265.755859375,24368.869140625,24128.2734375,24231.384765625,2731736
2017-06-28,24197.013671875,24265.755859375,24025.16015625,24197.013671875,1999574
2017-06-29,24128.2734375,24403.23828125,24128.2734375,24128.2734375,4005682
2017-06-30,24093.90234375,24128.2734375,23715.82421875,24128.2734375,3531501
2017-07-03,24128.2734375,24197.013671875,24093.90234375,24093.90234375,2143797
2017-07-04,24231.384765625,24403.23828125,23887.677734375,24093.90234375,2168701
2017-07-05,24265.755859375,24300.126953125,24059.53125,24197.013671875,1957067
2017-07-06,24265.755859375,24300.126953125,24162.64453125,24265.755859375,2202843
2017-07-07,24300.126953125,24471.98046875,24265.755859375,24265.755859375,2555876
2017-07-10,24197.013671875,24300.126953125,24093.90234375,24231.384765625,2864101
2017-07-11,24197.013671875,24197.013671875,23956.419921875,24162.64453125,2682538
2017-07-12,24746.947265625,24746.947265625,24197.013671875,24197.013671875,3547895
2017-07-13,25090.654296875,25159.396484375,24712.576171875,24712.576171875,3623235
2017-07-14,26396.7421875,26396.7421875,25090.654296875,25090.654296875,6587166
2017-07-17,26671.708984375,26843.5625,26396.7421875,26396.7421875,6293936
2017-07-18,26259.259765625,26774.822265625,25090.654296875,26602.966796875,7118896
2017-07-19,26431.11328125,26637.337890625,26087.40625,26259.259765625,5056213
2017-07-20,26396.7421875,26465.484375,26156.1484375,26431.11328125,3761726
2017-07-21,27187.271484375,27496.607421875,26293.630859375,26396.7421875,6538404
2017-07-24,27152.900390625,27324.75390625,26877.93359375,27187.271484375,3563374
2017-07-25,27634.08984375,27634.08984375,27152.900390625,27152.900390625,6015793
2017-07-26,28458.98828125,28458.98828125,27599.71875,27634.08984375,3102446
2017-07-27,28321.505859375,28458.98828125,28115.28125,28458.98828125,3688421
2017-07-28,28252.763671875,28905.80859375,28012.16796875,28321.505859375,7524328
2017-07-31,27805.943359375,28252.763671875,26877.93359375,28252.763671875,4008535
2017-08-01,28527.73046875,28596.47265625,27805.943359375,27805.943359375,4733090
2017-08-02,28630.841796875,28665.212890625,28218.392578125,28458.98828125,5562979
2017-08-03,27393.49609375,28630.841796875,26637.337890625,28493.359375,7414190
2017-08-04,26843.5625,27496.607421875,26396.7421875,27393.49609375,5898309
2017-08-07,24987.541015625,24987.541015625,24987.541015625,24987.541015625,61895
2017-08-08,23269.00390625,23269.00390625,23269.00390625,23269.00390625,793737
2017-08-09,21653.578125,21653.578125,21653.578125,21653.578125,43449
2017-08-10,20141.265625,20141.265625,20141.265625,20141.265625,2229129
2017-08-11,20759.939453125,20759.939453125,18732.064453125,18732.064453125,17498387
2017-08-14,21103.646484375,22203.509765625,20759.939453125,22203.509765625,1389768
2017-08-15,20278.748046875,20828.6796875,20175.634765625,20759.939453125,2370382
2017-08-16,20003.78125,20072.5234375,19178.8828125,19660.07421875,3564610
2017-08-17,19866.298828125,20072.5234375,19763.1875,19935.041015625,3118402
2017-08-18,20072.5234375,20175.634765625,19591.33203125,19935.041015625,1437295
2017-08-21,19866.298828125,20278.748046875,19660.07421875,19660.07421875,1309758
2017-08-22,19900.669921875,20038.15234375,19385.107421875,19797.556640625,1515760
2017-08-23,19935.041015625,20141.265625,19797.556640625,19797.556640625,2401514
2017-08-24,20759.939453125,20931.79296875,19866.298828125,19935.041015625,4517484
2017-08-25,19866.298828125,20966.1640625,19866.298828125,20759.939453125,1750453
2017-08-28,20141.265625,20244.376953125,19935.041015625,20210.005859375,4398371
2017-08-29,21550.466796875,21550.466796875,20141.265625,20141.265625,3759630
2017-08-30,22340.994140625,22684.701171875,21584.8359375,22134.76953125,2737934
2017-08-31,22100.3984375,22512.84765625,21825.431640625,21997.28515625,1725810
2017-09-01,21859.802734375,22272.251953125,21516.095703125,21997.28515625,2003720
2017-09-05,21309.87109375,21859.802734375,20828.6796875,21791.060546875,2292395
2017-09-06,20828.6796875,21653.578125,20622.455078125,21653.578125,2186215
2017-09-07,21103.646484375,21172.38671875,20622.455078125,20622.455078125,1542426
2017-09-08,21000.533203125,21206.7578125,20794.30859375,20966.1640625,1442415
2017-09-11,19935.041015625,21000.533203125,19935.041015625,21000.533203125,3131437
2017-09-12,20210.005859375,20416.23046875,19866.298828125,20072.5234375,2042997
2017-09-13,19935.041015625,20691.197265625,19935.041015625,20347.490234375,1415530
2017-09-14,20519.34375,20622.455078125,20072.5234375,20106.89453125,1410774
2017-09-15,19935.041015625,20691.197265625,19935.041015625,20588.083984375,5190265
2017-09-18,20141.265625,20210.005859375,19900.669921875,20210.005859375,1423518
2017-09-19,19935.041015625,20175.634765625,19728.81640625,20175.634765625,1508123
2017-09-20,18560.2109375,20141.265625,18560.2109375,20106.89453125,5754379
2017-09-21,18766.43359375,18869.546875,17597.828125,18560.2109375,2770810
2017-09-22,18938.2890625,19144.513671875,18560.2109375,18560.2109375,2110220
2017-09-25,18147.76171875,18938.2890625,18147.76171875,18835.17578125,4114583
2017-09-26,18182.130859375,18560.2109375,18044.6484375,18147.76171875,4163914
2017-09-27,18766.43359375,18766.43359375,17872.794921875,18147.76171875,3932482
2017-09-28,18560.2109375,18903.91796875,18182.130859375,18732.064453125,2329127
2017-09-29,17872.794921875,18560.2109375,17872.794921875,18560.2109375,3635965
2017-10-02,17425.974609375,18147.76171875,17425.974609375,18010.27734375,1140297
2017-10-03,16772.9296875,17529.087890625,16635.447265625,17288.4921875,3624006
2017-10-04,17082.267578125,17185.37890625,16566.705078125,16910.4140625,1544273
2017-10-05,17357.234375,17391.603515625,16704.189453125,17047.896484375,3814663
2017-10-06,16841.671875,17529.087890625,16841.671875,17529.087890625,2016973
2017-10-09,16979.154296875,17013.525390625,16635.447265625,16841.671875,1594956
2017-10-10,16876.04296875,16979.154296875,16635.447265625,16979.154296875,1158728
2017-10-11,16841.671875,17013.525390625,16601.076171875,17013.525390625,1583595
2017-10-12,16360.4814453125,16841.671875,16360.4814453125,16841.671875,1884186
2017-10-13,16601.076171875,16841.671875,15948.0322265625,16360.4814453125,2838134
2017-10-16,16429.22265625,16772.9296875,16291.740234375,16566.705078125,599619
2017-10-17,16188.6279296875,16497.96484375,16154.2568359375,16291.740234375,1315564
2017-10-18,15982.4033203125,16326.1103515625,15810.548828125,16188.6279296875,3609372
2017-10-19,15604.32421875,16119.8857421875,15604.32421875,16085.515625,3064505
2017-10-20,14779.4267578125,15673.06640625,14745.0556640625,15535.5830078125,4107310
2017-10-23,14435.71875,14985.6513671875,14023.26953125,14779.4267578125,3570066
2017-10-24,14710.6845703125,14848.16796875,14332.6064453125,14848.16796875,492827
2017-10-25,15707.4365234375,15707.4365234375,14435.71875,14435.71875,2973612
2017-10-26,15466.841796875,16222.998046875,15191.8759765625,16085.515625,2896137
2017-10-27,14951.2802734375,15604.32421875,14710.6845703125,15466.841796875,2544746
2017-10-30,14435.71875,14951.2802734375,14298.236328125,14848.16796875,3255089
2017-10-31,14229.494140625,14366.9775390625,14023.26953125,14366.9775390625,3158218
2017-11-01,14366.9775390625,14504.4599609375,13920.1572265625,14160.7529296875,2533182
