Price,Close,High,Low,Open,Volume
Ticker,SBV.VN,SBV.VN,SBV.VN,SBV.VN,SBV.VN
Date,,,,,
2017-05-16,31757.076171875,31757.076171875,31757.076171875,31757.076171875,590504
2017-05-17,33741.89453125,33940.378030254426,31757.077631537213,33940.378030254426,1754338
2017-05-18,33411.08984375,33741.8895969384,31757.07298747917,33741.8895969384,12766
2017-05-19,31095.47265625,31426.27243915316,31095.47265625,31095.47265625,181812
2017-05-22,28945.251953125,29772.258634919137,28945.251953125,29110.65365129043,209378
2017-05-23,26927.35546875,27191.997102885,26927.35546875,27191.997102885,323349
2017-05-24,28779.8515625,28779.8515625,26133.42788968551,26133.42788968551,32576
2017-05-25,28912.171875,30698.508761763307,28912.171875,30698.508761763307,39884
2017-05-26,27522.80078125,28912.17254034673,27456.639015270976,28449.047414625787,66105
2017-05-29,27522.80078125,27787.44241806693,26464.230615916164,27522.80078125,70053
2017-05-30,27390.478515625,27522.800235928244,26530.39004720345,26596.551811871585,21502
2017-05-31,27655.119140625,27721.280902885017,27456.637471910853,27456.637471910853,24288
2017-06-01,27258.15625,27588.959639623605,27191.99629568848,27456.637921967565,22875
2017-06-02,27258.15625,28382.886327493867,27191.99629568848,28382.886327493867,19360
2017-06-05,27125.837890625,27324.31957392853,26464.2310735912,27191.997848715146,10876
2017-06-06,26927.35546875,26927.35546875,26464.23034772245,26596.55206930647,49977
2017-06-07,26993.515625,26993.515625,26530.390500541507,26993.515625,34886
2017-06-08,26530.390625,26795.034071370068,26530.390625,26530.390625,10569
2017-06-09,26728.873046875,27125.83639154429,26464.22961107348,27125.83639154429,8860
2017-06-12,26464.23046875,26728.87391312832,26464.23046875,26728.87391312832,101371
2017-06-13,26795.033203125,27059.67483188677,26464.22981039804,27059.67483188677,37812
2017-06-14,27853.603515625,28449.04857962151,26464.231699633136,26464.231699633136,46380
2017-06-15,28250.564453125,28382.88617004702,27655.11944052538,28382.88617004702,42740
2017-06-16,28647.529296875,29110.654425867662,27985.92429564229,28118.246019502058,44700
2017-06-19,29441.45703125,29441.45703125,28647.5285186908,28647.5285186908,169975
2017-06-20,30367.705078125,30764.66842496108,29772.258248837883,29772.258248837883,21516
2017-06-21,29639.939453125,30433.866176633142,29639.939453125,30433.866176633142,20802
2017-06-22,29772.259765625,30103.06317451928,29639.93984929376,30103.06317451928,48900
2017-06-23,29375.294921875,30433.86505350936,29276.05498961534,29772.25826897964,51224
2017-06-26,29772.259765625,29970.74144915495,29309.13644039948,29309.13644039948,47528
2017-06-27,29706.099609375,29970.741249305906,29441.45796944409,29507.61792716856,42291
2017-06-28,29706.099609375,29772.25956709946,29110.65456275566,29375.296202686564,60758
2017-06-29,29044.494140625,29838.42085675632,28515.2090601931,28515.2090601931,32814
2017-06-30,29110.654296875,29176.814253995188,28846.010850328126,29176.814253995188,43383
2017-07-03,29772.259765625,30301.54485804924,29242.97648223386,30301.54485804924,216658
2017-07-04,29441.45703125,29706.09866274772,28779.850238956165,29441.45703125,42432
2017-07-05,29044.494140625,29772.25909105668,28515.2090601931,29772.25909105668,42165
2017-07-06,29441.45703125,29441.45703125,29044.493679486903,29044.493679486903,43593
2017-07-07,29507.6171875,29507.6171875,29110.6538330378,29110.6538330378,1552
2017-07-10,28846.01171875,29441.458586890127,28779.85175963804,29375.29681874505,40024
2017-07-11,28713.69140625,28978.33304809709,28515.209722606407,28978.33304809709,28656
2017-07-12,28581.3671875,28846.00880626095,28449.04547360306,28713.68890139694,37084
2017-07-13,28415.966796875,28647.52845000947,27456.638397575312,28581.36849455192,28866
2017-07-14,28415.966796875,28779.850169957608,27655.120072981004,28779.850169957608,26850
2017-07-17,28415.966796875,28415.966796875,28118.245188282966,28382.88681914622,383603
2017-07-18,28250.564453125,28415.96614701928,27721.28120350288,28415.96614701928,30812
2017-07-19,28085.166015625,28449.04759010538,26464.230779153,28250.56590901014,28068
2017-07-20,27456.638671875,28085.16549113304,26331.908563662026,28085.16549113304,29594
2017-07-21,28449.046875,28449.046875,26861.193466150944,27456.638494469345,37714
2017-07-24,27357.3984375,28316.726835856785,27125.836784593124,28316.726835856785,27984
2017-07-25,27787.443359375,28118.24677337702,27588.96167278041,28118.24677337702,35348
2017-07-26,27787.443359375,28250.566691751337,27324.320026998663,27787.443359375,43440
2017-07-27,27456.638671875,27787.44207053365,27456.638671875,27456.638671875,41508
2017-07-28,27919.763671875,27919.763671875,27456.63855393563,27456.63855393563,47528
2017-07-31,27919.763671875,28052.083583543656,27489.718531852795,27853.601907007647,27928
2017-08-01,27787.443359375,28118.24677337702,27787.443359375,28052.085005156747,68528
2017-08-02,27787.443359375,27919.76508678244,27655.12163196757,27787.443359375,77081
2017-08-03,27721.28125,27787.441204055493,27721.28125,27787.441204055493,30238
2017-08-04,27655.119140625,27919.762571599163,27522.79923417088,27919.762571599163,137826
2017-08-07,25868.78515625,27655.12024608243,25868.78515625,27622.0402681466,58574
2017-08-08,27059.67578125,27456.63914283624,26795.034143203527,26795.034143203527,26949
2017-08-09,27026.595703125,27026.595703125,26464.23064144266,27026.595703125,27886
2017-08-10,26993.515625,27026.59560338281,26464.230543775888,27026.59560338281,29874
2017-08-11,26662.7109375,26993.51432344373,26464.22926774036,26993.51432344373,35782
2017-08-14,27125.837890625,27721.282940535573,26662.71275689472,27125.837890625,35866
2017-08-15,27555.87890625,27721.28059652268,26993.513882936084,27721.28059652268,41354
